Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Descarte,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
Johan Søe SØE,236,iQFoil 9,1.0,1,GERAL,1,,15.0,13.0,Campeonato Nórdico Aberto 2023,1
Johan Søe SØE,236,iQFoil 9,1.0,1,GERAL,1,,15.0,13.0,Campeonato Nórdico Aberto 2023,2
Johan Søe SØE,236,iQFoil 9,1.0,0,GERAL,1,,15.0,13.0,Campeonato Nórdico Aberto 2023,3
Johan Søe SØE,236,iQFoil 9,1.0,0,GERAL,1,,15.0,13.0,Campeonato Nórdico Aberto 2023,4
Johan Søe SØE,236,iQFoil 9,1.0,0,GERAL,1,,15.0,13.0,Campeonato Nórdico Aberto 2023,5
Johan Søe SØE,236,iQFoil 9,1.0,0,GERAL,1,,15.0,13.0,Campeonato Nórdico Aberto 2023,6
Johan Søe SØE,236,iQFoil 9,1.0,0,GERAL,1,,15.0,13.0,Campeonato Nórdico Aberto 2023,7
Johan Søe SØE,236,iQFoil 9,1.0,0,GERAL,1,,15.0,13.0,Campeonato Nórdico Aberto 2023,8
Johan Søe SØE,236,iQFoil 9,1.0,0,GERAL,1,,15.0,13.0,Campeonato Nórdico Aberto 2023,9
Johan Søe SØE,236,iQFoil 9,1.0,0,GERAL,1,,15.0,13.0,Campeonato Nórdico Aberto 2023,10
Johan Søe SØE,236,iQFoil 9,1.0,0,GERAL,1,,15.0,13.0,Campeonato Nórdico Aberto 2023,11
Johan Søe SØE,236,iQFoil 9,1.0,0,GERAL,1,,15.0,13.0,Campeonato Nórdico Aberto 2023,12
Johan Søe SØE,236,iQFoil 9,1.0,0,GERAL,1,,15.0,13.0,Campeonato Nórdico Aberto 2023,13
Johan Søe SØE,236,iQFoil 9,1.0,0,GERAL,1,,15.0,13.0,Campeonato Nórdico Aberto 2023,14
Johan Søe SØE,236,iQFoil 9,1.0,0,GERAL,1,,15.0,13.0,Campeonato Nórdico Aberto 2023,15
Vidar NYSTRÖM,236,iQFoil 9,2.0,0,GERAL,2,,55.0,43.0,Campeonato Nórdico Aberto 2023,1
Vidar NYSTRÖM,236,iQFoil 9,2.0,0,GERAL,2,,55.0,43.0,Campeonato Nórdico Aberto 2023,2
Vidar NYSTRÖM,236,iQFoil 9,6.0,1,GERAL,2,,55.0,43.0,Campeonato Nórdico Aberto 2023,3
Vidar NYSTRÖM,236,iQFoil 9,3.0,0,GERAL,2,,55.0,43.0,Campeonato Nórdico Aberto 2023,4
Vidar NYSTRÖM,236,iQFoil 9,2.0,0,GERAL,2,,55.0,43.0,Campeonato Nórdico Aberto 2023,5
Vidar NYSTRÖM,236,iQFoil 9,2.0,0,GERAL,2,,55.0,43.0,Campeonato Nórdico Aberto 2023,6
Vidar NYSTRÖM,236,iQFoil 9,5.0,0,GERAL,2,,55.0,43.0,Campeonato Nórdico Aberto 2023,7
Vidar NYSTRÖM,236,iQFoil 9,4.0,0,GERAL,2,,55.0,43.0,Campeonato Nórdico Aberto 2023,8
Vidar NYSTRÖM,236,iQFoil 9,5.0,0,GERAL,2,,55.0,43.0,Campeonato Nórdico Aberto 2023,9
Vidar NYSTRÖM,236,iQFoil 9,5.0,0,GERAL,2,,55.0,43.0,Campeonato Nórdico Aberto 2023,10
Vidar NYSTRÖM,236,iQFoil 9,6.0,1,GERAL,2,,55.0,43.0,Campeonato Nórdico Aberto 2023,11
Vidar NYSTRÖM,236,iQFoil 9,6.0,0,GERAL,2,,55.0,43.0,Campeonato Nórdico Aberto 2023,12
Vidar NYSTRÖM,236,iQFoil 9,3.0,0,GERAL,2,,55.0,43.0,Campeonato Nórdico Aberto 2023,13
Vidar NYSTRÖM,236,iQFoil 9,2.0,0,GERAL,2,,55.0,43.0,Campeonato Nórdico Aberto 2023,14
