Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Descarte,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
Silas RECK,,ilca 7,5.0,1,GERAL,1,,12.0,7.0,Copa Surendorf 2023,1
Silas RECK,,ilca 7,2.0,0,GERAL,1,,12.0,7.0,Copa Surendorf 2023,2
Silas RECK,,ilca 7,3.0,0,GERAL,1,,12.0,7.0,Copa Surendorf 2023,3
Silas RECK,,ilca 7,1.0,0,GERAL,1,,12.0,7.0,Copa Surendorf 2023,4
Silas RECK,,ilca 7,1.0,0,GERAL,1,,12.0,7.0,Copa Surendorf 2023,5
Thomas W MUELLER,,ilca 7,1.0,0,GERAL,2,,14.0,8.0,Copa Surendorf 2023,1
Thomas W MUELLER,,ilca 7,3.0,0,GERAL,2,,14.0,8.0,Copa Surendorf 2023,2
Thomas W MUELLER,,ilca 7,2.0,0,GERAL,2,,14.0,8.0,Copa Surendorf 2023,3
Thomas W MUELLER,,ilca 7,6.0,1,GERAL,2,,14.0,8.0,Copa Surendorf 2023,4
Thomas W MUELLER,,ilca 7,2.0,0,GERAL,2,,14.0,8.0,Copa Surendorf 2023,5
Lean HOHENLÖCHTER,,ilca 7,6.0,0,GERAL,3,,19.0,12.0,Copa Surendorf 2023,1
Lean HOHENLÖCHTER,,ilca 7,1.0,0,GERAL,3,,19.0,12.0,Copa Surendorf 2023,2
Lean HOHENLÖCHTER,,ilca 7,1.0,0,GERAL,3,,19.0,12.0,Copa Surendorf 2023,3
Lean HOHENLÖCHTER,,ilca 7,4.0,0,GERAL,3,,19.0,12.0,Copa Surendorf 2023,4
Lean HOHENLÖCHTER,,ilca 7,7.0,1,GERAL,3,DPI,19.0,12.0,Copa Surendorf 2023,5
Tobias RECK,,ilca 7,2.0,0,GERAL,4,,21.0,13.0,Copa Surendorf 2023,1
Tobias RECK,,ilca 7,8.0,1,GERAL,4,,21.0,13.0,Copa Surendorf 2023,2
Tobias RECK,,ilca 7,5.0,0,GERAL,4,,21.0,13.0,Copa Surendorf 2023,3
Tobias RECK,,ilca 7,3.0,0,GERAL,4,,21.0,13.0,Copa Surendorf 2023,4
Tobias RECK,,ilca 7,3.0,0,GERAL,4,,21.0,13.0,Copa Surendorf 2023,5
Lutz HIRSCH,,ilca 7,3.0,0,GERAL,5,,26.0,19.0,Copa Surendorf 2023,1
Lutz HIRSCH,,ilca 7,5.0,0,GERAL,5,,26.0,19.0,Copa Surendorf 2023,2
Lutz HIRSCH,,ilca 7,6.0,0,GERAL,5,,26.0,19.0,Copa Surendorf 2023,3
Lutz HIRSCH,,ilca 7,7.0,1,GERAL,5,,26.0,19.0,Copa Surendorf 2023,4
Lutz HIRSCH,,ilca 7,5.0,0,GERAL,5,,26.0,19.0,Copa Surendorf 2023,5
Julius STOLTE,,ilca 7,4.0,0,GERAL,6,,32.0,19.0,Copa Surendorf 2023,1
Julius STOLTE,,ilca 7,6.0,0,GERAL,6,,32.0,19.0,Copa Surendorf 2023,2
Julius STOLTE,,ilca 7,13.0,1,GERAL,6,,32.0,19.0,Copa Surendorf 2023,3
Julius STOLTE,,ilca 7,5.0,0,GERAL,6,,32.0,19.0,Copa Surendorf 2023,4
Julius STOLTE,,ilca 7,4.0,0,GERAL,6,,32.0,19.0,Copa Surendorf 2023,5
Amir HEINISCH,,ilca 7,7.0,0,GERAL,7,,40.0,30.0,Copa Surendorf 2023,1
Amir HEINISCH,,ilca 7,7.0,0,GERAL,7,,40.0,30.0,Copa Surendorf 2023,2
