Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Descarte,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
Franz LASCH,,ilca 6,2.0,0,GERAL,1,,4.0,4.0,DER WIKINGER 2023,1
Franz LASCH,,ilca 6,1.0,0,GERAL,1,,4.0,4.0,DER WIKINGER 2023,2
Franz LASCH,,ilca 6,1.0,0,GERAL,1,,4.0,4.0,DER WIKINGER 2023,3
Victor HENSEL,,ilca 6,1.0,0,GERAL,2,,5.0,5.0,DER WIKINGER 2023,1
Victor HENSEL,,ilca 6,2.0,0,GERAL,2,,5.0,5.0,DER WIKINGER 2023,2
Victor HENSEL,,ilca 6,2.0,0,GERAL,2,,5.0,5.0,DER WIKINGER 2023,3
Simon STRACKOW,,ilca 6,3.0,0,GERAL,3,,9.0,9.0,DER WIKINGER 2023,1
Simon STRACKOW,,ilca 6,3.0,0,GERAL,3,,9.0,9.0,DER WIKINGER 2023,2
Simon STRACKOW,,ilca 6,3.0,0,GERAL,3,,9.0,9.0,DER WIKINGER 2023,3
David BUCHLER,,ilca 6,5.0,0,GERAL,4,,13.0,13.0,DER WIKINGER 2023,1
David BUCHLER,,ilca 6,4.0,0,GERAL,4,,13.0,13.0,DER WIKINGER 2023,2
David BUCHLER,,ilca 6,4.0,0,GERAL,4,,13.0,13.0,DER WIKINGER 2023,3
Lena Marie FISCHER,,ilca 6,4.0,0,GERAL,5,,15.0,15.0,DER WIKINGER 2023,1
Lena Marie FISCHER,,ilca 6,5.0,0,GERAL,5,,15.0,15.0,DER WIKINGER 2023,2
Lena Marie FISCHER,,ilca 6,6.0,0,GERAL,5,,15.0,15.0,DER WIKINGER 2023,3
Georg GRAW,,ilca 6,6.0,0,GERAL,6,,17.0,17.0,DER WIKINGER 2023,1
Georg GRAW,,ilca 6,6.0,0,GERAL,6,,17.0,17.0,DER WIKINGER 2023,2
Georg GRAW,,ilca 6,5.0,0,GERAL,6,,17.0,17.0,DER WIKINGER 2023,3
Felix MINEUR,,ilca 6,9.0,0,GERAL,7,,25.0,25.0,DER WIKINGER 2023,1
Felix MINEUR,,ilca 6,8.0,0,GERAL,7,,25.0,25.0,DER WIKINGER 2023,2
Felix MINEUR,,ilca 6,8.0,0,GERAL,7,,25.0,25.0,DER WIKINGER 2023,3
Leon PFAFF,,ilca 6,7.0,0,GERAL,8,,26.0,26.0,DER WIKINGER 2023,1
Leon PFAFF,,ilca 6,12.0,0,GERAL,8,,26.0,26.0,DER WIKINGER 2023,2
Leon PFAFF,,ilca 6,7.0,0,GERAL,8,,26.0,26.0,DER WIKINGER 2023,3
Moritz FISCHER,,ilca 6,10.0,0,GERAL,9,,28.0,28.0,DER WIKINGER 2023,1
Moritz FISCHER,,ilca 6,9.0,0,GERAL,9,,28.0,28.0,DER WIKINGER 2023,2
Moritz FISCHER,,ilca 6,9.0,0,GERAL,9,,28.0,28.0,DER WIKINGER 2023,3
Jessica HERRMANN,,ilca 6,12.0,0,GERAL,10,,31.0,31.0,DER WIKINGER 2023,1
Jessica HERRMANN,,ilca 6,7.0,0,GERAL,10,,31.0,31.0,DER WIKINGER 2023,2
Jessica HERRMANN,,ilca 6,12.0,0,GERAL,10,,31.0,31.0,DER WIKINGER 2023,3
Ian STEIGÜBER,,ilca 6,8.0,0,GERAL,11,,31.0,31.0,DER WIKINGER 2023,1
Ian STEIGÜBER,,ilca 6,10.0,0,GERAL,11,,31.0,31.0,DER WIKINGER 2023,2
Ian STEIGÜBER,,ilca 6,13.0,0,GERAL,11,,31.0,31.0,DER WIKINGER 2023,3
Malik BRETT,,ilca 6,16.0,0,GERAL,12,,38.0,38.0,DER WIKINGER 2023,1
Malik BRETT,,ilca 6,11.0,0,GERAL,12,,38.0,38.0,DER WIKINGER 2023,2
Malik BRETT,,ilca 6,11.0,0,GERAL,12,,38.0,38.0,DER WIKINGER 2023,3
