Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Descarte,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
Brett BEYER,251,ilca 7,31.0,1,GERAL,1,BFD,36.0,5.0,EURILCA MASTER SERIES BÉLGICA 2023,1
Brett BEYER,251,ilca 7,1.0,0,GERAL,1,,36.0,5.0,EURILCA MASTER SERIES BÉLGICA 2023,2
Brett BEYER,251,ilca 7,2.0,0,GERAL,1,,36.0,5.0,EURILCA MASTER SERIES BÉLGICA 2023,3
Brett BEYER,251,ilca 7,1.0,0,GERAL,1,,36.0,5.0,EURILCA MASTER SERIES BÉLGICA 2023,4
Brett BEYER,251,ilca 7,1.0,0,GERAL,1,,36.0,5.0,EURILCA MASTER SERIES BÉLGICA 2023,5
Alan DAVIS,251,ilca 7,4.0,1,GERAL,2,,14.0,10.0,EURILCA MASTER SERIES BÉLGICA 2023,1
Alan DAVIS,251,ilca 7,3.0,0,GERAL,2,,14.0,10.0,EURILCA MASTER SERIES BÉLGICA 2023,2
Alan DAVIS,251,ilca 7,3.0,0,GERAL,2,,14.0,10.0,EURILCA MASTER SERIES BÉLGICA 2023,3
Alan DAVIS,251,ilca 7,2.0,0,GERAL,2,,14.0,10.0,EURILCA MASTER SERIES BÉLGICA 2023,4
Alan DAVIS,251,ilca 7,2.0,0,GERAL,2,,14.0,10.0,EURILCA MASTER SERIES BÉLGICA 2023,5
Wouter DUETZ,251,ilca 7,1.0,0,GERAL,3,,41.0,12.0,EURILCA MASTER SERIES BÉLGICA 2023,1
Wouter DUETZ,251,ilca 7,4.0,0,GERAL,3,,41.0,12.0,EURILCA MASTER SERIES BÉLGICA 2023,2
Wouter DUETZ,251,ilca 7,29.0,1,GERAL,3,,41.0,12.0,EURILCA MASTER SERIES BÉLGICA 2023,3
Wouter DUETZ,251,ilca 7,4.0,0,GERAL,3,,41.0,12.0,EURILCA MASTER SERIES BÉLGICA 2023,4
Wouter DUETZ,251,ilca 7,3.0,0,GERAL,3,,41.0,12.0,EURILCA MASTER SERIES BÉLGICA 2023,5
Nicolas DUMONCEAU,251,ilca 7,3.0,0,GERAL,4,,40.0,20.0,EURILCA MASTER SERIES BÉLGICA 2023,1
Nicolas DUMONCEAU,251,ilca 7,2.0,0,GERAL,4,,40.0,20.0,EURILCA MASTER SERIES BÉLGICA 2023,2
Nicolas DUMONCEAU,251,ilca 7,20.0,1,GERAL,4,,40.0,20.0,EURILCA MASTER SERIES BÉLGICA 2023,3
Nicolas DUMONCEAU,251,ilca 7,8.0,0,GERAL,4,,40.0,20.0,EURILCA MASTER SERIES BÉLGICA 2023,4
Nicolas DUMONCEAU,251,ilca 7,7.0,0,GERAL,4,,40.0,20.0,EURILCA MASTER SERIES BÉLGICA 2023,5
Markus OCHS,251,ilca 7,9.0,1,GERAL,5,,35.0,26.0,EURILCA MASTER SERIES BÉLGICA 2023,1
Markus OCHS,251,ilca 7,9.0,0,GERAL,5,,35.0,26.0,EURILCA MASTER SERIES BÉLGICA 2023,2
Markus OCHS,251,ilca 7,6.0,0,GERAL,5,,35.0,26.0,EURILCA MASTER SERIES BÉLGICA 2023,3
Markus OCHS,251,ilca 7,5.0,0,GERAL,5,,35.0,26.0,EURILCA MASTER SERIES BÉLGICA 2023,4
Markus OCHS,251,ilca 7,6.0,0,GERAL,5,,35.0,26.0,EURILCA MASTER SERIES BÉLGICA 2023,5
Michel MAJON,251,ilca 7,5.0,0,GERAL,6,,46.0,27.0,EURILCA MASTER SERIES BÉLGICA 2023,1
Michel MAJON,251,ilca 7,8.0,0,GERAL,6,,46.0,27.0,EURILCA MASTER SERIES BÉLGICA 2023,2
Michel MAJON,251,ilca 7,19.0,1,GERAL,6,,46.0,27.0,EURILCA MASTER SERIES BÉLGICA 2023,3
Michel MAJON,251,ilca 7,6.0,0,GERAL,6,,46.0,27.0,EURILCA MASTER SERIES BÉLGICA 2023,4
Michel MAJON,251,ilca 7,8.0,0,GERAL,6,,46.0,27.0,EURILCA MASTER SERIES BÉLGICA 2023,5
Anders NILSSON,251,ilca 7,8.0,0,GERAL,7,,64.0,33.0,EURILCA MASTER SERIES BÉLGICA 2023,1
Anders NILSSON,251,ilca 7,6.0,0,GERAL,7,,64.0,33.0,EURILCA MASTER SERIES BÉLGICA 2023,2
Anders NILSSON,251,ilca 7,10.0,0,GERAL,7,,64.0,33.0,EURILCA MASTER SERIES BÉLGICA 2023,3
Anders NILSSON,251,ilca 7,31.0,1,GERAL,7,BFD,64.0,33.0,EURILCA MASTER SERIES BÉLGICA 2023,4
Anders NILSSON,251,ilca 7,9.0,0,GERAL,7,,64.0,33.0,EURILCA MASTER SERIES BÉLGICA 2023,5
Albert KOOIJMAN,251,ilca 7,6.0,0,GERAL,8,,54.0,35.0,EURILCA MASTER SERIES BÉLGICA 2023,1
Albert KOOIJMAN,251,ilca 7,11.0,0,GERAL,8,,54.0,35.0,EURILCA MASTER SERIES BÉLGICA 2023,2
Albert KOOIJMAN,251,ilca 7,8.0,0,GERAL,8,,54.0,35.0,EURILCA MASTER SERIES BÉLGICA 2023,3
Albert KOOIJMAN,251,ilca 7,10.0,0,GERAL,8,,54.0,35.0,EURILCA MASTER SERIES BÉLGICA 2023,4
Albert KOOIJMAN,251,ilca 7,19.0,1,GERAL,8,,54.0,35.0,EURILCA MASTER SERIES BÉLGICA 2023,5
