Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Descarte,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
Daniel NYBORGNikolaj Hoffmann BUHL,246,49er,1.0,0,GERAL,1,,11.0,7.0,Esquife DS-DM 2023,1
Daniel NYBORGNikolaj Hoffmann BUHL,246,49er,1.0,0,GERAL,1,,11.0,7.0,Esquife DS-DM 2023,2
Daniel NYBORGNikolaj Hoffmann BUHL,246,49er,1.0,0,GERAL,1,,11.0,7.0,Esquife DS-DM 2023,3
Daniel NYBORGNikolaj Hoffmann BUHL,246,49er,4.0,1,GERAL,1,,11.0,7.0,Esquife DS-DM 2023,4
Daniel NYBORGNikolaj Hoffmann BUHL,246,49er,1.0,0,GERAL,1,,11.0,7.0,Esquife DS-DM 2023,5
Daniel NYBORGNikolaj Hoffmann BUHL,246,49er,1.0,0,GERAL,1,,11.0,7.0,Esquife DS-DM 2023,6
Daniel NYBORGNikolaj Hoffmann BUHL,246,49er,1.0,0,GERAL,1,,11.0,7.0,Esquife DS-DM 2023,7
Daniel NYBORGNikolaj Hoffmann BUHL,246,49er,1.0,0,GERAL,1,,11.0,7.0,Esquife DS-DM 2023,8
Kristian PRÆSTMarcus LANGAGERGAARD,246,49er,3.0,0,GERAL,2,,30.0,23.0,Esquife DS-DM 2023,1
Kristian PRÆSTMarcus LANGAGERGAARD,246,49er,2.0,0,GERAL,2,,30.0,23.0,Esquife DS-DM 2023,2
Kristian PRÆSTMarcus LANGAGERGAARD,246,49er,3.0,0,GERAL,2,,30.0,23.0,Esquife DS-DM 2023,3
Kristian PRÆSTMarcus LANGAGERGAARD,246,49er,1.0,0,GERAL,2,,30.0,23.0,Esquife DS-DM 2023,4
Kristian PRÆSTMarcus LANGAGERGAARD,246,49er,7.0,1,GERAL,2,,30.0,23.0,Esquife DS-DM 2023,5
Kristian PRÆSTMarcus LANGAGERGAARD,246,49er,7.0,0,GERAL,2,,30.0,23.0,Esquife DS-DM 2023,6
Kristian PRÆSTMarcus LANGAGERGAARD,246,49er,4.0,0,GERAL,2,,30.0,23.0,Esquife DS-DM 2023,7
Kristian PRÆSTMarcus LANGAGERGAARD,246,49er,3.0,0,GERAL,2,,30.0,23.0,Esquife DS-DM 2023,8
Carl Emil SLOTHSimon CHRISTOFFERSEN,246,49er,2.0,0,GERAL,3,,36.0,27.0,Esquife DS-DM 2023,1
Carl Emil SLOTHSimon CHRISTOFFERSEN,246,49er,4.0,0,GERAL,3,,36.0,27.0,Esquife DS-DM 2023,2
Carl Emil SLOTHSimon CHRISTOFFERSEN,246,49er,4.0,0,GERAL,3,,36.0,27.0,Esquife DS-DM 2023,3
Carl Emil SLOTHSimon CHRISTOFFERSEN,246,49er,9.0,1,GERAL,3,,36.0,27.0,Esquife DS-DM 2023,4
Carl Emil SLOTHSimon CHRISTOFFERSEN,246,49er,4.0,0,GERAL,3,,36.0,27.0,Esquife DS-DM 2023,5
Carl Emil SLOTHSimon CHRISTOFFERSEN,246,49er,5.0,0,GERAL,3,,36.0,27.0,Esquife DS-DM 2023,6
Carl Emil SLOTHSimon CHRISTOFFERSEN,246,49er,3.0,0,GERAL,3,,36.0,27.0,Esquife DS-DM 2023,7
Carl Emil SLOTHSimon CHRISTOFFERSEN,246,49er,5.0,0,GERAL,3,,36.0,27.0,Esquife DS-DM 2023,8
Jens-Christian DEHN-TOFTEHØJMads FUGLBJERG,246,49er,4.0,0,GERAL,4,,38.0,30.0,Esquife DS-DM 2023,1
Jens-Christian DEHN-TOFTEHØJMads FUGLBJERG,246,49er,3.0,0,GERAL,4,,38.0,30.0,Esquife DS-DM 2023,2
Jens-Christian DEHN-TOFTEHØJMads FUGLBJERG,246,49er,2.0,0,GERAL,4,,38.0,30.0,Esquife DS-DM 2023,3
Jens-Christian DEHN-TOFTEHØJMads FUGLBJERG,246,49er,5.0,0,GERAL,4,,38.0,30.0,Esquife DS-DM 2023,4
Jens-Christian DEHN-TOFTEHØJMads FUGLBJERG,246,49er,6.0,0,GERAL,4,,38.0,30.0,Esquife DS-DM 2023,5
Jens-Christian DEHN-TOFTEHØJMads FUGLBJERG,246,49er,6.0,0,GERAL,4,,38.0,30.0,Esquife DS-DM 2023,6
Jens-Christian DEHN-TOFTEHØJMads FUGLBJERG,246,49er,8.0,1,GERAL,4,,38.0,30.0,Esquife DS-DM 2023,7
Jens-Christian DEHN-TOFTEHØJMads FUGLBJERG,246,49er,4.0,0,GERAL,4,,38.0,30.0,Esquife DS-DM 2023,8
Gustav Aasholm BRADLEYFrederik Ragan MELBYE,246,49er,10.0,1,GERAL,5,DNS,43.0,33.0,Esquife DS-DM 2023,1
Gustav Aasholm BRADLEYFrederik Ragan MELBYE,246,49er,10.0,0,GERAL,5,DNS,43.0,33.0,Esquife DS-DM 2023,2
Gustav Aasholm BRADLEYFrederik Ragan MELBYE,246,49er,10.0,0,GERAL,5,DNC,43.0,33.0,Esquife DS-DM 2023,3
Gustav Aasholm BRADLEYFrederik Ragan MELBYE,246,49er,2.0,0,GERAL,5,,43.0,33.0,Esquife DS-DM 2023,4
Gustav Aasholm BRADLEYFrederik Ragan MELBYE,246,49er,3.0,0,GERAL,5,,43.0,33.0,Esquife DS-DM 2023,5
Gustav Aasholm BRADLEYFrederik Ragan MELBYE,246,49er,4.0,0,GERAL,5,,43.0,33.0,Esquife DS-DM 2023,6
Gustav Aasholm BRADLEYFrederik Ragan MELBYE,246,49er,2.0,0,GERAL,5,,43.0,33.0,Esquife DS-DM 2023,7
Gustav Aasholm BRADLEYFrederik Ragan MELBYE,246,49er,2.0,0,GERAL,5,,43.0,33.0,Esquife DS-DM 2023,8
Loke Idriss KISELauritz SCHMIDT,246,49er,5.0,0,GERAL,6,,43.0,33.0,Esquife DS-DM 2023,1
Loke Idriss KISELauritz SCHMIDT,246,49er,6.0,0,GERAL,6,,43.0,33.0,Esquife DS-DM 2023,2
Loke Idriss KISELauritz SCHMIDT,246,49er,10.0,1,GERAL,6,DNS,43.0,33.0,Esquife DS-DM 2023,3
Loke Idriss KISELauritz SCHMIDT,246,49er,3.0,0,GERAL,6,,43.0,33.0,Esquife DS-DM 2023,4
Loke Idriss KISELauritz SCHMIDT,246,49er,5.0,0,GERAL,6,,43.0,33.0,Esquife DS-DM 2023,5
Loke Idriss KISELauritz SCHMIDT,246,49er,3.0,0,GERAL,6,,43.0,33.0,Esquife DS-DM 2023,6
Loke Idriss KISELauritz SCHMIDT,246,49er,5.0,0,GERAL,6,,43.0,33.0,Esquife DS-DM 2023,7
Loke Idriss KISELauritz SCHMIDT,246,49er,6.0,0,GERAL,6,,43.0,33.0,Esquife DS-DM 2023,8
Malthe EBDRUPClement AASHOLM-BRADLEY,246,49er,6.0,0,GERAL,7,,44.0,34.0,Esquife DS-DM 2023,1
Malthe EBDRUPClement AASHOLM-BRADLEY,246,49er,5.0,0,GERAL,7,,44.0,34.0,Esquife DS-DM 2023,2
Malthe EBDRUPClement AASHOLM-BRADLEY,246,49er,10.0,1,GERAL,7,DNC,44.0,34.0,Esquife DS-DM 2023,3
Malthe EBDRUPClement AASHOLM-BRADLEY,246,49er,6.0,0,GERAL,7,,44.0,34.0,Esquife DS-DM 2023,4
Malthe EBDRUPClement AASHOLM-BRADLEY,246,49er,2.0,0,GERAL,7,,44.0,34.0,Esquife DS-DM 2023,5
Malthe EBDRUPClement AASHOLM-BRADLEY,246,49er,2.0,0,GERAL,7,,44.0,34.0,Esquife DS-DM 2023,6
Malthe EBDRUPClement AASHOLM-BRADLEY,246,49er,6.0,0,GERAL,7,,44.0,34.0,Esquife DS-DM 2023,7
Malthe EBDRUPClement AASHOLM-BRADLEY,246,49er,7.0,0,GERAL,7,,44.0,34.0,Esquife DS-DM 2023,8
Bertram RADICHJonathan WEIMANN,246,49er,10.0,1,GERAL,8,DNC,70.0,60.0,Esquife DS-DM 2023,1
Bertram RADICHJonathan WEIMANN,246,49er,10.0,0,GERAL,8,DNC,70.0,60.0,Esquife DS-DM 2023,2
Bertram RADICHJonathan WEIMANN,246,49er,10.0,0,GERAL,8,DNC,70.0,60.0,Esquife DS-DM 2023,3
Bertram RADICHJonathan WEIMANN,246,49er,8.0,0,GERAL,8,,70.0,60.0,Esquife DS-DM 2023,4
Bertram RADICHJonathan WEIMANN,246,49er,8.0,0,GERAL,8,,70.0,60.0,Esquife DS-DM 2023,5
Bertram RADICHJonathan WEIMANN,246,49er,9.0,0,GERAL,8,,70.0,60.0,Esquife DS-DM 2023,6
Bertram RADICHJonathan WEIMANN,246,49er,7.0,0,GERAL,8,,70.0,60.0,Esquife DS-DM 2023,7
Bertram RADICHJonathan WEIMANN,246,49er,8.0,0,GERAL,8,,70.0,60.0,Esquife DS-DM 2023,8
Nicklas HØJEGAARDVictor LOMHOLT,246,49er,10.0,1,GERAL,9,DNF,72.0,62.0,Esquife DS-DM 2023,1
Nicklas HØJEGAARDVictor LOMHOLT,246,49er,10.0,0,GERAL,9,DNC,72.0,62.0,Esquife DS-DM 2023,2
