Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Descarte,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
Borio ATTILIO,260,ilca 7,1.0,0,GERAL,1,,88.0,56.0,EurILCA Campeonato Europeu Sub 21 e Troféu Europeu Aberto 2023,1
Borio ATTILIO,260,ilca 7,4.0,0,GERAL,1,,88.0,56.0,EurILCA Campeonato Europeu Sub 21 e Troféu Europeu Aberto 2023,2
Borio ATTILIO,260,ilca 7,32.0,1,GERAL,1,,88.0,56.0,EurILCA Campeonato Europeu Sub 21 e Troféu Europeu Aberto 2023,3
Borio ATTILIO,260,ilca 7,13.0,0,GERAL,1,,88.0,56.0,EurILCA Campeonato Europeu Sub 21 e Troféu Europeu Aberto 2023,4
Borio ATTILIO,260,ilca 7,2.0,0,GERAL,1,,88.0,56.0,EurILCA Campeonato Europeu Sub 21 e Troféu Europeu Aberto 2023,5
Borio ATTILIO,260,ilca 7,1.0,0,GERAL,1,,88.0,56.0,EurILCA Campeonato Europeu Sub 21 e Troféu Europeu Aberto 2023,6
Borio ATTILIO,260,ilca 7,14.0,0,OURO,1,,88.0,56.0,EurILCA Campeonato Europeu Sub 21 e Troféu Europeu Aberto 2023,7
Borio ATTILIO,260,ilca 7,8.0,0,OURO,1,,88.0,56.0,EurILCA Campeonato Europeu Sub 21 e Troféu Europeu Aberto 2023,8
Borio ATTILIO,260,ilca 7,11.0,0,OURO,1,,88.0,56.0,EurILCA Campeonato Europeu Sub 21 e Troféu Europeu Aberto 2023,9
Borio ATTILIO,260,ilca 7,2.0,0,OURO,1,,88.0,56.0,EurILCA Campeonato Europeu Sub 21 e Troféu Europeu Aberto 2023,10
Elliott-Shircore STEFAN,260,ilca 7,6.0,0,GERAL,2,,109.0,67.0,EurILCA Campeonato Europeu Sub 21 e Troféu Europeu Aberto 2023,1
Elliott-Shircore STEFAN,260,ilca 7,1.0,0,GERAL,2,,109.0,67.0,EurILCA Campeonato Europeu Sub 21 e Troféu Europeu Aberto 2023,2
Elliott-Shircore STEFAN,260,ilca 7,3.0,0,GERAL,2,,109.0,67.0,EurILCA Campeonato Europeu Sub 21 e Troféu Europeu Aberto 2023,3
Elliott-Shircore STEFAN,260,ilca 7,4.0,0,GERAL,2,,109.0,67.0,EurILCA Campeonato Europeu Sub 21 e Troféu Europeu Aberto 2023,4
Elliott-Shircore STEFAN,260,ilca 7,16.0,0,GERAL,2,,109.0,67.0,EurILCA Campeonato Europeu Sub 21 e Troféu Europeu Aberto 2023,5
Elliott-Shircore STEFAN,260,ilca 7,12.0,0,GERAL,2,,109.0,67.0,EurILCA Campeonato Europeu Sub 21 e Troféu Europeu Aberto 2023,6
Elliott-Shircore STEFAN,260,ilca 7,42.0,1,OURO,2,,109.0,67.0,EurILCA Campeonato Europeu Sub 21 e Troféu Europeu Aberto 2023,7
Elliott-Shircore STEFAN,260,ilca 7,5.0,0,OURO,2,,109.0,67.0,EurILCA Campeonato Europeu Sub 21 e Troféu Europeu Aberto 2023,8
Elliott-Shircore STEFAN,260,ilca 7,4.0,0,OURO,2,,109.0,67.0,EurILCA Campeonato Europeu Sub 21 e Troféu Europeu Aberto 2023,9
Elliott-Shircore STEFAN,260,ilca 7,16.0,0,OURO,2,,109.0,67.0,EurILCA Campeonato Europeu Sub 21 e Troféu Europeu Aberto 2023,10
Giacomoni PIETRO,260,ilca 7,7.0,0,GERAL,3,,101.0,71.0,EurILCA Campeonato Europeu Sub 21 e Troféu Europeu Aberto 2023,1
Giacomoni PIETRO,260,ilca 7,9.0,0,GERAL,3,,101.0,71.0,EurILCA Campeonato Europeu Sub 21 e Troféu Europeu Aberto 2023,2
Giacomoni PIETRO,260,ilca 7,3.0,0,GERAL,3,,101.0,71.0,EurILCA Campeonato Europeu Sub 21 e Troféu Europeu Aberto 2023,3
Giacomoni PIETRO,260,ilca 7,30.0,1,GERAL,3,,101.0,71.0,EurILCA Campeonato Europeu Sub 21 e Troféu Europeu Aberto 2023,4
Giacomoni PIETRO,260,ilca 7,8.0,0,GERAL,3,,101.0,71.0,EurILCA Campeonato Europeu Sub 21 e Troféu Europeu Aberto 2023,5
Giacomoni PIETRO,260,ilca 7,2.0,0,GERAL,3,,101.0,71.0,EurILCA Campeonato Europeu Sub 21 e Troféu Europeu Aberto 2023,6
Giacomoni PIETRO,260,ilca 7,13.0,0,OURO,3,,101.0,71.0,EurILCA Campeonato Europeu Sub 21 e Troféu Europeu Aberto 2023,7
Giacomoni PIETRO,260,ilca 7,22.0,0,OURO,3,,101.0,71.0,EurILCA Campeonato Europeu Sub 21 e Troféu Europeu Aberto 2023,8
Giacomoni PIETRO,260,ilca 7,3.0,0,OURO,3,,101.0,71.0,EurILCA Campeonato Europeu Sub 21 e Troféu Europeu Aberto 2023,9
Giacomoni PIETRO,260,ilca 7,4.0,0,OURO,3,,101.0,71.0,EurILCA Campeonato Europeu Sub 21 e Troféu Europeu Aberto 2023,10
Tanferna ENRICO,260,ilca 7,3.0,0,GERAL,4,,98.0,75.0,EurILCA Campeonato Europeu Sub 21 e Troféu Europeu Aberto 2023,1
Tanferna ENRICO,260,ilca 7,12.0,0,GERAL,4,,98.0,75.0,EurILCA Campeonato Europeu Sub 21 e Troféu Europeu Aberto 2023,2
Tanferna ENRICO,260,ilca 7,1.0,0,GERAL,4,,98.0,75.0,EurILCA Campeonato Europeu Sub 21 e Troféu Europeu Aberto 2023,3
Tanferna ENRICO,260,ilca 7,2.0,0,GERAL,4,,98.0,75.0,EurILCA Campeonato Europeu Sub 21 e Troféu Europeu Aberto 2023,4
Tanferna ENRICO,260,ilca 7,19.0,0,GERAL,4,,98.0,75.0,EurILCA Campeonato Europeu Sub 21 e Troféu Europeu Aberto 2023,5
Tanferna ENRICO,260,ilca 7,4.0,0,GERAL,4,,98.0,75.0,EurILCA Campeonato Europeu Sub 21 e Troféu Europeu Aberto 2023,6
Tanferna ENRICO,260,ilca 7,23.0,1,OURO,4,,98.0,75.0,EurILCA Campeonato Europeu Sub 21 e Troféu Europeu Aberto 2023,7
Tanferna ENRICO,260,ilca 7,9.0,0,OURO,4,,98.0,75.0,EurILCA Campeonato Europeu Sub 21 e Troféu Europeu Aberto 2023,8
Tanferna ENRICO,260,ilca 7,18.0,0,OURO,4,,98.0,75.0,EurILCA Campeonato Europeu Sub 21 e Troféu Europeu Aberto 2023,9
Tanferna ENRICO,260,ilca 7,7.0,0,OURO,4,,98.0,75.0,EurILCA Campeonato Europeu Sub 21 e Troféu Europeu Aberto 2023,10
Madonich OSKAR,260,ilca 7,9.0,0,GERAL,5,,159.0,89.0,EurILCA Campeonato Europeu Sub 21 e Troféu Europeu Aberto 2023,1
Madonich OSKAR,260,ilca 7,8.0,0,GERAL,5,,159.0,89.0,EurILCA Campeonato Europeu Sub 21 e Troféu Europeu Aberto 2023,2
Madonich OSKAR,260,ilca 7,9.0,0,GERAL,5,,159.0,89.0,EurILCA Campeonato Europeu Sub 21 e Troféu Europeu Aberto 2023,3
Madonich OSKAR,260,ilca 7,21.0,0,GERAL,5,,159.0,89.0,EurILCA Campeonato Europeu Sub 21 e Troféu Europeu Aberto 2023,4
Madonich OSKAR,260,ilca 7,3.0,0,GERAL,5,,159.0,89.0,EurILCA Campeonato Europeu Sub 21 e Troféu Europeu Aberto 2023,5
