Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Descarte,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
Jena Mai HANSENKatja SALSKOV-IVERSEN,,49erFX,4.0,0,GERAL,1,,126.0,84.0,European Championship 2016,1
Jena Mai HANSENKatja SALSKOV-IVERSEN,,49erFX,7.0,0,GERAL,1,,126.0,84.0,European Championship 2016,2
Jena Mai HANSENKatja SALSKOV-IVERSEN,,49erFX,4.0,0,GERAL,1,,126.0,84.0,European Championship 2016,3
Jena Mai HANSENKatja SALSKOV-IVERSEN,,49erFX,11.0,1,GERAL,1,,126.0,84.0,European Championship 2016,4
Jena Mai HANSENKatja SALSKOV-IVERSEN,,49erFX,5.0,0,GERAL,1,,126.0,84.0,European Championship 2016,5
Jena Mai HANSENKatja SALSKOV-IVERSEN,,49erFX,8.0,0,GERAL,1,,126.0,84.0,European Championship 2016,6
Jena Mai HANSENKatja SALSKOV-IVERSEN,,49erFX,4.0,0,GERAL,1,,126.0,84.0,European Championship 2016,7
Jena Mai HANSENKatja SALSKOV-IVERSEN,,49erFX,1.0,0,GERAL,1,,126.0,84.0,European Championship 2016,8
Jena Mai HANSENKatja SALSKOV-IVERSEN,,49erFX,7.0,0,GERAL,1,,126.0,84.0,European Championship 2016,9
Jena Mai HANSENKatja SALSKOV-IVERSEN,,49erFX,7.0,0,OURO,1,,126.0,84.0,European Championship 2016,10
Jena Mai HANSENKatja SALSKOV-IVERSEN,,49erFX,2.0,0,OURO,1,,126.0,84.0,European Championship 2016,11
Jena Mai HANSENKatja SALSKOV-IVERSEN,,49erFX,4.0,0,OURO,1,,126.0,84.0,European Championship 2016,12
Jena Mai HANSENKatja SALSKOV-IVERSEN,,49erFX,1.0,0,OURO,1,,126.0,84.0,European Championship 2016,13
Jena Mai HANSENKatja SALSKOV-IVERSEN,,49erFX,31.0,1,OURO,1,,126.0,84.0,European Championship 2016,14
Jena Mai HANSENKatja SALSKOV-IVERSEN,,49erFX,19.0,0,OURO,1,,126.0,84.0,European Championship 2016,15
Jena Mai HANSENKatja SALSKOV-IVERSEN,,49erFX,4.0,0,OURO,1,,126.0,84.0,European Championship 2016,16
Jena Mai HANSENKatja SALSKOV-IVERSEN,,49erFX,2.0,0,OURO,1,,126.0,84.0,European Championship 2016,17
Jena Mai HANSENKatja SALSKOV-IVERSEN,,49erFX,1.0,0,OURO,1,,126.0,84.0,European Championship 2016,18
Jena Mai HANSENKatja SALSKOV-IVERSEN,,49erFX,4.0,0,MEDAL RACE,1,,126.0,84.0,European Championship 2016,19
Giulia CONTIFrancesca CLAPCICH,,49erFX,3.0,0,GERAL,2,,120.0,86.0,European Championship 2016,1
Giulia CONTIFrancesca CLAPCICH,,49erFX,2.0,0,GERAL,2,,120.0,86.0,European Championship 2016,2
Giulia CONTIFrancesca CLAPCICH,,49erFX,2.0,0,GERAL,2,,120.0,86.0,European Championship 2016,3
Giulia CONTIFrancesca CLAPCICH,,49erFX,2.0,0,GERAL,2,,120.0,86.0,European Championship 2016,4
Giulia CONTIFrancesca CLAPCICH,,49erFX,8.0,0,GERAL,2,,120.0,86.0,European Championship 2016,5
Giulia CONTIFrancesca CLAPCICH,,49erFX,6.0,0,GERAL,2,,120.0,86.0,European Championship 2016,6
Giulia CONTIFrancesca CLAPCICH,,49erFX,1.0,0,GERAL,2,,120.0,86.0,European Championship 2016,7
Giulia CONTIFrancesca CLAPCICH,,49erFX,1.0,0,GERAL,2,,120.0,86.0,European Championship 2016,8
Giulia CONTIFrancesca CLAPCICH,,49erFX,9.0,1,GERAL,2,,120.0,86.0,European Championship 2016,9
Giulia CONTIFrancesca CLAPCICH,,49erFX,2.0,0,OURO,2,,120.0,86.0,European Championship 2016,10
Giulia CONTIFrancesca CLAPCICH,,49erFX,6.0,0,OURO,2,,120.0,86.0,European Championship 2016,11
Giulia CONTIFrancesca CLAPCICH,,49erFX,7.0,0,OURO,2,,120.0,86.0,European Championship 2016,12
Giulia CONTIFrancesca CLAPCICH,,49erFX,2.0,0,OURO,2,,120.0,86.0,European Championship 2016,13
Giulia CONTIFrancesca CLAPCICH,,49erFX,25.0,1,OURO,2,,120.0,86.0,European Championship 2016,14
Giulia CONTIFrancesca CLAPCICH,,49erFX,8.0,0,OURO,2,,120.0,86.0,European Championship 2016,15
