Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Descarte,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
Tim FISCHERFabian GRAF,,49er,1.0,0,GERAL,1,,82.0,60.0,European Championship 2020,1
Tim FISCHERFabian GRAF,,49er,9.0,0,GERAL,1,,82.0,60.0,European Championship 2020,2
Tim FISCHERFabian GRAF,,49er,6.0,0,GERAL,1,,82.0,60.0,European Championship 2020,3
Tim FISCHERFabian GRAF,,49er,3.0,0,GERAL,1,,82.0,60.0,European Championship 2020,4
Tim FISCHERFabian GRAF,,49er,10.0,0,GERAL,1,,82.0,60.0,European Championship 2020,5
Tim FISCHERFabian GRAF,,49er,1.0,0,GERAL,1,,82.0,60.0,European Championship 2020,6
Tim FISCHERFabian GRAF,,49er,1.0,0,OURO,1,,82.0,60.0,European Championship 2020,7
Tim FISCHERFabian GRAF,,49er,22.0,1,OURO,1,,82.0,60.0,European Championship 2020,8
Tim FISCHERFabian GRAF,,49er,3.0,0,OURO,1,,82.0,60.0,European Championship 2020,9
Tim FISCHERFabian GRAF,,49er,2.0,0,OURO,1,,82.0,60.0,European Championship 2020,10
Tim FISCHERFabian GRAF,,49er,13.0,0,OURO,1,,82.0,60.0,European Championship 2020,11
Tim FISCHERFabian GRAF,,49er,11.0,0,OURO,1,,82.0,60.0,European Championship 2020,12
Benjamin BILDSTEINDavid HUSSL,,49er,11.0,0,GERAL,2,,75.0,63.0,European Championship 2020,1
Benjamin BILDSTEINDavid HUSSL,,49er,6.0,0,GERAL,2,,75.0,63.0,European Championship 2020,2
Benjamin BILDSTEINDavid HUSSL,,49er,5.0,0,GERAL,2,,75.0,63.0,European Championship 2020,3
Benjamin BILDSTEINDavid HUSSL,,49er,12.0,1,GERAL,2,,75.0,63.0,European Championship 2020,4
Benjamin BILDSTEINDavid HUSSL,,49er,5.0,0,GERAL,2,,75.0,63.0,European Championship 2020,5
Benjamin BILDSTEINDavid HUSSL,,49er,4.0,0,GERAL,2,,75.0,63.0,European Championship 2020,6
