Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Descarte,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
Ruggero TITACaterina BANTI,5,Nacra 17,2.0,0,GERAL,1,,29.0,21.0,European Championship 2022,1
Ruggero TITACaterina BANTI,5,Nacra 17,1.0,0,GERAL,1,,29.0,21.0,European Championship 2022,2
Ruggero TITACaterina BANTI,5,Nacra 17,1.0,0,GERAL,1,,29.0,21.0,European Championship 2022,3
Ruggero TITACaterina BANTI,5,Nacra 17,1.0,0,GERAL,1,,29.0,21.0,European Championship 2022,4
Ruggero TITACaterina BANTI,5,Nacra 17,1.0,0,GERAL,1,,29.0,21.0,European Championship 2022,5
Ruggero TITACaterina BANTI,5,Nacra 17,8.0,1,GERAL,1,,29.0,21.0,European Championship 2022,6
Ruggero TITACaterina BANTI,5,Nacra 17,2.0,0,GERAL,1,,29.0,21.0,European Championship 2022,7
Ruggero TITACaterina BANTI,5,Nacra 17,1.0,0,GERAL,1,,29.0,21.0,European Championship 2022,8
Ruggero TITACaterina BANTI,5,Nacra 17,2.0,0,GERAL,1,,29.0,21.0,European Championship 2022,9
Ruggero TITACaterina BANTI,5,Nacra 17,2.0,0,GERAL,1,,29.0,21.0,European Championship 2022,10
Ruggero TITACaterina BANTI,5,Nacra 17,1.0,0,GERAL,1,,29.0,21.0,European Championship 2022,11
Ruggero TITACaterina BANTI,5,Nacra 17,1.0,0,GERAL,1,,29.0,21.0,European Championship 2022,12
Ruggero TITACaterina BANTI,5,Nacra 17,1.0,0,GERAL,1,,29.0,21.0,European Championship 2022,13
Ruggero TITACaterina BANTI,5,Nacra 17,1.0,0,GERAL,1,,29.0,21.0,European Championship 2022,14
Ruggero TITACaterina BANTI,5,Nacra 17,4.0,0,MEDAL RACE,1,,29.0,21.0,European Championship 2022,15
Micah WILKINSONErica DAWSON,5,Nacra 17,1.0,0,GERAL,2,,103.0,86.0,European Championship 2022,1
Micah WILKINSONErica DAWSON,5,Nacra 17,3.0,0,GERAL,2,,103.0,86.0,European Championship 2022,2
Micah WILKINSONErica DAWSON,5,Nacra 17,17.0,1,GERAL,2,,103.0,86.0,European Championship 2022,3
Micah WILKINSONErica DAWSON,5,Nacra 17,2.0,0,GERAL,2,,103.0,86.0,European Championship 2022,4
Micah WILKINSONErica DAWSON,5,Nacra 17,2.0,0,GERAL,2,,103.0,86.0,European Championship 2022,5
Micah WILKINSONErica DAWSON,5,Nacra 17,12.0,0,GERAL,2,,103.0,86.0,European Championship 2022,6
Micah WILKINSONErica DAWSON,5,Nacra 17,6.0,0,GERAL,2,,103.0,86.0,European Championship 2022,7
Micah WILKINSONErica DAWSON,5,Nacra 17,9.0,0,GERAL,2,,103.0,86.0,European Championship 2022,8
Micah WILKINSONErica DAWSON,5,Nacra 17,4.0,0,GERAL,2,,103.0,86.0,European Championship 2022,9
Micah WILKINSONErica DAWSON,5,Nacra 17,4.0,0,GERAL,2,,103.0,86.0,European Championship 2022,10
Micah WILKINSONErica DAWSON,5,Nacra 17,6.0,0,GERAL,2,,103.0,86.0,European Championship 2022,11
Micah WILKINSONErica DAWSON,5,Nacra 17,8.0,0,GERAL,2,,103.0,86.0,European Championship 2022,12
Micah WILKINSONErica DAWSON,5,Nacra 17,11.0,0,GERAL,2,,103.0,86.0,European Championship 2022,13
Micah WILKINSONErica DAWSON,5,Nacra 17,10.0,0,GERAL,2,,103.0,86.0,European Championship 2022,14
Micah WILKINSONErica DAWSON,5,Nacra 17,8.0,0,MEDAL RACE,2,,103.0,86.0,European Championship 2022,15
Sinem KURTBAYAkseli KESKINEN,5,Nacra 17,11.0,0,GERAL,3,,110.0,93.0,European Championship 2022,1
Sinem KURTBAYAkseli KESKINEN,5,Nacra 17,17.0,1,GERAL,3,,110.0,93.0,European Championship 2022,2
Sinem KURTBAYAkseli KESKINEN,5,Nacra 17,6.0,0,GERAL,3,,110.0,93.0,European Championship 2022,3
Sinem KURTBAYAkseli KESKINEN,5,Nacra 17,4.0,0,GERAL,3,,110.0,93.0,European Championship 2022,4
Sinem KURTBAYAkseli KESKINEN,5,Nacra 17,5.0,0,GERAL,3,,110.0,93.0,European Championship 2022,5
Sinem KURTBAYAkseli KESKINEN,5,Nacra 17,17.0,0,GERAL,3,,110.0,93.0,European Championship 2022,6
Sinem KURTBAYAkseli KESKINEN,5,Nacra 17,12.0,0,GERAL,3,,110.0,93.0,European Championship 2022,7
Sinem KURTBAYAkseli KESKINEN,5,Nacra 17,3.0,0,GERAL,3,,110.0,93.0,European Championship 2022,8
Sinem KURTBAYAkseli KESKINEN,5,Nacra 17,8.0,0,GERAL,3,,110.0,93.0,European Championship 2022,9
Sinem KURTBAYAkseli KESKINEN,5,Nacra 17,3.0,0,GERAL,3,,110.0,93.0,European Championship 2022,10
Sinem KURTBAYAkseli KESKINEN,5,Nacra 17,3.0,0,GERAL,3,,110.0,93.0,European Championship 2022,11
Sinem KURTBAYAkseli KESKINEN,5,Nacra 17,5.0,0,GERAL,3,,110.0,93.0,European Championship 2022,12
Sinem KURTBAYAkseli KESKINEN,5,Nacra 17,4.0,0,GERAL,3,,110.0,93.0,European Championship 2022,13
Sinem KURTBAYAkseli KESKINEN,5,Nacra 17,6.0,0,GERAL,3,,110.0,93.0,European Championship 2022,14
Sinem KURTBAYAkseli KESKINEN,5,Nacra 17,6.0,0,MEDAL RACE,3,,110.0,93.0,European Championship 2022,15
Gianluigi UGOLINIMaria GIUBILEI,5,Nacra 17,10.0,0,GERAL,4,,108.0,96.0,European Championship 2022,1
Gianluigi UGOLINIMaria GIUBILEI,5,Nacra 17,6.0,0,GERAL,4,,108.0,96.0,European Championship 2022,2
Gianluigi UGOLINIMaria GIUBILEI,5,Nacra 17,5.0,0,GERAL,4,,108.0,96.0,European Championship 2022,3
Gianluigi UGOLINIMaria GIUBILEI,5,Nacra 17,8.0,0,GERAL,4,,108.0,96.0,European Championship 2022,4
Gianluigi UGOLINIMaria GIUBILEI,5,Nacra 17,10.0,0,GERAL,4,,108.0,96.0,European Championship 2022,5
Gianluigi UGOLINIMaria GIUBILEI,5,Nacra 17,5.0,0,GERAL,4,,108.0,96.0,European Championship 2022,6
Gianluigi UGOLINIMaria GIUBILEI,5,Nacra 17,11.0,0,GERAL,4,,108.0,96.0,European Championship 2022,7
Gianluigi UGOLINIMaria GIUBILEI,5,Nacra 17,2.0,0,GERAL,4,,108.0,96.0,European Championship 2022,8
Gianluigi UGOLINIMaria GIUBILEI,5,Nacra 17,9.0,0,GERAL,4,,108.0,96.0,European Championship 2022,9
Gianluigi UGOLINIMaria GIUBILEI,5,Nacra 17,1.0,0,GERAL,4,,108.0,96.0,European Championship 2022,10
Gianluigi UGOLINIMaria GIUBILEI,5,Nacra 17,4.0,0,GERAL,4,,108.0,96.0,European Championship 2022,11
Gianluigi UGOLINIMaria GIUBILEI,5,Nacra 17,4.0,0,GERAL,4,,108.0,96.0,European Championship 2022,12
Gianluigi UGOLINIMaria GIUBILEI,5,Nacra 17,12.0,1,GERAL,4,,108.0,96.0,European Championship 2022,13
Gianluigi UGOLINIMaria GIUBILEI,5,Nacra 17,11.0,0,GERAL,4,,108.0,96.0,European Championship 2022,14
Gianluigi UGOLINIMaria GIUBILEI,5,Nacra 17,10.0,0,MEDAL RACE,4,,108.0,96.0,European Championship 2022,15
Vittorio BISSAROMaelle FRASCARI,5,Nacra 17,9.0,0,GERAL,5,,116.0,100.0,European Championship 2022,1
Vittorio BISSAROMaelle FRASCARI,5,Nacra 17,11.0,0,GERAL,5,,116.0,100.0,European Championship 2022,2
Vittorio BISSAROMaelle FRASCARI,5,Nacra 17,12.0,0,GERAL,5,,116.0,100.0,European Championship 2022,3
Vittorio BISSAROMaelle FRASCARI,5,Nacra 17,12.0,0,GERAL,5,,116.0,100.0,European Championship 2022,4
Vittorio BISSAROMaelle FRASCARI,5,Nacra 17,13.0,0,GERAL,5,,116.0,100.0,European Championship 2022,5
Vittorio BISSAROMaelle FRASCARI,5,Nacra 17,1.0,0,GERAL,5,,116.0,100.0,European Championship 2022,6
Vittorio BISSAROMaelle FRASCARI,5,Nacra 17,8.0,0,GERAL,5,,116.0,100.0,European Championship 2022,7
Vittorio BISSAROMaelle FRASCARI,5,Nacra 17,15.0,0,GERAL,5,,116.0,100.0,European Championship 2022,8
Vittorio BISSAROMaelle FRASCARI,5,Nacra 17,3.0,0,GERAL,5,,116.0,100.0,European Championship 2022,9
Vittorio BISSAROMaelle FRASCARI,5,Nacra 17,5.0,0,GERAL,5,,116.0,100.0,European Championship 2022,10
Vittorio BISSAROMaelle FRASCARI,5,Nacra 17,5.0,0,GERAL,5,,116.0,100.0,European Championship 2022,11
Vittorio BISSAROMaelle FRASCARI,5,Nacra 17,2.0,0,GERAL,5,,116.0,100.0,European Championship 2022,12
Vittorio BISSAROMaelle FRASCARI,5,Nacra 17,2.0,0,GERAL,5,,116.0,100.0,European Championship 2022,13
Vittorio BISSAROMaelle FRASCARI,5,Nacra 17,16.0,1,GERAL,5,,116.0,100.0,European Championship 2022,14
Vittorio BISSAROMaelle FRASCARI,5,Nacra 17,2.0,0,MEDAL RACE,5,,116.0,100.0,European Championship 2022,15
John GIMSONAnna BURNET,5,Nacra 17,5.0,0,GERAL,6,,118.0,101.0,European Championship 2022,1
John GIMSONAnna BURNET,5,Nacra 17,9.0,0,GERAL,6,,118.0,101.0,European Championship 2022,2
John GIMSONAnna BURNET,5,Nacra 17,4.0,0,GERAL,6,,118.0,101.0,European Championship 2022,3
John GIMSONAnna BURNET,5,Nacra 17,10.0,0,GERAL,6,,118.0,101.0,European Championship 2022,4
John GIMSONAnna BURNET,5,Nacra 17,3.0,0,GERAL,6,,118.0,101.0,European Championship 2022,5
John GIMSONAnna BURNET,5,Nacra 17,10.0,0,GERAL,6,,118.0,101.0,European Championship 2022,6
John GIMSONAnna BURNET,5,Nacra 17,3.0,0,GERAL,6,,118.0,101.0,European Championship 2022,7
John GIMSONAnna BURNET,5,Nacra 17,5.0,0,GERAL,6,,118.0,101.0,European Championship 2022,8
John GIMSONAnna BURNET,5,Nacra 17,17.0,1,GERAL,6,,118.0,101.0,European Championship 2022,9
John GIMSONAnna BURNET,5,Nacra 17,7.0,0,GERAL,6,,118.0,101.0,European Championship 2022,10
John GIMSONAnna BURNET,5,Nacra 17,9.0,0,GERAL,6,,118.0,101.0,European Championship 2022,11
John GIMSONAnna BURNET,5,Nacra 17,16.0,0,GERAL,6,,118.0,101.0,European Championship 2022,12
John GIMSONAnna BURNET,5,Nacra 17,5.0,0,GERAL,6,,118.0,101.0,European Championship 2022,13
John GIMSONAnna BURNET,5,Nacra 17,3.0,0,GERAL,6,,118.0,101.0,European Championship 2022,14
John GIMSONAnna BURNET,5,Nacra 17,12.0,0,MEDAL RACE,6,,118.0,101.0,European Championship 2022,15
Paul KOHLHOFFAlica STUHLEMMER,5,Nacra 17,7.0,0,GERAL,7,,119.0,101.0,European Championship 2022,1
Paul KOHLHOFFAlica STUHLEMMER,5,Nacra 17,10.0,0,GERAL,7,,119.0,101.0,European Championship 2022,2
Paul KOHLHOFFAlica STUHLEMMER,5,Nacra 17,9.0,0,GERAL,7,,119.0,101.0,European Championship 2022,3
Paul KOHLHOFFAlica STUHLEMMER,5,Nacra 17,5.0,0,GERAL,7,,119.0,101.0,European Championship 2022,4
Paul KOHLHOFFAlica STUHLEMMER,5,Nacra 17,9.0,0,GERAL,7,,119.0,101.0,European Championship 2022,5
Paul KOHLHOFFAlica STUHLEMMER,5,Nacra 17,2.0,0,GERAL,7,,119.0,101.0,European Championship 2022,6
Paul KOHLHOFFAlica STUHLEMMER,5,Nacra 17,1.0,0,GERAL,7,,119.0,101.0,European Championship 2022,7
Paul KOHLHOFFAlica STUHLEMMER,5,Nacra 17,6.0,0,GERAL,7,,119.0,101.0,European Championship 2022,8
Paul KOHLHOFFAlica STUHLEMMER,5,Nacra 17,7.0,0,GERAL,7,,119.0,101.0,European Championship 2022,9
Paul KOHLHOFFAlica STUHLEMMER,5,Nacra 17,6.0,0,GERAL,7,,119.0,101.0,European Championship 2022,10
Paul KOHLHOFFAlica STUHLEMMER,5,Nacra 17,2.0,0,GERAL,7,,119.0,101.0,European Championship 2022,11
Paul KOHLHOFFAlica STUHLEMMER,5,Nacra 17,6.0,0,GERAL,7,,119.0,101.0,European Championship 2022,12
