Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Descarte,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
Max STIFF,,ilca 6,21.0,1,GERAL,1,,62.0,41.0,IDJM 2023,1
Max STIFF,,ilca 6,6.0,0,GERAL,1,,62.0,41.0,IDJM 2023,2
Max STIFF,,ilca 6,4.0,0,GERAL,1,,62.0,41.0,IDJM 2023,3
Max STIFF,,ilca 6,10.0,0,GERAL,1,,62.0,41.0,IDJM 2023,4
Max STIFF,,ilca 6,1.0,0,GERAL,1,,62.0,41.0,IDJM 2023,5
Max STIFF,,ilca 6,6.0,0,GERAL,1,,62.0,41.0,IDJM 2023,6
Max STIFF,,ilca 6,1.0,0,GERAL,1,,62.0,41.0,IDJM 2023,7
Max STIFF,,ilca 6,7.0,0,GERAL,1,,62.0,41.0,IDJM 2023,8
Max STIFF,,ilca 6,6.0,0,GERAL,1,,62.0,41.0,IDJM 2023,9
Victor HENSEL,,ilca 6,22.0,1,GERAL,2,,102.0,80.0,IDJM 2023,1
Victor HENSEL,,ilca 6,2.0,0,GERAL,2,,102.0,80.0,IDJM 2023,2
Victor HENSEL,,ilca 6,3.0,0,GERAL,2,,102.0,80.0,IDJM 2023,3
Victor HENSEL,,ilca 6,18.0,0,GERAL,2,,102.0,80.0,IDJM 2023,4
Victor HENSEL,,ilca 6,20.0,0,GERAL,2,,102.0,80.0,IDJM 2023,5
Victor HENSEL,,ilca 6,5.0,0,GERAL,2,,102.0,80.0,IDJM 2023,6
Victor HENSEL,,ilca 6,16.0,0,GERAL,2,,102.0,80.0,IDJM 2023,7
Victor HENSEL,,ilca 6,6.0,0,GERAL,2,,102.0,80.0,IDJM 2023,8
Victor HENSEL,,ilca 6,10.0,0,GERAL,2,,102.0,80.0,IDJM 2023,9
Morten Ben BORCHARDT,,ilca 6,43.0,1,GERAL,3,,124.0,81.0,IDJM 2023,1
Morten Ben BORCHARDT,,ilca 6,12.0,0,GERAL,3,,124.0,81.0,IDJM 2023,2
Morten Ben BORCHARDT,,ilca 6,2.0,0,GERAL,3,,124.0,81.0,IDJM 2023,3
Morten Ben BORCHARDT,,ilca 6,1.0,0,GERAL,3,,124.0,81.0,IDJM 2023,4
Morten Ben BORCHARDT,,ilca 6,10.0,0,GERAL,3,,124.0,81.0,IDJM 2023,5
Morten Ben BORCHARDT,,ilca 6,8.0,0,GERAL,3,,124.0,81.0,IDJM 2023,6
Morten Ben BORCHARDT,,ilca 6,20.0,0,GERAL,3,,124.0,81.0,IDJM 2023,7
Morten Ben BORCHARDT,,ilca 6,15.0,0,GERAL,3,,124.0,81.0,IDJM 2023,8
Morten Ben BORCHARDT,,ilca 6,13.0,0,GERAL,3,,124.0,81.0,IDJM 2023,9
Jesse Mo METT,,ilca 6,52.0,1,GERAL,4,,144.0,92.0,IDJM 2023,1
Jesse Mo METT,,ilca 6,4.0,0,GERAL,4,,144.0,92.0,IDJM 2023,2
Jesse Mo METT,,ilca 6,16.0,0,GERAL,4,,144.0,92.0,IDJM 2023,3
Jesse Mo METT,,ilca 6,8.0,0,GERAL,4,,144.0,92.0,IDJM 2023,4
Jesse Mo METT,,ilca 6,13.0,0,GERAL,4,,144.0,92.0,IDJM 2023,5
Jesse Mo METT,,ilca 6,2.0,0,GERAL,4,,144.0,92.0,IDJM 2023,6
Jesse Mo METT,,ilca 6,19.0,0,GERAL,4,,144.0,92.0,IDJM 2023,7
Jesse Mo METT,,ilca 6,26.0,0,GERAL,4,,144.0,92.0,IDJM 2023,8
Jesse Mo METT,,ilca 6,4.0,0,GERAL,4,,144.0,92.0,IDJM 2023,9
Line-Anneliek PÄHLER,,ilca 6,24.0,0,GERAL,5,,123.0,94.0,IDJM 2023,1
Line-Anneliek PÄHLER,,ilca 6,3.0,0,GERAL,5,,123.0,94.0,IDJM 2023,2
Line-Anneliek PÄHLER,,ilca 6,29.0,1,GERAL,5,,123.0,94.0,IDJM 2023,3
Line-Anneliek PÄHLER,,ilca 6,2.0,0,GERAL,5,,123.0,94.0,IDJM 2023,4
Line-Anneliek PÄHLER,,ilca 6,27.0,0,GERAL,5,,123.0,94.0,IDJM 2023,5
Line-Anneliek PÄHLER,,ilca 6,11.0,0,GERAL,5,,123.0,94.0,IDJM 2023,6
Line-Anneliek PÄHLER,,ilca 6,7.0,0,GERAL,5,,123.0,94.0,IDJM 2023,7
Line-Anneliek PÄHLER,,ilca 6,4.0,0,GERAL,5,,123.0,94.0,IDJM 2023,8
Line-Anneliek PÄHLER,,ilca 6,16.0,0,GERAL,5,,123.0,94.0,IDJM 2023,9
Ricardo GIEßLER,,ilca 6,7.0,0,GERAL,6,,134.0,94.0,IDJM 2023,1
Ricardo GIEßLER,,ilca 6,40.0,1,GERAL,6,,134.0,94.0,IDJM 2023,2
Ricardo GIEßLER,,ilca 6,9.0,0,GERAL,6,,134.0,94.0,IDJM 2023,3
Ricardo GIEßLER,,ilca 6,12.0,0,GERAL,6,,134.0,94.0,IDJM 2023,4
Ricardo GIEßLER,,ilca 6,12.0,0,GERAL,6,,134.0,94.0,IDJM 2023,5
Ricardo GIEßLER,,ilca 6,21.0,0,GERAL,6,,134.0,94.0,IDJM 2023,6
Ricardo GIEßLER,,ilca 6,6.0,0,GERAL,6,,134.0,94.0,IDJM 2023,7
Ricardo GIEßLER,,ilca 6,9.0,0,GERAL,6,,134.0,94.0,IDJM 2023,8
Ricardo GIEßLER,,ilca 6,18.0,0,GERAL,6,,134.0,94.0,IDJM 2023,9
Franz LASCH,,ilca 6,27.0,0,GERAL,7,,137.0,100.0,IDJM 2023,1
Franz LASCH,,ilca 6,16.0,0,GERAL,7,,137.0,100.0,IDJM 2023,2
Franz LASCH,,ilca 6,15.0,0,GERAL,7,,137.0,100.0,IDJM 2023,3
Franz LASCH,,ilca 6,14.0,0,GERAL,7,,137.0,100.0,IDJM 2023,4
Franz LASCH,,ilca 6,37.0,1,GERAL,7,,137.0,100.0,IDJM 2023,5
Franz LASCH,,ilca 6,20.0,0,GERAL,7,,137.0,100.0,IDJM 2023,6
Franz LASCH,,ilca 6,2.0,0,GERAL,7,,137.0,100.0,IDJM 2023,7
Franz LASCH,,ilca 6,1.0,0,GERAL,7,,137.0,100.0,IDJM 2023,8
Franz LASCH,,ilca 6,5.0,0,GERAL,7,,137.0,100.0,IDJM 2023,9
Tom STRUVE,,ilca 6,9.0,0,GERAL,8,,134.0,106.0,IDJM 2023,1
Tom STRUVE,,ilca 6,5.0,0,GERAL,8,,134.0,106.0,IDJM 2023,2
Tom STRUVE,,ilca 6,12.0,0,GERAL,8,,134.0,106.0,IDJM 2023,3
Tom STRUVE,,ilca 6,16.0,0,GERAL,8,,134.0,106.0,IDJM 2023,4
Tom STRUVE,,ilca 6,5.0,0,GERAL,8,,134.0,106.0,IDJM 2023,5
Tom STRUVE,,ilca 6,28.0,1,GERAL,8,,134.0,106.0,IDJM 2023,6
Tom STRUVE,,ilca 6,8.0,0,GERAL,8,,134.0,106.0,IDJM 2023,7
Tom STRUVE,,ilca 6,23.0,0,GERAL,8,,134.0,106.0,IDJM 2023,8
Tom STRUVE,,ilca 6,28.0,0,GERAL,8,,134.0,106.0,IDJM 2023,9
Niclas PERBAND,,ilca 6,46.0,1,GERAL,9,,154.0,108.0,IDJM 2023,1
Niclas PERBAND,,ilca 6,27.0,0,GERAL,9,,154.0,108.0,IDJM 2023,2
Niclas PERBAND,,ilca 6,5.0,0,GERAL,9,,154.0,108.0,IDJM 2023,3
Niclas PERBAND,,ilca 6,4.0,0,GERAL,9,,154.0,108.0,IDJM 2023,4
Niclas PERBAND,,ilca 6,2.0,0,GERAL,9,,154.0,108.0,IDJM 2023,5
Niclas PERBAND,,ilca 6,24.0,0,GERAL,9,,154.0,108.0,IDJM 2023,6
