Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Descarte,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
Wannes van LAER,249,ilca 7,1.0,1,GERAL,1,,5.0,4.0,ILCA Nacional 1 ZC Hofstade 2023,1
Wannes van LAER,249,ilca 7,1.0,0,GERAL,1,,5.0,4.0,ILCA Nacional 1 ZC Hofstade 2023,2
Wannes van LAER,249,ilca 7,1.0,0,GERAL,1,,5.0,4.0,ILCA Nacional 1 ZC Hofstade 2023,3
Wannes van LAER,249,ilca 7,1.0,0,GERAL,1,,5.0,4.0,ILCA Nacional 1 ZC Hofstade 2023,4
Wannes van LAER,249,ilca 7,1.0,0,GERAL,1,,5.0,4.0,ILCA Nacional 1 ZC Hofstade 2023,5
Michel MAJON,249,ilca 7,2.0,0,GERAL,2,,15.0,11.0,ILCA Nacional 1 ZC Hofstade 2023,1
Michel MAJON,249,ilca 7,2.0,0,GERAL,2,,15.0,11.0,ILCA Nacional 1 ZC Hofstade 2023,2
Michel MAJON,249,ilca 7,3.0,0,GERAL,2,,15.0,11.0,ILCA Nacional 1 ZC Hofstade 2023,3
Michel MAJON,249,ilca 7,4.0,1,GERAL,2,,15.0,11.0,ILCA Nacional 1 ZC Hofstade 2023,4
Michel MAJON,249,ilca 7,4.0,0,GERAL,2,,15.0,11.0,ILCA Nacional 1 ZC Hofstade 2023,5
Nicolas DUMONCEAU,249,ilca 7,7.0,1,GERAL,3,,19.0,12.0,ILCA Nacional 1 ZC Hofstade 2023,1
Nicolas DUMONCEAU,249,ilca 7,3.0,0,GERAL,3,,19.0,12.0,ILCA Nacional 1 ZC Hofstade 2023,2
Nicolas DUMONCEAU,249,ilca 7,2.0,0,GERAL,3,,19.0,12.0,ILCA Nacional 1 ZC Hofstade 2023,3
Nicolas DUMONCEAU,249,ilca 7,2.0,0,GERAL,3,,19.0,12.0,ILCA Nacional 1 ZC Hofstade 2023,4
Nicolas DUMONCEAU,249,ilca 7,5.0,0,GERAL,3,,19.0,12.0,ILCA Nacional 1 ZC Hofstade 2023,5
Pieter van LAER,249,ilca 7,4.0,0,GERAL,4,,20.0,14.0,ILCA Nacional 1 ZC Hofstade 2023,1
Pieter van LAER,249,ilca 7,5.0,0,GERAL,4,,20.0,14.0,ILCA Nacional 1 ZC Hofstade 2023,2
Pieter van LAER,249,ilca 7,6.0,1,GERAL,4,,20.0,14.0,ILCA Nacional 1 ZC Hofstade 2023,3
Pieter van LAER,249,ilca 7,3.0,0,GERAL,4,,20.0,14.0,ILCA Nacional 1 ZC Hofstade 2023,4
Pieter van LAER,249,ilca 7,2.0,0,GERAL,4,,20.0,14.0,ILCA Nacional 1 ZC Hofstade 2023,5
Eric BONHOMME,249,ilca 7,3.0,0,GERAL,5,,19.0,14.0,ILCA Nacional 1 ZC Hofstade 2023,1
Eric BONHOMME,249,ilca 7,4.0,0,GERAL,5,,19.0,14.0,ILCA Nacional 1 ZC Hofstade 2023,2
Eric BONHOMME,249,ilca 7,4.0,0,GERAL,5,,19.0,14.0,ILCA Nacional 1 ZC Hofstade 2023,3
Eric BONHOMME,249,ilca 7,5.0,1,GERAL,5,,19.0,14.0,ILCA Nacional 1 ZC Hofstade 2023,4
Eric BONHOMME,249,ilca 7,3.0,0,GERAL,5,,19.0,14.0,ILCA Nacional 1 ZC Hofstade 2023,5
Janez PERKO,249,ilca 7,8.0,0,GERAL,6,,35.0,26.0,ILCA Nacional 1 ZC Hofstade 2023,1
Janez PERKO,249,ilca 7,6.0,0,GERAL,6,,35.0,26.0,ILCA Nacional 1 ZC Hofstade 2023,2
