Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Descarte,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
Alina SHAPOVALOVA,,ilca 6,1.0,0,GERAL,1,,5.0,5.0,ILCA Punktemeisterschaft 2023,1
Alina SHAPOVALOVA,,ilca 6,3.0,0,GERAL,1,,5.0,5.0,ILCA Punktemeisterschaft 2023,2
Alina SHAPOVALOVA,,ilca 6,1.0,0,GERAL,1,,5.0,5.0,ILCA Punktemeisterschaft 2023,3
Lenny ZÜGER,,ilca 6,2.0,0,GERAL,2,,5.0,5.0,ILCA Punktemeisterschaft 2023,1
Lenny ZÜGER,,ilca 6,1.0,0,GERAL,2,,5.0,5.0,ILCA Punktemeisterschaft 2023,2
Lenny ZÜGER,,ilca 6,2.0,0,GERAL,2,,5.0,5.0,ILCA Punktemeisterschaft 2023,3
Matthew CHASSOT,,ilca 6,3.0,0,GERAL,3,,8.0,8.0,ILCA Punktemeisterschaft 2023,1
Matthew CHASSOT,,ilca 6,2.0,0,GERAL,3,,8.0,8.0,ILCA Punktemeisterschaft 2023,2
Matthew CHASSOT,,ilca 6,3.0,0,GERAL,3,,8.0,8.0,ILCA Punktemeisterschaft 2023,3
Thomas VEZ,,ilca 6,4.0,0,GERAL,4,,12.0,12.0,ILCA Punktemeisterschaft 2023,1
Thomas VEZ,,ilca 6,4.0,0,GERAL,4,,12.0,12.0,ILCA Punktemeisterschaft 2023,2
Thomas VEZ,,ilca 6,4.0,0,GERAL,4,,12.0,12.0,ILCA Punktemeisterschaft 2023,3
Shana BURGER,,ilca 6,12.0,0,GERAL,5,,22.0,22.0,ILCA Punktemeisterschaft 2023,1
Shana BURGER,,ilca 6,5.0,0,GERAL,5,,22.0,22.0,ILCA Punktemeisterschaft 2023,2
Shana BURGER,,ilca 6,5.0,0,GERAL,5,,22.0,22.0,ILCA Punktemeisterschaft 2023,3
Jonas BARRAUD,,ilca 6,10.0,0,GERAL,6,,23.0,23.0,ILCA Punktemeisterschaft 2023,1
Jonas BARRAUD,,ilca 6,6.0,0,GERAL,6,,23.0,23.0,ILCA Punktemeisterschaft 2023,2
Jonas BARRAUD,,ilca 6,7.0,0,GERAL,6,,23.0,23.0,ILCA Punktemeisterschaft 2023,3
Remo STEINMANN,,ilca 6,9.0,0,GERAL,7,,26.0,26.0,ILCA Punktemeisterschaft 2023,1
Remo STEINMANN,,ilca 6,11.0,0,GERAL,7,,26.0,26.0,ILCA Punktemeisterschaft 2023,2
Remo STEINMANN,,ilca 6,6.0,0,GERAL,7,,26.0,26.0,ILCA Punktemeisterschaft 2023,3
Thomas THYM,,ilca 6,7.0,0,GERAL,8,,28.0,28.0,ILCA Punktemeisterschaft 2023,1
Thomas THYM,,ilca 6,12.0,0,GERAL,8,,28.0,28.0,ILCA Punktemeisterschaft 2023,2
Thomas THYM,,ilca 6,9.0,0,GERAL,8,,28.0,28.0,ILCA Punktemeisterschaft 2023,3
Joseph JAECKY,,ilca 6,8.0,0,GERAL,9,,29.0,29.0,ILCA Punktemeisterschaft 2023,1
Joseph JAECKY,,ilca 6,13.0,0,GERAL,9,,29.0,29.0,ILCA Punktemeisterschaft 2023,2
Joseph JAECKY,,ilca 6,8.0,0,GERAL,9,,29.0,29.0,ILCA Punktemeisterschaft 2023,3
Jakob MALCHOW,,ilca 6,5.0,0,GERAL,10,,30.0,30.0,ILCA Punktemeisterschaft 2023,1
Jakob MALCHOW,,ilca 6,14.0,0,GERAL,10,,30.0,30.0,ILCA Punktemeisterschaft 2023,2
Jakob MALCHOW,,ilca 6,11.0,0,GERAL,10,,30.0,30.0,ILCA Punktemeisterschaft 2023,3
Rebecca COOK,,ilca 6,6.0,0,GERAL,11,,31.0,31.0,ILCA Punktemeisterschaft 2023,1
Rebecca COOK,,ilca 6,15.0,0,GERAL,11,,31.0,31.0,ILCA Punktemeisterschaft 2023,2
Rebecca COOK,,ilca 6,10.0,0,GERAL,11,,31.0,31.0,ILCA Punktemeisterschaft 2023,3
Joseph RICHARDSON,,ilca 6,13.0,0,GERAL,12,,34.0,34.0,ILCA Punktemeisterschaft 2023,1
Joseph RICHARDSON,,ilca 6,7.0,0,GERAL,12,,34.0,34.0,ILCA Punktemeisterschaft 2023,2
Joseph RICHARDSON,,ilca 6,14.0,0,GERAL,12,,34.0,34.0,ILCA Punktemeisterschaft 2023,3
Noah TSCHOPP,,ilca 6,11.0,0,GERAL,13,,34.0,34.0,ILCA Punktemeisterschaft 2023,1
Noah TSCHOPP,,ilca 6,8.0,0,GERAL,13,,34.0,34.0,ILCA Punktemeisterschaft 2023,2
Noah TSCHOPP,,ilca 6,15.0,0,GERAL,13,,34.0,34.0,ILCA Punktemeisterschaft 2023,3
Timoteo FILIPPINI,,ilca 6,16.0,0,GERAL,14,,38.0,38.0,ILCA Punktemeisterschaft 2023,1
Timoteo FILIPPINI,,ilca 6,9.0,0,GERAL,14,,38.0,38.0,ILCA Punktemeisterschaft 2023,2
Timoteo FILIPPINI,,ilca 6,13.0,0,GERAL,14,,38.0,38.0,ILCA Punktemeisterschaft 2023,3
Joanna UTIGER,,ilca 6,14.0,0,GERAL,15,,43.0,43.0,ILCA Punktemeisterschaft 2023,1
Joanna UTIGER,,ilca 6,17.0,0,GERAL,15,,43.0,43.0,ILCA Punktemeisterschaft 2023,2
Joanna UTIGER,,ilca 6,12.0,0,GERAL,15,,43.0,43.0,ILCA Punktemeisterschaft 2023,3
Walter GÄHWILER,,ilca 6,17.0,0,GERAL,16,,44.0,44.0,ILCA Punktemeisterschaft 2023,1
Walter GÄHWILER,,ilca 6,10.0,0,GERAL,16,,44.0,44.0,ILCA Punktemeisterschaft 2023,2
Walter GÄHWILER,,ilca 6,17.0,0,GERAL,16,,44.0,44.0,ILCA Punktemeisterschaft 2023,3
Lucille ANDREY,,ilca 6,15.0,0,GERAL,17,,47.0,47.0,ILCA Punktemeisterschaft 2023,1
Lucille ANDREY,,ilca 6,16.0,0,GERAL,17,,47.0,47.0,ILCA Punktemeisterschaft 2023,2
Lucille ANDREY,,ilca 6,16.0,0,GERAL,17,,47.0,47.0,ILCA Punktemeisterschaft 2023,3
Marie DIETMAIR,,ilca 6,19.0,0,GERAL,18,DNC,57.0,57.0,ILCA Punktemeisterschaft 2023,1
Marie DIETMAIR,,ilca 6,19.0,0,GERAL,18,DNC,57.0,57.0,ILCA Punktemeisterschaft 2023,2
Marie DIETMAIR,,ilca 6,19.0,0,GERAL,18,DNC,57.0,57.0,ILCA Punktemeisterschaft 2023,3
