Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Descarte,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
Eva DEICHMANN,,ilca 6,1.0,0,GERAL,1,,15.0,6.0,ILCA6 2023,1
Eva DEICHMANN,,ilca 6,2.0,0,GERAL,1,,15.0,6.0,ILCA6 2023,2
Eva DEICHMANN,,ilca 6,1.0,0,GERAL,1,,15.0,6.0,ILCA6 2023,3
Eva DEICHMANN,,ilca 6,2.0,0,GERAL,1,,15.0,6.0,ILCA6 2023,4
Eva DEICHMANN,,ilca 6,9.0,1,GERAL,1,,15.0,6.0,ILCA6 2023,5
Philipp van HUSEN,,ilca 6,3.0,0,GERAL,2,,16.0,10.0,ILCA6 2023,1
Philipp van HUSEN,,ilca 6,1.0,0,GERAL,2,,16.0,10.0,ILCA6 2023,2
Philipp van HUSEN,,ilca 6,6.0,1,GERAL,2,,16.0,10.0,ILCA6 2023,3
Philipp van HUSEN,,ilca 6,3.0,0,GERAL,2,,16.0,10.0,ILCA6 2023,4
Philipp van HUSEN,,ilca 6,3.0,0,GERAL,2,,16.0,10.0,ILCA6 2023,5
Jannes LLULL,,ilca 6,10.0,1,GERAL,3,,23.0,13.0,ILCA6 2023,1
Jannes LLULL,,ilca 6,5.0,0,GERAL,3,,23.0,13.0,ILCA6 2023,2
Jannes LLULL,,ilca 6,2.0,0,GERAL,3,,23.0,13.0,ILCA6 2023,3
Jannes LLULL,,ilca 6,5.0,0,GERAL,3,,23.0,13.0,ILCA6 2023,4
Jannes LLULL,,ilca 6,1.0,0,GERAL,3,,23.0,13.0,ILCA6 2023,5
Yolanda GEBEL,,ilca 6,2.0,0,GERAL,4,,27.0,14.0,ILCA6 2023,1
Yolanda GEBEL,,ilca 6,4.0,0,GERAL,4,,27.0,14.0,ILCA6 2023,2
Yolanda GEBEL,,ilca 6,3.0,0,GERAL,4,,27.0,14.0,ILCA6 2023,3
Yolanda GEBEL,,ilca 6,13.0,1,GERAL,4,,27.0,14.0,ILCA6 2023,4
Yolanda GEBEL,,ilca 6,5.0,0,GERAL,4,,27.0,14.0,ILCA6 2023,5
Aleksander KRYSIAK,,ilca 6,12.0,1,GERAL,5,,28.0,16.0,ILCA6 2023,1
Aleksander KRYSIAK,,ilca 6,6.0,0,GERAL,5,,28.0,16.0,ILCA6 2023,2
Aleksander KRYSIAK,,ilca 6,7.0,0,GERAL,5,,28.0,16.0,ILCA6 2023,3
Aleksander KRYSIAK,,ilca 6,1.0,0,GERAL,5,,28.0,16.0,ILCA6 2023,4
Aleksander KRYSIAK,,ilca 6,2.0,0,GERAL,5,,28.0,16.0,ILCA6 2023,5
Marlene BRANDIS,,ilca 6,8.0,0,GERAL,6,,32.0,23.0,ILCA6 2023,1
Marlene BRANDIS,,ilca 6,3.0,0,GERAL,6,,32.0,23.0,ILCA6 2023,2
Marlene BRANDIS,,ilca 6,9.0,1,GERAL,6,,32.0,23.0,ILCA6 2023,3
Marlene BRANDIS,,ilca 6,6.0,0,GERAL,6,,32.0,23.0,ILCA6 2023,4
Marlene BRANDIS,,ilca 6,6.0,0,GERAL,6,,32.0,23.0,ILCA6 2023,5
Armando MORENO,,ilca 6,11.0,0,GERAL,7,,38.0,26.0,ILCA6 2023,1
Armando MORENO,,ilca 6,7.0,0,GERAL,7,,38.0,26.0,ILCA6 2023,2
Armando MORENO,,ilca 6,4.0,0,GERAL,7,,38.0,26.0,ILCA6 2023,3
Armando MORENO,,ilca 6,12.0,1,GERAL,7,,38.0,26.0,ILCA6 2023,4
Armando MORENO,,ilca 6,4.0,0,GERAL,7,,38.0,26.0,ILCA6 2023,5
Lukas FANGMEYER,,ilca 6,7.0,0,GERAL,8,,39.0,30.0,ILCA6 2023,1
Lukas FANGMEYER,,ilca 6,9.0,1,GERAL,8,,39.0,30.0,ILCA6 2023,2
Lukas FANGMEYER,,ilca 6,8.0,0,GERAL,8,,39.0,30.0,ILCA6 2023,3
Lukas FANGMEYER,,ilca 6,8.0,0,GERAL,8,,39.0,30.0,ILCA6 2023,4
Lukas FANGMEYER,,ilca 6,7.0,0,GERAL,8,,39.0,30.0,ILCA6 2023,5
Lars KREILAUS,,ilca 6,4.0,0,GERAL,9,,49.0,31.0,ILCA6 2023,1
Lars KREILAUS,,ilca 6,10.0,0,GERAL,9,,49.0,31.0,ILCA6 2023,2
Lars KREILAUS,,ilca 6,10.0,0,GERAL,9,,49.0,31.0,ILCA6 2023,3
Lars KREILAUS,,ilca 6,7.0,0,GERAL,9,,49.0,31.0,ILCA6 2023,4
Lars KREILAUS,,ilca 6,18.0,1,GERAL,9,OCS,49.0,31.0,ILCA6 2023,5
Charlotte STROHFELDT,,ilca 6,9.0,0,GERAL,10,,53.0,35.0,ILCA6 2023,1
Charlotte STROHFELDT,,ilca 6,12.0,0,GERAL,10,,53.0,35.0,ILCA6 2023,2
Charlotte STROHFELDT,,ilca 6,5.0,0,GERAL,10,,53.0,35.0,ILCA6 2023,3
Charlotte STROHFELDT,,ilca 6,9.0,0,GERAL,10,,53.0,35.0,ILCA6 2023,4
Charlotte STROHFELDT,,ilca 6,18.0,1,GERAL,10,DNC,53.0,35.0,ILCA6 2023,5
Federico FIERLI,,ilca 6,13.0,0,GERAL,11,,55.0,37.0,ILCA6 2023,1
Federico FIERLI,,ilca 6,8.0,0,GERAL,11,,55.0,37.0,ILCA6 2023,2
Federico FIERLI,,ilca 6,12.0,0,GERAL,11,,55.0,37.0,ILCA6 2023,3
Federico FIERLI,,ilca 6,4.0,0,GERAL,11,,55.0,37.0,ILCA6 2023,4
Federico FIERLI,,ilca 6,18.0,1,GERAL,11,DNC,55.0,37.0,ILCA6 2023,5
Celine REEGEN,,ilca 6,5.0,0,GERAL,12,,58.0,40.0,ILCA6 2023,1
Celine REEGEN,,ilca 6,11.0,0,GERAL,12,,58.0,40.0,ILCA6 2023,2
Celine REEGEN,,ilca 6,13.0,0,GERAL,12,,58.0,40.0,ILCA6 2023,3
Celine REEGEN,,ilca 6,11.0,0,GERAL,12,,58.0,40.0,ILCA6 2023,4
Celine REEGEN,,ilca 6,18.0,1,GERAL,12,DNC,58.0,40.0,ILCA6 2023,5
Thorben FILLMANN,,ilca 6,14.0,1,GERAL,13,,59.0,45.0,ILCA6 2023,1
Thorben FILLMANN,,ilca 6,13.0,0,GERAL,13,,59.0,45.0,ILCA6 2023,2
Thorben FILLMANN,,ilca 6,11.0,0,GERAL,13,,59.0,45.0,ILCA6 2023,3
Thorben FILLMANN,,ilca 6,10.0,0,GERAL,13,,59.0,45.0,ILCA6 2023,4
Thorben FILLMANN,,ilca 6,11.0,0,GERAL,13,,59.0,45.0,ILCA6 2023,5
Timo LAUKHARDT,,ilca 6,6.0,0,GERAL,14,,68.0,50.0,ILCA6 2023,1
Timo LAUKHARDT,,ilca 6,15.0,0,GERAL,14,,68.0,50.0,ILCA6 2023,2
Timo LAUKHARDT,,ilca 6,14.0,0,GERAL,14,,68.0,50.0,ILCA6 2023,3
Timo LAUKHARDT,,ilca 6,15.0,0,GERAL,14,,68.0,50.0,ILCA6 2023,4
Timo LAUKHARDT,,ilca 6,18.0,1,GERAL,14,DNS,68.0,50.0,ILCA6 2023,5
Felix KLIER,,ilca 6,15.0,0,GERAL,15,,69.0,53.0,ILCA6 2023,1
Felix KLIER,,ilca 6,14.0,0,GERAL,15,,69.0,53.0,ILCA6 2023,2
Felix KLIER,,ilca 6,16.0,1,GERAL,15,,69.0,53.0,ILCA6 2023,3
Felix KLIER,,ilca 6,14.0,0,GERAL,15,,69.0,53.0,ILCA6 2023,4
Felix KLIER,,ilca 6,10.0,0,GERAL,15,,69.0,53.0,ILCA6 2023,5
Levin KOSKA,,ilca 6,16.0,0,GERAL,16,,74.0,56.0,ILCA6 2023,1
Levin KOSKA,,ilca 6,17.0,0,GERAL,16,,74.0,56.0,ILCA6 2023,2
Levin KOSKA,,ilca 6,15.0,0,GERAL,16,,74.0,56.0,ILCA6 2023,3
Levin KOSKA,,ilca 6,18.0,1,GERAL,16,DNF,74.0,56.0,ILCA6 2023,4
Levin KOSKA,,ilca 6,8.0,0,GERAL,16,,74.0,56.0,ILCA6 2023,5
Leonard Alexander MAIER,,ilca 6,18.0,1,GERAL,17,DNF,79.0,61.0,ILCA6 2023,1
Leonard Alexander MAIER,,ilca 6,16.0,0,GERAL,17,,79.0,61.0,ILCA6 2023,2
Leonard Alexander MAIER,,ilca 6,17.0,0,GERAL,17,,79.0,61.0,ILCA6 2023,3
Leonard Alexander MAIER,,ilca 6,16.0,0,GERAL,17,,79.0,61.0,ILCA6 2023,4
Leonard Alexander MAIER,,ilca 6,12.0,0,GERAL,17,,79.0,61.0,ILCA6 2023,5
