Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Descarte,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
Christoffer SØRLIE,264,ilca 7,2.0,0,GERAL,1,,12.0,9.0,ILCANC 3  2023,1
Christoffer SØRLIE,264,ilca 7,1.0,0,GERAL,1,,12.0,9.0,ILCANC 3  2023,2
Christoffer SØRLIE,264,ilca 7,1.0,0,GERAL,1,,12.0,9.0,ILCANC 3  2023,3
Christoffer SØRLIE,264,ilca 7,1.0,0,GERAL,1,,12.0,9.0,ILCANC 3  2023,4
Christoffer SØRLIE,264,ilca 7,3.0,1,GERAL,1,,12.0,9.0,ILCANC 3  2023,5
Christoffer SØRLIE,264,ilca 7,1.0,0,GERAL,1,,12.0,9.0,ILCANC 3  2023,6
Christoffer SØRLIE,264,ilca 7,1.0,0,GERAL,1,,12.0,9.0,ILCANC 3  2023,7
Christoffer SØRLIE,264,ilca 7,2.0,0,GERAL,1,,12.0,9.0,ILCANC 3  2023,8
Jens Kaastad ØRJAVIK,264,ilca 7,1.0,0,GERAL,2,,19.0,14.0,ILCANC 3  2023,1
Jens Kaastad ØRJAVIK,264,ilca 7,2.0,0,GERAL,2,,19.0,14.0,ILCANC 3  2023,2
Jens Kaastad ØRJAVIK,264,ilca 7,3.0,0,GERAL,2,,19.0,14.0,ILCANC 3  2023,3
Jens Kaastad ØRJAVIK,264,ilca 7,3.0,0,GERAL,2,,19.0,14.0,ILCANC 3  2023,4
Jens Kaastad ØRJAVIK,264,ilca 7,2.0,0,GERAL,2,,19.0,14.0,ILCANC 3  2023,5
Jens Kaastad ØRJAVIK,264,ilca 7,5.0,1,GERAL,2,DNF,19.0,14.0,ILCANC 3  2023,6
Jens Kaastad ØRJAVIK,264,ilca 7,2.0,0,GERAL,2,,19.0,14.0,ILCANC 3  2023,7
Jens Kaastad ØRJAVIK,264,ilca 7,1.0,0,GERAL,2,,19.0,14.0,ILCANC 3  2023,8
Sverre LANGAAS-HOLT,264,ilca 7,3.0,0,GERAL,3,,20.0,16.0,ILCANC 3  2023,1
Sverre LANGAAS-HOLT,264,ilca 7,4.0,1,GERAL,3,,20.0,16.0,ILCANC 3  2023,2
Sverre LANGAAS-HOLT,264,ilca 7,2.0,0,GERAL,3,,20.0,16.0,ILCANC 3  2023,3
Sverre LANGAAS-HOLT,264,ilca 7,2.0,0,GERAL,3,,20.0,16.0,ILCANC 3  2023,4
Sverre LANGAAS-HOLT,264,ilca 7,1.0,0,GERAL,3,,20.0,16.0,ILCANC 3  2023,5
Sverre LANGAAS-HOLT,264,ilca 7,2.0,0,GERAL,3,,20.0,16.0,ILCANC 3  2023,6
Sverre LANGAAS-HOLT,264,ilca 7,3.0,0,GERAL,3,,20.0,16.0,ILCANC 3  2023,7
Sverre LANGAAS-HOLT,264,ilca 7,3.0,0,GERAL,3,,20.0,16.0,ILCANC 3  2023,8
Tinus STRØMME,264,ilca 7,4.0,1,GERAL,4,,30.0,26.0,ILCANC 3  2023,1
Tinus STRØMME,264,ilca 7,3.0,0,GERAL,4,,30.0,26.0,ILCANC 3  2023,2
Tinus STRØMME,264,ilca 7,4.0,0,GERAL,4,,30.0,26.0,ILCANC 3  2023,3
Tinus STRØMME,264,ilca 7,4.0,0,GERAL,4,,30.0,26.0,ILCANC 3  2023,4
Tinus STRØMME,264,ilca 7,4.0,0,GERAL,4,,30.0,26.0,ILCANC 3  2023,5
Tinus STRØMME,264,ilca 7,3.0,0,GERAL,4,,30.0,26.0,ILCANC 3  2023,6
Tinus STRØMME,264,ilca 7,4.0,0,GERAL,4,,30.0,26.0,ILCANC 3  2023,7
Tinus STRØMME,264,ilca 7,4.0,0,GERAL,4,,30.0,26.0,ILCANC 3  2023,8
