Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Descarte,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
Florian HAFNER,,ilca 7,1.0,0,GERAL,1,,4.0,4.0,Internacional. Laser-Kuhschellenregatta 2023,1
Florian HAFNER,,ilca 7,2.0,0,GERAL,1,,4.0,4.0,Internacional. Laser-Kuhschellenregatta 2023,2
Florian HAFNER,,ilca 7,1.0,0,GERAL,1,,4.0,4.0,Internacional. Laser-Kuhschellenregatta 2023,3
Sebastian BÜHLER,,ilca 7,2.0,0,GERAL,2,,5.0,5.0,Internacional. Laser-Kuhschellenregatta 2023,1
Sebastian BÜHLER,,ilca 7,1.0,0,GERAL,2,,5.0,5.0,Internacional. Laser-Kuhschellenregatta 2023,2
Sebastian BÜHLER,,ilca 7,2.0,0,GERAL,2,,5.0,5.0,Internacional. Laser-Kuhschellenregatta 2023,3
Marc FUNKEN,,ilca 7,3.0,0,GERAL,3,,13.0,13.0,Internacional. Laser-Kuhschellenregatta 2023,1
Marc FUNKEN,,ilca 7,6.0,0,GERAL,3,,13.0,13.0,Internacional. Laser-Kuhschellenregatta 2023,2
Marc FUNKEN,,ilca 7,4.0,0,GERAL,3,,13.0,13.0,Internacional. Laser-Kuhschellenregatta 2023,3
Nico SCHÄFFERLING,,ilca 7,4.0,0,GERAL,4,,15.0,15.0,Internacional. Laser-Kuhschellenregatta 2023,1
Nico SCHÄFFERLING,,ilca 7,3.0,0,GERAL,4,,15.0,15.0,Internacional. Laser-Kuhschellenregatta 2023,2
Nico SCHÄFFERLING,,ilca 7,8.0,0,GERAL,4,,15.0,15.0,Internacional. Laser-Kuhschellenregatta 2023,3
Lukas RENN,,ilca 7,6.0,0,GERAL,5,,17.0,17.0,Internacional. Laser-Kuhschellenregatta 2023,1
Lukas RENN,,ilca 7,5.0,0,GERAL,5,,17.0,17.0,Internacional. Laser-Kuhschellenregatta 2023,2
Lukas RENN,,ilca 7,6.0,0,GERAL,5,,17.0,17.0,Internacional. Laser-Kuhschellenregatta 2023,3
