Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Descarte,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
Markus MEILCHENBernd SCHÄLTE,235,470,2.0,1,GERAL,1,,7.0,5.0,Internationale Trapezregata der 2023,1
Markus MEILCHENBernd SCHÄLTE,235,470,2.0,0,GERAL,1,,7.0,5.0,Internationale Trapezregata der 2023,2
Markus MEILCHENBernd SCHÄLTE,235,470,1.0,0,GERAL,1,,7.0,5.0,Internationale Trapezregata der 2023,3
Markus MEILCHENBernd SCHÄLTE,235,470,1.0,0,GERAL,1,,7.0,5.0,Internationale Trapezregata der 2023,4
Markus MEILCHENBernd SCHÄLTE,235,470,1.0,0,GERAL,1,,7.0,5.0,Internationale Trapezregata der 2023,5
Florian GREINERDustin FUNK,235,470,1.0,0,GERAL,2,,8.0,6.0,Internationale Trapezregata der 2023,1
Florian GREINERDustin FUNK,235,470,1.0,0,GERAL,2,,8.0,6.0,Internationale Trapezregata der 2023,2
Florian GREINERDustin FUNK,235,470,2.0,1,GERAL,2,,8.0,6.0,Internationale Trapezregata der 2023,3
Florian GREINERDustin FUNK,235,470,2.0,0,GERAL,2,,8.0,6.0,Internationale Trapezregata der 2023,4
Florian GREINERDustin FUNK,235,470,2.0,0,GERAL,2,,8.0,6.0,Internationale Trapezregata der 2023,5
Annette FÖRSTERTobias FÖRSTER,235,470,3.0,0,GERAL,3,,24.0,15.0,Internationale Trapezregata der 2023,1
Annette FÖRSTERTobias FÖRSTER,235,470,4.0,0,GERAL,3,,24.0,15.0,Internationale Trapezregata der 2023,2
Annette FÖRSTERTobias FÖRSTER,235,470,5.0,0,GERAL,3,,24.0,15.0,Internationale Trapezregata der 2023,3
Annette FÖRSTERTobias FÖRSTER,235,470,3.0,0,GERAL,3,,24.0,15.0,Internationale Trapezregata der 2023,4
Annette FÖRSTERTobias FÖRSTER,235,470,9.0,1,GERAL,3,,24.0,15.0,Internationale Trapezregata der 2023,5
Miriam van den HOUTSabrina JÄCKEL-DOFFING,235,470,4.0,0,GERAL,4,,22.0,16.0,Internationale Trapezregata der 2023,1
Miriam van den HOUTSabrina JÄCKEL-DOFFING,235,470,3.0,0,GERAL,4,,22.0,16.0,Internationale Trapezregata der 2023,2
Miriam van den HOUTSabrina JÄCKEL-DOFFING,235,470,3.0,0,GERAL,4,,22.0,16.0,Internationale Trapezregata der 2023,3
Miriam van den HOUTSabrina JÄCKEL-DOFFING,235,470,6.0,1,GERAL,4,,22.0,16.0,Internationale Trapezregata der 2023,4
Miriam van den HOUTSabrina JÄCKEL-DOFFING,235,470,6.0,0,GERAL,4,,22.0,16.0,Internationale Trapezregata der 2023,5
Jannik ANDERSENJule Sophie ECKERT,235,470,5.0,0,GERAL,5,,27.0,20.0,Internationale Trapezregata der 2023,1
Jannik ANDERSENJule Sophie ECKERT,235,470,7.0,1,GERAL,5,,27.0,20.0,Internationale Trapezregata der 2023,2
Jannik ANDERSENJule Sophie ECKERT,235,470,7.0,0,GERAL,5,,27.0,20.0,Internationale Trapezregata der 2023,3
Jannik ANDERSENJule Sophie ECKERT,235,470,4.0,0,GERAL,5,,27.0,20.0,Internationale Trapezregata der 2023,4
Jannik ANDERSENJule Sophie ECKERT,235,470,4.0,0,GERAL,5,,27.0,20.0,Internationale Trapezregata der 2023,5
Karlo SCHMIEDELFrank HOLM,235,470,6.0,0,GERAL,6,,31.0,22.0,Internationale Trapezregata der 2023,1
Karlo SCHMIEDELFrank HOLM,235,470,6.0,0,GERAL,6,,31.0,22.0,Internationale Trapezregata der 2023,2
Karlo SCHMIEDELFrank HOLM,235,470,9.0,1,GERAL,6,,31.0,22.0,Internationale Trapezregata der 2023,3
Karlo SCHMIEDELFrank HOLM,235,470,7.0,0,GERAL,6,,31.0,22.0,Internationale Trapezregata der 2023,4
Karlo SCHMIEDELFrank HOLM,235,470,3.0,0,GERAL,6,,31.0,22.0,Internationale Trapezregata der 2023,5
Thomas De PryckEmmeline DEDECKER,235,470,7.0,0,GERAL,7,,33.0,25.0,Internationale Trapezregata der 2023,1
Thomas De PryckEmmeline DEDECKER,235,470,8.0,1,GERAL,7,,33.0,25.0,Internationale Trapezregata der 2023,2
Thomas De PryckEmmeline DEDECKER,235,470,8.0,0,GERAL,7,,33.0,25.0,Internationale Trapezregata der 2023,3
Thomas De PryckEmmeline DEDECKER,235,470,5.0,0,GERAL,7,,33.0,25.0,Internationale Trapezregata der 2023,4
Thomas De PryckEmmeline DEDECKER,235,470,5.0,0,GERAL,7,,33.0,25.0,Internationale Trapezregata der 2023,5
Lorenzo FAHRLeonard FAHR,235,470,8.0,1,GERAL,8,,35.0,27.0,Internationale Trapezregata der 2023,1
Lorenzo FAHRLeonard FAHR,235,470,5.0,0,GERAL,8,,35.0,27.0,Internationale Trapezregata der 2023,2
Lorenzo FAHRLeonard FAHR,235,470,6.0,0,GERAL,8,,35.0,27.0,Internationale Trapezregata der 2023,3
Lorenzo FAHRLeonard FAHR,235,470,8.0,0,GERAL,8,,35.0,27.0,Internationale Trapezregata der 2023,4
Lorenzo FAHRLeonard FAHR,235,470,8.0,0,GERAL,8,,35.0,27.0,Internationale Trapezregata der 2023,5
Maike MULSERBjörn BLOM,235,470,10.0,1,GERAL,9,,40.0,30.0,Internationale Trapezregata der 2023,1
Maike MULSERBjörn BLOM,235,470,10.0,0,GERAL,9,,40.0,30.0,Internationale Trapezregata der 2023,2
Maike MULSERBjörn BLOM,235,470,4.0,0,GERAL,9,,40.0,30.0,Internationale Trapezregata der 2023,3
Maike MULSERBjörn BLOM,235,470,9.0,0,GERAL,9,,40.0,30.0,Internationale Trapezregata der 2023,4
Maike MULSERBjörn BLOM,235,470,7.0,0,GERAL,9,,40.0,30.0,Internationale Trapezregata der 2023,5
Joerg WARTENBERGJonas KLINKHAMELS,235,470,9.0,0,GERAL,10,,51.0,39.0,Internationale Trapezregata der 2023,1
Joerg WARTENBERGJonas KLINKHAMELS,235,470,9.0,0,GERAL,10,,51.0,39.0,Internationale Trapezregata der 2023,2
Joerg WARTENBERGJonas KLINKHAMELS,235,470,10.0,0,GERAL,10,,51.0,39.0,Internationale Trapezregata der 2023,3
Joerg WARTENBERGJonas KLINKHAMELS,235,470,11.0,0,GERAL,10,,51.0,39.0,Internationale Trapezregata der 2023,4
Joerg WARTENBERGJonas KLINKHAMELS,235,470,12.0,1,GERAL,10,DNS,51.0,39.0,Internationale Trapezregata der 2023,5
Phillip STRAUCHJannik STRAUCH,235,470,11.0,1,GERAL,11,,53.0,42.0,Internationale Trapezregata der 2023,1
Phillip STRAUCHJannik STRAUCH,235,470,11.0,0,GERAL,11,,53.0,42.0,Internationale Trapezregata der 2023,2
Phillip STRAUCHJannik STRAUCH,235,470,11.0,0,GERAL,11,,53.0,42.0,Internationale Trapezregata der 2023,3
