Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Descarte,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
Christoph MÖHRING,,ilca 7,1.0,0,GERAL,1,,4.0,4.0,Kupferne Rohrdommel - Distriktmeisterschaft Nord 2023,1
Christoph MÖHRING,,ilca 7,2.0,0,GERAL,1,,4.0,4.0,Kupferne Rohrdommel - Distriktmeisterschaft Nord 2023,2
Christoph MÖHRING,,ilca 7,1.0,0,GERAL,1,,4.0,4.0,Kupferne Rohrdommel - Distriktmeisterschaft Nord 2023,3
Lukas von LEVERN,,ilca 7,4.0,0,GERAL,2,,8.0,8.0,Kupferne Rohrdommel - Distriktmeisterschaft Nord 2023,1
Lukas von LEVERN,,ilca 7,1.0,0,GERAL,2,,8.0,8.0,Kupferne Rohrdommel - Distriktmeisterschaft Nord 2023,2
Lukas von LEVERN,,ilca 7,3.0,0,GERAL,2,,8.0,8.0,Kupferne Rohrdommel - Distriktmeisterschaft Nord 2023,3
Amir HEINISCH,,ilca 7,3.0,0,GERAL,3,,9.0,9.0,Kupferne Rohrdommel - Distriktmeisterschaft Nord 2023,1
Amir HEINISCH,,ilca 7,4.0,0,GERAL,3,,9.0,9.0,Kupferne Rohrdommel - Distriktmeisterschaft Nord 2023,2
Amir HEINISCH,,ilca 7,2.0,0,GERAL,3,,9.0,9.0,Kupferne Rohrdommel - Distriktmeisterschaft Nord 2023,3
Jan O SCHULZ,,ilca 7,2.0,0,GERAL,4,,9.0,9.0,Kupferne Rohrdommel - Distriktmeisterschaft Nord 2023,1
Jan O SCHULZ,,ilca 7,3.0,0,GERAL,4,,9.0,9.0,Kupferne Rohrdommel - Distriktmeisterschaft Nord 2023,2
Jan O SCHULZ,,ilca 7,4.0,0,GERAL,4,,9.0,9.0,Kupferne Rohrdommel - Distriktmeisterschaft Nord 2023,3
Mika DURAU,,ilca 7,5.0,0,GERAL,5,,16.0,16.0,Kupferne Rohrdommel - Distriktmeisterschaft Nord 2023,1
Mika DURAU,,ilca 7,5.0,0,GERAL,5,,16.0,16.0,Kupferne Rohrdommel - Distriktmeisterschaft Nord 2023,2
Mika DURAU,,ilca 7,6.0,0,GERAL,5,,16.0,16.0,Kupferne Rohrdommel - Distriktmeisterschaft Nord 2023,3
Reinhard NOACK,,ilca 7,6.0,0,GERAL,6,,20.0,20.0,Kupferne Rohrdommel - Distriktmeisterschaft Nord 2023,1
Reinhard NOACK,,ilca 7,9.0,0,GERAL,6,,20.0,20.0,Kupferne Rohrdommel - Distriktmeisterschaft Nord 2023,2
Reinhard NOACK,,ilca 7,5.0,0,GERAL,6,,20.0,20.0,Kupferne Rohrdommel - Distriktmeisterschaft Nord 2023,3
Erik Finn Johannes PITZNER,,ilca 7,8.0,0,GERAL,7,,26.0,26.0,Kupferne Rohrdommel - Distriktmeisterschaft Nord 2023,1
Erik Finn Johannes PITZNER,,ilca 7,6.0,0,GERAL,7,,26.0,26.0,Kupferne Rohrdommel - Distriktmeisterschaft Nord 2023,2
Erik Finn Johannes PITZNER,,ilca 7,12.0,0,GERAL,7,,26.0,26.0,Kupferne Rohrdommel - Distriktmeisterschaft Nord 2023,3
Christian WERBLOW,,ilca 7,7.0,0,GERAL,8,,26.0,26.0,Kupferne Rohrdommel - Distriktmeisterschaft Nord 2023,1
Christian WERBLOW,,ilca 7,8.0,0,GERAL,8,,26.0,26.0,Kupferne Rohrdommel - Distriktmeisterschaft Nord 2023,2
Christian WERBLOW,,ilca 7,11.0,0,GERAL,8,,26.0,26.0,Kupferne Rohrdommel - Distriktmeisterschaft Nord 2023,3
Hannes GÖDDE,,ilca 7,10.0,0,GERAL,9,,27.0,27.0,Kupferne Rohrdommel - Distriktmeisterschaft Nord 2023,1
Hannes GÖDDE,,ilca 7,7.0,0,GERAL,9,,27.0,27.0,Kupferne Rohrdommel - Distriktmeisterschaft Nord 2023,2
Hannes GÖDDE,,ilca 7,10.0,0,GERAL,9,,27.0,27.0,Kupferne Rohrdommel - Distriktmeisterschaft Nord 2023,3
Frank STÖRCK,,ilca 7,9.0,0,GERAL,10,,28.0,28.0,Kupferne Rohrdommel - Distriktmeisterschaft Nord 2023,1
Frank STÖRCK,,ilca 7,12.0,0,GERAL,10,,28.0,28.0,Kupferne Rohrdommel - Distriktmeisterschaft Nord 2023,2
Frank STÖRCK,,ilca 7,7.0,0,GERAL,10,,28.0,28.0,Kupferne Rohrdommel - Distriktmeisterschaft Nord 2023,3
Kevin RÖTTGER,,ilca 7,11.0,0,GERAL,11,,29.0,29.0,Kupferne Rohrdommel - Distriktmeisterschaft Nord 2023,1
