Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Descarte,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
Kārlis JUNKERS,,ilca 7,1.0,0,GERAL,1,,19.0,8.0,Latvijas atklātais čempionāts - Optimist e ILCA klasēm 2023,1
Kārlis JUNKERS,,ilca 7,1.0,0,GERAL,1,,19.0,8.0,Latvijas atklātais čempionāts - Optimist e ILCA klasēm 2023,2
Kārlis JUNKERS,,ilca 7,1.0,0,GERAL,1,,19.0,8.0,Latvijas atklātais čempionāts - Optimist e ILCA klasēm 2023,3
Kārlis JUNKERS,,ilca 7,1.0,0,GERAL,1,,19.0,8.0,Latvijas atklātais čempionāts - Optimist e ILCA klasēm 2023,4
Kārlis JUNKERS,,ilca 7,1.0,0,GERAL,1,,19.0,8.0,Latvijas atklātais čempionāts - Optimist e ILCA klasēm 2023,5
Kārlis JUNKERS,,ilca 7,11.0,1,GERAL,1,UFD,19.0,8.0,Latvijas atklātais čempionāts - Optimist e ILCA klasēm 2023,6
Kārlis JUNKERS,,ilca 7,1.0,0,GERAL,1,,19.0,8.0,Latvijas atklātais čempionāts - Optimist e ILCA klasēm 2023,7
Kārlis JUNKERS,,ilca 7,1.0,0,GERAL,1,,19.0,8.0,Latvijas atklātais čempionāts - Optimist e ILCA klasēm 2023,8
Kārlis JUNKERS,,ilca 7,1.0,0,GERAL,1,,19.0,8.0,Latvijas atklātais čempionāts - Optimist e ILCA klasēm 2023,9
Kārlis DUBRA,,ilca 7,2.0,0,GERAL,2,,36.0,25.0,Latvijas atklātais čempionāts - Optimist e ILCA klasēm 2023,1
Kārlis DUBRA,,ilca 7,3.0,0,GERAL,2,,36.0,25.0,Latvijas atklātais čempionāts - Optimist e ILCA klasēm 2023,2
Kārlis DUBRA,,ilca 7,2.0,0,GERAL,2,,36.0,25.0,Latvijas atklātais čempionāts - Optimist e ILCA klasēm 2023,3
