Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Descarte,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
Levian BÜSCHER,,ilca 6,1.0,0,GERAL,1,,9.0,6.0,Martinsregata II ILCA 2023,1
Levian BÜSCHER,,ilca 6,2.0,0,GERAL,1,,9.0,6.0,Martinsregata II ILCA 2023,2
Levian BÜSCHER,,ilca 6,2.0,0,GERAL,1,,9.0,6.0,Martinsregata II ILCA 2023,3
Levian BÜSCHER,,ilca 6,1.0,0,GERAL,1,,9.0,6.0,Martinsregata II ILCA 2023,4
Levian BÜSCHER,,ilca 6,3.0,1,GERAL,1,,9.0,6.0,Martinsregata II ILCA 2023,5
Leon KÄHL,,ilca 6,2.0,0,GERAL,2,,11.0,8.0,Martinsregata II ILCA 2023,1
Leon KÄHL,,ilca 6,3.0,1,GERAL,2,,11.0,8.0,Martinsregata II ILCA 2023,2
Leon KÄHL,,ilca 6,3.0,0,GERAL,2,,11.0,8.0,Martinsregata II ILCA 2023,3
Leon KÄHL,,ilca 6,2.0,0,GERAL,2,,11.0,8.0,Martinsregata II ILCA 2023,4
Leon KÄHL,,ilca 6,1.0,0,GERAL,2,,11.0,8.0,Martinsregata II ILCA 2023,5
Jonathan BRINKMANN,,ilca 6,3.0,0,GERAL,3,,16.0,10.0,Martinsregata II ILCA 2023,1
Jonathan BRINKMANN,,ilca 6,1.0,0,GERAL,3,,16.0,10.0,Martinsregata II ILCA 2023,2
Jonathan BRINKMANN,,ilca 6,1.0,0,GERAL,3,,16.0,10.0,Martinsregata II ILCA 2023,3
Jonathan BRINKMANN,,ilca 6,6.0,1,GERAL,3,,16.0,10.0,Martinsregata II ILCA 2023,4
Jonathan BRINKMANN,,ilca 6,5.0,0,GERAL,3,,16.0,10.0,Martinsregata II ILCA 2023,5
Finn PETZOLD,,ilca 6,9.0,1,GERAL,4,,30.0,21.0,Martinsregata II ILCA 2023,1
Finn PETZOLD,,ilca 6,8.0,0,GERAL,4,,30.0,21.0,Martinsregata II ILCA 2023,2
Finn PETZOLD,,ilca 6,4.0,0,GERAL,4,,30.0,21.0,Martinsregata II ILCA 2023,3
Finn PETZOLD,,ilca 6,7.0,0,GERAL,4,,30.0,21.0,Martinsregata II ILCA 2023,4
Finn PETZOLD,,ilca 6,2.0,0,GERAL,4,,30.0,21.0,Martinsregata II ILCA 2023,5
Lena ABENDROTH,,ilca 6,4.0,0,GERAL,5,,30.0,21.0,Martinsregata II ILCA 2023,1
Lena ABENDROTH,,ilca 6,9.0,1,GERAL,5,,30.0,21.0,Martinsregata II ILCA 2023,2
Lena ABENDROTH,,ilca 6,5.0,0,GERAL,5,,30.0,21.0,Martinsregata II ILCA 2023,3
Lena ABENDROTH,,ilca 6,4.0,0,GERAL,5,,30.0,21.0,Martinsregata II ILCA 2023,4
Lena ABENDROTH,,ilca 6,8.0,0,GERAL,5,,30.0,21.0,Martinsregata II ILCA 2023,5
Jan GISSELMANN,,ilca 6,8.0,1,GERAL,6,,30.0,22.0,Martinsregata II ILCA 2023,1
Jan GISSELMANN,,ilca 6,5.0,0,GERAL,6,,30.0,22.0,Martinsregata II ILCA 2023,2
Jan GISSELMANN,,ilca 6,7.0,0,GERAL,6,,30.0,22.0,Martinsregata II ILCA 2023,3
Jan GISSELMANN,,ilca 6,3.0,0,GERAL,6,,30.0,22.0,Martinsregata II ILCA 2023,4
Jan GISSELMANN,,ilca 6,7.0,0,GERAL,6,,30.0,22.0,Martinsregata II ILCA 2023,5
Sebastian RODE,,ilca 6,5.0,0,GERAL,7,,40.0,25.0,Martinsregata II ILCA 2023,1
Sebastian RODE,,ilca 6,4.0,0,GERAL,7,,40.0,25.0,Martinsregata II ILCA 2023,2
Sebastian RODE,,ilca 6,15.0,1,GERAL,7,,40.0,25.0,Martinsregata II ILCA 2023,3
Sebastian RODE,,ilca 6,12.0,0,GERAL,7,,40.0,25.0,Martinsregata II ILCA 2023,4
Sebastian RODE,,ilca 6,4.0,0,GERAL,7,,40.0,25.0,Martinsregata II ILCA 2023,5
Arndt KLINGENBURG,,ilca 6,7.0,0,GERAL,8,,43.0,31.0,Martinsregata II ILCA 2023,1
Arndt KLINGENBURG,,ilca 6,7.0,0,GERAL,8,,43.0,31.0,Martinsregata II ILCA 2023,2
Arndt KLINGENBURG,,ilca 6,9.0,0,GERAL,8,,43.0,31.0,Martinsregata II ILCA 2023,3
Arndt KLINGENBURG,,ilca 6,8.0,0,GERAL,8,,43.0,31.0,Martinsregata II ILCA 2023,4
Arndt KLINGENBURG,,ilca 6,12.0,1,GERAL,8,,43.0,31.0,Martinsregata II ILCA 2023,5
