Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Descarte,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
Imke WEIDENBACHMathias WEIDENBACH,,470,1.0,0,GERAL,1,,23.0,5.0,Martinsregatta 2023,1
Imke WEIDENBACHMathias WEIDENBACH,,470,1.0,0,GERAL,1,,23.0,5.0,Martinsregatta 2023,2
Imke WEIDENBACHMathias WEIDENBACH,,470,1.0,0,GERAL,1,,23.0,5.0,Martinsregatta 2023,3
Imke WEIDENBACHMathias WEIDENBACH,,470,1.0,0,GERAL,1,,23.0,5.0,Martinsregatta 2023,4
Imke WEIDENBACHMathias WEIDENBACH,,470,1.0,0,GERAL,1,,23.0,5.0,Martinsregatta 2023,5
Imke WEIDENBACHMathias WEIDENBACH,,470,18.0,1,GERAL,1,DNC,23.0,5.0,Martinsregatta 2023,6
Kristof DOFFINGJan KAMINSKI,,470,3.0,0,GERAL,2,,22.0,12.0,Martinsregatta 2023,1
Kristof DOFFINGJan KAMINSKI,,470,2.0,0,GERAL,2,,22.0,12.0,Martinsregatta 2023,2
Kristof DOFFINGJan KAMINSKI,,470,3.0,0,GERAL,2,,22.0,12.0,Martinsregatta 2023,3
Kristof DOFFINGJan KAMINSKI,,470,10.0,1,GERAL,2,,22.0,12.0,Martinsregatta 2023,4
Kristof DOFFINGJan KAMINSKI,,470,2.0,0,GERAL,2,,22.0,12.0,Martinsregatta 2023,5
Kristof DOFFINGJan KAMINSKI,,470,2.0,0,GERAL,2,,22.0,12.0,Martinsregatta 2023,6
Sebastian KONRADStefan BRAMBOSCH,,470,2.0,0,GERAL,3,,23.0,14.0,Martinsregatta 2023,1
Sebastian KONRADStefan BRAMBOSCH,,470,4.0,0,GERAL,3,,23.0,14.0,Martinsregatta 2023,2
Sebastian KONRADStefan BRAMBOSCH,,470,2.0,0,GERAL,3,,23.0,14.0,Martinsregatta 2023,3
Sebastian KONRADStefan BRAMBOSCH,,470,9.0,1,GERAL,3,,23.0,14.0,Martinsregatta 2023,4
Sebastian KONRADStefan BRAMBOSCH,,470,3.0,0,GERAL,3,,23.0,14.0,Martinsregatta 2023,5
Sebastian KONRADStefan BRAMBOSCH,,470,3.0,0,GERAL,3,,23.0,14.0,Martinsregatta 2023,6
Max PLEGERBeatrice BADOUIN,,470,10.0,1,GERAL,4,,34.0,24.0,Martinsregatta 2023,1
Max PLEGERBeatrice BADOUIN,,470,6.0,0,GERAL,4,,34.0,24.0,Martinsregatta 2023,2
Max PLEGERBeatrice BADOUIN,,470,6.0,0,GERAL,4,,34.0,24.0,Martinsregatta 2023,3
Max PLEGERBeatrice BADOUIN,,470,7.0,0,GERAL,4,,34.0,24.0,Martinsregatta 2023,4
Max PLEGERBeatrice BADOUIN,,470,4.0,0,GERAL,4,,34.0,24.0,Martinsregatta 2023,5
Max PLEGERBeatrice BADOUIN,,470,1.0,0,GERAL,4,,34.0,24.0,Martinsregatta 2023,6
Joerg WARTENBERGAndreas FUCHS,,470,8.0,1,GERAL,5,,34.0,26.0,Martinsregatta 2023,1
Joerg WARTENBERGAndreas FUCHS,,470,3.0,0,GERAL,5,,34.0,26.0,Martinsregatta 2023,2
Joerg WARTENBERGAndreas FUCHS,,470,5.0,0,GERAL,5,,34.0,26.0,Martinsregatta 2023,3
Joerg WARTENBERGAndreas FUCHS,,470,4.0,0,GERAL,5,,34.0,26.0,Martinsregatta 2023,4
Joerg WARTENBERGAndreas FUCHS,,470,6.0,0,GERAL,5,,34.0,26.0,Martinsregatta 2023,5
Joerg WARTENBERGAndreas FUCHS,,470,8.0,0,GERAL,5,,34.0,26.0,Martinsregatta 2023,6
Isabell SAWERTDominic KOSER,,470,5.0,0,GERAL,6,,39.0,30.0,Martinsregatta 2023,1
Isabell SAWERTDominic KOSER,,470,8.0,0,GERAL,6,,39.0,30.0,Martinsregatta 2023,2
Isabell SAWERTDominic KOSER,,470,9.0,1,GERAL,6,,39.0,30.0,Martinsregatta 2023,3
Isabell SAWERTDominic KOSER,,470,8.0,0,GERAL,6,,39.0,30.0,Martinsregatta 2023,4
Isabell SAWERTDominic KOSER,,470,5.0,0,GERAL,6,,39.0,30.0,Martinsregatta 2023,5
Isabell SAWERTDominic KOSER,,470,4.0,0,GERAL,6,,39.0,30.0,Martinsregatta 2023,6
Miriam van den HOUTSabrina JÄCKEL-DOFFING,,470,7.0,0,GERAL,7,,48.0,31.0,Martinsregatta 2023,1
Miriam van den HOUTSabrina JÄCKEL-DOFFING,,470,7.0,0,GERAL,7,,48.0,31.0,Martinsregatta 2023,2
Miriam van den HOUTSabrina JÄCKEL-DOFFING,,470,17.0,1,GERAL,7,,48.0,31.0,Martinsregatta 2023,3
Miriam van den HOUTSabrina JÄCKEL-DOFFING,,470,5.0,0,GERAL,7,,48.0,31.0,Martinsregatta 2023,4
Miriam van den HOUTSabrina JÄCKEL-DOFFING,,470,7.0,0,GERAL,7,,48.0,31.0,Martinsregatta 2023,5
Miriam van den HOUTSabrina JÄCKEL-DOFFING,,470,5.0,0,GERAL,7,,48.0,31.0,Martinsregatta 2023,6
Henrike LERCHJona SPONSEL,,470,6.0,0,GERAL,8,,43.0,32.0,Martinsregatta 2023,1
Henrike LERCHJona SPONSEL,,470,9.0,0,GERAL,8,,43.0,32.0,Martinsregatta 2023,2
Henrike LERCHJona SPONSEL,,470,8.0,0,GERAL,8,,43.0,32.0,Martinsregatta 2023,3
Henrike LERCHJona SPONSEL,,470,3.0,0,GERAL,8,,43.0,32.0,Martinsregatta 2023,4
Henrike LERCHJona SPONSEL,,470,11.0,1,GERAL,8,,43.0,32.0,Martinsregatta 2023,5
Henrike LERCHJona SPONSEL,,470,6.0,0,GERAL,8,,43.0,32.0,Martinsregatta 2023,6
Markus MEILCHENBernd SCHÄLTE,,470,4.0,0,GERAL,9,,51.0,33.0,Martinsregatta 2023,1
Markus MEILCHENBernd SCHÄLTE,,470,5.0,0,GERAL,9,,51.0,33.0,Martinsregatta 2023,2
Markus MEILCHENBernd SCHÄLTE,,470,4.0,0,GERAL,9,,51.0,33.0,Martinsregatta 2023,3
Markus MEILCHENBernd SCHÄLTE,,470,2.0,0,GERAL,9,,51.0,33.0,Martinsregatta 2023,4
Markus MEILCHENBernd SCHÄLTE,,470,18.0,1,GERAL,9,DNC,51.0,33.0,Martinsregatta 2023,5
Markus MEILCHENBernd SCHÄLTE,,470,18.0,0,GERAL,9,DNC,51.0,33.0,Martinsregatta 2023,6
Birgit SCHEERSuse KLASEN,,470,9.0,0,GERAL,10,,60.0,48.0,Martinsregatta 2023,1
Birgit SCHEERSuse KLASEN,,470,11.0,0,GERAL,10,,60.0,48.0,Martinsregatta 2023,2
Birgit SCHEERSuse KLASEN,,470,11.0,0,GERAL,10,,60.0,48.0,Martinsregatta 2023,3
Birgit SCHEERSuse KLASEN,,470,12.0,1,GERAL,10,,60.0,48.0,Martinsregatta 2023,4
Birgit SCHEERSuse KLASEN,,470,10.0,0,GERAL,10,,60.0,48.0,Martinsregatta 2023,5
Birgit SCHEERSuse KLASEN,,470,7.0,0,GERAL,10,,60.0,48.0,Martinsregatta 2023,6
Jannik STRAUCHPhillip STRAUCH,,470,13.0,1,GERAL,11,,63.0,50.0,Martinsregatta 2023,1
