Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Descarte,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
Alexander de BIE,,ilca 6,1.0,0,GERAL,1,,20.0,6.0,Nationale wedstrijd 2023,1
Alexander de BIE,,ilca 6,2.0,0,GERAL,1,,20.0,6.0,Nationale wedstrijd 2023,2
Alexander de BIE,,ilca 6,1.0,0,GERAL,1,,20.0,6.0,Nationale wedstrijd 2023,3
Alexander de BIE,,ilca 6,2.0,0,GERAL,1,,20.0,6.0,Nationale wedstrijd 2023,4
Alexander de BIE,,ilca 6,14.0,1,GERAL,1,UFD,20.0,6.0,Nationale wedstrijd 2023,5
Luka SCHERENS,,ilca 6,4.0,1,GERAL,2,,13.0,9.0,Nationale wedstrijd 2023,1
Luka SCHERENS,,ilca 6,1.0,0,GERAL,2,,13.0,9.0,Nationale wedstrijd 2023,2
Luka SCHERENS,,ilca 6,4.0,0,GERAL,2,,13.0,9.0,Nationale wedstrijd 2023,3
Luka SCHERENS,,ilca 6,3.0,0,GERAL,2,,13.0,9.0,Nationale wedstrijd 2023,4
Luka SCHERENS,,ilca 6,1.0,0,GERAL,2,,13.0,9.0,Nationale wedstrijd 2023,5
Boris de WILDE,,ilca 6,2.0,0,GERAL,3,,30.0,16.0,Nationale wedstrijd 2023,1
Boris de WILDE,,ilca 6,4.0,0,GERAL,3,,30.0,16.0,Nationale wedstrijd 2023,2
Boris de WILDE,,ilca 6,14.0,1,GERAL,3,UFD,30.0,16.0,Nationale wedstrijd 2023,3
Boris de WILDE,,ilca 6,1.0,0,GERAL,3,,30.0,16.0,Nationale wedstrijd 2023,4
Boris de WILDE,,ilca 6,9.0,0,GERAL,3,,30.0,16.0,Nationale wedstrijd 2023,5
Emilie van de VOORDE-van BOCXLAER,,ilca 6,3.0,0,GERAL,4,,24.0,17.0,Nationale wedstrijd 2023,1
Emilie van de VOORDE-van BOCXLAER,,ilca 6,3.0,0,GERAL,4,,24.0,17.0,Nationale wedstrijd 2023,2
Emilie van de VOORDE-van BOCXLAER,,ilca 6,7.0,1,GERAL,4,,24.0,17.0,Nationale wedstrijd 2023,3
Emilie van de VOORDE-van BOCXLAER,,ilca 6,7.0,0,GERAL,4,,24.0,17.0,Nationale wedstrijd 2023,4
Emilie van de VOORDE-van BOCXLAER,,ilca 6,4.0,0,GERAL,4,,24.0,17.0,Nationale wedstrijd 2023,5
Sebastien van de VOORDE-van BOCXLAE,,ilca 6,7.0,0,GERAL,5,,26.0,18.0,Nationale wedstrijd 2023,1
Sebastien van de VOORDE-van BOCXLAE,,ilca 6,6.0,0,GERAL,5,,26.0,18.0,Nationale wedstrijd 2023,2
Sebastien van de VOORDE-van BOCXLAE,,ilca 6,3.0,0,GERAL,5,,26.0,18.0,Nationale wedstrijd 2023,3
Sebastien van de VOORDE-van BOCXLAE,,ilca 6,8.0,1,GERAL,5,,26.0,18.0,Nationale wedstrijd 2023,4
Sebastien van de VOORDE-van BOCXLAE,,ilca 6,2.0,0,GERAL,5,,26.0,18.0,Nationale wedstrijd 2023,5
Bavo SMETS,,ilca 6,14.0,1,GERAL,6,DNS,32.0,18.0,Nationale wedstrijd 2023,1
Bavo SMETS,,ilca 6,7.0,0,GERAL,6,,32.0,18.0,Nationale wedstrijd 2023,2
Bavo SMETS,,ilca 6,2.0,0,GERAL,6,,32.0,18.0,Nationale wedstrijd 2023,3
Bavo SMETS,,ilca 6,4.0,0,GERAL,6,,32.0,18.0,Nationale wedstrijd 2023,4
Bavo SMETS,,ilca 6,5.0,0,GERAL,6,,32.0,18.0,Nationale wedstrijd 2023,5
Luca VANLAEKE,,ilca 6,5.0,0,GERAL,7,,28.0,19.0,Nationale wedstrijd 2023,1
Luca VANLAEKE,,ilca 6,5.0,0,GERAL,7,,28.0,19.0,Nationale wedstrijd 2023,2
Luca VANLAEKE,,ilca 6,9.0,1,GERAL,7,,28.0,19.0,Nationale wedstrijd 2023,3
Luca VANLAEKE,,ilca 6,6.0,0,GERAL,7,,28.0,19.0,Nationale wedstrijd 2023,4
Luca VANLAEKE,,ilca 6,3.0,0,GERAL,7,,28.0,19.0,Nationale wedstrijd 2023,5
Jean-Laurent DIRIX,,ilca 6,9.0,0,GERAL,8,,40.0,30.0,Nationale wedstrijd 2023,1
Jean-Laurent DIRIX,,ilca 6,10.0,1,GERAL,8,,40.0,30.0,Nationale wedstrijd 2023,2
Jean-Laurent DIRIX,,ilca 6,6.0,0,GERAL,8,,40.0,30.0,Nationale wedstrijd 2023,3
Jean-Laurent DIRIX,,ilca 6,5.0,0,GERAL,8,,40.0,30.0,Nationale wedstrijd 2023,4
Jean-Laurent DIRIX,,ilca 6,10.0,0,GERAL,8,,40.0,30.0,Nationale wedstrijd 2023,5
Julien KUPFERMUNZ,,ilca 6,8.0,0,GERAL,9,,42.0,31.0,Nationale wedstrijd 2023,1
Julien KUPFERMUNZ,,ilca 6,8.0,0,GERAL,9,,42.0,31.0,Nationale wedstrijd 2023,2
Julien KUPFERMUNZ,,ilca 6,11.0,1,GERAL,9,,42.0,31.0,Nationale wedstrijd 2023,3
Julien KUPFERMUNZ,,ilca 6,9.0,0,GERAL,9,,42.0,31.0,Nationale wedstrijd 2023,4
Julien KUPFERMUNZ,,ilca 6,6.0,0,GERAL,9,,42.0,31.0,Nationale wedstrijd 2023,5
Victor CAMBIER,,ilca 6,6.0,0,GERAL,10,,46.0,34.0,Nationale wedstrijd 2023,1
Victor CAMBIER,,ilca 6,9.0,0,GERAL,10,,46.0,34.0,Nationale wedstrijd 2023,2
