Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Descarte,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
Christoffer SØRLIE,,ilca 7,1.0,0,GERAL,1,,22.0,13.0,Norgesmesterskap ILCA e Optimist 2023,1
Christoffer SØRLIE,,ilca 7,2.0,0,GERAL,1,,22.0,13.0,Norgesmesterskap ILCA e Optimist 2023,2
Christoffer SØRLIE,,ilca 7,1.0,0,GERAL,1,,22.0,13.0,Norgesmesterskap ILCA e Optimist 2023,3
Christoffer SØRLIE,,ilca 7,9.0,1,GERAL,1,,22.0,13.0,Norgesmesterskap ILCA e Optimist 2023,4
Christoffer SØRLIE,,ilca 7,4.0,0,GERAL,1,,22.0,13.0,Norgesmesterskap ILCA e Optimist 2023,5
Christoffer SØRLIE,,ilca 7,5.0,0,GERAL,1,,22.0,13.0,Norgesmesterskap ILCA e Optimist 2023,6
Uffe TOMASGAARD,,ilca 7,3.0,0,GERAL,2,,25.0,17.0,Norgesmesterskap ILCA e Optimist 2023,1
Uffe TOMASGAARD,,ilca 7,7.0,0,GERAL,2,,25.0,17.0,Norgesmesterskap ILCA e Optimist 2023,2
Uffe TOMASGAARD,,ilca 7,8.0,1,GERAL,2,,25.0,17.0,Norgesmesterskap ILCA e Optimist 2023,3
Uffe TOMASGAARD,,ilca 7,1.0,0,GERAL,2,,25.0,17.0,Norgesmesterskap ILCA e Optimist 2023,4
Uffe TOMASGAARD,,ilca 7,3.0,0,GERAL,2,,25.0,17.0,Norgesmesterskap ILCA e Optimist 2023,5
Uffe TOMASGAARD,,ilca 7,3.0,0,GERAL,2,,25.0,17.0,Norgesmesterskap ILCA e Optimist 2023,6
Ludvig LINDQVIST,,ilca 7,4.0,0,GERAL,3,,27.0,18.0,Norgesmesterskap ILCA e Optimist 2023,1
Ludvig LINDQVIST,,ilca 7,1.0,0,GERAL,3,,27.0,18.0,Norgesmesterskap ILCA e Optimist 2023,2
Ludvig LINDQVIST,,ilca 7,9.0,1,GERAL,3,,27.0,18.0,Norgesmesterskap ILCA e Optimist 2023,3
Ludvig LINDQVIST,,ilca 7,3.0,0,GERAL,3,,27.0,18.0,Norgesmesterskap ILCA e Optimist 2023,4
Ludvig LINDQVIST,,ilca 7,9.0,0,GERAL,3,,27.0,18.0,Norgesmesterskap ILCA e Optimist 2023,5
Ludvig LINDQVIST,,ilca 7,1.0,0,GERAL,3,,27.0,18.0,Norgesmesterskap ILCA e Optimist 2023,6
Olai HAGLAND,,ilca 7,6.0,0,GERAL,4,,28.0,19.0,Norgesmesterskap ILCA e Optimist 2023,1
Olai HAGLAND,,ilca 7,9.0,1,GERAL,4,,28.0,19.0,Norgesmesterskap ILCA e Optimist 2023,2
Olai HAGLAND,,ilca 7,4.0,0,GERAL,4,,28.0,19.0,Norgesmesterskap ILCA e Optimist 2023,3
Olai HAGLAND,,ilca 7,2.0,0,GERAL,4,,28.0,19.0,Norgesmesterskap ILCA e Optimist 2023,4
Olai HAGLAND,,ilca 7,1.0,0,GERAL,4,,28.0,19.0,Norgesmesterskap ILCA e Optimist 2023,5
Olai HAGLAND,,ilca 7,6.0,0,GERAL,4,,28.0,19.0,Norgesmesterskap ILCA e Optimist 2023,6
Eivind MELLEBY,,ilca 7,8.0,1,GERAL,5,,32.0,24.0,Norgesmesterskap ILCA e Optimist 2023,1
Eivind MELLEBY,,ilca 7,6.0,0,GERAL,5,,32.0,24.0,Norgesmesterskap ILCA e Optimist 2023,2
Eivind MELLEBY,,ilca 7,6.0,0,GERAL,5,,32.0,24.0,Norgesmesterskap ILCA e Optimist 2023,3
Eivind MELLEBY,,ilca 7,5.0,0,GERAL,5,,32.0,24.0,Norgesmesterskap ILCA e Optimist 2023,4
Eivind MELLEBY,,ilca 7,5.0,0,GERAL,5,,32.0,24.0,Norgesmesterskap ILCA e Optimist 2023,5
Eivind MELLEBY,,ilca 7,2.0,0,GERAL,5,,32.0,24.0,Norgesmesterskap ILCA e Optimist 2023,6
Jonas August STJERNSTRØM,,ilca 7,5.0,0,GERAL,6,,45.0,29.0,Norgesmesterskap ILCA e Optimist 2023,1
Jonas August STJERNSTRØM,,ilca 7,10.0,0,GERAL,6,,45.0,29.0,Norgesmesterskap ILCA e Optimist 2023,2
Jonas August STJERNSTRØM,,ilca 7,3.0,0,GERAL,6,,45.0,29.0,Norgesmesterskap ILCA e Optimist 2023,3
Jonas August STJERNSTRØM,,ilca 7,16.0,1,GERAL,6,,45.0,29.0,Norgesmesterskap ILCA e Optimist 2023,4
Jonas August STJERNSTRØM,,ilca 7,2.0,0,GERAL,6,,45.0,29.0,Norgesmesterskap ILCA e Optimist 2023,5
Jonas August STJERNSTRØM,,ilca 7,9.0,0,GERAL,6,,45.0,29.0,Norgesmesterskap ILCA e Optimist 2023,6
Jens Johan Kaastad ØRJAVIK,,ilca 7,2.0,0,GERAL,7,,46.0,34.0,Norgesmesterskap ILCA e Optimist 2023,1
Jens Johan Kaastad ØRJAVIK,,ilca 7,11.0,0,GERAL,7,,46.0,34.0,Norgesmesterskap ILCA e Optimist 2023,2
Jens Johan Kaastad ØRJAVIK,,ilca 7,5.0,0,GERAL,7,,46.0,34.0,Norgesmesterskap ILCA e Optimist 2023,3
Jens Johan Kaastad ØRJAVIK,,ilca 7,12.0,1,GERAL,7,,46.0,34.0,Norgesmesterskap ILCA e Optimist 2023,4
Jens Johan Kaastad ØRJAVIK,,ilca 7,12.0,0,GERAL,7,,46.0,34.0,Norgesmesterskap ILCA e Optimist 2023,5
Jens Johan Kaastad ØRJAVIK,,ilca 7,4.0,0,GERAL,7,,46.0,34.0,Norgesmesterskap ILCA e Optimist 2023,6
Iver Elias HOLM,,ilca 7,12.0,0,GERAL,8,,52.0,39.0,Norgesmesterskap ILCA e Optimist 2023,1
Iver Elias HOLM,,ilca 7,4.0,0,GERAL,8,,52.0,39.0,Norgesmesterskap ILCA e Optimist 2023,2
Iver Elias HOLM,,ilca 7,13.0,1,GERAL,8,,52.0,39.0,Norgesmesterskap ILCA e Optimist 2023,3
Iver Elias HOLM,,ilca 7,8.0,0,GERAL,8,,52.0,39.0,Norgesmesterskap ILCA e Optimist 2023,4
Iver Elias HOLM,,ilca 7,7.0,0,GERAL,8,,52.0,39.0,Norgesmesterskap ILCA e Optimist 2023,5
Iver Elias HOLM,,ilca 7,8.0,0,GERAL,8,,52.0,39.0,Norgesmesterskap ILCA e Optimist 2023,6
Anders LINDEMARK,,ilca 7,9.0,0,GERAL,9,,53.0,40.0,Norgesmesterskap ILCA e Optimist 2023,1
