Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Descarte,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
Frederica BRAATZ,254,ilca 6,3.0,1,GERAL,1,,9.0,6.0,Opti-Europa-ILCA Treff Bosau 2023,1
Frederica BRAATZ,254,ilca 6,2.0,0,GERAL,1,,9.0,6.0,Opti-Europa-ILCA Treff Bosau 2023,2
Frederica BRAATZ,254,ilca 6,1.0,0,GERAL,1,,9.0,6.0,Opti-Europa-ILCA Treff Bosau 2023,3
Frederica BRAATZ,254,ilca 6,2.0,0,GERAL,1,,9.0,6.0,Opti-Europa-ILCA Treff Bosau 2023,4
Frederica BRAATZ,254,ilca 6,1.0,0,GERAL,1,,9.0,6.0,Opti-Europa-ILCA Treff Bosau 2023,5
Joshua BAIER,254,ilca 6,1.0,0,GERAL,2,,12.0,7.0,Opti-Europa-ILCA Treff Bosau 2023,1
Joshua BAIER,254,ilca 6,1.0,0,GERAL,2,,12.0,7.0,Opti-Europa-ILCA Treff Bosau 2023,2
Joshua BAIER,254,ilca 6,5.0,1,GERAL,2,,12.0,7.0,Opti-Europa-ILCA Treff Bosau 2023,3
Joshua BAIER,254,ilca 6,1.0,0,GERAL,2,,12.0,7.0,Opti-Europa-ILCA Treff Bosau 2023,4
Joshua BAIER,254,ilca 6,4.0,0,GERAL,2,,12.0,7.0,Opti-Europa-ILCA Treff Bosau 2023,5
Oke NOMMENSEN,254,ilca 6,2.0,0,GERAL,3,,16.0,12.0,Opti-Europa-ILCA Treff Bosau 2023,1
Oke NOMMENSEN,254,ilca 6,4.0,1,GERAL,3,,16.0,12.0,Opti-Europa-ILCA Treff Bosau 2023,2
Oke NOMMENSEN,254,ilca 6,4.0,0,GERAL,3,,16.0,12.0,Opti-Europa-ILCA Treff Bosau 2023,3
Oke NOMMENSEN,254,ilca 6,3.0,0,GERAL,3,,16.0,12.0,Opti-Europa-ILCA Treff Bosau 2023,4
Oke NOMMENSEN,254,ilca 6,3.0,0,GERAL,3,,16.0,12.0,Opti-Europa-ILCA Treff Bosau 2023,5
Emelie Joy HARDER,254,ilca 6,4.0,0,GERAL,4,,20.0,14.0,Opti-Europa-ILCA Treff Bosau 2023,1
Emelie Joy HARDER,254,ilca 6,3.0,0,GERAL,4,,20.0,14.0,Opti-Europa-ILCA Treff Bosau 2023,2
Emelie Joy HARDER,254,ilca 6,2.0,0,GERAL,4,,20.0,14.0,Opti-Europa-ILCA Treff Bosau 2023,3
Emelie Joy HARDER,254,ilca 6,5.0,0,GERAL,4,,20.0,14.0,Opti-Europa-ILCA Treff Bosau 2023,4
Emelie Joy HARDER,254,ilca 6,6.0,1,GERAL,4,,20.0,14.0,Opti-Europa-ILCA Treff Bosau 2023,5
Hannah QUINT,254,ilca 6,5.0,0,GERAL,5,,26.0,18.0,Opti-Europa-ILCA Treff Bosau 2023,1
Hannah QUINT,254,ilca 6,5.0,0,GERAL,5,,26.0,18.0,Opti-Europa-ILCA Treff Bosau 2023,2
Hannah QUINT,254,ilca 6,8.0,1,GERAL,5,,26.0,18.0,Opti-Europa-ILCA Treff Bosau 2023,3
Hannah QUINT,254,ilca 6,6.0,0,GERAL,5,,26.0,18.0,Opti-Europa-ILCA Treff Bosau 2023,4
Hannah QUINT,254,ilca 6,2.0,0,GERAL,5,,26.0,18.0,Opti-Europa-ILCA Treff Bosau 2023,5
Jakob SUIKAT,254,ilca 6,6.0,0,GERAL,6,,26.0,19.0,Opti-Europa-ILCA Treff Bosau 2023,1
Jakob SUIKAT,254,ilca 6,6.0,0,GERAL,6,,26.0,19.0,Opti-Europa-ILCA Treff Bosau 2023,2
Jakob SUIKAT,254,ilca 6,3.0,0,GERAL,6,,26.0,19.0,Opti-Europa-ILCA Treff Bosau 2023,3
Jakob SUIKAT,254,ilca 6,4.0,0,GERAL,6,,26.0,19.0,Opti-Europa-ILCA Treff Bosau 2023,4
Jakob SUIKAT,254,ilca 6,7.0,1,GERAL,6,,26.0,19.0,Opti-Europa-ILCA Treff Bosau 2023,5
Marcus ANDERER,254,ilca 6,7.0,1,GERAL,7,,32.0,25.0,Opti-Europa-ILCA Treff Bosau 2023,1
Marcus ANDERER,254,ilca 6,7.0,0,GERAL,7,,32.0,25.0,Opti-Europa-ILCA Treff Bosau 2023,2
Marcus ANDERER,254,ilca 6,6.0,0,GERAL,7,,32.0,25.0,Opti-Europa-ILCA Treff Bosau 2023,3
Marcus ANDERER,254,ilca 6,7.0,0,GERAL,7,,32.0,25.0,Opti-Europa-ILCA Treff Bosau 2023,4
Marcus ANDERER,254,ilca 6,5.0,0,GERAL,7,,32.0,25.0,Opti-Europa-ILCA Treff Bosau 2023,5
Elisabeth WEGNER,254,ilca 6,8.0,1,GERAL,8,,39.0,31.0,Opti-Europa-ILCA Treff Bosau 2023,1
Elisabeth WEGNER,254,ilca 6,8.0,0,GERAL,8,,39.0,31.0,Opti-Europa-ILCA Treff Bosau 2023,2
Elisabeth WEGNER,254,ilca 6,7.0,0,GERAL,8,,39.0,31.0,Opti-Europa-ILCA Treff Bosau 2023,3
Elisabeth WEGNER,254,ilca 6,8.0,0,GERAL,8,,39.0,31.0,Opti-Europa-ILCA Treff Bosau 2023,4
Elisabeth WEGNER,254,ilca 6,8.0,0,GERAL,8,,39.0,31.0,Opti-Europa-ILCA Treff Bosau 2023,5
