Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Descarte,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
Alina SHAPOVALOVA,,ilca 6,1.0,1,GERAL,1,,4.0,3.0,Regata ILCA 2023,1
Alina SHAPOVALOVA,,ilca 6,1.0,0,GERAL,1,,4.0,3.0,Regata ILCA 2023,2
Alina SHAPOVALOVA,,ilca 6,1.0,0,GERAL,1,,4.0,3.0,Regata ILCA 2023,3
Alina SHAPOVALOVA,,ilca 6,1.0,0,GERAL,1,,4.0,3.0,Regata ILCA 2023,4
Ennio TURRIN,,ilca 6,6.0,1,GERAL,2,,14.0,8.0,Regata ILCA 2023,1
Ennio TURRIN,,ilca 6,3.0,0,GERAL,2,,14.0,8.0,Regata ILCA 2023,2
Ennio TURRIN,,ilca 6,3.0,0,GERAL,2,,14.0,8.0,Regata ILCA 2023,3
Ennio TURRIN,,ilca 6,2.0,0,GERAL,2,,14.0,8.0,Regata ILCA 2023,4
Antoine COMBY,,ilca 6,8.0,1,GERAL,3,,17.0,9.0,Regata ILCA 2023,1
Antoine COMBY,,ilca 6,4.0,0,GERAL,3,,17.0,9.0,Regata ILCA 2023,2
Antoine COMBY,,ilca 6,2.0,0,GERAL,3,,17.0,9.0,Regata ILCA 2023,3
Antoine COMBY,,ilca 6,3.0,0,GERAL,3,,17.0,9.0,Regata ILCA 2023,4
Lenny ZÜGER,,ilca 6,2.0,0,GERAL,4,,18.0,10.0,Regata ILCA 2023,1
Lenny ZÜGER,,ilca 6,2.0,0,GERAL,4,,18.0,10.0,Regata ILCA 2023,2
Lenny ZÜGER,,ilca 6,6.0,0,GERAL,4,,18.0,10.0,Regata ILCA 2023,3
Lenny ZÜGER,,ilca 6,8.0,1,GERAL,4,,18.0,10.0,Regata ILCA 2023,4
Timoteo FILIPPINI,,ilca 6,4.0,0,GERAL,5,,20.0,13.0,Regata ILCA 2023,1
Timoteo FILIPPINI,,ilca 6,5.0,0,GERAL,5,,20.0,13.0,Regata ILCA 2023,2
Timoteo FILIPPINI,,ilca 6,4.0,0,GERAL,5,,20.0,13.0,Regata ILCA 2023,3
Timoteo FILIPPINI,,ilca 6,7.0,1,GERAL,5,,20.0,13.0,Regata ILCA 2023,4
Thomas VEZ,,ilca 6,3.0,0,GERAL,6,,24.0,16.0,Regata ILCA 2023,1
Thomas VEZ,,ilca 6,8.0,1,GERAL,6,,24.0,16.0,Regata ILCA 2023,2
Thomas VEZ,,ilca 6,7.0,0,GERAL,6,,24.0,16.0,Regata ILCA 2023,3
Thomas VEZ,,ilca 6,6.0,0,GERAL,6,,24.0,16.0,Regata ILCA 2023,4
Jonas BARRAUD,,ilca 6,7.0,1,GERAL,7,,23.0,16.0,Regata ILCA 2023,1
Jonas BARRAUD,,ilca 6,6.0,0,GERAL,7,,23.0,16.0,Regata ILCA 2023,2
Jonas BARRAUD,,ilca 6,5.0,0,GERAL,7,,23.0,16.0,Regata ILCA 2023,3
Jonas BARRAUD,,ilca 6,5.0,0,GERAL,7,,23.0,16.0,Regata ILCA 2023,4
Joseph RICHARDSON,,ilca 6,11.0,1,GERAL,8,,33.0,22.0,Regata ILCA 2023,1
Joseph RICHARDSON,,ilca 6,9.0,0,GERAL,8,,33.0,22.0,Regata ILCA 2023,2
Joseph RICHARDSON,,ilca 6,9.0,0,GERAL,8,,33.0,22.0,Regata ILCA 2023,3
Joseph RICHARDSON,,ilca 6,4.0,0,GERAL,8,,33.0,22.0,Regata ILCA 2023,4
Lucas SUDAN,,ilca 6,9.0,0,GERAL,9,,34.0,24.0,Regata ILCA 2023,1
Lucas SUDAN,,ilca 6,7.0,0,GERAL,9,,34.0,24.0,Regata ILCA 2023,2
Lucas SUDAN,,ilca 6,8.0,0,GERAL,9,,34.0,24.0,Regata ILCA 2023,3
Lucas SUDAN,,ilca 6,10.0,1,GERAL,9,,34.0,24.0,Regata ILCA 2023,4
Amélie RITSCHEL,,ilca 6,5.0,0,GERAL,10,,43.0,28.0,Regata ILCA 2023,1
Amélie RITSCHEL,,ilca 6,15.0,1,GERAL,10,,43.0,28.0,Regata ILCA 2023,2
Amélie RITSCHEL,,ilca 6,10.0,0,GERAL,10,,43.0,28.0,Regata ILCA 2023,3
Amélie RITSCHEL,,ilca 6,13.0,0,GERAL,10,,43.0,28.0,Regata ILCA 2023,4
Lucille ANDREY,,ilca 6,13.0,1,GERAL,11,,44.0,31.0,Regata ILCA 2023,1
Lucille ANDREY,,ilca 6,11.0,0,GERAL,11,,44.0,31.0,Regata ILCA 2023,2
Lucille ANDREY,,ilca 6,11.0,0,GERAL,11,,44.0,31.0,Regata ILCA 2023,3
Lucille ANDREY,,ilca 6,9.0,0,GERAL,11,,44.0,31.0,Regata ILCA 2023,4
Joanna UTIGER,,ilca 6,12.0,1,GERAL,12,,45.0,33.0,Regata ILCA 2023,1
Joanna UTIGER,,ilca 6,10.0,0,GERAL,12,,45.0,33.0,Regata ILCA 2023,2
Joanna UTIGER,,ilca 6,12.0,0,GERAL,12,,45.0,33.0,Regata ILCA 2023,3
Joanna UTIGER,,ilca 6,11.0,0,GERAL,12,,45.0,33.0,Regata ILCA 2023,4
Leandro CASPAR,,ilca 6,10.0,0,GERAL,13,,51.0,35.0,Regata ILCA 2023,1
Leandro CASPAR,,ilca 6,12.0,0,GERAL,13,,51.0,35.0,Regata ILCA 2023,2
Leandro CASPAR,,ilca 6,13.0,0,GERAL,13,,51.0,35.0,Regata ILCA 2023,3
Leandro CASPAR,,ilca 6,16.0,1,GERAL,13,,51.0,35.0,Regata ILCA 2023,4
Zoé Claire AUBERSON,,ilca 6,14.0,1,GERAL,14,,53.0,39.0,Regata ILCA 2023,1
Zoé Claire AUBERSON,,ilca 6,13.0,0,GERAL,14,,53.0,39.0,Regata ILCA 2023,2
Zoé Claire AUBERSON,,ilca 6,14.0,0,GERAL,14,,53.0,39.0,Regata ILCA 2023,3
Zoé Claire AUBERSON,,ilca 6,12.0,0,GERAL,14,,53.0,39.0,Regata ILCA 2023,4
Artem FILATOV,,ilca 6,15.0,0,GERAL,15,,60.0,44.0,Regata ILCA 2023,1
Artem FILATOV,,ilca 6,16.0,1,GERAL,15,,60.0,44.0,Regata ILCA 2023,2
Artem FILATOV,,ilca 6,15.0,0,GERAL,15,,60.0,44.0,Regata ILCA 2023,3
Artem FILATOV,,ilca 6,14.0,0,GERAL,15,,60.0,44.0,Regata ILCA 2023,4
Alejandro KÜFFER,,ilca 6,16.0,1,GERAL,16,,61.0,45.0,Regata ILCA 2023,1
Alejandro KÜFFER,,ilca 6,14.0,0,GERAL,16,,61.0,45.0,Regata ILCA 2023,2
Alejandro KÜFFER,,ilca 6,16.0,0,GERAL,16,,61.0,45.0,Regata ILCA 2023,3
Alejandro KÜFFER,,ilca 6,15.0,0,GERAL,16,,61.0,45.0,Regata ILCA 2023,4
