Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Descarte,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
Timo RIEMENSCHNEIDER,237,Kite,1.0,0,GERAL,1,,5.0,5.0,Rider of the Year II 2023,1
Timo RIEMENSCHNEIDER,237,Kite,1.0,0,GERAL,1,,5.0,5.0,Rider of the Year II 2023,2
Timo RIEMENSCHNEIDER,237,Kite,1.0,0,GERAL,1,,5.0,5.0,Rider of the Year II 2023,3
Timo RIEMENSCHNEIDER,237,Kite,1.0,0,GERAL,1,,5.0,5.0,Rider of the Year II 2023,4
Timo RIEMENSCHNEIDER,237,Kite,1.0,0,GERAL,1,,5.0,5.0,Rider of the Year II 2023,5
Maximilian NEST,237,Kite,2.0,0,GERAL,2,,10.0,10.0,Rider of the Year II 2023,1
Maximilian NEST,237,Kite,2.0,0,GERAL,2,,10.0,10.0,Rider of the Year II 2023,2
Maximilian NEST,237,Kite,2.0,0,GERAL,2,,10.0,10.0,Rider of the Year II 2023,3
Maximilian NEST,237,Kite,2.0,0,GERAL,2,,10.0,10.0,Rider of the Year II 2023,4
Maximilian NEST,237,Kite,2.0,0,GERAL,2,,10.0,10.0,Rider of the Year II 2023,5
Moritz von GAUDECKER,237,Kite,3.0,0,GERAL,3,,15.0,15.0,Rider of the Year II 2023,1
Moritz von GAUDECKER,237,Kite,3.0,0,GERAL,3,,15.0,15.0,Rider of the Year II 2023,2
Moritz von GAUDECKER,237,Kite,3.0,0,GERAL,3,,15.0,15.0,Rider of the Year II 2023,3
Moritz von GAUDECKER,237,Kite,3.0,0,GERAL,3,,15.0,15.0,Rider of the Year II 2023,4
Moritz von GAUDECKER,237,Kite,3.0,0,GERAL,3,,15.0,15.0,Rider of the Year II 2023,5
Max WEISEL,237,Kite,4.0,0,GERAL,4,,20.0,20.0,Rider of the Year II 2023,1
Max WEISEL,237,Kite,4.0,0,GERAL,4,,20.0,20.0,Rider of the Year II 2023,2
Max WEISEL,237,Kite,4.0,0,GERAL,4,,20.0,20.0,Rider of the Year II 2023,3
Max WEISEL,237,Kite,4.0,0,GERAL,4,,20.0,20.0,Rider of the Year II 2023,4
Max WEISEL,237,Kite,4.0,0,GERAL,4,,20.0,20.0,Rider of the Year II 2023,5
Fabian FRICK,237,Kite,5.0,0,GERAL,5,,25.0,25.0,Rider of the Year II 2023,1
Fabian FRICK,237,Kite,5.0,0,GERAL,5,,25.0,25.0,Rider of the Year II 2023,2
Fabian FRICK,237,Kite,5.0,0,GERAL,5,,25.0,25.0,Rider of the Year II 2023,3
Fabian FRICK,237,Kite,5.0,0,GERAL,5,,25.0,25.0,Rider of the Year II 2023,4
Fabian FRICK,237,Kite,5.0,0,GERAL,5,,25.0,25.0,Rider of the Year II 2023,5
Fabian HEINZE,237,Kite,6.0,0,GERAL,6,,30.0,30.0,Rider of the Year II 2023,1
Fabian HEINZE,237,Kite,6.0,0,GERAL,6,,30.0,30.0,Rider of the Year II 2023,2
Fabian HEINZE,237,Kite,6.0,0,GERAL,6,,30.0,30.0,Rider of the Year II 2023,3
Fabian HEINZE,237,Kite,6.0,0,GERAL,6,,30.0,30.0,Rider of the Year II 2023,4
Fabian HEINZE,237,Kite,6.0,0,GERAL,6,,30.0,30.0,Rider of the Year II 2023,5
Ralf SCHULT,237,Kite,7.0,0,GERAL,7,,35.0,35.0,Rider of the Year II 2023,1
Ralf SCHULT,237,Kite,7.0,0,GERAL,7,,35.0,35.0,Rider of the Year II 2023,2
Ralf SCHULT,237,Kite,7.0,0,GERAL,7,,35.0,35.0,Rider of the Year II 2023,3
Ralf SCHULT,237,Kite,7.0,0,GERAL,7,,35.0,35.0,Rider of the Year II 2023,4
Ralf SCHULT,237,Kite,7.0,0,GERAL,7,,35.0,35.0,Rider of the Year II 2023,5
Pauline REHNERT,237,Kite,8.0,0,GERAL,8,,40.0,40.0,Rider of the Year II 2023,1
Pauline REHNERT,237,Kite,8.0,0,GERAL,8,,40.0,40.0,Rider of the Year II 2023,2
Pauline REHNERT,237,Kite,8.0,0,GERAL,8,,40.0,40.0,Rider of the Year II 2023,3
Pauline REHNERT,237,Kite,8.0,0,GERAL,8,,40.0,40.0,Rider of the Year II 2023,4
Pauline REHNERT,237,Kite,8.0,0,GERAL,8,,40.0,40.0,Rider of the Year II 2023,5
Marvin GRANDT,237,Kite,9.0,0,GERAL,9,,45.0,45.0,Rider of the Year II 2023,1
Marvin GRANDT,237,Kite,9.0,0,GERAL,9,,45.0,45.0,Rider of the Year II 2023,2
Marvin GRANDT,237,Kite,9.0,0,GERAL,9,,45.0,45.0,Rider of the Year II 2023,3
Marvin GRANDT,237,Kite,9.0,0,GERAL,9,,45.0,45.0,Rider of the Year II 2023,4
Marvin GRANDT,237,Kite,9.0,0,GERAL,9,,45.0,45.0,Rider of the Year II 2023,5
Lonia ERDMANN,237,Kite,10.0,0,GERAL,10,,50.0,50.0,Rider of the Year II 2023,1
Lonia ERDMANN,237,Kite,10.0,0,GERAL,10,,50.0,50.0,Rider of the Year II 2023,2
Lonia ERDMANN,237,Kite,10.0,0,GERAL,10,,50.0,50.0,Rider of the Year II 2023,3
Lonia ERDMANN,237,Kite,10.0,0,GERAL,10,,50.0,50.0,Rider of the Year II 2023,4
Lonia ERDMANN,237,Kite,10.0,0,GERAL,10,,50.0,50.0,Rider of the Year II 2023,5
Timo BECKER,237,Kite,11.0,0,GERAL,11,,55.0,55.0,Rider of the Year II 2023,1
Timo BECKER,237,Kite,11.0,0,GERAL,11,,55.0,55.0,Rider of the Year II 2023,2
Timo BECKER,237,Kite,11.0,0,GERAL,11,,55.0,55.0,Rider of the Year II 2023,3
