Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Descarte,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
Lukas BARAN,,Kite,1.0,0,GERAL,1,,5.0,5.0,Rider of the Year III 2023,1
Lukas BARAN,,Kite,1.0,0,GERAL,1,,5.0,5.0,Rider of the Year III 2023,2
Lukas BARAN,,Kite,1.0,0,GERAL,1,,5.0,5.0,Rider of the Year III 2023,3
Lukas BARAN,,Kite,1.0,0,GERAL,1,,5.0,5.0,Rider of the Year III 2023,4
Lukas BARAN,,Kite,1.0,0,GERAL,1,,5.0,5.0,Rider of the Year III 2023,5
Kim SCHNEIDER,,Kite,2.0,0,GERAL,2,,10.0,10.0,Rider of the Year III 2023,1
Kim SCHNEIDER,,Kite,2.0,0,GERAL,2,,10.0,10.0,Rider of the Year III 2023,2
Kim SCHNEIDER,,Kite,2.0,0,GERAL,2,,10.0,10.0,Rider of the Year III 2023,3
Kim SCHNEIDER,,Kite,2.0,0,GERAL,2,,10.0,10.0,Rider of the Year III 2023,4
Kim SCHNEIDER,,Kite,2.0,0,GERAL,2,,10.0,10.0,Rider of the Year III 2023,5
Zephanja ARZT,,Kite,3.0,0,GERAL,3,,15.0,15.0,Rider of the Year III 2023,1
Zephanja ARZT,,Kite,3.0,0,GERAL,3,,15.0,15.0,Rider of the Year III 2023,2
Zephanja ARZT,,Kite,3.0,0,GERAL,3,,15.0,15.0,Rider of the Year III 2023,3
Zephanja ARZT,,Kite,3.0,0,GERAL,3,,15.0,15.0,Rider of the Year III 2023,4
Zephanja ARZT,,Kite,3.0,0,GERAL,3,,15.0,15.0,Rider of the Year III 2023,5
Timo RIEMENSCHNEIDER,,Kite,4.0,0,GERAL,4,,20.0,20.0,Rider of the Year III 2023,1
Timo RIEMENSCHNEIDER,,Kite,4.0,0,GERAL,4,,20.0,20.0,Rider of the Year III 2023,2
Timo RIEMENSCHNEIDER,,Kite,4.0,0,GERAL,4,,20.0,20.0,Rider of the Year III 2023,3
Timo RIEMENSCHNEIDER,,Kite,4.0,0,GERAL,4,,20.0,20.0,Rider of the Year III 2023,4
Timo RIEMENSCHNEIDER,,Kite,4.0,0,GERAL,4,,20.0,20.0,Rider of the Year III 2023,5
Ralf SCHULT,,Kite,5.0,0,GERAL,5,,25.0,25.0,Rider of the Year III 2023,1
Ralf SCHULT,,Kite,5.0,0,GERAL,5,,25.0,25.0,Rider of the Year III 2023,2
Ralf SCHULT,,Kite,5.0,0,GERAL,5,,25.0,25.0,Rider of the Year III 2023,3
Ralf SCHULT,,Kite,5.0,0,GERAL,5,,25.0,25.0,Rider of the Year III 2023,4
Ralf SCHULT,,Kite,5.0,0,GERAL,5,,25.0,25.0,Rider of the Year III 2023,5
Nora KLEMENT,,Kite,6.0,0,GERAL,6,,30.0,30.0,Rider of the Year III 2023,1
Nora KLEMENT,,Kite,6.0,0,GERAL,6,,30.0,30.0,Rider of the Year III 2023,2
Nora KLEMENT,,Kite,6.0,0,GERAL,6,,30.0,30.0,Rider of the Year III 2023,3
Nora KLEMENT,,Kite,6.0,0,GERAL,6,,30.0,30.0,Rider of the Year III 2023,4
Nora KLEMENT,,Kite,6.0,0,GERAL,6,,30.0,30.0,Rider of the Year III 2023,5
Sebastian DANNENBERG,,Kite,7.0,0,GERAL,7,,35.0,35.0,Rider of the Year III 2023,1
Sebastian DANNENBERG,,Kite,7.0,0,GERAL,7,,35.0,35.0,Rider of the Year III 2023,2
Sebastian DANNENBERG,,Kite,7.0,0,GERAL,7,,35.0,35.0,Rider of the Year III 2023,3
Sebastian DANNENBERG,,Kite,7.0,0,GERAL,7,,35.0,35.0,Rider of the Year III 2023,4
Sebastian DANNENBERG,,Kite,7.0,0,GERAL,7,,35.0,35.0,Rider of the Year III 2023,5
