Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Descarte,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
Pablo RÜEGGELinus ABICHT,,49er,1.0,0,GERAL,1,,9.0,7.0,SVK 2023,1
Pablo RÜEGGELinus ABICHT,,49er,1.0,0,GERAL,1,,9.0,7.0,SVK 2023,2
Pablo RÜEGGELinus ABICHT,,49er,1.0,0,GERAL,1,,9.0,7.0,SVK 2023,3
Pablo RÜEGGELinus ABICHT,,49er,2.0,1,GERAL,1,,9.0,7.0,SVK 2023,4
Pablo RÜEGGELinus ABICHT,,49er,1.0,0,GERAL,1,,9.0,7.0,SVK 2023,5
Pablo RÜEGGELinus ABICHT,,49er,2.0,0,GERAL,1,,9.0,7.0,SVK 2023,6
Pablo RÜEGGELinus ABICHT,,49er,1.0,0,GERAL,1,,9.0,7.0,SVK 2023,7
Nicolas KUTTERJohannes VOIGT,,49er,2.0,1,GERAL,2,,12.0,10.0,SVK 2023,1
Nicolas KUTTERJohannes VOIGT,,49er,2.0,0,GERAL,2,,12.0,10.0,SVK 2023,2
Nicolas KUTTERJohannes VOIGT,,49er,2.0,0,GERAL,2,,12.0,10.0,SVK 2023,3
Nicolas KUTTERJohannes VOIGT,,49er,1.0,0,GERAL,2,,12.0,10.0,SVK 2023,4
Nicolas KUTTERJohannes VOIGT,,49er,2.0,0,GERAL,2,,12.0,10.0,SVK 2023,5
Nicolas KUTTERJohannes VOIGT,,49er,1.0,0,GERAL,2,,12.0,10.0,SVK 2023,6
Nicolas KUTTERJohannes VOIGT,,49er,2.0,0,GERAL,2,,12.0,10.0,SVK 2023,7
Tim WITTICHYanik SCHMID,,49er,4.0,0,GERAL,3,,24.0,19.0,SVK 2023,1
Tim WITTICHYanik SCHMID,,49er,3.0,0,GERAL,3,,24.0,19.0,SVK 2023,2
Tim WITTICHYanik SCHMID,,49er,3.0,0,GERAL,3,,24.0,19.0,SVK 2023,3
Tim WITTICHYanik SCHMID,,49er,3.0,0,GERAL,3,,24.0,19.0,SVK 2023,4
Tim WITTICHYanik SCHMID,,49er,5.0,1,GERAL,3,,24.0,19.0,SVK 2023,5
Tim WITTICHYanik SCHMID,,49er,3.0,0,GERAL,3,,24.0,19.0,SVK 2023,6
Tim WITTICHYanik SCHMID,,49er,3.0,0,GERAL,3,,24.0,19.0,SVK 2023,7
Mischa VON RÜTIMirjam ABEGGLEN,,49er,3.0,0,GERAL,4,,26.0,22.0,SVK 2023,1
Mischa VON RÜTIMirjam ABEGGLEN,,49er,4.0,1,GERAL,4,,26.0,22.0,SVK 2023,2
Mischa VON RÜTIMirjam ABEGGLEN,,49er,4.0,0,GERAL,4,,26.0,22.0,SVK 2023,3
Mischa VON RÜTIMirjam ABEGGLEN,,49er,4.0,0,GERAL,4,,26.0,22.0,SVK 2023,4
Mischa VON RÜTIMirjam ABEGGLEN,,49er,3.0,0,GERAL,4,,26.0,22.0,SVK 2023,5
Mischa VON RÜTIMirjam ABEGGLEN,,49er,4.0,0,GERAL,4,,26.0,22.0,SVK 2023,6
Mischa VON RÜTIMirjam ABEGGLEN,,49er,4.0,0,GERAL,4,,26.0,22.0,SVK 2023,7
Stefan SCHNEIDMADELLukas MEIER,,49er,6.0,1,GERAL,5,DNC,35.0,29.0,SVK 2023,1
Stefan SCHNEIDMADELLukas MEIER,,49er,5.0,0,GERAL,5,,35.0,29.0,SVK 2023,2
Stefan SCHNEIDMADELLukas MEIER,,49er,5.0,0,GERAL,5,,35.0,29.0,SVK 2023,3
Stefan SCHNEIDMADELLukas MEIER,,49er,5.0,0,GERAL,5,,35.0,29.0,SVK 2023,4
Stefan SCHNEIDMADELLukas MEIER,,49er,4.0,0,GERAL,5,,35.0,29.0,SVK 2023,5
Stefan SCHNEIDMADELLukas MEIER,,49er,5.0,0,GERAL,5,,35.0,29.0,SVK 2023,6
Stefan SCHNEIDMADELLukas MEIER,,49er,5.0,0,GERAL,5,,35.0,29.0,SVK 2023,7
