Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Descarte,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
Markus MEILCHENBernd SCHÄLTE,234,470,1.0,0,GERAL,1,,4.0,4.0,Saarlandmeisterschaft 2023,1
Markus MEILCHENBernd SCHÄLTE,234,470,2.0,0,GERAL,1,,4.0,4.0,Saarlandmeisterschaft 2023,2
Markus MEILCHENBernd SCHÄLTE,234,470,1.0,0,GERAL,1,,4.0,4.0,Saarlandmeisterschaft 2023,3
Marc DEMEESTERMathieu VIRGILE,234,470,2.0,0,GERAL,2,,5.0,5.0,Saarlandmeisterschaft 2023,1
Marc DEMEESTERMathieu VIRGILE,234,470,1.0,0,GERAL,2,,5.0,5.0,Saarlandmeisterschaft 2023,2
Marc DEMEESTERMathieu VIRGILE,234,470,2.0,0,GERAL,2,,5.0,5.0,Saarlandmeisterschaft 2023,3
Joerg WARTENBERGAndreas FUCHS,234,470,6.0,0,GERAL,3,,12.0,12.0,Saarlandmeisterschaft 2023,1
Joerg WARTENBERGAndreas FUCHS,234,470,3.0,0,GERAL,3,,12.0,12.0,Saarlandmeisterschaft 2023,2
Joerg WARTENBERGAndreas FUCHS,234,470,3.0,0,GERAL,3,,12.0,12.0,Saarlandmeisterschaft 2023,3
Elena EBERHARDTOliver BECKER,234,470,4.0,0,GERAL,4,,12.0,12.0,Saarlandmeisterschaft 2023,1
Elena EBERHARDTOliver BECKER,234,470,4.0,0,GERAL,4,,12.0,12.0,Saarlandmeisterschaft 2023,2
Elena EBERHARDTOliver BECKER,234,470,4.0,0,GERAL,4,,12.0,12.0,Saarlandmeisterschaft 2023,3
Eric MATHIEUAlix MATHIEU,234,470,3.0,0,GERAL,5,,14.0,14.0,Saarlandmeisterschaft 2023,1
Eric MATHIEUAlix MATHIEU,234,470,6.0,0,GERAL,5,,14.0,14.0,Saarlandmeisterschaft 2023,2
Eric MATHIEUAlix MATHIEU,234,470,5.0,0,GERAL,5,,14.0,14.0,Saarlandmeisterschaft 2023,3
Annika BECKERXx XX,234,470,5.0,0,GERAL,6,,16.0,16.0,Saarlandmeisterschaft 2023,1
Annika BECKERXx XX,234,470,5.0,0,GERAL,6,,16.0,16.0,Saarlandmeisterschaft 2023,2
Annika BECKERXx XX,234,470,6.0,0,GERAL,6,,16.0,16.0,Saarlandmeisterschaft 2023,3
Thomas SCHUMANNTaric LUDT,234,470,9.0,0,GERAL,7,,24.0,24.0,Saarlandmeisterschaft 2023,1
Thomas SCHUMANNTaric LUDT,234,470,7.0,0,GERAL,7,,24.0,24.0,Saarlandmeisterschaft 2023,2
Thomas SCHUMANNTaric LUDT,234,470,8.0,0,GERAL,7,,24.0,24.0,Saarlandmeisterschaft 2023,3
Eva GEISELMANNChristian FUCHS,234,470,7.0,0,GERAL,8,,24.0,24.0,Saarlandmeisterschaft 2023,1
Eva GEISELMANNChristian FUCHS,234,470,8.0,0,GERAL,8,,24.0,24.0,Saarlandmeisterschaft 2023,2
Eva GEISELMANNChristian FUCHS,234,470,9.0,0,GERAL,8,,24.0,24.0,Saarlandmeisterschaft 2023,3
Henrike LERCHFrederik KOSKA,234,470,8.0,0,GERAL,9,,27.0,27.0,Saarlandmeisterschaft 2023,1
Henrike LERCHFrederik KOSKA,234,470,9.0,0,GERAL,9,,27.0,27.0,Saarlandmeisterschaft 2023,2
Henrike LERCHFrederik KOSKA,234,470,10.0,0,GERAL,9,,27.0,27.0,Saarlandmeisterschaft 2023,3
Jehan HAOTFrancois DOMMES,234,470,12.0,0,GERAL,10,DNF,29.0,29.0,Saarlandmeisterschaft 2023,1
Jehan HAOTFrancois DOMMES,234,470,10.0,0,GERAL,10,,29.0,29.0,Saarlandmeisterschaft 2023,2
Jehan HAOTFrancois DOMMES,234,470,7.0,0,GERAL,10,,29.0,29.0,Saarlandmeisterschaft 2023,3
Stephan HAMMERAndy MÜLLER,234,470,10.0,0,GERAL,11,,32.0,32.0,Saarlandmeisterschaft 2023,1
Stephan HAMMERAndy MÜLLER,234,470,11.0,0,GERAL,11,,32.0,32.0,Saarlandmeisterschaft 2023,2
Stephan HAMMERAndy MÜLLER,234,470,11.0,0,GERAL,11,,32.0,32.0,Saarlandmeisterschaft 2023,3
