Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Descarte,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
Martine SOFFIATTI GRAELKahena KUNZE,,49erFX,1.0,0,GERAL,1,,44.0,34.0,Semaine Olympique Francaise De Voile 2017,1
Martine SOFFIATTI GRAELKahena KUNZE,,49erFX,2.0,0,GERAL,1,,44.0,34.0,Semaine Olympique Francaise De Voile 2017,2
Martine SOFFIATTI GRAELKahena KUNZE,,49erFX,4.0,0,GERAL,1,,44.0,34.0,Semaine Olympique Francaise De Voile 2017,3
Martine SOFFIATTI GRAELKahena KUNZE,,49erFX,3.0,0,GERAL,1,,44.0,34.0,Semaine Olympique Francaise De Voile 2017,4
Martine SOFFIATTI GRAELKahena KUNZE,,49erFX,2.0,0,GERAL,1,,44.0,34.0,Semaine Olympique Francaise De Voile 2017,5
Martine SOFFIATTI GRAELKahena KUNZE,,49erFX,3.0,0,GERAL,1,,44.0,34.0,Semaine Olympique Francaise De Voile 2017,6
Martine SOFFIATTI GRAELKahena KUNZE,,49erFX,4.0,0,GERAL,1,,44.0,34.0,Semaine Olympique Francaise De Voile 2017,7
Martine SOFFIATTI GRAELKahena KUNZE,,49erFX,10.0,1,GERAL,1,,44.0,34.0,Semaine Olympique Francaise De Voile 2017,8
Martine SOFFIATTI GRAELKahena KUNZE,,49erFX,2.0,0,GERAL,1,,44.0,34.0,Semaine Olympique Francaise De Voile 2017,9
Martine SOFFIATTI GRAELKahena KUNZE,,49erFX,2.0,0,GERAL,1,,44.0,34.0,Semaine Olympique Francaise De Voile 2017,10
Martine SOFFIATTI GRAELKahena KUNZE,,49erFX,1.0,0,GERAL,1,,44.0,34.0,Semaine Olympique Francaise De Voile 2017,11
Martine SOFFIATTI GRAELKahena KUNZE,,49erFX,8.0,0,GERAL,1,,44.0,34.0,Semaine Olympique Francaise De Voile 2017,12
Martine SOFFIATTI GRAELKahena KUNZE,,49erFX,2.0,0,MEDAL RACE,1,,44.0,34.0,Semaine Olympique Francaise De Voile 2017,13
Victoria JURCZOKAnika LORENZ,,49erFX,9.0,1,GERAL,2,,59.0,50.0,Semaine Olympique Francaise De Voile 2017,1
Victoria JURCZOKAnika LORENZ,,49erFX,9.0,0,GERAL,2,,59.0,50.0,Semaine Olympique Francaise De Voile 2017,2
Victoria JURCZOKAnika LORENZ,,49erFX,6.0,0,GERAL,2,,59.0,50.0,Semaine Olympique Francaise De Voile 2017,3
Victoria JURCZOKAnika LORENZ,,49erFX,6.0,0,GERAL,2,,59.0,50.0,Semaine Olympique Francaise De Voile 2017,4
Victoria JURCZOKAnika LORENZ,,49erFX,5.0,0,GERAL,2,,59.0,50.0,Semaine Olympique Francaise De Voile 2017,5
Victoria JURCZOKAnika LORENZ,,49erFX,2.0,0,GERAL,2,,59.0,50.0,Semaine Olympique Francaise De Voile 2017,6
Victoria JURCZOKAnika LORENZ,,49erFX,1.0,0,GERAL,2,,59.0,50.0,Semaine Olympique Francaise De Voile 2017,7
Victoria JURCZOKAnika LORENZ,,49erFX,1.0,0,GERAL,2,,59.0,50.0,Semaine Olympique Francaise De Voile 2017,8
Victoria JURCZOKAnika LORENZ,,49erFX,1.0,0,GERAL,2,,59.0,50.0,Semaine Olympique Francaise De Voile 2017,9
Victoria JURCZOKAnika LORENZ,,49erFX,1.0,0,GERAL,2,,59.0,50.0,Semaine Olympique Francaise De Voile 2017,10
Victoria JURCZOKAnika LORENZ,,49erFX,9.0,0,GERAL,2,,59.0,50.0,Semaine Olympique Francaise De Voile 2017,11
Victoria JURCZOKAnika LORENZ,,49erFX,3.0,0,GERAL,2,,59.0,50.0,Semaine Olympique Francaise De Voile 2017,12
