Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Descarte,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
Dominik BUKSAKSzymon WIERZBICKI,,49er,3.0,0,GERAL,1,,80.0,49.0,Semaine Olympique Francaise De Voile 2018,1
Dominik BUKSAKSzymon WIERZBICKI,,49er,5.0,0,GERAL,1,,80.0,49.0,Semaine Olympique Francaise De Voile 2018,2
Dominik BUKSAKSzymon WIERZBICKI,,49er,1.0,0,GERAL,1,,80.0,49.0,Semaine Olympique Francaise De Voile 2018,3
Dominik BUKSAKSzymon WIERZBICKI,,49er,19.0,0,GERAL,1,,80.0,49.0,Semaine Olympique Francaise De Voile 2018,4
Dominik BUKSAKSzymon WIERZBICKI,,49er,8.0,0,GERAL,1,,80.0,49.0,Semaine Olympique Francaise De Voile 2018,5
Dominik BUKSAKSzymon WIERZBICKI,,49er,31.0,1,GERAL,1,,80.0,49.0,Semaine Olympique Francaise De Voile 2018,6
Dominik BUKSAKSzymon WIERZBICKI,,49er,3.0,0,GERAL,1,,80.0,49.0,Semaine Olympique Francaise De Voile 2018,7
Dominik BUKSAKSzymon WIERZBICKI,,49er,10.0,0,MEDAL RACE,1,,80.0,49.0,Semaine Olympique Francaise De Voile 2018,8
Logan DUNNING BECKOscar GUNN,,49er,4.0,0,GERAL,2,,92.0,60.0,Semaine Olympique Francaise De Voile 2018,1
Logan DUNNING BECKOscar GUNN,,49er,3.0,0,GERAL,2,,92.0,60.0,Semaine Olympique Francaise De Voile 2018,2
Logan DUNNING BECKOscar GUNN,,49er,6.0,0,GERAL,2,,92.0,60.0,Semaine Olympique Francaise De Voile 2018,3
Logan DUNNING BECKOscar GUNN,,49er,32.0,1,GERAL,2,,92.0,60.0,Semaine Olympique Francaise De Voile 2018,4
Logan DUNNING BECKOscar GUNN,,49er,22.0,0,GERAL,2,,92.0,60.0,Semaine Olympique Francaise De Voile 2018,5
