Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Descarte,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
Pavlos KONTIDES,28,Ilca 7,1.0,0,GERAL,1,,93.0,63.0,Semaine Olympique Francaise de Voile 2017,1
Pavlos KONTIDES,28,Ilca 7,1.0,0,GERAL,1,,93.0,63.0,Semaine Olympique Francaise de Voile 2017,2
Pavlos KONTIDES,28,Ilca 7,14.0,0,GERAL,1,,93.0,63.0,Semaine Olympique Francaise de Voile 2017,3
Pavlos KONTIDES,28,Ilca 7,2.0,0,GERAL,1,,93.0,63.0,Semaine Olympique Francaise de Voile 2017,4
Pavlos KONTIDES,28,Ilca 7,5.0,0,GERAL,1,,93.0,63.0,Semaine Olympique Francaise de Voile 2017,5
Pavlos KONTIDES,28,Ilca 7,11.0,0,GERAL,1,,93.0,63.0,Semaine Olympique Francaise de Voile 2017,6
Pavlos KONTIDES,28,Ilca 7,11.0,0,GERAL,1,,93.0,63.0,Semaine Olympique Francaise de Voile 2017,7
Pavlos KONTIDES,28,Ilca 7,30.0,1,GERAL,1,,93.0,63.0,Semaine Olympique Francaise de Voile 2017,8
Pavlos KONTIDES,28,Ilca 7,12.0,0,GERAL,1,,93.0,63.0,Semaine Olympique Francaise de Voile 2017,9
Pavlos KONTIDES,28,Ilca 7,2.0,0,GERAL,1,,93.0,63.0,Semaine Olympique Francaise de Voile 2017,10
Pavlos KONTIDES,28,Ilca 7,4.0,0,MEDAL RACE,1,,93.0,63.0,Semaine Olympique Francaise de Voile 2017,11
Francesco MARRAI,28,Ilca 7,14.0,0,GERAL,2,,79.0,63.0,Semaine Olympique Francaise de Voile 2017,1
Francesco MARRAI,28,Ilca 7,4.0,0,GERAL,2,,79.0,63.0,Semaine Olympique Francaise de Voile 2017,2
Francesco MARRAI,28,Ilca 7,2.0,0,GERAL,2,,79.0,63.0,Semaine Olympique Francaise de Voile 2017,3
Francesco MARRAI,28,Ilca 7,8.0,0,GERAL,2,,79.0,63.0,Semaine Olympique Francaise de Voile 2017,4
Francesco MARRAI,28,Ilca 7,9.0,0,GERAL,2,,79.0,63.0,Semaine Olympique Francaise de Voile 2017,5
Francesco MARRAI,28,Ilca 7,16.0,1,GERAL,2,,79.0,63.0,Semaine Olympique Francaise de Voile 2017,6
Francesco MARRAI,28,Ilca 7,1.0,0,GERAL,2,,79.0,63.0,Semaine Olympique Francaise de Voile 2017,7
Francesco MARRAI,28,Ilca 7,4.0,0,GERAL,2,,79.0,63.0,Semaine Olympique Francaise de Voile 2017,8
Francesco MARRAI,28,Ilca 7,2.0,0,GERAL,2,,79.0,63.0,Semaine Olympique Francaise de Voile 2017,9
Francesco MARRAI,28,Ilca 7,9.0,0,GERAL,2,,79.0,63.0,Semaine Olympique Francaise de Voile 2017,10
Francesco MARRAI,28,Ilca 7,10.0,0,MEDAL RACE,2,,79.0,63.0,Semaine Olympique Francaise de Voile 2017,11
Matthew WEARN,28,Ilca 7,5.0,0,GERAL,3,,123.0,78.0,Semaine Olympique Francaise de Voile 2017,1
Matthew WEARN,28,Ilca 7,15.0,0,GERAL,3,,123.0,78.0,Semaine Olympique Francaise de Voile 2017,2
Matthew WEARN,28,Ilca 7,4.0,0,GERAL,3,,123.0,78.0,Semaine Olympique Francaise de Voile 2017,3
Matthew WEARN,28,Ilca 7,1.0,0,GERAL,3,,123.0,78.0,Semaine Olympique Francaise de Voile 2017,4
Matthew WEARN,28,Ilca 7,4.0,0,GERAL,3,,123.0,78.0,Semaine Olympique Francaise de Voile 2017,5
Matthew WEARN,28,Ilca 7,2.0,0,GERAL,3,,123.0,78.0,Semaine Olympique Francaise de Voile 2017,6
Matthew WEARN,28,Ilca 7,26.0,0,GERAL,3,,123.0,78.0,Semaine Olympique Francaise de Voile 2017,7
Matthew WEARN,28,Ilca 7,45.0,1,GERAL,3,,123.0,78.0,Semaine Olympique Francaise de Voile 2017,8
Matthew WEARN,28,Ilca 7,4.0,0,GERAL,3,,123.0,78.0,Semaine Olympique Francaise de Voile 2017,9
Matthew WEARN,28,Ilca 7,5.0,0,GERAL,3,,123.0,78.0,Semaine Olympique Francaise de Voile 2017,10
Matthew WEARN,28,Ilca 7,12.0,0,MEDAL RACE,3,,123.0,78.0,Semaine Olympique Francaise de Voile 2017,11
Nick THOMPSON,28,Ilca 7,3.0,0,GERAL,4,,131.0,91.0,Semaine Olympique Francaise de Voile 2017,1
Nick THOMPSON,28,Ilca 7,2.0,0,GERAL,4,,131.0,91.0,Semaine Olympique Francaise de Voile 2017,2
Nick THOMPSON,28,Ilca 7,11.0,0,GERAL,4,,131.0,91.0,Semaine Olympique Francaise de Voile 2017,3
Nick THOMPSON,28,Ilca 7,40.0,1,GERAL,4,,131.0,91.0,Semaine Olympique Francaise de Voile 2017,4
Nick THOMPSON,28,Ilca 7,7.0,0,GERAL,4,,131.0,91.0,Semaine Olympique Francaise de Voile 2017,5
Nick THOMPSON,28,Ilca 7,17.0,0,GERAL,4,,131.0,91.0,Semaine Olympique Francaise de Voile 2017,6
Nick THOMPSON,28,Ilca 7,3.0,0,GERAL,4,,131.0,91.0,Semaine Olympique Francaise de Voile 2017,7
Nick THOMPSON,28,Ilca 7,2.0,0,GERAL,4,,131.0,91.0,Semaine Olympique Francaise de Voile 2017,8
Nick THOMPSON,28,Ilca 7,20.0,0,GERAL,4,,131.0,91.0,Semaine Olympique Francaise de Voile 2017,9
Nick THOMPSON,28,Ilca 7,12.0,0,GERAL,4,,131.0,91.0,Semaine Olympique Francaise de Voile 2017,10
Nick THOMPSON,28,Ilca 7,14.0,0,MEDAL RACE,4,,131.0,91.0,Semaine Olympique Francaise de Voile 2017,11
Tom BURTON,28,Ilca 7,4.0,0,GERAL,5,,125.0,97.0,Semaine Olympique Francaise de Voile 2017,1
Tom BURTON,28,Ilca 7,5.0,0,GERAL,5,,125.0,97.0,Semaine Olympique Francaise de Voile 2017,2
Tom BURTON,28,Ilca 7,8.0,0,GERAL,5,,125.0,97.0,Semaine Olympique Francaise de Voile 2017,3
Tom BURTON,28,Ilca 7,6.0,0,GERAL,5,,125.0,97.0,Semaine Olympique Francaise de Voile 2017,4
Tom BURTON,28,Ilca 7,28.0,1,GERAL,5,,125.0,97.0,Semaine Olympique Francaise de Voile 2017,5
Tom BURTON,28,Ilca 7,14.0,0,GERAL,5,,125.0,97.0,Semaine Olympique Francaise de Voile 2017,6
