Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Descarte,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
Peter BURLINGBlair TUKE,,49er,1.0,0,GERAL,1,,103.0,70.0,World Championship 2015,1
Peter BURLINGBlair TUKE,,49er,18.0,1,GERAL,1,,103.0,70.0,World Championship 2015,2
Peter BURLINGBlair TUKE,,49er,1.0,0,GERAL,1,,103.0,70.0,World Championship 2015,3
Peter BURLINGBlair TUKE,,49er,4.0,0,GERAL,1,,103.0,70.0,World Championship 2015,4
Peter BURLINGBlair TUKE,,49er,5.0,0,GERAL,1,,103.0,70.0,World Championship 2015,5
Peter BURLINGBlair TUKE,,49er,1.0,0,GERAL,1,,103.0,70.0,World Championship 2015,6
Peter BURLINGBlair TUKE,,49er,1.0,0,GERAL,1,,103.0,70.0,World Championship 2015,7
Peter BURLINGBlair TUKE,,49er,8.0,0,GERAL,1,,103.0,70.0,World Championship 2015,8
Peter BURLINGBlair TUKE,,49er,2.0,0,OURO,1,,103.0,70.0,World Championship 2015,9
Peter BURLINGBlair TUKE,,49er,15.0,1,OURO,1,,103.0,70.0,World Championship 2015,10
Peter BURLINGBlair TUKE,,49er,9.0,0,OURO,1,,103.0,70.0,World Championship 2015,11
Peter BURLINGBlair TUKE,,49er,1.0,0,OURO,1,,103.0,70.0,World Championship 2015,12
Peter BURLINGBlair TUKE,,49er,13.0,0,OURO,1,,103.0,70.0,World Championship 2015,13
Peter BURLINGBlair TUKE,,49er,8.0,0,OURO,1,,103.0,70.0,World Championship 2015,14
Peter BURLINGBlair TUKE,,49er,8.0,0,OURO,1,,103.0,70.0,World Championship 2015,15
Peter BURLINGBlair TUKE,,49er,8.0,0,MEDAL RACE,1,,103.0,70.0,World Championship 2015,16
Nathan OUTTERIDGEIain JENSEN,,49er,10.0,0,GERAL,2,,153.0,104.0,World Championship 2015,1
Nathan OUTTERIDGEIain JENSEN,,49er,5.0,0,GERAL,2,,153.0,104.0,World Championship 2015,2
Nathan OUTTERIDGEIain JENSEN,,49er,32.0,1,GERAL,2,UFD,153.0,104.0,World Championship 2015,3
Nathan OUTTERIDGEIain JENSEN,,49er,7.0,0,GERAL,2,,153.0,104.0,World Championship 2015,4
Nathan OUTTERIDGEIain JENSEN,,49er,17.0,0,GERAL,2,,153.0,104.0,World Championship 2015,5
Nathan OUTTERIDGEIain JENSEN,,49er,27.0,0,GERAL,2,,153.0,104.0,World Championship 2015,6
Nathan OUTTERIDGEIain JENSEN,,49er,2.0,0,GERAL,2,,153.0,104.0,World Championship 2015,7
Nathan OUTTERIDGEIain JENSEN,,49er,2.0,0,GERAL,2,,153.0,104.0,World Championship 2015,8
Nathan OUTTERIDGEIain JENSEN,,49er,17.0,1,OURO,2,,153.0,104.0,World Championship 2015,9
Nathan OUTTERIDGEIain JENSEN,,49er,9.0,0,OURO,2,,153.0,104.0,World Championship 2015,10
Nathan OUTTERIDGEIain JENSEN,,49er,6.0,0,OURO,2,,153.0,104.0,World Championship 2015,11
Nathan OUTTERIDGEIain JENSEN,,49er,2.0,0,OURO,2,,153.0,104.0,World Championship 2015,12
Nathan OUTTERIDGEIain JENSEN,,49er,2.0,0,OURO,2,,153.0,104.0,World Championship 2015,13
Nathan OUTTERIDGEIain JENSEN,,49er,1.0,0,OURO,2,,153.0,104.0,World Championship 2015,14
Nathan OUTTERIDGEIain JENSEN,,49er,4.0,0,OURO,2,,153.0,104.0,World Championship 2015,15
Nathan OUTTERIDGEIain JENSEN,,49er,10.0,0,MEDAL RACE,2,,153.0,104.0,World Championship 2015,16
Federico ALONSOArturo ALONSO TELLECHEA,,49er,8.0,0,GERAL,3,,144.0,107.0,World Championship 2015,1
Federico ALONSOArturo ALONSO TELLECHEA,,49er,4.0,0,GERAL,3,,144.0,107.0,World Championship 2015,2
Federico ALONSOArturo ALONSO TELLECHEA,,49er,4.0,0,GERAL,3,,144.0,107.0,World Championship 2015,3
Federico ALONSOArturo ALONSO TELLECHEA,,49er,9.0,0,GERAL,3,,144.0,107.0,World Championship 2015,4
Federico ALONSOArturo ALONSO TELLECHEA,,49er,4.0,0,GERAL,3,,144.0,107.0,World Championship 2015,5
Federico ALONSOArturo ALONSO TELLECHEA,,49er,8.0,0,GERAL,3,,144.0,107.0,World Championship 2015,6
Federico ALONSOArturo ALONSO TELLECHEA,,49er,13.0,1,GERAL,3,,144.0,107.0,World Championship 2015,7
Federico ALONSOArturo ALONSO TELLECHEA,,49er,1.0,0,GERAL,3,,144.0,107.0,World Championship 2015,8
Federico ALONSOArturo ALONSO TELLECHEA,,49er,1.0,0,OURO,3,,144.0,107.0,World Championship 2015,9
Federico ALONSOArturo ALONSO TELLECHEA,,49er,6.0,0,OURO,3,,144.0,107.0,World Championship 2015,10
