Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Descarte,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
Annemiek BEKKERINGAnnette DUETZ,,49erFX,3.0,0,GERAL,1,,115.0,89.0,World Championship 2018,1
Annemiek BEKKERINGAnnette DUETZ,,49erFX,26.0,1,GERAL,1,,115.0,89.0,World Championship 2018,2
Annemiek BEKKERINGAnnette DUETZ,,49erFX,8.0,0,GERAL,1,,115.0,89.0,World Championship 2018,3
Annemiek BEKKERINGAnnette DUETZ,,49erFX,4.0,0,GERAL,1,,115.0,89.0,World Championship 2018,4
Annemiek BEKKERINGAnnette DUETZ,,49erFX,3.0,0,GERAL,1,,115.0,89.0,World Championship 2018,5
Annemiek BEKKERINGAnnette DUETZ,,49erFX,5.0,0,GERAL,1,,115.0,89.0,World Championship 2018,6
Annemiek BEKKERINGAnnette DUETZ,,49erFX,1.0,0,OURO,1,,115.0,89.0,World Championship 2018,7
Annemiek BEKKERINGAnnette DUETZ,,49erFX,20.0,0,OURO,1,,115.0,89.0,World Championship 2018,8
Annemiek BEKKERINGAnnette DUETZ,,49erFX,11.0,0,OURO,1,,115.0,89.0,World Championship 2018,9
Annemiek BEKKERINGAnnette DUETZ,,49erFX,8.0,0,OURO,1,,115.0,89.0,World Championship 2018,10
Annemiek BEKKERINGAnnette DUETZ,,49erFX,3.0,0,OURO,1,,115.0,89.0,World Championship 2018,11
Annemiek BEKKERINGAnnette DUETZ,,49erFX,19.0,0,OURO,1,,115.0,89.0,World Championship 2018,12
Annemiek BEKKERINGAnnette DUETZ,,49erFX,4.0,0,MEDAL RACE,1,,115.0,89.0,World Championship 2018,13
Tanja FRANKLorena ABICHT,,49erFX,7.0,0,GERAL,2,,116.0,91.0,World Championship 2018,1
Tanja FRANKLorena ABICHT,,49erFX,2.0,0,GERAL,2,,116.0,91.0,World Championship 2018,2
Tanja FRANKLorena ABICHT,,49erFX,25.0,1,GERAL,2,,116.0,91.0,World Championship 2018,3
Tanja FRANKLorena ABICHT,,49erFX,9.0,0,GERAL,2,,116.0,91.0,World Championship 2018,4
Tanja FRANKLorena ABICHT,,49erFX,6.0,0,GERAL,2,,116.0,91.0,World Championship 2018,5
Tanja FRANKLorena ABICHT,,49erFX,4.0,0,GERAL,2,,116.0,91.0,World Championship 2018,6
Tanja FRANKLorena ABICHT,,49erFX,12.0,0,OURO,2,,116.0,91.0,World Championship 2018,7
Tanja FRANKLorena ABICHT,,49erFX,6.0,0,OURO,2,,116.0,91.0,World Championship 2018,8
Tanja FRANKLorena ABICHT,,49erFX,1.0,0,OURO,2,,116.0,91.0,World Championship 2018,9
Tanja FRANKLorena ABICHT,,49erFX,7.0,0,OURO,2,,116.0,91.0,World Championship 2018,10
Tanja FRANKLorena ABICHT,,49erFX,1.0,0,OURO,2,,116.0,91.0,World Championship 2018,11
Tanja FRANKLorena ABICHT,,49erFX,16.0,0,OURO,2,,116.0,91.0,World Championship 2018,12
Tanja FRANKLorena ABICHT,,49erFX,20.0,0,MEDAL RACE,2,,116.0,91.0,World Championship 2018,13
Sophie WEGUELINSophie AINSWORTH,,49erFX,13.0,0,GERAL,3,,113.0,94.0,World Championship 2018,1
Sophie WEGUELINSophie AINSWORTH,,49erFX,7.0,0,GERAL,3,,113.0,94.0,World Championship 2018,2
Sophie WEGUELINSophie AINSWORTH,,49erFX,9.0,0,GERAL,3,,113.0,94.0,World Championship 2018,3
Sophie WEGUELINSophie AINSWORTH,,49erFX,8.0,0,GERAL,3,,113.0,94.0,World Championship 2018,4
Sophie WEGUELINSophie AINSWORTH,,49erFX,19.0,1,GERAL,3,,113.0,94.0,World Championship 2018,5
Sophie WEGUELINSophie AINSWORTH,,49erFX,8.0,0,GERAL,3,,113.0,94.0,World Championship 2018,6
Sophie WEGUELINSophie AINSWORTH,,49erFX,15.0,0,OURO,3,,113.0,94.0,World Championship 2018,7
Sophie WEGUELINSophie AINSWORTH,,49erFX,3.0,0,OURO,3,,113.0,94.0,World Championship 2018,8
Sophie WEGUELINSophie AINSWORTH,,49erFX,2.0,0,OURO,3,,113.0,94.0,World Championship 2018,9
Sophie WEGUELINSophie AINSWORTH,,49erFX,1.0,0,OURO,3,,113.0,94.0,World Championship 2018,10
