Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Descarte,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
Emma PLASSCHAERT,,Ilca 6,5.0,0,GERAL,1,,81.0,66.0,World Championship 2018,1
Emma PLASSCHAERT,,Ilca 6,7.0,0,GERAL,1,,81.0,66.0,World Championship 2018,2
Emma PLASSCHAERT,,Ilca 6,1.0,0,GERAL,1,,81.0,66.0,World Championship 2018,3
Emma PLASSCHAERT,,Ilca 6,15.0,1,GERAL,1,,81.0,66.0,World Championship 2018,4
Emma PLASSCHAERT,,Ilca 6,9.0,0,GERAL,1,,81.0,66.0,World Championship 2018,5
Emma PLASSCHAERT,,Ilca 6,3.0,0,GERAL,1,,81.0,66.0,World Championship 2018,6
Emma PLASSCHAERT,,Ilca 6,11.0,0,OURO,1,,81.0,66.0,World Championship 2018,7
Emma PLASSCHAERT,,Ilca 6,7.0,0,OURO,1,,81.0,66.0,World Championship 2018,8
Emma PLASSCHAERT,,Ilca 6,11.0,0,OURO,1,,81.0,66.0,World Championship 2018,9
Emma PLASSCHAERT,,Ilca 6,2.0,0,OURO,1,,81.0,66.0,World Championship 2018,10
Emma PLASSCHAERT,,Ilca 6,10.0,0,MEDAL RACE,1,,81.0,66.0,World Championship 2018,11
Marit BOUWMEESTER,,Ilca 6,3.0,0,GERAL,2,,103.0,75.0,World Championship 2018,1
Marit BOUWMEESTER,,Ilca 6,2.0,0,GERAL,2,,103.0,75.0,World Championship 2018,2
Marit BOUWMEESTER,,Ilca 6,11.0,0,GERAL,2,,103.0,75.0,World Championship 2018,3
Marit BOUWMEESTER,,Ilca 6,28.0,1,GERAL,2,,103.0,75.0,World Championship 2018,4
Marit BOUWMEESTER,,Ilca 6,16.0,0,GERAL,2,,103.0,75.0,World Championship 2018,5
Marit BOUWMEESTER,,Ilca 6,4.0,0,GERAL,2,,103.0,75.0,World Championship 2018,6
Marit BOUWMEESTER,,Ilca 6,14.0,0,OURO,2,,103.0,75.0,World Championship 2018,7
Marit BOUWMEESTER,,Ilca 6,11.0,0,OURO,2,,103.0,75.0,World Championship 2018,8
Marit BOUWMEESTER,,Ilca 6,1.0,0,OURO,2,,103.0,75.0,World Championship 2018,9
