,Position,Athlete,Nacionalidade,Regata,Pontuação Regata,Total,Net,Classe Vela,Nome Competição
0,1,"MOBEKK, MINA / MINA MOBEKK",NOR,1Q,-15,207,116,IQFOIL FEM.,European Championship 2023
1,1,"MOBEKK, MINA / MINA MOBEKK",NOR,2Q,2,207,116,IQFOIL FEM.,European Championship 2023
2,1,"MOBEKK, MINA / MINA MOBEKK",NOR,3Q,6,207,116,IQFOIL FEM.,European Championship 2023
3,1,"MOBEKK, MINA / MINA MOBEKK",NOR,4Q,3,207,116,IQFOIL FEM.,European Championship 2023
4,1,"MOBEKK, MINA / MINA MOBEKK",NOR,5Q,3,207,116,IQFOIL FEM.,European Championship 2023
5,1,"MOBEKK, MINA / MINA MOBEKK",NOR,6Q,3,207,116,IQFOIL FEM.,European Championship 2023
6,1,"MOBEKK, MINA / MINA MOBEKK",NOR,7Q,10,207,116,IQFOIL FEM.,European Championship 2023
7,1,"MOBEKK, MINA / MINA MOBEKK",NOR,8Q,-13,207,116,IQFOIL FEM.,European Championship 2023
8,1,"MOBEKK, MINA / MINA MOBEKK",NOR,9F,4,207,116,IQFOIL FEM.,European Championship 2023
9,1,"MOBEKK, MINA / MINA MOBEKK",NOR,10F,8,207,116,IQFOIL FEM.,European Championship 2023
10,1,"MOBEKK, MINA / MINA MOBEKK",NOR,11F,9,207,116,IQFOIL FEM.,European Championship 2023
11,1,"MOBEKK, MINA / MINA MOBEKK",NOR,12F,14,207,116,IQFOIL FEM.,European Championship 2023
12,1,"MOBEKK, MINA / MINA MOBEKK",NOR,13F,5,207,116,IQFOIL FEM.,European Championship 2023
13,1,"MOBEKK, MINA / MINA MOBEKK",NOR,14F,25,207,116,IQFOIL FEM.,European Championship 2023
14,1,"MOBEKK, MINA / MINA MOBEKK",NOR,15F,3,207,116,IQFOIL FEM.,European Championship 2023
15,1,"MOBEKK, MINA / MINA MOBEKK",NOR,16F,-29,207,116,IQFOIL FEM.,European Championship 2023
16,1,"MOBEKK, MINA / MINA MOBEKK",NOR,17F,17,207,116,IQFOIL FEM.,European Championship 2023
17,1,"MOBEKK, MINA / MINA MOBEKK",NOR,18F,4,207,116,IQFOIL FEM.,European Championship 2023
18,1,"MOBEKK, MINA / MINA MOBEKK",NOR,19F,-34.0,207,116,IQFOIL FEM.,European Championship 2023
19,1,"MOBEKK, MINA / MINA MOBEKK",NOR,MR,1.0,207,116,IQFOIL FEM.,European Championship 2023
20,2,"KANTOR, SHARON",ISR,1Q,-15,98,34,IQFOIL FEM.,European Championship 2023
21,2,"KANTOR, SHARON",ISR,2Q,-10,98,34,IQFOIL FEM.,European Championship 2023
22,2,"KANTOR, SHARON",ISR,3Q,2,98,34,IQFOIL FEM.,European Championship 2023
23,2,"KANTOR, SHARON",ISR,4Q,2,98,34,IQFOIL FEM.,European Championship 2023
24,2,"KANTOR, SHARON",ISR,5Q,1,98,34,IQFOIL FEM.,European Championship 2023
25,2,"KANTOR, SHARON",ISR,6Q,1,98,34,IQFOIL FEM.,European Championship 2023
26,2,"KANTOR, SHARON",ISR,7Q,1,98,34,IQFOIL FEM.,European Championship 2023
27,2,"KANTOR, SHARON",ISR,8Q,1,98,34,IQFOIL FEM.,European Championship 2023
28,2,"KANTOR, SHARON",ISR,9F,1,98,34,IQFOIL FEM.,European Championship 2023
29,2,"KANTOR, SHARON",ISR,10F,2,98,34,IQFOIL FEM.,European Championship 2023
30,2,"KANTOR, SHARON",ISR,11F,1,98,34,IQFOIL FEM.,European Championship 2023
31,2,"KANTOR, SHARON",ISR,12F,1,98,34,IQFOIL FEM.,European Championship 2023
32,2,"KANTOR, SHARON",ISR,13F,-27,98,34,IQFOIL FEM.,European Championship 2023
33,2,"KANTOR, SHARON",ISR,14F,7,98,34,IQFOIL FEM.,European Championship 2023
34,2,"KANTOR, SHARON",ISR,15F,7,98,34,IQFOIL FEM.,European Championship 2023
35,2,"KANTOR, SHARON",ISR,16F,3,98,34,IQFOIL FEM.,European Championship 2023
36,2,"KANTOR, SHARON",ISR,17F,-12,98,34,IQFOIL FEM.,European Championship 2023
37,2,"KANTOR, SHARON",ISR,18F,3,98,34,IQFOIL FEM.,European Championship 2023
38,2,"KANTOR, SHARON",ISR,19F,1.0,98,34,IQFOIL FEM.,European Championship 2023
39,2,"KANTOR, SHARON",ISR,MR,2.0,98,34,IQFOIL FEM.,European Championship 2023
40,3,"WILSON, EMMA / WEYMOUTH &",GBR,1Q,1,"181,4","67,4",IQFOIL FEM.,European Championship 2023
41,3,"WILSON, EMMA / WEYMOUTH &",GBR,2Q,3,"181,4","67,4",IQFOIL FEM.,European Championship 2023
42,3,"WILSON, EMMA / WEYMOUTH &",GBR,3Q,1,"181,4","67,4",IQFOIL FEM.,European Championship 2023
43,3,"WILSON, EMMA / WEYMOUTH &",GBR,4Q,3,"181,4","67,4",IQFOIL FEM.,European Championship 2023
44,3,"WILSON, EMMA / WEYMOUTH &",GBR,5Q,3,"181,4","67,4",IQFOIL FEM.,European Championship 2023
45,3,"WILSON, EMMA / WEYMOUTH &",GBR,6Q,-6,"181,4","67,4",IQFOIL FEM.,European Championship 2023
46,3,"WILSON, EMMA / WEYMOUTH &",GBR,7Q,BFD (46),"181,4","67,4",IQFOIL FEM.,European Championship 2023
47,3,"WILSON, EMMA / WEYMOUTH &",GBR,8Q,2,"181,4","67,4",IQFOIL FEM.,European Championship 2023
48,3,"WILSON, EMMA / WEYMOUTH &",GBR,9F,-25,"181,4","67,4",IQFOIL FEM.,European Championship 2023
49,3,"WILSON, EMMA / WEYMOUTH &",GBR,10F,9,"181,4","67,4",IQFOIL FEM.,European Championship 2023
50,3,"WILSON, EMMA / WEYMOUTH &",GBR,11F,RDG 14.40,"181,4","67,4",IQFOIL FEM.,European Championship 2023
51,3,"WILSON, EMMA / WEYMOUTH &",GBR,12F,8,"181,4","67,4",IQFOIL FEM.,European Championship 2023
52,3,"WILSON, EMMA / WEYMOUTH &",GBR,13F,13,"181,4","67,4",IQFOIL FEM.,European Championship 2023
53,3,"WILSON, EMMA / WEYMOUTH &",GBR,14F,3,"181,4","67,4",IQFOIL FEM.,European Championship 2023
54,3,"WILSON, EMMA / WEYMOUTH &",GBR,15F,1,"181,4","67,4",IQFOIL FEM.,European Championship 2023
55,3,"WILSON, EMMA / WEYMOUTH &",GBR,16F,-37,"181,4","67,4",IQFOIL FEM.,European Championship 2023
56,3,"WILSON, EMMA / WEYMOUTH &",GBR,17F,1,"181,4","67,4",IQFOIL FEM.,European Championship 2023
57,3,"WILSON, EMMA / WEYMOUTH &",GBR,18F,2,"181,4","67,4",IQFOIL FEM.,European Championship 2023
58,3,"WILSON, EMMA / WEYMOUTH &",GBR,19F,3.0,"181,4","67,4",IQFOIL FEM.,European Championship 2023
59,3,"WILSON, EMMA / WEYMOUTH &",GBR,MR,3.0,"181,4","67,4",IQFOIL FEM.,European Championship 2023
60,4,"NOESMOEN, HELENE / BANQUE",FRA,1Q,1,195,128,IQFOIL FEM.,European Championship 2023
61,4,"NOESMOEN, HELENE / BANQUE",FRA,2Q,-10,195,128,IQFOIL FEM.,European Championship 2023
62,4,"NOESMOEN, HELENE / BANQUE",FRA,3Q,4,195,128,IQFOIL FEM.,European Championship 2023
63,4,"NOESMOEN, HELENE / BANQUE",FRA,4Q,4,195,128,IQFOIL FEM.,European Championship 2023
64,4,"NOESMOEN, HELENE / BANQUE",FRA,5Q,6,195,128,IQFOIL FEM.,European Championship 2023
65,4,"NOESMOEN, HELENE / BANQUE",FRA,6Q,10,195,128,IQFOIL FEM.,European Championship 2023
66,4,"NOESMOEN, HELENE / BANQUE",FRA,7Q,-13,195,128,IQFOIL FEM.,European Championship 2023
67,4,"NOESMOEN, HELENE / BANQUE",FRA,8Q,8,195,128,IQFOIL FEM.,European Championship 2023
68,4,"NOESMOEN, HELENE / BANQUE",FRA,9F,15,195,128,IQFOIL FEM.,European Championship 2023
69,4,"NOESMOEN, HELENE / BANQUE",FRA,10F,7,195,128,IQFOIL FEM.,European Championship 2023
70,4,"NOESMOEN, HELENE / BANQUE",FRA,11F,5,195,128,IQFOIL FEM.,European Championship 2023
71,4,"NOESMOEN, HELENE / BANQUE",FRA,12F,-21,195,128,IQFOIL FEM.,European Championship 2023
72,4,"NOESMOEN, HELENE / BANQUE",FRA,13F,-23,195,128,IQFOIL FEM.,European Championship 2023
73,4,"NOESMOEN, HELENE / BANQUE",FRA,14F,17,195,128,IQFOIL FEM.,European Championship 2023
74,4,"NOESMOEN, HELENE / BANQUE",FRA,15F,17,195,128,IQFOIL FEM.,European Championship 2023
75,4,"NOESMOEN, HELENE / BANQUE",FRA,16F,13,195,128,IQFOIL FEM.,European Championship 2023
76,4,"NOESMOEN, HELENE / BANQUE",FRA,17F,4,195,128,IQFOIL FEM.,European Championship 2023
77,4,"NOESMOEN, HELENE / BANQUE",FRA,18F,13,195,128,IQFOIL FEM.,European Championship 2023
78,4,"NOESMOEN, HELENE / BANQUE",FRA,19F,4.0,195,128,IQFOIL FEM.,European Championship 2023
79,4,"NOESMOEN, HELENE / BANQUE",FRA,MR,4.0,195,128,IQFOIL FEM.,European Championship 2023
80,5,"TIBI, SHAHAR / NOVA",ISR,1Q,7,134,49,IQFOIL FEM.,European Championship 2023
81,5,"TIBI, SHAHAR / NOVA",ISR,2Q,1,134,49,IQFOIL FEM.,European Championship 2023
82,5,"TIBI, SHAHAR / NOVA",ISR,3Q,-14,134,49,IQFOIL FEM.,European Championship 2023
83,5,"TIBI, SHAHAR / NOVA",ISR,4Q,5,134,49,IQFOIL FEM.,European Championship 2023
84,5,"TIBI, SHAHAR / NOVA",ISR,5Q,-11,134,49,IQFOIL FEM.,European Championship 2023
85,5,"TIBI, SHAHAR / NOVA",ISR,6Q,4,134,49,IQFOIL FEM.,European Championship 2023
86,5,"TIBI, SHAHAR / NOVA",ISR,7Q,4,134,49,IQFOIL FEM.,European Championship 2023
87,5,"TIBI, SHAHAR / NOVA",ISR,8Q,4,134,49,IQFOIL FEM.,European Championship 2023
88,5,"TIBI, SHAHAR / NOVA",ISR,9F,3,134,49,IQFOIL FEM.,European Championship 2023
89,5,"TIBI, SHAHAR / NOVA",ISR,10F,5,134,49,IQFOIL FEM.,European Championship 2023
90,5,"TIBI, SHAHAR / NOVA",ISR,11F,2,134,49,IQFOIL FEM.,European Championship 2023
91,5,"TIBI, SHAHAR / NOVA",ISR,12F,3,134,49,IQFOIL FEM.,European Championship 2023
92,5,"TIBI, SHAHAR / NOVA",ISR,13F,-41,134,49,IQFOIL FEM.,European Championship 2023
93,5,"TIBI, SHAHAR / NOVA",ISR,14F,5,134,49,IQFOIL FEM.,European Championship 2023
94,5,"TIBI, SHAHAR / NOVA",ISR,15F,1,134,49,IQFOIL FEM.,European Championship 2023
95,5,"TIBI, SHAHAR / NOVA",ISR,16F,1,134,49,IQFOIL FEM.,European Championship 2023
96,5,"TIBI, SHAHAR / NOVA",ISR,17F,3,134,49,IQFOIL FEM.,European Championship 2023
97,5,"TIBI, SHAHAR / NOVA",ISR,18F,1,134,49,IQFOIL FEM.,European Championship 2023
98,5,"TIBI, SHAHAR / NOVA",ISR,19F,-19.0,134,49,IQFOIL FEM.,European Championship 2023
99,5,"TIBI, SHAHAR / NOVA",ISR,MR,5.0,134,49,IQFOIL FEM.,European Championship 2023
