Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Descarte,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
Hidde SCHRAFFORDT,248,ilca 6,2.0,1,GERAL,1,,10.0,8.0,CAMPEONATO ABERTO BELGA 2023,1
Hidde SCHRAFFORDT,248,ilca 6,2.0,0,GERAL,1,,10.0,8.0,CAMPEONATO ABERTO BELGA 2023,2
Hidde SCHRAFFORDT,248,ilca 6,1.0,0,GERAL,1,,10.0,8.0,CAMPEONATO ABERTO BELGA 2023,3
Hidde SCHRAFFORDT,248,ilca 6,2.0,0,GERAL,1,,10.0,8.0,CAMPEONATO ABERTO BELGA 2023,4
Hidde SCHRAFFORDT,248,ilca 6,1.0,0,GERAL,1,,10.0,8.0,CAMPEONATO ABERTO BELGA 2023,5
Hidde SCHRAFFORDT,248,ilca 6,2.0,0,GERAL,1,,10.0,8.0,CAMPEONATO ABERTO BELGA 2023,6
Anders BULTYNCK,248,ilca 6,26.0,1,GERAL,2,UFD,36.0,10.0,CAMPEONATO ABERTO BELGA 2023,1
Anders BULTYNCK,248,ilca 6,4.0,0,GERAL,2,,36.0,10.0,CAMPEONATO ABERTO BELGA 2023,2
Anders BULTYNCK,248,ilca 6,2.0,0,GERAL,2,,36.0,10.0,CAMPEONATO ABERTO BELGA 2023,3
Anders BULTYNCK,248,ilca 6,1.0,0,GERAL,2,,36.0,10.0,CAMPEONATO ABERTO BELGA 2023,4
Anders BULTYNCK,248,ilca 6,2.0,0,GERAL,2,,36.0,10.0,CAMPEONATO ABERTO BELGA 2023,5
Anders BULTYNCK,248,ilca 6,1.0,0,GERAL,2,,36.0,10.0,CAMPEONATO ABERTO BELGA 2023,6
Max FRANK,248,ilca 6,4.0,0,GERAL,3,,23.0,17.0,CAMPEONATO ABERTO BELGA 2023,1
Max FRANK,248,ilca 6,3.0,0,GERAL,3,,23.0,17.0,CAMPEONATO ABERTO BELGA 2023,2
Max FRANK,248,ilca 6,4.0,0,GERAL,3,,23.0,17.0,CAMPEONATO ABERTO BELGA 2023,3
Max FRANK,248,ilca 6,6.0,1,GERAL,3,,23.0,17.0,CAMPEONATO ABERTO BELGA 2023,4
