Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Descarte,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
Franz LASCH,267,ilca 6,2.0,0,GERAL,1,,4.0,4.0,DER WIKINGER 2023,1
Franz LASCH,267,ilca 6,1.0,0,GERAL,1,,4.0,4.0,DER WIKINGER 2023,2
Franz LASCH,267,ilca 6,1.0,0,GERAL,1,,4.0,4.0,DER WIKINGER 2023,3
Victor HENSEL,267,ilca 6,1.0,0,GERAL,2,,5.0,5.0,DER WIKINGER 2023,1
Victor HENSEL,267,ilca 6,2.0,0,GERAL,2,,5.0,5.0,DER WIKINGER 2023,2
Victor HENSEL,267,ilca 6,2.0,0,GERAL,2,,5.0,5.0,DER WIKINGER 2023,3
Simon STRACKOW,267,ilca 6,3.0,0,GERAL,3,,9.0,9.0,DER WIKINGER 2023,1
Simon STRACKOW,267,ilca 6,3.0,0,GERAL,3,,9.0,9.0,DER WIKINGER 2023,2
Simon STRACKOW,267,ilca 6,3.0,0,GERAL,3,,9.0,9.0,DER WIKINGER 2023,3
David BUCHLER,267,ilca 6,5.0,0,GERAL,4,,13.0,13.0,DER WIKINGER 2023,1
David BUCHLER,267,ilca 6,4.0,0,GERAL,4,,13.0,13.0,DER WIKINGER 2023,2
David BUCHLER,267,ilca 6,4.0,0,GERAL,4,,13.0,13.0,DER WIKINGER 2023,3
Lena Marie FISCHER,267,ilca 6,4.0,0,GERAL,5,,15.0,15.0,DER WIKINGER 2023,1
Lena Marie FISCHER,267,ilca 6,5.0,0,GERAL,5,,15.0,15.0,DER WIKINGER 2023,2
Lena Marie FISCHER,267,ilca 6,6.0,0,GERAL,5,,15.0,15.0,DER WIKINGER 2023,3
Georg GRAW,267,ilca 6,6.0,0,GERAL,6,,17.0,17.0,DER WIKINGER 2023,1
Georg GRAW,267,ilca 6,6.0,0,GERAL,6,,17.0,17.0,DER WIKINGER 2023,2
Georg GRAW,267,ilca 6,5.0,0,GERAL,6,,17.0,17.0,DER WIKINGER 2023,3
Felix MINEUR,267,ilca 6,9.0,0,GERAL,7,,25.0,25.0,DER WIKINGER 2023,1
Felix MINEUR,267,ilca 6,8.0,0,GERAL,7,,25.0,25.0,DER WIKINGER 2023,2
Felix MINEUR,267,ilca 6,8.0,0,GERAL,7,,25.0,25.0,DER WIKINGER 2023,3
Leon PFAFF,267,ilca 6,7.0,0,GERAL,8,,26.0,26.0,DER WIKINGER 2023,1
Leon PFAFF,267,ilca 6,12.0,0,GERAL,8,,26.0,26.0,DER WIKINGER 2023,2
Leon PFAFF,267,ilca 6,7.0,0,GERAL,8,,26.0,26.0,DER WIKINGER 2023,3
