Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Descarte,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
Peter BURLINGBlair TUKE,24,49er,1.0,0,GERAL,1,,70.0,47.0,European Championship 2016,1
Peter BURLINGBlair TUKE,24,49er,1.0,0,GERAL,1,,70.0,47.0,European Championship 2016,2
Peter BURLINGBlair TUKE,24,49er,2.0,0,GERAL,1,,70.0,47.0,European Championship 2016,3
Peter BURLINGBlair TUKE,24,49er,1.0,0,GERAL,1,,70.0,47.0,European Championship 2016,4
Peter BURLINGBlair TUKE,24,49er,3.0,0,GERAL,1,,70.0,47.0,European Championship 2016,5
Peter BURLINGBlair TUKE,24,49er,1.0,0,GERAL,1,,70.0,47.0,European Championship 2016,6
Peter BURLINGBlair TUKE,24,49er,6.0,1,GERAL,1,,70.0,47.0,European Championship 2016,7
Peter BURLINGBlair TUKE,24,49er,1.0,0,GERAL,1,,70.0,47.0,European Championship 2016,8
Peter BURLINGBlair TUKE,24,49er,1.0,0,GERAL,1,,70.0,47.0,European Championship 2016,9
Peter BURLINGBlair TUKE,24,49er,1.0,0,OURO,1,,70.0,47.0,European Championship 2016,10
Peter BURLINGBlair TUKE,24,49er,6.0,0,OURO,1,,70.0,47.0,European Championship 2016,11
Peter BURLINGBlair TUKE,24,49er,1.0,0,OURO,1,,70.0,47.0,European Championship 2016,12
Peter BURLINGBlair TUKE,24,49er,3.0,0,OURO,1,,70.0,47.0,European Championship 2016,13
Peter BURLINGBlair TUKE,24,49er,17.0,1,OURO,1,,70.0,47.0,European Championship 2016,14
Peter BURLINGBlair TUKE,24,49er,2.0,0,OURO,1,,70.0,47.0,European Championship 2016,15
Peter BURLINGBlair TUKE,24,49er,15.0,0,OURO,1,,70.0,47.0,European Championship 2016,16
Peter BURLINGBlair TUKE,24,49er,2.0,0,OURO,1,,70.0,47.0,European Championship 2016,17
Peter BURLINGBlair TUKE,24,49er,4.0,0,OURO,1,,70.0,47.0,European Championship 2016,18
Peter BURLINGBlair TUKE,24,49er,2.0,0,MEDAL RACE,1,,70.0,47.0,European Championship 2016,19
Nathan OUTTERIDGEIain JENSEN,24,49er,4.0,0,GERAL,2,,138.0,107.0,European Championship 2016,1
Nathan OUTTERIDGEIain JENSEN,24,49er,7.0,0,GERAL,2,,138.0,107.0,European Championship 2016,2
Nathan OUTTERIDGEIain JENSEN,24,49er,1.0,0,GERAL,2,,138.0,107.0,European Championship 2016,3
Nathan OUTTERIDGEIain JENSEN,24,49er,2.0,0,GERAL,2,,138.0,107.0,European Championship 2016,4
Nathan OUTTERIDGEIain JENSEN,24,49er,11.0,0,GERAL,2,,138.0,107.0,European Championship 2016,5
Nathan OUTTERIDGEIain JENSEN,24,49er,15.0,1,GERAL,2,,138.0,107.0,European Championship 2016,6
Nathan OUTTERIDGEIain JENSEN,24,49er,1.0,0,GERAL,2,,138.0,107.0,European Championship 2016,7
Nathan OUTTERIDGEIain JENSEN,24,49er,5.0,0,GERAL,2,,138.0,107.0,European Championship 2016,8
Nathan OUTTERIDGEIain JENSEN,24,49er,4.0,0,GERAL,2,,138.0,107.0,European Championship 2016,9
Nathan OUTTERIDGEIain JENSEN,24,49er,4.0,0,OURO,2,,138.0,107.0,European Championship 2016,10
Nathan OUTTERIDGEIain JENSEN,24,49er,5.0,0,OURO,2,,138.0,107.0,European Championship 2016,11
Nathan OUTTERIDGEIain JENSEN,24,49er,9.0,0,OURO,2,,138.0,107.0,European Championship 2016,12
Nathan OUTTERIDGEIain JENSEN,24,49er,1.0,0,OURO,2,,138.0,107.0,European Championship 2016,13
Nathan OUTTERIDGEIain JENSEN,24,49er,16.0,1,OURO,2,,138.0,107.0,European Championship 2016,14
Nathan OUTTERIDGEIain JENSEN,24,49er,11.0,0,OURO,2,,138.0,107.0,European Championship 2016,15
Nathan OUTTERIDGEIain JENSEN,24,49er,2.0,0,OURO,2,,138.0,107.0,European Championship 2016,16
Nathan OUTTERIDGEIain JENSEN,24,49er,12.0,0,OURO,2,,138.0,107.0,European Championship 2016,17
Nathan OUTTERIDGEIain JENSEN,24,49er,10.0,0,OURO,2,,138.0,107.0,European Championship 2016,18
