Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
Huig Jan Tak,4,IQFOIL Masc,3.0,O,1,,35.0,20.0,European Championship 2021 - Gold Fleet & Medal Race,Q1
Nicolas Goyard,4,IQFOIL Masc,7.0,O,2,,79.0,28.0,European Championship 2021 - Gold Fleet & Medal Race,Q1
luuc van opzeeland,4,IQFOIL Masc,5.0,O,3,,69.0,32.0,European Championship 2021 - Gold Fleet & Medal Race,Q1
Louis Giard,4,IQFOIL Masc,1.0,O,4,,70.0,40.0,European Championship 2021 - Gold Fleet & Medal Race,Q1
Tom Reuveny,4,IQFOIL Masc,(37.0 DNCs),O,5,,109.0,40.0,European Championship 2021 - Gold Fleet & Medal Race,Q1
Mateus Isaac,4,IQFOIL Masc,3.0,O,6,,87.0,44.0,European Championship 2021 - Gold Fleet & Medal Race,Q1
Titouan Le Bosq,4,IQFOIL Masc,1.0,O,7,,76.0,54.0,European Championship 2021 - Gold Fleet & Medal Race,Q1
Sills Samuel,4,IQFOIL Masc,9.0,O,8,,102.0,61.0,European Championship 2021 - Gold Fleet & Medal Race,Q1
Sebastian Koerdel,4,IQFOIL Masc,3.0,O,9,,101.0,64.0,European Championship 2021 - Gold Fleet & Medal Race,Q1
Finn Hawkins,4,IQFOIL Masc,3.0,O,10,,111.0,70.0,European Championship 2021 - Gold Fleet & Medal Race,Q1
Tom ARNOUX,4,IQFOIL Masc,(15.0),O,11,,119.0,74.0,European Championship 2021 - Gold Fleet & Medal Race,Q1
Pierre Le coq,4,IQFOIL Masc,13.0,O,12,,141.6,78.6,European Championship 2021 - Gold Fleet & Medal Race,Q1
Romain Ghio,4,IQFOIL Masc,(11.0),O,13,,130.0,80.0,European Championship 2021 - Gold Fleet & Medal Race,Q1
nicola renna,4,IQFOIL Masc,1.0,O,14,,149.0,83.0,European Championship 2021 - Gold Fleet & Medal Race,Q1
Thomas Goyard,4,IQFOIL Masc,17.0,O,15,,133.0,85.0,European Championship 2021 - Gold Fleet & Medal Race,Q1
Pawel Tarnowski,4,IQFOIL Masc,9.0,O,16,,151.0,100.0,European Championship 2021 - Gold Fleet & Medal Race,Q1
MICHAL POLAK,4,IQFOIL Masc,3.0,O,17,,164.0,104.0,European Championship 2021 - Gold Fleet & Medal Race,Q1
Andy Browm,4,IQFOIL Masc,21.0,O,18,,208.0,117.0,European Championship 2021 - Gold Fleet & Medal Race,Q1
Amado Vrieswijk,4,IQFOIL Masc,(27.0),O,19,,223.0,121.0,European Championship 2021 - Gold Fleet & Medal Race,Q1
Vardimon Tomer,4,IQFOIL Masc,7.0,O,20,,172.0,125.0,European Championship 2021 - Gold Fleet & Medal Race,Q1
yoav omer,4,IQFOIL Masc,15.0,O,21,,192.0,127.0,European Championship 2021 - Gold Fleet & Medal Race,Q1
Rutkowski Maciek,4,IQFOIL Masc,3.0,O,22,,217.0,129.0,European Championship 2021 - Gold Fleet & Medal Race,Q1
Tomas Vieito Cobian,4,IQFOIL Masc,(29.0),O,23,,198.0,135.0,European Championship 2021 - Gold Fleet & Medal Race,Q1
Oel Pouliquen,4,IQFOIL Masc,1.0,O,24,,192.0,136.0,European Championship 2021 - Gold Fleet & Medal Race,Q1
fabien Pianazza,4,IQFOIL Masc,(7.0),O,25,,190.0,141.0,European Championship 2021 - Gold Fleet & Medal Race,Q1
Joost Vink,4,IQFOIL Masc,11.0,O,26,,225.0,152.0,European Championship 2021 - Gold Fleet & Medal Race,Q1
Luca DI TOMASSI,4,IQFOIL Masc,(15.0),O,27,,217.0,157.0,European Championship 2021 - Gold Fleet & Medal Race,Q1
Matthew Barton,4,IQFOIL Masc,1.0,O,28,,253.0,160.0,European Championship 2021 - Gold Fleet & Medal Race,Q1
Luc Schmitz,4,IQFOIL Masc,(17.0),O,29,,229.0,172.0,European Championship 2021 - Gold Fleet & Medal Race,Q1
Yun Pouliquen,4,IQFOIL Masc,1.0,O,30,,255.0,173.0,European Championship 2021 - Gold Fleet & Medal Race,Q1
Max Castelein,4,IQFOIL Masc,7.0,O,31,,261.0,176.0,European Championship 2021 - Gold Fleet & Medal Race,Q1
Roi Hillel,4,IQFOIL Masc,9.0,O,32,,251.0,176.0,European Championship 2021 - Gold Fleet & Medal Race,Q1
BERNAT TOMĂS,4,IQFOIL Masc,9.0,O,33,,261.0,177.0,European Championship 2021 - Gold Fleet & Medal Race,Q1
Alexandre Cousin,4,IQFOIL Masc,5.0,O,34,,249.0,179.0,European Championship 2021 - Gold Fleet & Medal Race,Q1
