Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Descarte,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
Martine GRAEL,5,49erFX,10.0,1,blue,1,,79.0,69.0,European Championship 2022,1
Martine GRAEL,5,49erFX,3.0,0,blue,1,,79.0,69.0,European Championship 2022,2
Martine GRAEL,5,49erFX,2.0,0,blue,1,,79.0,69.0,European Championship 2022,3
Martine GRAEL,5,49erFX,3.0,0,yellow,1,,79.0,69.0,European Championship 2022,4
Martine GRAEL,5,49erFX,2.0,0,yellow,1,,79.0,69.0,European Championship 2022,5
Martine GRAEL,5,49erFX,8.0,0,yellow,1,,79.0,69.0,European Championship 2022,6
Martine GRAEL,5,49erFX,9.0,0,yellow,1,,79.0,69.0,European Championship 2022,7
Martine GRAEL,5,49erFX,3.0,0,yellow,1,,79.0,69.0,European Championship 2022,8
Martine GRAEL,5,49erFX,1.0,0,yellow,1,,79.0,69.0,European Championship 2022,9
Martine GRAEL,5,49erFX,3.0,0,gold,1,,79.0,69.0,European Championship 2022,10
Martine GRAEL,5,49erFX,10.0,0,gold,1,,79.0,69.0,European Championship 2022,11
Martine GRAEL,5,49erFX,2.0,0,gold,1,,79.0,69.0,European Championship 2022,12
Martine GRAEL,5,49erFX,1.0,0,gold,1,,79.0,69.0,European Championship 2022,13
Martine GRAEL,5,49erFX,6.0,0,gold,1,,79.0,69.0,European Championship 2022,14
Martine GRAEL,5,49erFX,16.0,0,medal,1,,79.0,69.0,European Championship 2022,15
Odile van AANHOLT,5,49erFX,7.0,0,yellow,2,,91.0,75.0,European Championship 2022,1
Odile van AANHOLT,5,49erFX,12.0,0,yellow,2,,91.0,75.0,European Championship 2022,2
Odile van AANHOLT,5,49erFX,1.0,0,yellow,2,,91.0,75.0,European Championship 2022,3
Odile van AANHOLT,5,49erFX,6.0,0,blue,2,,91.0,75.0,European Championship 2022,4
Odile van AANHOLT,5,49erFX,8.0,0,blue,2,,91.0,75.0,European Championship 2022,5
Odile van AANHOLT,5,49erFX,4.0,0,blue,2,,91.0,75.0,European Championship 2022,6
Odile van AANHOLT,5,49erFX,16.0,1,blue,2,,91.0,75.0,European Championship 2022,7
Odile van AANHOLT,5,49erFX,1.0,0,blue,2,,91.0,75.0,European Championship 2022,8
Odile van AANHOLT,5,49erFX,3.0,0,blue,2,,91.0,75.0,European Championship 2022,9
Odile van AANHOLT,5,49erFX,2.0,0,gold,2,,91.0,75.0,European Championship 2022,10
Odile van AANHOLT,5,49erFX,4.0,0,gold,2,,91.0,75.0,European Championship 2022,11
Odile van AANHOLT,5,49erFX,5.0,0,gold,2,,91.0,75.0,European Championship 2022,12
Odile van AANHOLT,5,49erFX,9.0,0,gold,2,,91.0,75.0,European Championship 2022,13
Odile van AANHOLT,5,49erFX,1.0,0,gold,2,,91.0,75.0,European Championship 2022,14
Odile van AANHOLT,5,49erFX,12.0,0,medal,2,,91.0,75.0,European Championship 2022,15
Vilma BOBECK,5,49erFX,6.0,0,yellow,3,,102.0,78.0,European Championship 2022,1
Vilma BOBECK,5,49erFX,1.0,0,yellow,3,,102.0,78.0,European Championship 2022,2
Vilma BOBECK,5,49erFX,4.0,0,yellow,3,,102.0,78.0,European Championship 2022,3
Vilma BOBECK,5,49erFX,1.0,0,blue,3,,102.0,78.0,European Championship 2022,4
Vilma BOBECK,5,49erFX,2.0,0,blue,3,,102.0,78.0,European Championship 2022,5
Vilma BOBECK,5,49erFX,8.0,0,blue,3,,102.0,78.0,European Championship 2022,6
Vilma BOBECK,5,49erFX,1.0,0,blue,3,,102.0,78.0,European Championship 2022,7
Vilma BOBECK,5,49erFX,5.0,0,blue,3,,102.0,78.0,European Championship 2022,8
Vilma BOBECK,5,49erFX,1.0,0,blue,3,,102.0,78.0,European Championship 2022,9
Vilma BOBECK,5,49erFX,24.0,1,gold,3,,102.0,78.0,European Championship 2022,10
Vilma BOBECK,5,49erFX,1.0,0,gold,3,,102.0,78.0,European Championship 2022,11
Vilma BOBECK,5,49erFX,16.0,0,gold,3,,102.0,78.0,European Championship 2022,12
Vilma BOBECK,5,49erFX,10.0,0,gold,3,,102.0,78.0,European Championship 2022,13
Vilma BOBECK,5,49erFX,20.0,0,gold,3,,102.0,78.0,European Championship 2022,14
Vilma BOBECK,5,49erFX,2.0,0,medal,3,,102.0,78.0,European Championship 2022,15
Jana GERMANI,5,49erFX,8.0,0,blue,4,,132.0,111.0,European Championship 2022,1
Jana GERMANI,5,49erFX,4.0,0,blue,4,,132.0,111.0,European Championship 2022,2
Jana GERMANI,5,49erFX,4.0,0,blue,4,,132.0,111.0,European Championship 2022,3
Jana GERMANI,5,49erFX,12.0,0,blue,4,,132.0,111.0,European Championship 2022,4
Jana GERMANI,5,49erFX,6.0,0,blue,4,,132.0,111.0,European Championship 2022,5
Jana GERMANI,5,49erFX,1.0,0,blue,4,,132.0,111.0,European Championship 2022,6
Jana GERMANI,5,49erFX,10.0,0,yellow,4,,132.0,111.0,European Championship 2022,7
Jana GERMANI,5,49erFX,5.0,0,yellow,4,,132.0,111.0,European Championship 2022,8
Jana GERMANI,5,49erFX,9.0,0,yellow,4,,132.0,111.0,European Championship 2022,9
Jana GERMANI,5,49erFX,14.0,0,gold,4,,132.0,111.0,European Championship 2022,10
Jana GERMANI,5,49erFX,8.0,0,gold,4,,132.0,111.0,European Championship 2022,11
Jana GERMANI,5,49erFX,7.0,0,gold,4,,132.0,111.0,European Championship 2022,12
Jana GERMANI,5,49erFX,21.0,1,gold,4,,132.0,111.0,European Championship 2022,13
Jana GERMANI,5,49erFX,19.0,0,gold,4,,132.0,111.0,European Championship 2022,14
Jana GERMANI,5,49erFX,4.0,0,medal,4,,132.0,111.0,European Championship 2022,15
Támara ECHEGOYEN,5,49erFX,1.0,0,blue,5,,153.0,117.0,European Championship 2022,1
Támara ECHEGOYEN,5,49erFX,11.0,0,blue,5,,153.0,117.0,European Championship 2022,2
Támara ECHEGOYEN,5,49erFX,36.0,1,blue,5,DNC,153.0,117.0,European Championship 2022,3
Támara ECHEGOYEN,5,49erFX,5.0,0,yellow,5,,153.0,117.0,European Championship 2022,4
Támara ECHEGOYEN,5,49erFX,6.0,0,yellow,5,,153.0,117.0,European Championship 2022,5
Támara ECHEGOYEN,5,49erFX,19.0,0,yellow,5,,153.0,117.0,European Championship 2022,6
Támara ECHEGOYEN,5,49erFX,3.0,0,yellow,5,,153.0,117.0,European Championship 2022,7
Támara ECHEGOYEN,5,49erFX,10.0,0,yellow,5,,153.0,117.0,European Championship 2022,8
Támara ECHEGOYEN,5,49erFX,4.0,0,yellow,5,,153.0,117.0,European Championship 2022,9
Támara ECHEGOYEN,5,49erFX,4.0,0,gold,5,,153.0,117.0,European Championship 2022,10
Támara ECHEGOYEN,5,49erFX,25.0,0,gold,5,,153.0,117.0,European Championship 2022,11
Támara ECHEGOYEN,5,49erFX,12.0,0,gold,5,,153.0,117.0,European Championship 2022,12
Támara ECHEGOYEN,5,49erFX,6.0,0,gold,5,,153.0,117.0,European Championship 2022,13
Támara ECHEGOYEN,5,49erFX,5.0,0,gold,5,,153.0,117.0,European Championship 2022,14
Támara ECHEGOYEN,5,49erFX,6.0,0,medal,5,,153.0,117.0,European Championship 2022,15
Stephanie ROBLE,5,49erFX,2.0,0,yellow,6,,139.0,121.0,European Championship 2022,1
Stephanie ROBLE,5,49erFX,6.0,0,yellow,6,,139.0,121.0,European Championship 2022,2
Stephanie ROBLE,5,49erFX,2.0,0,yellow,6,,139.0,121.0,European Championship 2022,3
Stephanie ROBLE,5,49erFX,3.0,0,blue,6,,139.0,121.0,European Championship 2022,4
Stephanie ROBLE,5,49erFX,5.0,0,blue,6,,139.0,121.0,European Championship 2022,5
