Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Descarte,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
Ruggero TITA,5,Nacra 17,2.0,0,,1,,29.0,21.0,European Championship 2022,1
Ruggero TITA,5,Nacra 17,1.0,0,,1,,29.0,21.0,European Championship 2022,2
Ruggero TITA,5,Nacra 17,1.0,0,,1,,29.0,21.0,European Championship 2022,3
Ruggero TITA,5,Nacra 17,1.0,0,,1,,29.0,21.0,European Championship 2022,4
Ruggero TITA,5,Nacra 17,1.0,0,,1,,29.0,21.0,European Championship 2022,5
Ruggero TITA,5,Nacra 17,8.0,1,,1,,29.0,21.0,European Championship 2022,6
Ruggero TITA,5,Nacra 17,2.0,0,,1,,29.0,21.0,European Championship 2022,7
Ruggero TITA,5,Nacra 17,1.0,0,,1,,29.0,21.0,European Championship 2022,8
Ruggero TITA,5,Nacra 17,2.0,0,,1,,29.0,21.0,European Championship 2022,9
Ruggero TITA,5,Nacra 17,2.0,0,,1,,29.0,21.0,European Championship 2022,10
Ruggero TITA,5,Nacra 17,1.0,0,,1,,29.0,21.0,European Championship 2022,11
Ruggero TITA,5,Nacra 17,1.0,0,,1,,29.0,21.0,European Championship 2022,12
Ruggero TITA,5,Nacra 17,1.0,0,,1,,29.0,21.0,European Championship 2022,13
Ruggero TITA,5,Nacra 17,1.0,0,,1,,29.0,21.0,European Championship 2022,14
Ruggero TITA,5,Nacra 17,4.0,0,medal,1,,29.0,21.0,European Championship 2022,15
Micah WILKINSON,5,Nacra 17,1.0,0,,2,,103.0,86.0,European Championship 2022,1
Micah WILKINSON,5,Nacra 17,3.0,0,,2,,103.0,86.0,European Championship 2022,2
Micah WILKINSON,5,Nacra 17,17.0,1,,2,,103.0,86.0,European Championship 2022,3
Micah WILKINSON,5,Nacra 17,2.0,0,,2,,103.0,86.0,European Championship 2022,4
Micah WILKINSON,5,Nacra 17,2.0,0,,2,,103.0,86.0,European Championship 2022,5
Micah WILKINSON,5,Nacra 17,12.0,0,,2,,103.0,86.0,European Championship 2022,6
Micah WILKINSON,5,Nacra 17,6.0,0,,2,,103.0,86.0,European Championship 2022,7
Micah WILKINSON,5,Nacra 17,9.0,0,,2,,103.0,86.0,European Championship 2022,8
Micah WILKINSON,5,Nacra 17,4.0,0,,2,,103.0,86.0,European Championship 2022,9
Micah WILKINSON,5,Nacra 17,4.0,0,,2,,103.0,86.0,European Championship 2022,10
Micah WILKINSON,5,Nacra 17,6.0,0,,2,,103.0,86.0,European Championship 2022,11
Micah WILKINSON,5,Nacra 17,8.0,0,,2,,103.0,86.0,European Championship 2022,12
Micah WILKINSON,5,Nacra 17,11.0,0,,2,,103.0,86.0,European Championship 2022,13
Micah WILKINSON,5,Nacra 17,10.0,0,,2,,103.0,86.0,European Championship 2022,14
Micah WILKINSON,5,Nacra 17,8.0,0,medal,2,,103.0,86.0,European Championship 2022,15
Sinem KURTBAY,5,Nacra 17,11.0,0,,3,,110.0,93.0,European Championship 2022,1
Sinem KURTBAY,5,Nacra 17,17.0,1,,3,,110.0,93.0,European Championship 2022,2
Sinem KURTBAY,5,Nacra 17,6.0,0,,3,,110.0,93.0,European Championship 2022,3
Sinem KURTBAY,5,Nacra 17,4.0,0,,3,,110.0,93.0,European Championship 2022,4
Sinem KURTBAY,5,Nacra 17,5.0,0,,3,,110.0,93.0,European Championship 2022,5
Sinem KURTBAY,5,Nacra 17,17.0,0,,3,,110.0,93.0,European Championship 2022,6
Sinem KURTBAY,5,Nacra 17,12.0,0,,3,,110.0,93.0,European Championship 2022,7
Sinem KURTBAY,5,Nacra 17,3.0,0,,3,,110.0,93.0,European Championship 2022,8
Sinem KURTBAY,5,Nacra 17,8.0,0,,3,,110.0,93.0,European Championship 2022,9
Sinem KURTBAY,5,Nacra 17,3.0,0,,3,,110.0,93.0,European Championship 2022,10
Sinem KURTBAY,5,Nacra 17,3.0,0,,3,,110.0,93.0,European Championship 2022,11
Sinem KURTBAY,5,Nacra 17,5.0,0,,3,,110.0,93.0,European Championship 2022,12
Sinem KURTBAY,5,Nacra 17,4.0,0,,3,,110.0,93.0,European Championship 2022,13
Sinem KURTBAY,5,Nacra 17,6.0,0,,3,,110.0,93.0,European Championship 2022,14
Sinem KURTBAY,5,Nacra 17,6.0,0,medal,3,,110.0,93.0,European Championship 2022,15
Gianluigi UGOLINI,5,Nacra 17,10.0,0,,4,,108.0,96.0,European Championship 2022,1
Gianluigi UGOLINI,5,Nacra 17,6.0,0,,4,,108.0,96.0,European Championship 2022,2
Gianluigi UGOLINI,5,Nacra 17,5.0,0,,4,,108.0,96.0,European Championship 2022,3
Gianluigi UGOLINI,5,Nacra 17,8.0,0,,4,,108.0,96.0,European Championship 2022,4
Gianluigi UGOLINI,5,Nacra 17,10.0,0,,4,,108.0,96.0,European Championship 2022,5
Gianluigi UGOLINI,5,Nacra 17,5.0,0,,4,,108.0,96.0,European Championship 2022,6
Gianluigi UGOLINI,5,Nacra 17,11.0,0,,4,,108.0,96.0,European Championship 2022,7
Gianluigi UGOLINI,5,Nacra 17,2.0,0,,4,,108.0,96.0,European Championship 2022,8
Gianluigi UGOLINI,5,Nacra 17,9.0,0,,4,,108.0,96.0,European Championship 2022,9
Gianluigi UGOLINI,5,Nacra 17,1.0,0,,4,,108.0,96.0,European Championship 2022,10
Gianluigi UGOLINI,5,Nacra 17,4.0,0,,4,,108.0,96.0,European Championship 2022,11
Gianluigi UGOLINI,5,Nacra 17,4.0,0,,4,,108.0,96.0,European Championship 2022,12
Gianluigi UGOLINI,5,Nacra 17,12.0,1,,4,,108.0,96.0,European Championship 2022,13
Gianluigi UGOLINI,5,Nacra 17,11.0,0,,4,,108.0,96.0,European Championship 2022,14
Gianluigi UGOLINI,5,Nacra 17,10.0,0,medal,4,,108.0,96.0,European Championship 2022,15
Vittorio BISSARO,5,Nacra 17,9.0,0,,5,,116.0,100.0,European Championship 2022,1
Vittorio BISSARO,5,Nacra 17,11.0,0,,5,,116.0,100.0,European Championship 2022,2
Vittorio BISSARO,5,Nacra 17,12.0,0,,5,,116.0,100.0,European Championship 2022,3
Vittorio BISSARO,5,Nacra 17,12.0,0,,5,,116.0,100.0,European Championship 2022,4
Vittorio BISSARO,5,Nacra 17,13.0,0,,5,,116.0,100.0,European Championship 2022,5
Vittorio BISSARO,5,Nacra 17,1.0,0,,5,,116.0,100.0,European Championship 2022,6
Vittorio BISSARO,5,Nacra 17,8.0,0,,5,,116.0,100.0,European Championship 2022,7
Vittorio BISSARO,5,Nacra 17,15.0,0,,5,,116.0,100.0,European Championship 2022,8
Vittorio BISSARO,5,Nacra 17,3.0,0,,5,,116.0,100.0,European Championship 2022,9
Vittorio BISSARO,5,Nacra 17,5.0,0,,5,,116.0,100.0,European Championship 2022,10
Vittorio BISSARO,5,Nacra 17,5.0,0,,5,,116.0,100.0,European Championship 2022,11
Vittorio BISSARO,5,Nacra 17,2.0,0,,5,,116.0,100.0,European Championship 2022,12
Vittorio BISSARO,5,Nacra 17,2.0,0,,5,,116.0,100.0,European Championship 2022,13
Vittorio BISSARO,5,Nacra 17,16.0,1,,5,,116.0,100.0,European Championship 2022,14
Vittorio BISSARO,5,Nacra 17,2.0,0,medal,5,,116.0,100.0,European Championship 2022,15
John GIMSON,5,Nacra 17,5.0,0,,6,,118.0,101.0,European Championship 2022,1
John GIMSON,5,Nacra 17,9.0,0,,6,,118.0,101.0,European Championship 2022,2
John GIMSON,5,Nacra 17,4.0,0,,6,,118.0,101.0,European Championship 2022,3
John GIMSON,5,Nacra 17,10.0,0,,6,,118.0,101.0,European Championship 2022,4
John GIMSON,5,Nacra 17,3.0,0,,6,,118.0,101.0,European Championship 2022,5
John GIMSON,5,Nacra 17,10.0,0,,6,,118.0,101.0,European Championship 2022,6
John GIMSON,5,Nacra 17,3.0,0,,6,,118.0,101.0,European Championship 2022,7
John GIMSON,5,Nacra 17,5.0,0,,6,,118.0,101.0,European Championship 2022,8
John GIMSON,5,Nacra 17,17.0,1,,6,,118.0,101.0,European Championship 2022,9
John GIMSON,5,Nacra 17,7.0,0,,6,,118.0,101.0,European Championship 2022,10
John GIMSON,5,Nacra 17,9.0,0,,6,,118.0,101.0,European Championship 2022,11
John GIMSON,5,Nacra 17,16.0,0,,6,,118.0,101.0,European Championship 2022,12
John GIMSON,5,Nacra 17,5.0,0,,6,,118.0,101.0,European Championship 2022,13
John GIMSON,5,Nacra 17,3.0,0,,6,,118.0,101.0,European Championship 2022,14
John GIMSON,5,Nacra 17,12.0,0,medal,6,,118.0,101.0,European Championship 2022,15
Paul KOHLHOFF,5,Nacra 17,7.0,0,,7,,119.0,101.0,European Championship 2022,1
Paul KOHLHOFF,5,Nacra 17,10.0,0,,7,,119.0,101.0,European Championship 2022,2
Paul KOHLHOFF,5,Nacra 17,9.0,0,,7,,119.0,101.0,European Championship 2022,3
Paul KOHLHOFF,5,Nacra 17,5.0,0,,7,,119.0,101.0,European Championship 2022,4
Paul KOHLHOFF,5,Nacra 17,9.0,0,,7,,119.0,101.0,European Championship 2022,5
Paul KOHLHOFF,5,Nacra 17,2.0,0,,7,,119.0,101.0,European Championship 2022,6
Paul KOHLHOFF,5,Nacra 17,1.0,0,,7,,119.0,101.0,European Championship 2022,7
Paul KOHLHOFF,5,Nacra 17,6.0,0,,7,,119.0,101.0,European Championship 2022,8
Paul KOHLHOFF,5,Nacra 17,7.0,0,,7,,119.0,101.0,European Championship 2022,9
Paul KOHLHOFF,5,Nacra 17,6.0,0,,7,,119.0,101.0,European Championship 2022,10
Paul KOHLHOFF,5,Nacra 17,2.0,0,,7,,119.0,101.0,European Championship 2022,11
Paul KOHLHOFF,5,Nacra 17,6.0,0,,7,,119.0,101.0,European Championship 2022,12
Paul KOHLHOFF,5,Nacra 17,13.0,0,,7,,119.0,101.0,European Championship 2022,13
Paul KOHLHOFF,5,Nacra 17,18.0,1,,7,,119.0,101.0,European Championship 2022,14
Paul KOHLHOFF,5,Nacra 17,18.0,0,medal,7,,119.0,101.0,European Championship 2022,15
Emil JÄRUDD,5,Nacra 17,21.0,1,,8,,134.0,113.0,European Championship 2022,1
Emil JÄRUDD,5,Nacra 17,7.0,0,,8,,134.0,113.0,European Championship 2022,2
Emil JÄRUDD,5,Nacra 17,16.0,0,,8,,134.0,113.0,European Championship 2022,3
Emil JÄRUDD,5,Nacra 17,6.0,0,,8,,134.0,113.0,European Championship 2022,4
Emil JÄRUDD,5,Nacra 17,6.0,0,,8,,134.0,113.0,European Championship 2022,5
Emil JÄRUDD,5,Nacra 17,3.0,0,,8,,134.0,113.0,European Championship 2022,6
Emil JÄRUDD,5,Nacra 17,5.0,0,,8,,134.0,113.0,European Championship 2022,7
Emil JÄRUDD,5,Nacra 17,4.0,0,,8,,134.0,113.0,European Championship 2022,8
Emil JÄRUDD,5,Nacra 17,1.0,0,,8,,134.0,113.0,European Championship 2022,9
Emil JÄRUDD,5,Nacra 17,9.0,0,,8,,134.0,113.0,European Championship 2022,10
Emil JÄRUDD,5,Nacra 17,10.0,0,,8,,134.0,113.0,European Championship 2022,11
Emil JÄRUDD,5,Nacra 17,10.0,0,,8,,134.0,113.0,European Championship 2022,12
Emil JÄRUDD,5,Nacra 17,18.0,0,,8,,134.0,113.0,European Championship 2022,13
Emil JÄRUDD,5,Nacra 17,2.0,0,,8,,134.0,113.0,European Championship 2022,14
Emil JÄRUDD,5,Nacra 17,16.0,0,medal,8,,134.0,113.0,European Championship 2022,15
Laila van der MEER,5,Nacra 17,4.0,0,,9,,151.0,135.0,European Championship 2022,1
Laila van der MEER,5,Nacra 17,2.0,0,,9,,151.0,135.0,European Championship 2022,2
Laila van der MEER,5,Nacra 17,2.0,0,,9,,151.0,135.0,European Championship 2022,3
Laila van der MEER,5,Nacra 17,16.0,1,,9,,151.0,135.0,European Championship 2022,4
Laila van der MEER,5,Nacra 17,15.0,0,,9,,151.0,135.0,European Championship 2022,5
Laila van der MEER,5,Nacra 17,11.0,0,,9,,151.0,135.0,European Championship 2022,6
Laila van der MEER,5,Nacra 17,9.0,0,,9,,151.0,135.0,European Championship 2022,7
Laila van der MEER,5,Nacra 17,7.0,0,,9,,151.0,135.0,European Championship 2022,8
Laila van der MEER,5,Nacra 17,11.0,0,,9,,151.0,135.0,European Championship 2022,9
Laila van der MEER,5,Nacra 17,13.0,0,,9,,151.0,135.0,European Championship 2022,10
Laila van der MEER,5,Nacra 17,15.0,0,,9,,151.0,135.0,European Championship 2022,11
Laila van der MEER,5,Nacra 17,14.0,0,,9,,151.0,135.0,European Championship 2022,12
Laila van der MEER,5,Nacra 17,7.0,0,,9,,151.0,135.0,European Championship 2022,13
Laila van der MEER,5,Nacra 17,5.0,0,,9,,151.0,135.0,European Championship 2022,14
Laila van der MEER,5,Nacra 17,20.0,0,medal,9,,151.0,135.0,European Championship 2022,15
Jason WATERHOUSE,5,Nacra 17,15.0,0,,10,,158.0,138.0,European Championship 2022,1
Jason WATERHOUSE,5,Nacra 17,13.0,0,,10,,158.0,138.0,European Championship 2022,2
Jason WATERHOUSE,5,Nacra 17,10.0,0,,10,,158.0,138.0,European Championship 2022,3
Jason WATERHOUSE,5,Nacra 17,14.0,0,,10,,158.0,138.0,European Championship 2022,4
Jason WATERHOUSE,5,Nacra 17,7.0,0,,10,,158.0,138.0,European Championship 2022,5
Jason WATERHOUSE,5,Nacra 17,4.0,0,,10,,158.0,138.0,European Championship 2022,6
Jason WATERHOUSE,5,Nacra 17,4.0,0,,10,,158.0,138.0,European Championship 2022,7
Jason WATERHOUSE,5,Nacra 17,8.0,0,,10,,158.0,138.0,European Championship 2022,8
Jason WATERHOUSE,5,Nacra 17,13.0,0,,10,,158.0,138.0,European Championship 2022,9
Jason WATERHOUSE,5,Nacra 17,12.0,0,,10,,158.0,138.0,European Championship 2022,10
Jason WATERHOUSE,5,Nacra 17,7.0,0,,10,,158.0,138.0,European Championship 2022,11
Jason WATERHOUSE,5,Nacra 17,11.0,0,,10,,158.0,138.0,European Championship 2022,12
Jason WATERHOUSE,5,Nacra 17,6.0,0,,10,,158.0,138.0,European Championship 2022,13
Jason WATERHOUSE,5,Nacra 17,20.0,1,,10,,158.0,138.0,European Championship 2022,14
Jason WATERHOUSE,5,Nacra 17,14.0,0,medal,10,,158.0,138.0,European Championship 2022,15
Mateo MAJDALANI,5,Nacra 17,6.0,0,,11,,165.0,131.0,European Championship 2022,1
Mateo MAJDALANI,5,Nacra 17,5.0,0,,11,,165.0,131.0,European Championship 2022,2
Mateo MAJDALANI,5,Nacra 17,20.0,0,,11,,165.0,131.0,European Championship 2022,3
Mateo MAJDALANI,5,Nacra 17,9.0,0,,11,,165.0,131.0,European Championship 2022,4
Mateo MAJDALANI,5,Nacra 17,4.0,0,,11,,165.0,131.0,European Championship 2022,5
Mateo MAJDALANI,5,Nacra 17,13.0,0,,11,,165.0,131.0,European Championship 2022,6
Mateo MAJDALANI,5,Nacra 17,34.0,1,,11,DSQ,165.0,131.0,European Championship 2022,7
Mateo MAJDALANI,5,Nacra 17,11.0,0,,11,,165.0,131.0,European Championship 2022,8
Mateo MAJDALANI,5,Nacra 17,14.0,0,,11,,165.0,131.0,European Championship 2022,9
Mateo MAJDALANI,5,Nacra 17,17.0,0,,11,,165.0,131.0,European Championship 2022,10
Mateo MAJDALANI,5,Nacra 17,16.0,0,,11,,165.0,131.0,European Championship 2022,11
Mateo MAJDALANI,5,Nacra 17,3.0,0,,11,,165.0,131.0,European Championship 2022,12
Mateo MAJDALANI,5,Nacra 17,9.0,0,,11,,165.0,131.0,European Championship 2022,13
Mateo MAJDALANI,5,Nacra 17,4.0,0,,11,,165.0,131.0,European Championship 2022,14
Mateo MAJDALANI,5,Nacra 17,,0,,11,,165.0,131.0,European Championship 2022,15
Ida SVENSSON,5,Nacra 17,19.0,0,,12,,166.0,132.0,European Championship 2022,1
Ida SVENSSON,5,Nacra 17,12.0,0,,12,,166.0,132.0,European Championship 2022,2
Ida SVENSSON,5,Nacra 17,14.0,0,,12,,166.0,132.0,European Championship 2022,3
Ida SVENSSON,5,Nacra 17,34.0,1,,12,UFD,166.0,132.0,European Championship 2022,4
Ida SVENSSON,5,Nacra 17,8.0,0,,12,,166.0,132.0,European Championship 2022,5
Ida SVENSSON,5,Nacra 17,6.0,0,,12,,166.0,132.0,European Championship 2022,6
Ida SVENSSON,5,Nacra 17,10.0,0,,12,,166.0,132.0,European Championship 2022,7
Ida SVENSSON,5,Nacra 17,13.0,0,,12,,166.0,132.0,European Championship 2022,8
Ida SVENSSON,5,Nacra 17,12.0,0,,12,,166.0,132.0,European Championship 2022,9
Ida SVENSSON,5,Nacra 17,11.0,0,,12,,166.0,132.0,European Championship 2022,10
Ida SVENSSON,5,Nacra 17,8.0,0,,12,,166.0,132.0,European Championship 2022,11
Ida SVENSSON,5,Nacra 17,9.0,0,,12,,166.0,132.0,European Championship 2022,12
Ida SVENSSON,5,Nacra 17,3.0,0,,12,,166.0,132.0,European Championship 2022,13
Ida SVENSSON,5,Nacra 17,7.0,0,,12,,166.0,132.0,European Championship 2022,14
Ida SVENSSON,5,Nacra 17,,0,,12,,166.0,132.0,European Championship 2022,15
Santiago LANGE,5,Nacra 17,8.0,0,,13,,199.0,165.0,European Championship 2022,1
Santiago LANGE,5,Nacra 17,4.0,0,,13,,199.0,165.0,European Championship 2022,2
Santiago LANGE,5,Nacra 17,7.0,0,,13,,199.0,165.0,European Championship 2022,3
