Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
,,Anton DAHLBERGLovisa KARLSSON ,,470,1,G,1,,71,50,European Championship 2023,1Q
,,Anton DAHLBERGLovisa KARLSSON ,,470,(21),G,1,,71,50,European Championship 2023,2Q
,,Anton DAHLBERGLovisa KARLSSON ,,470,5,G,1,,71,50,European Championship 2023,3Q
,,Anton DAHLBERGLovisa KARLSSON ,,470,4,G,1,,71,50,European Championship 2023,4Q
,,Anton DAHLBERGLovisa KARLSSON ,,470,1,G,1,,71,50,European Championship 2023,5Q
,,Anton DAHLBERGLovisa KARLSSON ,,470,1,O,1,,71,50,European Championship 2023,6F
,,Anton DAHLBERGLovisa KARLSSON ,,470,4,O,1,,71,50,European Championship 2023,7F
,,Anton DAHLBERGLovisa KARLSSON ,,470,2,O,1,,71,50,European Championship 2023,8F
,,Anton DAHLBERGLovisa KARLSSON ,,470,5,O,1,,71,50,European Championship 2023,9F
,,Anton DAHLBERGLovisa KARLSSON ,,470,9,O,1,,71,50,European Championship 2023,10F
,,Anton DAHLBERGLovisa KARLSSON ,,470,4,O,1,,71,50,European Championship 2023,11F
,,Anton DAHLBERGLovisa KARLSSON ,,470,14,Medal Race,1,,71,50,European Championship 2023,MR
,,Simon DIESCHAnna MARKFORT ,,470,12,G,2,,64,51,European Championship 2023,1Q
,,Simon DIESCHAnna MARKFORT ,,470,3,G,2,,64,51,European Championship 2023,2Q
,,Simon DIESCHAnna MARKFORT ,,470,1,G,2,,64,51,European Championship 2023,3Q
,,Simon DIESCHAnna MARKFORT ,,470,1,G,2,,64,51,European Championship 2023,4Q
,,Simon DIESCHAnna MARKFORT ,,470,1,G,2,,64,51,European Championship 2023,5Q
,,Simon DIESCHAnna MARKFORT ,,470,5,O,2,,64,51,European Championship 2023,6F
,,Simon DIESCHAnna MARKFORT ,,470,8,O,2,,64,51,European Championship 2023,7F
,,Simon DIESCHAnna MARKFORT ,,470,5,O,2,,64,51,European Championship 2023,8F
,,Simon DIESCHAnna MARKFORT ,,470,(13),O,2,,64,51,European Championship 2023,9F
,,Simon DIESCHAnna MARKFORT ,,470,1,O,2,,64,51,European Championship 2023,10F
,,Simon DIESCHAnna MARKFORT ,,470,2,O,2,,64,51,European Championship 2023,11F
,,Simon DIESCHAnna MARKFORT ,,470,12,Medal Race,2,,64,51,European Championship 2023,MR
,,Hippolyte MACHETTIAloïse RETORNAZ ,,470,6,G,3,,73,53,European Championship 2023,1Q
,,Hippolyte MACHETTIAloïse RETORNAZ ,,470,4,G,3,,73,53,European Championship 2023,2Q
,,Hippolyte MACHETTIAloïse RETORNAZ ,,470,1,G,3,,73,53,European Championship 2023,3Q
,,Hippolyte MACHETTIAloïse RETORNAZ ,,470,7,G,3,,73,53,European Championship 2023,4Q
,,Hippolyte MACHETTIAloïse RETORNAZ ,,470,2,G,3,,73,53,European Championship 2023,5Q
,,Hippolyte MACHETTIAloïse RETORNAZ ,,470,9,O,3,,73,53,European Championship 2023,6F
,,Hippolyte MACHETTIAloïse RETORNAZ ,,470,2,O,3,,73,53,European Championship 2023,7F
,,Hippolyte MACHETTIAloïse RETORNAZ ,,470,7,O,3,,73,53,European Championship 2023,8F
,,Hippolyte MACHETTIAloïse RETORNAZ ,,470,(20),O,3,,73,53,European Championship 2023,9F
,,Hippolyte MACHETTIAloïse RETORNAZ ,,470,6,O,3,,73,53,European Championship 2023,10F
,,Hippolyte MACHETTIAloïse RETORNAZ ,,470,1,O,3,,73,53,European Championship 2023,11F
,,Hippolyte MACHETTIAloïse RETORNAZ ,,470,8,Medal Race,3,,73,53,European Championship 2023,MR
,,Camille LECOINTREJeremie MION ,,470,2,G,4,,71,58,European Championship 2023,1Q
,,Camille LECOINTREJeremie MION ,,470,7,G,4,,71,58,European Championship 2023,2Q
,,Camille LECOINTREJeremie MION ,,470,2,G,4,,71,58,European Championship 2023,3Q
,,Camille LECOINTREJeremie MION ,,470,3,G,4,,71,58,European Championship 2023,4Q
,,Camille LECOINTREJeremie MION ,,470,4,G,4,,71,58,European Championship 2023,5Q
,,Camille LECOINTREJeremie MION ,,470,2,O,4,,71,58,European Championship 2023,6F
,,Camille LECOINTREJeremie MION ,,470,(13),O,4,,71,58,European Championship 2023,7F
,,Camille LECOINTREJeremie MION ,,470,10,O,4,,71,58,European Championship 2023,8F
,,Camille LECOINTREJeremie MION ,,470,3,O,4,,71,58,European Championship 2023,9F
