Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Descarte,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
Aksel NÆSHAGEN,264,ilca 6,2.0,0,GERAL,1,,19.0,15.0,ILCANC 3  2023,1
Aksel NÆSHAGEN,264,ilca 6,1.0,0,GERAL,1,,19.0,15.0,ILCANC 3  2023,2
Aksel NÆSHAGEN,264,ilca 6,2.0,0,GERAL,1,,19.0,15.0,ILCANC 3  2023,3
Aksel NÆSHAGEN,264,ilca 6,2.0,0,GERAL,1,,19.0,15.0,ILCANC 3  2023,4
Aksel NÆSHAGEN,264,ilca 6,4.0,1,GERAL,1,,19.0,15.0,ILCANC 3  2023,5
Aksel NÆSHAGEN,264,ilca 6,3.0,0,GERAL,1,,19.0,15.0,ILCANC 3  2023,6
Aksel NÆSHAGEN,264,ilca 6,4.0,0,GERAL,1,,19.0,15.0,ILCANC 3  2023,7
Aksel NÆSHAGEN,264,ilca 6,1.0,0,GERAL,1,,19.0,15.0,ILCANC 3  2023,8
Mia Beckmann KLÆBOE,264,ilca 6,1.0,0,GERAL,2,,38.0,29.0,ILCANC 3  2023,1
Mia Beckmann KLÆBOE,264,ilca 6,2.0,0,GERAL,2,,38.0,29.0,ILCANC 3  2023,2
Mia Beckmann KLÆBOE,264,ilca 6,9.0,1,GERAL,2,,38.0,29.0,ILCANC 3  2023,3
Mia Beckmann KLÆBOE,264,ilca 6,7.0,0,GERAL,2,,38.0,29.0,ILCANC 3  2023,4
Mia Beckmann KLÆBOE,264,ilca 6,3.0,0,GERAL,2,,38.0,29.0,ILCANC 3  2023,5
Mia Beckmann KLÆBOE,264,ilca 6,5.0,0,GERAL,2,,38.0,29.0,ILCANC 3  2023,6
Mia Beckmann KLÆBOE,264,ilca 6,6.0,0,GERAL,2,,38.0,29.0,ILCANC 3  2023,7
Mia Beckmann KLÆBOE,264,ilca 6,5.0,0,GERAL,2,,38.0,29.0,ILCANC 3  2023,8
Nilas Goa DIAB,264,ilca 6,5.0,0,GERAL,3,,42.0,32.0,ILCANC 3  2023,1
Nilas Goa DIAB,264,ilca 6,3.0,0,GERAL,3,,42.0,32.0,ILCANC 3  2023,2
Nilas Goa DIAB,264,ilca 6,1.0,0,GERAL,3,,42.0,32.0,ILCANC 3  2023,3
Nilas Goa DIAB,264,ilca 6,3.0,0,GERAL,3,,42.0,32.0,ILCANC 3  2023,4
Nilas Goa DIAB,264,ilca 6,9.0,0,GERAL,3,DPI,42.0,32.0,ILCANC 3  2023,5
Nilas Goa DIAB,264,ilca 6,9.0,0,GERAL,3,,42.0,32.0,ILCANC 3  2023,6
Nilas Goa DIAB,264,ilca 6,10.0,1,GERAL,3,,42.0,32.0,ILCANC 3  2023,7
Nilas Goa DIAB,264,ilca 6,2.0,0,GERAL,3,,42.0,32.0,ILCANC 3  2023,8
Una Bryhni UTHEIM,264,ilca 6,3.0,0,GERAL,4,,53.0,40.0,ILCANC 3  2023,1
Una Bryhni UTHEIM,264,ilca 6,4.0,0,GERAL,4,,53.0,40.0,ILCANC 3  2023,2
Una Bryhni UTHEIM,264,ilca 6,4.0,0,GERAL,4,,53.0,40.0,ILCANC 3  2023,3
Una Bryhni UTHEIM,264,ilca 6,10.0,0,GERAL,4,,53.0,40.0,ILCANC 3  2023,4
Una Bryhni UTHEIM,264,ilca 6,13.0,1,GERAL,4,,53.0,40.0,ILCANC 3  2023,5
Una Bryhni UTHEIM,264,ilca 6,6.0,0,GERAL,4,,53.0,40.0,ILCANC 3  2023,6
Una Bryhni UTHEIM,264,ilca 6,9.0,0,GERAL,4,,53.0,40.0,ILCANC 3  2023,7
Una Bryhni UTHEIM,264,ilca 6,4.0,0,GERAL,4,,53.0,40.0,ILCANC 3  2023,8
Gudleik KJØPSNES,264,ilca 6,17.0,1,GERAL,5,,59.0,42.0,ILCANC 3  2023,1
Gudleik KJØPSNES,264,ilca 6,5.0,0,GERAL,5,,59.0,42.0,ILCANC 3  2023,2
Gudleik KJØPSNES,264,ilca 6,8.0,0,GERAL,5,,59.0,42.0,ILCANC 3  2023,3
Gudleik KJØPSNES,264,ilca 6,13.0,0,GERAL,5,,59.0,42.0,ILCANC 3  2023,4
Gudleik KJØPSNES,264,ilca 6,6.0,0,GERAL,5,,59.0,42.0,ILCANC 3  2023,5
Gudleik KJØPSNES,264,ilca 6,2.0,0,GERAL,5,,59.0,42.0,ILCANC 3  2023,6
Gudleik KJØPSNES,264,ilca 6,2.0,0,GERAL,5,,59.0,42.0,ILCANC 3  2023,7
Gudleik KJØPSNES,264,ilca 6,6.0,0,GERAL,5,,59.0,42.0,ILCANC 3  2023,8
Olav GRØNLUND,264,ilca 6,11.0,1,GERAL,6,,54.0,43.0,ILCANC 3  2023,1
Olav GRØNLUND,264,ilca 6,6.0,0,GERAL,6,,54.0,43.0,ILCANC 3  2023,2
Olav GRØNLUND,264,ilca 6,6.0,0,GERAL,6,,54.0,43.0,ILCANC 3  2023,3
Olav GRØNLUND,264,ilca 6,9.0,0,GERAL,6,,54.0,43.0,ILCANC 3  2023,4
Olav GRØNLUND,264,ilca 6,5.0,0,GERAL,6,,54.0,43.0,ILCANC 3  2023,5
Olav GRØNLUND,264,ilca 6,7.0,0,GERAL,6,,54.0,43.0,ILCANC 3  2023,6
Olav GRØNLUND,264,ilca 6,7.0,0,GERAL,6,,54.0,43.0,ILCANC 3  2023,7
Olav GRØNLUND,264,ilca 6,3.0,0,GERAL,6,,54.0,43.0,ILCANC 3  2023,8
Mikkel JANSEN,264,ilca 6,6.0,0,GERAL,7,,57.0,45.0,ILCANC 3  2023,1
Mikkel JANSEN,264,ilca 6,8.0,0,GERAL,7,,57.0,45.0,ILCANC 3  2023,2
Mikkel JANSEN,264,ilca 6,7.0,0,GERAL,7,,57.0,45.0,ILCANC 3  2023,3
Mikkel JANSEN,264,ilca 6,6.0,0,GERAL,7,,57.0,45.0,ILCANC 3  2023,4
Mikkel JANSEN,264,ilca 6,9.0,0,GERAL,7,,57.0,45.0,ILCANC 3  2023,5
Mikkel JANSEN,264,ilca 6,1.0,0,GERAL,7,,57.0,45.0,ILCANC 3  2023,6
Mikkel JANSEN,264,ilca 6,12.0,1,GERAL,7,,57.0,45.0,ILCANC 3  2023,7
Mikkel JANSEN,264,ilca 6,8.0,0,GERAL,7,,57.0,45.0,ILCANC 3  2023,8
Søren Homme HÅLAND,264,ilca 6,7.0,0,GERAL,8,,68.0,53.0,ILCANC 3  2023,1
Søren Homme HÅLAND,264,ilca 6,14.0,0,GERAL,8,,68.0,53.0,ILCANC 3  2023,2
Søren Homme HÅLAND,264,ilca 6,15.0,1,GERAL,8,,68.0,53.0,ILCANC 3  2023,3
Søren Homme HÅLAND,264,ilca 6,4.0,0,GERAL,8,,68.0,53.0,ILCANC 3  2023,4
Søren Homme HÅLAND,264,ilca 6,2.0,0,GERAL,8,,68.0,53.0,ILCANC 3  2023,5
Søren Homme HÅLAND,264,ilca 6,12.0,0,GERAL,8,,68.0,53.0,ILCANC 3  2023,6
Søren Homme HÅLAND,264,ilca 6,5.0,0,GERAL,8,,68.0,53.0,ILCANC 3  2023,7
Søren Homme HÅLAND,264,ilca 6,9.0,0,GERAL,8,,68.0,53.0,ILCANC 3  2023,8
Ana WINTHER,264,ilca 6,4.0,0,GERAL,9,,83.0,56.0,ILCANC 3  2023,1
Ana WINTHER,264,ilca 6,11.0,0,GERAL,9,,83.0,56.0,ILCANC 3  2023,2
Ana WINTHER,264,ilca 6,3.0,0,GERAL,9,,83.0,56.0,ILCANC 3  2023,3
Ana WINTHER,264,ilca 6,5.0,0,GERAL,9,,83.0,56.0,ILCANC 3  2023,4
Ana WINTHER,264,ilca 6,14.0,0,GERAL,9,,83.0,56.0,ILCANC 3  2023,5
Ana WINTHER,264,ilca 6,18.0,0,GERAL,9,,83.0,56.0,ILCANC 3  2023,6
Ana WINTHER,264,ilca 6,1.0,0,GERAL,9,,83.0,56.0,ILCANC 3  2023,7
Ana WINTHER,264,ilca 6,27.0,1,GERAL,9,UFD,83.0,56.0,ILCANC 3  2023,8
Ida-Linn VITTERSØ,264,ilca 6,12.0,0,GERAL,10,,77.0,64.0,ILCANC 3  2023,1
Ida-Linn VITTERSØ,264,ilca 6,12.0,0,GERAL,10,,77.0,64.0,ILCANC 3  2023,2
Ida-Linn VITTERSØ,264,ilca 6,12.0,0,GERAL,10,,77.0,64.0,ILCANC 3  2023,3
Ida-Linn VITTERSØ,264,ilca 6,1.0,0,GERAL,10,,77.0,64.0,ILCANC 3  2023,4
Ida-Linn VITTERSØ,264,ilca 6,7.0,0,GERAL,10,,77.0,64.0,ILCANC 3  2023,5
Ida-Linn VITTERSØ,264,ilca 6,13.0,1,GERAL,10,,77.0,64.0,ILCANC 3  2023,6
Ida-Linn VITTERSØ,264,ilca 6,13.0,0,GERAL,10,,77.0,64.0,ILCANC 3  2023,7
Ida-Linn VITTERSØ,264,ilca 6,7.0,0,GERAL,10,,77.0,64.0,ILCANC 3  2023,8
Sindre Johannes Blydt AARNÆS,264,ilca 6,8.0,0,GERAL,11,,108.0,81.0,ILCANC 3  2023,1
Sindre Johannes Blydt AARNÆS,264,ilca 6,22.0,0,GERAL,11,,108.0,81.0,ILCANC 3  2023,2
Sindre Johannes Blydt AARNÆS,264,ilca 6,13.0,0,GERAL,11,,108.0,81.0,ILCANC 3  2023,3
Sindre Johannes Blydt AARNÆS,264,ilca 6,19.0,0,GERAL,11,,108.0,81.0,ILCANC 3  2023,4
Sindre Johannes Blydt AARNÆS,264,ilca 6,8.0,0,GERAL,11,,108.0,81.0,ILCANC 3  2023,5
Sindre Johannes Blydt AARNÆS,264,ilca 6,8.0,0,GERAL,11,,108.0,81.0,ILCANC 3  2023,6
Sindre Johannes Blydt AARNÆS,264,ilca 6,3.0,0,GERAL,11,,108.0,81.0,ILCANC 3  2023,7
Sindre Johannes Blydt AARNÆS,264,ilca 6,27.0,1,GERAL,11,DNC,108.0,81.0,ILCANC 3  2023,8
Linn NOACH,264,ilca 6,13.0,0,GERAL,12,,99.0,81.0,ILCANC 3  2023,1
Linn NOACH,264,ilca 6,10.0,0,GERAL,12,,99.0,81.0,ILCANC 3  2023,2
Linn NOACH,264,ilca 6,10.0,0,GERAL,12,,99.0,81.0,ILCANC 3  2023,3
Linn NOACH,264,ilca 6,11.0,0,GERAL,12,,99.0,81.0,ILCANC 3  2023,4
Linn NOACH,264,ilca 6,18.0,1,GERAL,12,,99.0,81.0,ILCANC 3  2023,5
Linn NOACH,264,ilca 6,4.0,0,GERAL,12,,99.0,81.0,ILCANC 3  2023,6
Linn NOACH,264,ilca 6,17.0,0,GERAL,12,,99.0,81.0,ILCANC 3  2023,7
Linn NOACH,264,ilca 6,16.0,0,GERAL,12,,99.0,81.0,ILCANC 3  2023,8
Nanna Sofie JUELL-BERGAN,264,ilca 6,9.0,0,GERAL,13,,111.0,84.0,ILCANC 3  2023,1
Nanna Sofie JUELL-BERGAN,264,ilca 6,7.0,0,GERAL,13,,111.0,84.0,ILCANC 3  2023,2
Nanna Sofie JUELL-BERGAN,264,ilca 6,27.0,1,GERAL,13,DNC,111.0,84.0,ILCANC 3  2023,3
Nanna Sofie JUELL-BERGAN,264,ilca 6,15.0,0,GERAL,13,,111.0,84.0,ILCANC 3  2023,4
Nanna Sofie JUELL-BERGAN,264,ilca 6,11.0,0,GERAL,13,,111.0,84.0,ILCANC 3  2023,5
Nanna Sofie JUELL-BERGAN,264,ilca 6,14.0,0,GERAL,13,,111.0,84.0,ILCANC 3  2023,6
Nanna Sofie JUELL-BERGAN,264,ilca 6,18.0,0,GERAL,13,,111.0,84.0,ILCANC 3  2023,7
Nanna Sofie JUELL-BERGAN,264,ilca 6,10.0,0,GERAL,13,,111.0,84.0,ILCANC 3  2023,8
Simen HETLE ENGEN,264,ilca 6,14.0,0,GERAL,14,,109.0,88.0,ILCANC 3  2023,1
Simen HETLE ENGEN,264,ilca 6,21.0,1,GERAL,14,,109.0,88.0,ILCANC 3  2023,2
Simen HETLE ENGEN,264,ilca 6,16.0,0,GERAL,14,,109.0,88.0,ILCANC 3  2023,3
