Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Descarte,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
Viesturs SIMSONS,262,ilca 6,2.0,0,GERAL,1,,31.0,21.0,Latvijas atklātais čempionāts - Optimist e ILCA klasēm 2023,1
Viesturs SIMSONS,262,ilca 6,2.0,0,GERAL,1,,31.0,21.0,Latvijas atklātais čempionāts - Optimist e ILCA klasēm 2023,2
Viesturs SIMSONS,262,ilca 6,4.0,0,GERAL,1,,31.0,21.0,Latvijas atklātais čempionāts - Optimist e ILCA klasēm 2023,3
Viesturs SIMSONS,262,ilca 6,7.0,0,GERAL,1,,31.0,21.0,Latvijas atklātais čempionāts - Optimist e ILCA klasēm 2023,4
Viesturs SIMSONS,262,ilca 6,1.0,0,GERAL,1,,31.0,21.0,Latvijas atklātais čempionāts - Optimist e ILCA klasēm 2023,5
Viesturs SIMSONS,262,ilca 6,2.0,0,GERAL,1,,31.0,21.0,Latvijas atklātais čempionāts - Optimist e ILCA klasēm 2023,6
Viesturs SIMSONS,262,ilca 6,1.0,0,GERAL,1,,31.0,21.0,Latvijas atklātais čempionāts - Optimist e ILCA klasēm 2023,7
Viesturs SIMSONS,262,ilca 6,10.0,1,GERAL,1,UFD,31.0,21.0,Latvijas atklātais čempionāts - Optimist e ILCA klasēm 2023,8
Viesturs SIMSONS,262,ilca 6,2.0,0,GERAL,1,,31.0,21.0,Latvijas atklātais čempionāts - Optimist e ILCA klasēm 2023,9
Rihards PLAVINS,262,ilca 6,3.0,0,GERAL,2,,32.0,24.0,Latvijas atklātais čempionāts - Optimist e ILCA klasēm 2023,1
Rihards PLAVINS,262,ilca 6,1.0,0,GERAL,2,,32.0,24.0,Latvijas atklātais čempionāts - Optimist e ILCA klasēm 2023,2
Rihards PLAVINS,262,ilca 6,8.0,1,GERAL,2,,32.0,24.0,Latvijas atklātais čempionāts - Optimist e ILCA klasēm 2023,3
Rihards PLAVINS,262,ilca 6,3.0,0,GERAL,2,,32.0,24.0,Latvijas atklātais čempionāts - Optimist e ILCA klasēm 2023,4
Rihards PLAVINS,262,ilca 6,2.0,0,GERAL,2,,32.0,24.0,Latvijas atklātais čempionāts - Optimist e ILCA klasēm 2023,5
Rihards PLAVINS,262,ilca 6,4.0,0,GERAL,2,,32.0,24.0,Latvijas atklātais čempionāts - Optimist e ILCA klasēm 2023,6
Rihards PLAVINS,262,ilca 6,5.0,0,GERAL,2,,32.0,24.0,Latvijas atklātais čempionāts - Optimist e ILCA klasēm 2023,7
Rihards PLAVINS,262,ilca 6,3.0,0,GERAL,2,,32.0,24.0,Latvijas atklātais čempionāts - Optimist e ILCA klasēm 2023,8
Rihards PLAVINS,262,ilca 6,3.0,0,GERAL,2,,32.0,24.0,Latvijas atklātais čempionāts - Optimist e ILCA klasēm 2023,9
Paula LAIPNIECE,262,ilca 6,6.0,1,GERAL,3,,37.0,31.0,Latvijas atklātais čempionāts - Optimist e ILCA klasēm 2023,1
Paula LAIPNIECE,262,ilca 6,4.0,0,GERAL,3,,37.0,31.0,Latvijas atklātais čempionāts - Optimist e ILCA klasēm 2023,2
Paula LAIPNIECE,262,ilca 6,3.0,0,GERAL,3,,37.0,31.0,Latvijas atklātais čempionāts - Optimist e ILCA klasēm 2023,3
Paula LAIPNIECE,262,ilca 6,4.0,0,GERAL,3,,37.0,31.0,Latvijas atklātais čempionāts - Optimist e ILCA klasēm 2023,4
