Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Descarte,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
Roger SCHULZ,271,ilca 7,8.0,1,GERAL,1,,18.0,10.0,Martinsregata II ILCA 2023,1
Roger SCHULZ,271,ilca 7,3.0,0,GERAL,1,,18.0,10.0,Martinsregata II ILCA 2023,2
Roger SCHULZ,271,ilca 7,2.0,0,GERAL,1,,18.0,10.0,Martinsregata II ILCA 2023,3
Roger SCHULZ,271,ilca 7,4.0,0,GERAL,1,,18.0,10.0,Martinsregata II ILCA 2023,4
Roger SCHULZ,271,ilca 7,1.0,0,GERAL,1,,18.0,10.0,Martinsregata II ILCA 2023,5
Nicolas THIERSE,271,ilca 7,5.0,0,GERAL,2,,23.0,12.0,Martinsregata II ILCA 2023,1
Nicolas THIERSE,271,ilca 7,11.0,1,GERAL,2,,23.0,12.0,Martinsregata II ILCA 2023,2
Nicolas THIERSE,271,ilca 7,3.0,0,GERAL,2,,23.0,12.0,Martinsregata II ILCA 2023,3
Nicolas THIERSE,271,ilca 7,2.0,0,GERAL,2,,23.0,12.0,Martinsregata II ILCA 2023,4
Nicolas THIERSE,271,ilca 7,2.0,0,GERAL,2,,23.0,12.0,Martinsregata II ILCA 2023,5
Markus MUELLER,271,ilca 7,7.0,0,GERAL,3,,25.0,14.0,Martinsregata II ILCA 2023,1
Markus MUELLER,271,ilca 7,1.0,0,GERAL,3,,25.0,14.0,Martinsregata II ILCA 2023,2
Markus MUELLER,271,ilca 7,11.0,1,GERAL,3,,25.0,14.0,Martinsregata II ILCA 2023,3
Markus MUELLER,271,ilca 7,3.0,0,GERAL,3,,25.0,14.0,Martinsregata II ILCA 2023,4
Markus MUELLER,271,ilca 7,3.0,0,GERAL,3,,25.0,14.0,Martinsregata II ILCA 2023,5
Jonathan BERGSCHMIDT,271,ilca 7,1.0,0,GERAL,4,,20.0,14.0,Martinsregata II ILCA 2023,1
Jonathan BERGSCHMIDT,271,ilca 7,4.0,0,GERAL,4,,20.0,14.0,Martinsregata II ILCA 2023,2
Jonathan BERGSCHMIDT,271,ilca 7,4.0,0,GERAL,4,,20.0,14.0,Martinsregata II ILCA 2023,3
Jonathan BERGSCHMIDT,271,ilca 7,6.0,1,GERAL,4,,20.0,14.0,Martinsregata II ILCA 2023,4
Jonathan BERGSCHMIDT,271,ilca 7,5.0,0,GERAL,4,,20.0,14.0,Martinsregata II ILCA 2023,5
Stefan MAGNEI,271,ilca 7,4.0,0,GERAL,5,,24.0,16.0,Martinsregata II ILCA 2023,1
Stefan MAGNEI,271,ilca 7,5.0,0,GERAL,5,,24.0,16.0,Martinsregata II ILCA 2023,2
Stefan MAGNEI,271,ilca 7,1.0,0,GERAL,5,,24.0,16.0,Martinsregata II ILCA 2023,3
Stefan MAGNEI,271,ilca 7,8.0,1,GERAL,5,,24.0,16.0,Martinsregata II ILCA 2023,4
Stefan MAGNEI,271,ilca 7,6.0,0,GERAL,5,,24.0,16.0,Martinsregata II ILCA 2023,5
Fabian SCHMITZ,271,ilca 7,11.0,1,GERAL,6,,30.0,19.0,Martinsregata II ILCA 2023,1
Fabian SCHMITZ,271,ilca 7,2.0,0,GERAL,6,,30.0,19.0,Martinsregata II ILCA 2023,2
Fabian SCHMITZ,271,ilca 7,9.0,0,GERAL,6,,30.0,19.0,Martinsregata II ILCA 2023,3
Fabian SCHMITZ,271,ilca 7,1.0,0,GERAL,6,,30.0,19.0,Martinsregata II ILCA 2023,4
Fabian SCHMITZ,271,ilca 7,7.0,0,GERAL,6,,30.0,19.0,Martinsregata II ILCA 2023,5
Peter STEIN,271,ilca 7,3.0,0,GERAL,7,,40.0,29.0,Martinsregata II ILCA 2023,1
Peter STEIN,271,ilca 7,6.0,0,GERAL,7,,40.0,29.0,Martinsregata II ILCA 2023,2
Peter STEIN,271,ilca 7,10.0,0,GERAL,7,,40.0,29.0,Martinsregata II ILCA 2023,3
Peter STEIN,271,ilca 7,11.0,1,GERAL,7,,40.0,29.0,Martinsregata II ILCA 2023,4
Peter STEIN,271,ilca 7,10.0,0,GERAL,7,,40.0,29.0,Martinsregata II ILCA 2023,5
Stefan MAUER,271,ilca 7,9.0,0,GERAL,8,,45.0,31.0,Martinsregata II ILCA 2023,1
Stefan MAUER,271,ilca 7,8.0,0,GERAL,8,,45.0,31.0,Martinsregata II ILCA 2023,2
Stefan MAUER,271,ilca 7,14.0,1,GERAL,8,,45.0,31.0,Martinsregata II ILCA 2023,3
Stefan MAUER,271,ilca 7,10.0,0,GERAL,8,,45.0,31.0,Martinsregata II ILCA 2023,4
Stefan MAUER,271,ilca 7,4.0,0,GERAL,8,,45.0,31.0,Martinsregata II ILCA 2023,5
Manuel BREIHAN,271,ilca 7,6.0,0,GERAL,9,,46.0,32.0,Martinsregata II ILCA 2023,1
Manuel BREIHAN,271,ilca 7,9.0,0,GERAL,9,,46.0,32.0,Martinsregata II ILCA 2023,2
Manuel BREIHAN,271,ilca 7,8.0,0,GERAL,9,,46.0,32.0,Martinsregata II ILCA 2023,3
Manuel BREIHAN,271,ilca 7,9.0,0,GERAL,9,,46.0,32.0,Martinsregata II ILCA 2023,4
Manuel BREIHAN,271,ilca 7,14.0,1,GERAL,9,,46.0,32.0,Martinsregata II ILCA 2023,5
Jens BREER,271,ilca 7,14.0,1,GERAL,10,,49.0,35.0,Martinsregata II ILCA 2023,1
Jens BREER,271,ilca 7,14.0,0,GERAL,10,,49.0,35.0,Martinsregata II ILCA 2023,2
Jens BREER,271,ilca 7,6.0,0,GERAL,10,,49.0,35.0,Martinsregata II ILCA 2023,3
Jens BREER,271,ilca 7,7.0,0,GERAL,10,,49.0,35.0,Martinsregata II ILCA 2023,4
Jens BREER,271,ilca 7,8.0,0,GERAL,10,,49.0,35.0,Martinsregata II ILCA 2023,5
Dennis LEUKEL,271,ilca 7,2.0,0,GERAL,11,,56.0,36.0,Martinsregata II ILCA 2023,1
Dennis LEUKEL,271,ilca 7,7.0,0,GERAL,11,,56.0,36.0,Martinsregata II ILCA 2023,2
Dennis LEUKEL,271,ilca 7,7.0,0,GERAL,11,,56.0,36.0,Martinsregata II ILCA 2023,3
Dennis LEUKEL,271,ilca 7,20.0,1,GERAL,11,DNF,56.0,36.0,Martinsregata II ILCA 2023,4
Dennis LEUKEL,271,ilca 7,20.0,0,GERAL,11,DNC,56.0,36.0,Martinsregata II ILCA 2023,5
Thomas LEUKEL,271,ilca 7,13.0,0,GERAL,12,,56.0,36.0,Martinsregata II ILCA 2023,1
Thomas LEUKEL,271,ilca 7,13.0,0,GERAL,12,,56.0,36.0,Martinsregata II ILCA 2023,2
Thomas LEUKEL,271,ilca 7,5.0,0,GERAL,12,,56.0,36.0,Martinsregata II ILCA 2023,3
Thomas LEUKEL,271,ilca 7,5.0,0,GERAL,12,,56.0,36.0,Martinsregata II ILCA 2023,4
Thomas LEUKEL,271,ilca 7,20.0,1,GERAL,12,DNS,56.0,36.0,Martinsregata II ILCA 2023,5
Ole STAPPEN,271,ilca 7,12.0,0,GERAL,13,,59.0,46.0,Martinsregata II ILCA 2023,1
Ole STAPPEN,271,ilca 7,12.0,0,GERAL,13,,59.0,46.0,Martinsregata II ILCA 2023,2
Ole STAPPEN,271,ilca 7,13.0,1,GERAL,13,,59.0,46.0,Martinsregata II ILCA 2023,3
Ole STAPPEN,271,ilca 7,13.0,0,GERAL,13,,59.0,46.0,Martinsregata II ILCA 2023,4
Ole STAPPEN,271,ilca 7,9.0,0,GERAL,13,,59.0,46.0,Martinsregata II ILCA 2023,5
Leon MARGALE,271,ilca 7,10.0,0,GERAL,14,,66.0,46.0,Martinsregata II ILCA 2023,1
