Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
,,,,49erFX,2,G,1,,59,50,Semaine Olympique Francaise De Voile 2023,1
,,,,49erFX,2,G,1,,59,50,Semaine Olympique Francaise De Voile 2023,2
,,,,49erFX,(9),G,1,,59,50,Semaine Olympique Francaise De Voile 2023,3
,,,,49erFX,2,G,1,,59,50,Semaine Olympique Francaise De Voile 2023,4
,,,,49erFX,2,G,1,,59,50,Semaine Olympique Francaise De Voile 2023,5
,,,,49erFX,7,O,1,,59,50,Semaine Olympique Francaise De Voile 2023,6
,,,,49erFX,3,O,1,,59,50,Semaine Olympique Francaise De Voile 2023,7
,,,,49erFX,3,O,1,,59,50,Semaine Olympique Francaise De Voile 2023,8
,,,,49erFX,4,O,1,,59,50,Semaine Olympique Francaise De Voile 2023,9
,,,,49erFX,2,O,1,,59,50,Semaine Olympique Francaise De Voile 2023,10
,,,,49erFX,4,O,1,,59,50,Semaine Olympique Francaise De Voile 2023,11
,,,,49erFX,6,O,1,,59,50,Semaine Olympique Francaise De Voile 2023,12
,,,,49erFX,1,O,1,,59,50,Semaine Olympique Francaise De Voile 2023,13
,,,,49erFX,12,Medal Race,1,,59,50,Semaine Olympique Francaise De Voile 2023,14
,,Marina MilitareMarina Militare,,49erFX,1,G,2,,126,102,Semaine Olympique Francaise De Voile 2023,1
,,Marina MilitareMarina Militare,,49erFX,1,G,2,,126,102,Semaine Olympique Francaise De Voile 2023,2
,,Marina MilitareMarina Militare,,49erFX,14,G,2,,126,102,Semaine Olympique Francaise De Voile 2023,3
,,Marina MilitareMarina Militare,,49erFX,3,G,2,,126,102,Semaine Olympique Francaise De Voile 2023,4
,,Marina MilitareMarina Militare,,49erFX,3,G,2,,126,102,Semaine Olympique Francaise De Voile 2023,5
,,Marina MilitareMarina Militare,,49erFX,1,O,2,,126,102,Semaine Olympique Francaise De Voile 2023,6
,,Marina MilitareMarina Militare,,49erFX,2,O,2,,126,102,Semaine Olympique Francaise De Voile 2023,7
,,Marina MilitareMarina Militare,,49erFX,17,O,2,,126,102,Semaine Olympique Francaise De Voile 2023,8
,,Marina MilitareMarina Militare,,49erFX,16,O,2,,126,102,Semaine Olympique Francaise De Voile 2023,9
,,Marina MilitareMarina Militare,,49erFX,(24),O,2,,126,102,Semaine Olympique Francaise De Voile 2023,10
,,Marina MilitareMarina Militare,,49erFX,2,O,2,,126,102,Semaine Olympique Francaise De Voile 2023,11
,,Marina MilitareMarina Militare,,49erFX,16,O,2,,126,102,Semaine Olympique Francaise De Voile 2023,12
,,Marina MilitareMarina Militare,,49erFX,10,O,2,,126,102,Semaine Olympique Francaise De Voile 2023,13
,,Marina MilitareMarina Militare,,49erFX,16,Medal Race,2,,126,102,Semaine Olympique Francaise De Voile 2023,14
,,,,49erFX,11,G,3,,138,112,Semaine Olympique Francaise De Voile 2023,1
,,,,49erFX,DNC(26),G,3,,138,112,Semaine Olympique Francaise De Voile 2023,2
,,,,49erFX,2,G,3,,138,112,Semaine Olympique Francaise De Voile 2023,3
,,,,49erFX,2,G,3,,138,112,Semaine Olympique Francaise De Voile 2023,4
,,,,49erFX,10,G,3,,138,112,Semaine Olympique Francaise De Voile 2023,5
,,,,49erFX,11,O,3,,138,112,Semaine Olympique Francaise De Voile 2023,6
,,,,49erFX,4,O,3,,138,112,Semaine Olympique Francaise De Voile 2023,7
,,,,49erFX,14,O,3,,138,112,Semaine Olympique Francaise De Voile 2023,8
,,,,49erFX,5,O,3,,138,112,Semaine Olympique Francaise De Voile 2023,9
,,,,49erFX,17,O,3,,138,112,Semaine Olympique Francaise De Voile 2023,10
