Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
,,Lauriane NOLOT ,,Formula Kite Fem.,3,G,1,,64,34,Semaine Olympique Francaise De Voile 2023,1
,,Lauriane NOLOT ,,Formula Kite Fem.,1,G,1,,64,34,Semaine Olympique Francaise De Voile 2023,2
,,Lauriane NOLOT ,,Formula Kite Fem.,(4),G,1,,64,34,Semaine Olympique Francaise De Voile 2023,3
,,Lauriane NOLOT ,,Formula Kite Fem.,2,G,1,,64,34,Semaine Olympique Francaise De Voile 2023,4
,,Lauriane NOLOT ,,Formula Kite Fem.,1,O,1,,64,34,Semaine Olympique Francaise De Voile 2023,5
,,Lauriane NOLOT ,,Formula Kite Fem.,1,O,1,,64,34,Semaine Olympique Francaise De Voile 2023,6
,,Lauriane NOLOT ,,Formula Kite Fem.,1,O,1,,64,34,Semaine Olympique Francaise De Voile 2023,7
,,Lauriane NOLOT ,,Formula Kite Fem.,2,O,1,,64,34,Semaine Olympique Francaise De Voile 2023,8
,,Lauriane NOLOT ,,Formula Kite Fem.,1,O,1,,64,34,Semaine Olympique Francaise De Voile 2023,9
,,Lauriane NOLOT ,,Formula Kite Fem.,2,O,1,,64,34,Semaine Olympique Francaise De Voile 2023,10
,,Lauriane NOLOT ,,Formula Kite Fem.,(12),O,1,,64,34,Semaine Olympique Francaise De Voile 2023,11
,,Lauriane NOLOT ,,Formula Kite Fem.,11,O,1,,64,34,Semaine Olympique Francaise De Voile 2023,12
,,Lauriane NOLOT ,,Formula Kite Fem.,3,O,1,,64,34,Semaine Olympique Francaise De Voile 2023,13
,,Lauriane NOLOT ,,Formula Kite Fem.,(14),O,1,,64,34,Semaine Olympique Francaise De Voile 2023,14
,,Lauriane NOLOT ,,Formula Kite Fem.,5,O,1,,64,34,Semaine Olympique Francaise De Voile 2023,15
,,Lauriane NOLOT ,,Formula Kite Fem.,1,O,1,,64,34,Semaine Olympique Francaise De Voile 2023,16
,,Lauriane NOLOT ,,Formula Kite Fem.,1,Medal Race,1,,64,34,Semaine Olympique Francaise De Voile 2023,17
,,Daniela  MOROZ ,,Formula Kite Fem.,1,G,2,,103,56,Semaine Olympique Francaise De Voile 2023,1
,,Daniela  MOROZ ,,Formula Kite Fem.,(2),G,2,,103,56,Semaine Olympique Francaise De Voile 2023,2
,,Daniela  MOROZ ,,Formula Kite Fem.,1,G,2,,103,56,Semaine Olympique Francaise De Voile 2023,3
,,Daniela  MOROZ ,,Formula Kite Fem.,1,G,2,,103,56,Semaine Olympique Francaise De Voile 2023,4
,,Daniela  MOROZ ,,Formula Kite Fem.,DNC(26),O,2,,103,56,Semaine Olympique Francaise De Voile 2023,5
,,Daniela  MOROZ ,,Formula Kite Fem.,4,O,2,,103,56,Semaine Olympique Francaise De Voile 2023,6
,,Daniela  MOROZ ,,Formula Kite Fem.,3,O,2,,103,56,Semaine Olympique Francaise De Voile 2023,7
,,Daniela  MOROZ ,,Formula Kite Fem.,11,O,2,,103,56,Semaine Olympique Francaise De Voile 2023,8
,,Daniela  MOROZ ,,Formula Kite Fem.,9,O,2,,103,56,Semaine Olympique Francaise De Voile 2023,9
,,Daniela  MOROZ ,,Formula Kite Fem.,1,O,2,,103,56,Semaine Olympique Francaise De Voile 2023,10
,,Daniela  MOROZ ,,Formula Kite Fem.,2,O,2,,103,56,Semaine Olympique Francaise De Voile 2023,11
,,Daniela  MOROZ ,,Formula Kite Fem.,9,O,2,,103,56,Semaine Olympique Francaise De Voile 2023,12
,,Daniela  MOROZ ,,Formula Kite Fem.,5,O,2,,103,56,Semaine Olympique Francaise De Voile 2023,13
,,Daniela  MOROZ ,,Formula Kite Fem.,1,O,2,,103,56,Semaine Olympique Francaise De Voile 2023,14
,,Daniela  MOROZ ,,Formula Kite Fem.,8,O,2,,103,56,Semaine Olympique Francaise De Voile 2023,15
,,Daniela  MOROZ ,,Formula Kite Fem.,(19),O,2,,103,56,Semaine Olympique Francaise De Voile 2023,16
,,Daniela  MOROZ ,,Formula Kite Fem.,2,Medal Race,2,,103,56,Semaine Olympique Francaise De Voile 2023,17
,,Jessie KAMPMAN ,,Formula Kite Fem.,1,G,3,,85,38,Semaine Olympique Francaise De Voile 2023,1
,,Jessie KAMPMAN ,,Formula Kite Fem.,1,G,3,,85,38,Semaine Olympique Francaise De Voile 2023,2
,,Jessie KAMPMAN ,,Formula Kite Fem.,(2),G,3,,85,38,Semaine Olympique Francaise De Voile 2023,3
,,Jessie KAMPMAN ,,Formula Kite Fem.,2,G,3,,85,38,Semaine Olympique Francaise De Voile 2023,4
,,Jessie KAMPMAN ,,Formula Kite Fem.,9,O,3,,85,38,Semaine Olympique Francaise De Voile 2023,5
,,Jessie KAMPMAN ,,Formula Kite Fem.,2,O,3,,85,38,Semaine Olympique Francaise De Voile 2023,6
,,Jessie KAMPMAN ,,Formula Kite Fem.,2,O,3,,85,38,Semaine Olympique Francaise De Voile 2023,7
,,Jessie KAMPMAN ,,Formula Kite Fem.,1,O,3,,85,38,Semaine Olympique Francaise De Voile 2023,8
,,Jessie KAMPMAN ,,Formula Kite Fem.,2,O,3,,85,38,Semaine Olympique Francaise De Voile 2023,9
,,Jessie KAMPMAN ,,Formula Kite Fem.,4,O,3,,85,38,Semaine Olympique Francaise De Voile 2023,10
,,Jessie KAMPMAN ,,Formula Kite Fem.,(19),O,3,,85,38,Semaine Olympique Francaise De Voile 2023,11
,,Jessie KAMPMAN ,,Formula Kite Fem.,6,O,3,,85,38,Semaine Olympique Francaise De Voile 2023,12
,,Jessie KAMPMAN ,,Formula Kite Fem.,4,O,3,,85,38,Semaine Olympique Francaise De Voile 2023,13
,,Jessie KAMPMAN ,,Formula Kite Fem.,3,O,3,,85,38,Semaine Olympique Francaise De Voile 2023,14
,,Jessie KAMPMAN ,,Formula Kite Fem.,1,O,3,,85,38,Semaine Olympique Francaise De Voile 2023,15
,,Jessie KAMPMAN ,,Formula Kite Fem.,DNC(26),O,3,,85,38,Semaine Olympique Francaise De Voile 2023,16
,,Jessie KAMPMAN ,,Formula Kite Fem.,3,Medal Race,3,,85,38,Semaine Olympique Francaise De Voile 2023,17
,,Ellie ALDRIDGE ,,Formula Kite Fem.,3,G,4,,86,38,Semaine Olympique Francaise De Voile 2023,1
,,Ellie ALDRIDGE ,,Formula Kite Fem.,2,G,4,,86,38,Semaine Olympique Francaise De Voile 2023,2
,,Ellie ALDRIDGE ,,Formula Kite Fem.,1,G,4,,86,38,Semaine Olympique Francaise De Voile 2023,3
,,Ellie ALDRIDGE ,,Formula Kite Fem.,(4),G,4,,86,38,Semaine Olympique Francaise De Voile 2023,4
,,Ellie ALDRIDGE ,,Formula Kite Fem.,5,O,4,,86,38,Semaine Olympique Francaise De Voile 2023,5
,,Ellie ALDRIDGE ,,Formula Kite Fem.,3,O,4,,86,38,Semaine Olympique Francaise De Voile 2023,6
,,Ellie ALDRIDGE ,,Formula Kite Fem.,5,O,4,,86,38,Semaine Olympique Francaise De Voile 2023,7
,,Ellie ALDRIDGE ,,Formula Kite Fem.,3,O,4,,86,38,Semaine Olympique Francaise De Voile 2023,8
,,Ellie ALDRIDGE ,,Formula Kite Fem.,5,O,4,,86,38,Semaine Olympique Francaise De Voile 2023,9
,,Ellie ALDRIDGE ,,Formula Kite Fem.,5,O,4,,86,38,Semaine Olympique Francaise De Voile 2023,10
,,Ellie ALDRIDGE ,,Formula Kite Fem.,1,O,4,,86,38,Semaine Olympique Francaise De Voile 2023,11
,,Ellie ALDRIDGE ,,Formula Kite Fem.,1,O,4,,86,38,Semaine Olympique Francaise De Voile 2023,12
,,Ellie ALDRIDGE ,,Formula Kite Fem.,1,O,4,,86,38,Semaine Olympique Francaise De Voile 2023,13
,,Ellie ALDRIDGE ,,Formula Kite Fem.,DSQ(26),O,4,,86,38,Semaine Olympique Francaise De Voile 2023,14
,,Ellie ALDRIDGE ,,Formula Kite Fem.,3,O,4,,86,38,Semaine Olympique Francaise De Voile 2023,15
,,Ellie ALDRIDGE ,,Formula Kite Fem.,(18),O,4,,86,38,Semaine Olympique Francaise De Voile 2023,16
,,Ellie ALDRIDGE ,,Formula Kite Fem.,4,Medal Race,4,,86,38,Semaine Olympique Francaise De Voile 2023,17
,,Poema NEWLAND ,,Formula Kite Fem.,2,G,5,,116,54,Semaine Olympique Francaise De Voile 2023,1
,,Poema NEWLAND ,,Formula Kite Fem.,6,G,5,,116,54,Semaine Olympique Francaise De Voile 2023,2
,,Poema NEWLAND ,,Formula Kite Fem.,(17),G,5,,116,54,Semaine Olympique Francaise De Voile 2023,3
,,Poema NEWLAND ,,Formula Kite Fem.,3,G,5,,116,54,Semaine Olympique Francaise De Voile 2023,4
,,Poema NEWLAND ,,Formula Kite Fem.,3,O,5,,116,54,Semaine Olympique Francaise De Voile 2023,5
,,Poema NEWLAND ,,Formula Kite Fem.,(19),O,5,,116,54,Semaine Olympique Francaise De Voile 2023,6
,,Poema NEWLAND ,,Formula Kite Fem.,4,O,5,,116,54,Semaine Olympique Francaise De Voile 2023,7
,,Poema NEWLAND ,,Formula Kite Fem.,BFD(26),O,5,,116,54,Semaine Olympique Francaise De Voile 2023,8
