Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
,,,,Ilca 6,1,G,1,,97,74,Semaine Olympique Francaise De Voile 2023,1
,,,,Ilca 6,2,G,1,,97,74,Semaine Olympique Francaise De Voile 2023,2
,,,,Ilca 6,9,G,1,,97,74,Semaine Olympique Francaise De Voile 2023,3
,,,,Ilca 6,2,G,1,,97,74,Semaine Olympique Francaise De Voile 2023,4
,,,,Ilca 6,8,G,1,,97,74,Semaine Olympique Francaise De Voile 2023,5
,,,,Ilca 6,4,G,1,,97,74,Semaine Olympique Francaise De Voile 2023,6
,,,,Ilca 6,8,O,1,,97,74,Semaine Olympique Francaise De Voile 2023,7
,,,,Ilca 6,12,O,1,,97,74,Semaine Olympique Francaise De Voile 2023,8
,,,,Ilca 6,(23),O,1,,97,74,Semaine Olympique Francaise De Voile 2023,9
,,,,Ilca 6,8,O,1,,97,74,Semaine Olympique Francaise De Voile 2023,10
,,,,Ilca 6,20,Medal Race,1,,97,74,Semaine Olympique Francaise De Voile 2023,11
,,HORSENS SEJLKLUB,,Ilca 6,4,G,2,,92,75,Semaine Olympique Francaise De Voile 2023,1
,,HORSENS SEJLKLUB,,Ilca 6,13,G,2,,92,75,Semaine Olympique Francaise De Voile 2023,2
,,HORSENS SEJLKLUB,,Ilca 6,4,G,2,,92,75,Semaine Olympique Francaise De Voile 2023,3
,,HORSENS SEJLKLUB,,Ilca 6,(17),G,2,,92,75,Semaine Olympique Francaise De Voile 2023,4
,,HORSENS SEJLKLUB,,Ilca 6,8,G,2,,92,75,Semaine Olympique Francaise De Voile 2023,5
,,HORSENS SEJLKLUB,,Ilca 6,5,G,2,,92,75,Semaine Olympique Francaise De Voile 2023,6
,,HORSENS SEJLKLUB,,Ilca 6,2,O,2,,92,75,Semaine Olympique Francaise De Voile 2023,7
,,HORSENS SEJLKLUB,,Ilca 6,6,O,2,,92,75,Semaine Olympique Francaise De Voile 2023,8
,,HORSENS SEJLKLUB,,Ilca 6,8,O,2,,92,75,Semaine Olympique Francaise De Voile 2023,9
,,HORSENS SEJLKLUB,,Ilca 6,7,O,2,,92,75,Semaine Olympique Francaise De Voile 2023,10
,,HORSENS SEJLKLUB,,Ilca 6,18,Medal Race,2,,92,75,Semaine Olympique Francaise De Voile 2023,11
,,McCYC & SSCBC,,Ilca 6,8,G,3,,121,83,Semaine Olympique Francaise De Voile 2023,1
,,McCYC & SSCBC,,Ilca 6,5,G,3,,121,83,Semaine Olympique Francaise De Voile 2023,2
,,McCYC & SSCBC,,Ilca 6,6,G,3,,121,83,Semaine Olympique Francaise De Voile 2023,3
,,McCYC & SSCBC,,Ilca 6,1,G,3,,121,83,Semaine Olympique Francaise De Voile 2023,4
,,McCYC & SSCBC,,Ilca 6,3,G,3,,121,83,Semaine Olympique Francaise De Voile 2023,5
,,McCYC & SSCBC,,Ilca 6,(38),G,3,,121,83,Semaine Olympique Francaise De Voile 2023,6
,,McCYC & SSCBC,,Ilca 6,6,O,3,,121,83,Semaine Olympique Francaise De Voile 2023,7
,,McCYC & SSCBC,,Ilca 6,2,O,3,,121,83,Semaine Olympique Francaise De Voile 2023,8
,,McCYC & SSCBC,,Ilca 6,25,O,3,,121,83,Semaine Olympique Francaise De Voile 2023,9
,,McCYC & SSCBC,,Ilca 6,17,O,3,,121,83,Semaine Olympique Francaise De Voile 2023,10
,,McCYC & SSCBC,,Ilca 6,10,Medal Race,3,,121,83,Semaine Olympique Francaise De Voile 2023,11
,,MVM SE,,Ilca 6,7,G,4,,118,87,Semaine Olympique Francaise De Voile 2023,1
,,MVM SE,,Ilca 6,7,G,4,,118,87,Semaine Olympique Francaise De Voile 2023,2
,,MVM SE,,Ilca 6,5,G,4,,118,87,Semaine Olympique Francaise De Voile 2023,3
,,MVM SE,,Ilca 6,13,G,4,,118,87,Semaine Olympique Francaise De Voile 2023,4
,,MVM SE,,Ilca 6,4,G,4,,118,87,Semaine Olympique Francaise De Voile 2023,5
,,MVM SE,,Ilca 6,(31),G,4,,118,87,Semaine Olympique Francaise De Voile 2023,6
