Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
,,Rudyard Lake Sailing ClubRoyal Northern and Clyde Yacht Club,,Nacra 17,3,G,1,,39,32,Semaine Olympique Francaise De Voile 2023,1
,,Rudyard Lake Sailing ClubRoyal Northern and Clyde Yacht Club,,Nacra 17,3,G,1,,39,32,Semaine Olympique Francaise De Voile 2023,2
,,Rudyard Lake Sailing ClubRoyal Northern and Clyde Yacht Club,,Nacra 17,1,G,1,,39,32,Semaine Olympique Francaise De Voile 2023,3
,,Rudyard Lake Sailing ClubRoyal Northern and Clyde Yacht Club,,Nacra 17,5,G,1,,39,32,Semaine Olympique Francaise De Voile 2023,4
,,Rudyard Lake Sailing ClubRoyal Northern and Clyde Yacht Club,,Nacra 17,(7),G,1,,39,32,Semaine Olympique Francaise De Voile 2023,5
,,Rudyard Lake Sailing ClubRoyal Northern and Clyde Yacht Club,,Nacra 17,1,O,1,,39,32,Semaine Olympique Francaise De Voile 2023,6
,,Rudyard Lake Sailing ClubRoyal Northern and Clyde Yacht Club,,Nacra 17,1,O,1,,39,32,Semaine Olympique Francaise De Voile 2023,7
,,Rudyard Lake Sailing ClubRoyal Northern and Clyde Yacht Club,,Nacra 17,1,O,1,,39,32,Semaine Olympique Francaise De Voile 2023,8
,,Rudyard Lake Sailing ClubRoyal Northern and Clyde Yacht Club,,Nacra 17,6,O,1,,39,32,Semaine Olympique Francaise De Voile 2023,9
,,Rudyard Lake Sailing ClubRoyal Northern and Clyde Yacht Club,,Nacra 17,5,O,1,,39,32,Semaine Olympique Francaise De Voile 2023,10
,,Rudyard Lake Sailing ClubRoyal Northern and Clyde Yacht Club,,Nacra 17,1,O,1,,39,32,Semaine Olympique Francaise De Voile 2023,11
,,Rudyard Lake Sailing ClubRoyal Northern and Clyde Yacht Club,,Nacra 17,1,O,1,,39,32,Semaine Olympique Francaise De Voile 2023,12
,,Rudyard Lake Sailing ClubRoyal Northern and Clyde Yacht Club,,Nacra 17,4,Medal Race,1,,39,32,Semaine Olympique Francaise De Voile 2023,13
,,,,Nacra 17,2,G,2,,83,70,Semaine Olympique Francaise De Voile 2023,1
,,,,Nacra 17,1,G,2,,83,70,Semaine Olympique Francaise De Voile 2023,2
,,,,Nacra 17,11,G,2,,83,70,Semaine Olympique Francaise De Voile 2023,3
,,,,Nacra 17,11,G,2,,83,70,Semaine Olympique Francaise De Voile 2023,4
,,,,Nacra 17,5,G,2,,83,70,Semaine Olympique Francaise De Voile 2023,5
,,,,Nacra 17,3,O,2,,83,70,Semaine Olympique Francaise De Voile 2023,6
,,,,Nacra 17,4,O,2,,83,70,Semaine Olympique Francaise De Voile 2023,7
,,,,Nacra 17,11,O,2,,83,70,Semaine Olympique Francaise De Voile 2023,8
,,,,Nacra 17,4,O,2,,83,70,Semaine Olympique Francaise De Voile 2023,9
,,,,Nacra 17,1,O,2,,83,70,Semaine Olympique Francaise De Voile 2023,10
,,,,Nacra 17,(13),O,2,,83,70,Semaine Olympique Francaise De Voile 2023,11
,,,,Nacra 17,7,O,2,,83,70,Semaine Olympique Francaise De Voile 2023,12
,,,,Nacra 17,10,Medal Race,2,,83,70,Semaine Olympique Francaise De Voile 2023,13
,,,,Nacra 17,7,G,3,,97,77,Semaine Olympique Francaise De Voile 2023,1
,,,,Nacra 17,5,G,3,,97,77,Semaine Olympique Francaise De Voile 2023,2
,,,,Nacra 17,2,G,3,,97,77,Semaine Olympique Francaise De Voile 2023,3
,,,,Nacra 17,(20),G,3,,97,77,Semaine Olympique Francaise De Voile 2023,4
,,,,Nacra 17,1,G,3,,97,77,Semaine Olympique Francaise De Voile 2023,5
,,,,Nacra 17,15,O,3,,97,77,Semaine Olympique Francaise De Voile 2023,6
,,,,Nacra 17,5,O,3,,97,77,Semaine Olympique Francaise De Voile 2023,7
,,,,Nacra 17,4,O,3,,97,77,Semaine Olympique Francaise De Voile 2023,8
