Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Descarte,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
Marit BOUWMEESTER,27,Ilca 6,4.0,0,GERAL,1,,118.0,53.0,Semaine Olympique Francaise de Voile 2018,1
Marit BOUWMEESTER,27,Ilca 6,2.0,0,GERAL,1,,118.0,53.0,Semaine Olympique Francaise de Voile 2018,2
Marit BOUWMEESTER,27,Ilca 6,19.0,0,GERAL,1,,118.0,53.0,Semaine Olympique Francaise de Voile 2018,3
Marit BOUWMEESTER,27,Ilca 6,2.0,0,GERAL,1,,118.0,53.0,Semaine Olympique Francaise de Voile 2018,4
Marit BOUWMEESTER,27,Ilca 6,1.0,0,GERAL,1,,118.0,53.0,Semaine Olympique Francaise de Voile 2018,5
Marit BOUWMEESTER,27,Ilca 6,10.0,0,GERAL,1,,118.0,53.0,Semaine Olympique Francaise de Voile 2018,6
Marit BOUWMEESTER,27,Ilca 6,1.0,0,GERAL,1,,118.0,53.0,Semaine Olympique Francaise de Voile 2018,7
Marit BOUWMEESTER,27,Ilca 6,2.0,0,GERAL,1,,118.0,53.0,Semaine Olympique Francaise de Voile 2018,8
Marit BOUWMEESTER,27,Ilca 6,10.0,0,GERAL,1,,118.0,53.0,Semaine Olympique Francaise de Voile 2018,9
Marit BOUWMEESTER,27,Ilca 6,65.0,1,GERAL,1,DSQ,118.0,53.0,Semaine Olympique Francaise de Voile 2018,10
Marit BOUWMEESTER,27,Ilca 6,2.0,0,MEDAL RACE,1,,118.0,53.0,Semaine Olympique Francaise de Voile 2018,11
Monika MIKKOLA,27,Ilca 6,16.0,0,GERAL,2,,133.0,109.0,Semaine Olympique Francaise de Voile 2018,1
Monika MIKKOLA,27,Ilca 6,5.0,0,GERAL,2,,133.0,109.0,Semaine Olympique Francaise de Voile 2018,2
Monika MIKKOLA,27,Ilca 6,18.0,0,GERAL,2,,133.0,109.0,Semaine Olympique Francaise de Voile 2018,3
Monika MIKKOLA,27,Ilca 6,3.0,0,GERAL,2,,133.0,109.0,Semaine Olympique Francaise de Voile 2018,4
Monika MIKKOLA,27,Ilca 6,4.0,0,GERAL,2,,133.0,109.0,Semaine Olympique Francaise de Voile 2018,5
Monika MIKKOLA,27,Ilca 6,24.0,1,GERAL,2,,133.0,109.0,Semaine Olympique Francaise de Voile 2018,6
Monika MIKKOLA,27,Ilca 6,13.0,0,GERAL,2,,133.0,109.0,Semaine Olympique Francaise de Voile 2018,7
Monika MIKKOLA,27,Ilca 6,16.0,0,GERAL,2,,133.0,109.0,Semaine Olympique Francaise de Voile 2018,8
Monika MIKKOLA,27,Ilca 6,12.0,0,GERAL,2,,133.0,109.0,Semaine Olympique Francaise de Voile 2018,9
