Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Descarte,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
William JONESEvan DEPAUL,17,49er,3.0,0,GERAL,1,,44.0,33.0,World Championship 2017,1
William JONESEvan DEPAUL,17,49er,2.0,0,GERAL,1,,44.0,33.0,World Championship 2017,2
William JONESEvan DEPAUL,17,49er,1.0,0,GERAL,1,,44.0,33.0,World Championship 2017,3
William JONESEvan DEPAUL,17,49er,2.0,0,GERAL,1,,44.0,33.0,World Championship 2017,4
William JONESEvan DEPAUL,17,49er,5.0,0,GERAL,1,,44.0,33.0,World Championship 2017,5
William JONESEvan DEPAUL,17,49er,2.0,0,GERAL,1,,44.0,33.0,World Championship 2017,6
William JONESEvan DEPAUL,17,49er,2.0,0,GERAL,1,,44.0,33.0,World Championship 2017,7
William JONESEvan DEPAUL,17,49er,1.0,0,GERAL,1,,44.0,33.0,World Championship 2017,8
William JONESEvan DEPAUL,17,49er,4.0,0,GERAL,1,,44.0,33.0,World Championship 2017,9
William JONESEvan DEPAUL,17,49er,1.0,0,GERAL,1,,44.0,33.0,World Championship 2017,10
William JONESEvan DEPAUL,17,49er,2.0,0,GERAL,1,,44.0,33.0,World Championship 2017,11
William JONESEvan DEPAUL,17,49er,11.0,1,GERAL,1,UFD,44.0,33.0,World Championship 2017,12
William JONESEvan DEPAUL,17,49er,4.0,0,MEDAL RACE,1,,44.0,33.0,World Championship 2017,13
William JONESEvan DEPAUL,17,49er,2.0,0,MEDAL RACE,1,,44.0,33.0,World Championship 2017,14
William JONESEvan DEPAUL,17,49er,2.0,0,MEDAL RACE,1,,44.0,33.0,World Championship 2017,15
Dane WILSONScott EWING,17,49er,1.0,0,GERAL,2,,41.0,37.0,World Championship 2017,1
Dane WILSONScott EWING,17,49er,1.0,0,GERAL,2,,41.0,37.0,World Championship 2017,2
Dane WILSONScott EWING,17,49er,4.0,1,GERAL,2,,41.0,37.0,World Championship 2017,3
Dane WILSONScott EWING,17,49er,4.0,0,GERAL,2,,41.0,37.0,World Championship 2017,4
Dane WILSONScott EWING,17,49er,4.0,0,GERAL,2,,41.0,37.0,World Championship 2017,5
Dane WILSONScott EWING,17,49er,3.0,0,GERAL,2,,41.0,37.0,World Championship 2017,6
Dane WILSONScott EWING,17,49er,1.0,0,GERAL,2,,41.0,37.0,World Championship 2017,7
Dane WILSONScott EWING,17,49er,11.0,0,GERAL,2,DNE,41.0,37.0,World Championship 2017,8
Dane WILSONScott EWING,17,49er,1.0,0,GERAL,2,,41.0,37.0,World Championship 2017,9
Dane WILSONScott EWING,17,49er,2.0,0,GERAL,2,,41.0,37.0,World Championship 2017,10
Dane WILSONScott EWING,17,49er,1.0,0,GERAL,2,,41.0,37.0,World Championship 2017,11
Dane WILSONScott EWING,17,49er,1.0,0,GERAL,2,,41.0,37.0,World Championship 2017,12
Dane WILSONScott EWING,17,49er,2.0,0,MEDAL RACE,2,,41.0,37.0,World Championship 2017,13
Dane WILSONScott EWING,17,49er,4.0,0,MEDAL RACE,2,,41.0,37.0,World Championship 2017,14
Dane WILSONScott EWING,17,49er,1.0,0,MEDAL RACE,2,,41.0,37.0,World Championship 2017,15
Don WHITCRAFTDylan WHITCRAFT,17,49er,2.0,0,GERAL,3,,48.0,42.0,World Championship 2017,1
Don WHITCRAFTDylan WHITCRAFT,17,49er,3.0,0,GERAL,3,,48.0,42.0,World Championship 2017,2
Don WHITCRAFTDylan WHITCRAFT,17,49er,5.0,0,GERAL,3,,48.0,42.0,World Championship 2017,3
Don WHITCRAFTDylan WHITCRAFT,17,49er,1.0,0,GERAL,3,,48.0,42.0,World Championship 2017,4
Don WHITCRAFTDylan WHITCRAFT,17,49er,3.0,0,GERAL,3,,48.0,42.0,World Championship 2017,5
Don WHITCRAFTDylan WHITCRAFT,17,49er,1.0,0,GERAL,3,,48.0,42.0,World Championship 2017,6
Don WHITCRAFTDylan WHITCRAFT,17,49er,3.0,0,GERAL,3,,48.0,42.0,World Championship 2017,7
Don WHITCRAFTDylan WHITCRAFT,17,49er,2.0,0,GERAL,3,,48.0,42.0,World Championship 2017,8
Don WHITCRAFTDylan WHITCRAFT,17,49er,2.0,0,GERAL,3,,48.0,42.0,World Championship 2017,9
Don WHITCRAFTDylan WHITCRAFT,17,49er,6.0,1,GERAL,3,,48.0,42.0,World Championship 2017,10
Don WHITCRAFTDylan WHITCRAFT,17,49er,4.0,0,GERAL,3,,48.0,42.0,World Championship 2017,11
Don WHITCRAFTDylan WHITCRAFT,17,49er,4.0,0,GERAL,3,,48.0,42.0,World Championship 2017,12
Don WHITCRAFTDylan WHITCRAFT,17,49er,1.0,0,MEDAL RACE,3,,48.0,42.0,World Championship 2017,13
Don WHITCRAFTDylan WHITCRAFT,17,49er,8.0,0,MEDAL RACE,3,,48.0,42.0,World Championship 2017,14
Don WHITCRAFTDylan WHITCRAFT,17,49er,3.0,0,MEDAL RACE,3,,48.0,42.0,World Championship 2017,15
Oliver MANTONBilly GOODFELLOW,17,49er,4.0,0,GERAL,4,,62.0,56.0,World Championship 2017,1
Oliver MANTONBilly GOODFELLOW,17,49er,5.0,0,GERAL,4,,62.0,56.0,World Championship 2017,2
Oliver MANTONBilly GOODFELLOW,17,49er,6.0,1,GERAL,4,,62.0,56.0,World Championship 2017,3
Oliver MANTONBilly GOODFELLOW,17,49er,5.0,0,GERAL,4,,62.0,56.0,World Championship 2017,4
Oliver MANTONBilly GOODFELLOW,17,49er,1.0,0,GERAL,4,,62.0,56.0,World Championship 2017,5
Oliver MANTONBilly GOODFELLOW,17,49er,5.0,0,GERAL,4,,62.0,56.0,World Championship 2017,6
Oliver MANTONBilly GOODFELLOW,17,49er,4.0,0,GERAL,4,,62.0,56.0,World Championship 2017,7
Oliver MANTONBilly GOODFELLOW,17,49er,3.0,0,GERAL,4,,62.0,56.0,World Championship 2017,8
Oliver MANTONBilly GOODFELLOW,17,49er,3.0,0,GERAL,4,,62.0,56.0,World Championship 2017,9
Oliver MANTONBilly GOODFELLOW,17,49er,3.0,0,GERAL,4,,62.0,56.0,World Championship 2017,10
Oliver MANTONBilly GOODFELLOW,17,49er,3.0,0,GERAL,4,,62.0,56.0,World Championship 2017,11
Oliver MANTONBilly GOODFELLOW,17,49er,2.0,0,GERAL,4,,62.0,56.0,World Championship 2017,12
