Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Descarte,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
Ragna AGERUPMaia AGERUP,17,49erFX,4.0,0,GERAL,1,,37.0,31.0,World Championship 2017,1
Ragna AGERUPMaia AGERUP,17,49erFX,1.0,0,GERAL,1,,37.0,31.0,World Championship 2017,2
Ragna AGERUPMaia AGERUP,17,49erFX,2.0,0,GERAL,1,,37.0,31.0,World Championship 2017,3
Ragna AGERUPMaia AGERUP,17,49erFX,2.0,0,GERAL,1,,37.0,31.0,World Championship 2017,4
Ragna AGERUPMaia AGERUP,17,49erFX,6.0,1,GERAL,1,,37.0,31.0,World Championship 2017,5
Ragna AGERUPMaia AGERUP,17,49erFX,5.0,0,GERAL,1,,37.0,31.0,World Championship 2017,6
Ragna AGERUPMaia AGERUP,17,49erFX,1.0,0,GERAL,1,,37.0,31.0,World Championship 2017,7
Ragna AGERUPMaia AGERUP,17,49erFX,2.0,0,GERAL,1,,37.0,31.0,World Championship 2017,8
Ragna AGERUPMaia AGERUP,17,49erFX,2.0,0,GERAL,1,,37.0,31.0,World Championship 2017,9
Ragna AGERUPMaia AGERUP,17,49erFX,5.0,0,GERAL,1,,37.0,31.0,World Championship 2017,10
Ragna AGERUPMaia AGERUP,17,49erFX,1.0,0,GERAL,1,,37.0,31.0,World Championship 2017,11
Ragna AGERUPMaia AGERUP,17,49erFX,1.0,0,GERAL,1,,37.0,31.0,World Championship 2017,12
Ragna AGERUPMaia AGERUP,17,49erFX,2.0,0,MEDAL RACE,1,,37.0,31.0,World Championship 2017,13
Ragna AGERUPMaia AGERUP,17,49erFX,2.0,0,MEDAL RACE,1,,37.0,31.0,World Championship 2017,14
Ragna AGERUPMaia AGERUP,17,49erFX,1.0,0,MEDAL RACE,1,,37.0,31.0,World Championship 2017,15
Anna YAMAZAKISena TAKANO,17,49erFX,3.0,0,GERAL,2,,48.0,42.0,World Championship 2017,1
Anna YAMAZAKISena TAKANO,17,49erFX,5.0,0,GERAL,2,,48.0,42.0,World Championship 2017,2
Anna YAMAZAKISena TAKANO,17,49erFX,3.0,0,GERAL,2,,48.0,42.0,World Championship 2017,3
Anna YAMAZAKISena TAKANO,17,49erFX,1.0,0,GERAL,2,,48.0,42.0,World Championship 2017,4
Anna YAMAZAKISena TAKANO,17,49erFX,4.0,0,GERAL,2,,48.0,42.0,World Championship 2017,5
Anna YAMAZAKISena TAKANO,17,49erFX,1.0,0,GERAL,2,,48.0,42.0,World Championship 2017,6
Anna YAMAZAKISena TAKANO,17,49erFX,4.0,0,GERAL,2,,48.0,42.0,World Championship 2017,7
Anna YAMAZAKISena TAKANO,17,49erFX,5.0,0,GERAL,2,,48.0,42.0,World Championship 2017,8
Anna YAMAZAKISena TAKANO,17,49erFX,6.0,1,GERAL,2,,48.0,42.0,World Championship 2017,9
Anna YAMAZAKISena TAKANO,17,49erFX,6.0,0,GERAL,2,,48.0,42.0,World Championship 2017,10
Anna YAMAZAKISena TAKANO,17,49erFX,3.0,0,GERAL,2,,48.0,42.0,World Championship 2017,11
Anna YAMAZAKISena TAKANO,17,49erFX,2.0,0,GERAL,2,,48.0,42.0,World Championship 2017,12
Anna YAMAZAKISena TAKANO,17,49erFX,1.0,0,MEDAL RACE,2,,48.0,42.0,World Championship 2017,13
Anna YAMAZAKISena TAKANO,17,49erFX,1.0,0,MEDAL RACE,2,,48.0,42.0,World Championship 2017,14
