Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Descarte,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
Pavlos KONTIDES,16,Ilca 7,8.0,0,GERAL,1,,73.0,59.0,World Championship 2018,1
Pavlos KONTIDES,16,Ilca 7,3.0,0,GERAL,1,,73.0,59.0,World Championship 2018,2
Pavlos KONTIDES,16,Ilca 7,7.0,0,GERAL,1,,73.0,59.0,World Championship 2018,3
Pavlos KONTIDES,16,Ilca 7,2.0,0,GERAL,1,,73.0,59.0,World Championship 2018,4
Pavlos KONTIDES,16,Ilca 7,1.0,0,GERAL,1,,73.0,59.0,World Championship 2018,5
Pavlos KONTIDES,16,Ilca 7,2.0,0,GERAL,1,,73.0,59.0,World Championship 2018,6
Pavlos KONTIDES,16,Ilca 7,12.0,0,OURO,1,,73.0,59.0,World Championship 2018,7
Pavlos KONTIDES,16,Ilca 7,4.0,0,OURO,1,,73.0,59.0,World Championship 2018,8
Pavlos KONTIDES,16,Ilca 7,2.0,0,OURO,1,,73.0,59.0,World Championship 2018,9
Pavlos KONTIDES,16,Ilca 7,14.0,1,OURO,1,,73.0,59.0,World Championship 2018,10
Pavlos KONTIDES,16,Ilca 7,18.0,0,MEDAL RACE,1,,73.0,59.0,World Championship 2018,11
Matthew WEARN,16,Ilca 7,7.0,0,GERAL,2,,75.0,61.0,World Championship 2018,1
Matthew WEARN,16,Ilca 7,4.0,0,GERAL,2,,75.0,61.0,World Championship 2018,2
Matthew WEARN,16,Ilca 7,1.0,0,GERAL,2,,75.0,61.0,World Championship 2018,3
Matthew WEARN,16,Ilca 7,4.0,0,GERAL,2,,75.0,61.0,World Championship 2018,4
Matthew WEARN,16,Ilca 7,3.0,0,GERAL,2,,75.0,61.0,World Championship 2018,5
Matthew WEARN,16,Ilca 7,1.0,0,GERAL,2,,75.0,61.0,World Championship 2018,6
Matthew WEARN,16,Ilca 7,3.0,0,OURO,2,,75.0,61.0,World Championship 2018,7
Matthew WEARN,16,Ilca 7,9.0,0,OURO,2,,75.0,61.0,World Championship 2018,8
Matthew WEARN,16,Ilca 7,14.0,1,OURO,2,,75.0,61.0,World Championship 2018,9
Matthew WEARN,16,Ilca 7,13.0,0,OURO,2,,75.0,61.0,World Championship 2018,10
Matthew WEARN,16,Ilca 7,16.0,0,MEDAL RACE,2,,75.0,61.0,World Championship 2018,11
Philipp BUHL,16,Ilca 7,4.0,0,GERAL,3,,92.0,70.0,World Championship 2018,1
Philipp BUHL,16,Ilca 7,3.0,0,GERAL,3,,92.0,70.0,World Championship 2018,2
Philipp BUHL,16,Ilca 7,19.0,0,GERAL,3,,92.0,70.0,World Championship 2018,3
Philipp BUHL,16,Ilca 7,3.0,0,GERAL,3,,92.0,70.0,World Championship 2018,4
Philipp BUHL,16,Ilca 7,6.0,0,GERAL,3,,92.0,70.0,World Championship 2018,5
Philipp BUHL,16,Ilca 7,6.0,0,GERAL,3,,92.0,70.0,World Championship 2018,6
Philipp BUHL,16,Ilca 7,2.0,0,OURO,3,,92.0,70.0,World Championship 2018,7
Philipp BUHL,16,Ilca 7,16.0,0,OURO,3,,92.0,70.0,World Championship 2018,8
Philipp BUHL,16,Ilca 7,22.0,1,OURO,3,,92.0,70.0,World Championship 2018,9
Philipp BUHL,16,Ilca 7,5.0,0,OURO,3,,92.0,70.0,World Championship 2018,10
Philipp BUHL,16,Ilca 7,6.0,0,MEDAL RACE,3,,92.0,70.0,World Championship 2018,11
Sam MEECH,16,Ilca 7,1.0,0,GERAL,4,,135.0,79.0,World Championship 2018,1
Sam MEECH,16,Ilca 7,1.0,0,GERAL,4,,135.0,79.0,World Championship 2018,2
Sam MEECH,16,Ilca 7,1.0,0,GERAL,4,,135.0,79.0,World Championship 2018,3
Sam MEECH,16,Ilca 7,2.0,0,GERAL,4,,135.0,79.0,World Championship 2018,4
Sam MEECH,16,Ilca 7,13.0,0,GERAL,4,,135.0,79.0,World Championship 2018,5
Sam MEECH,16,Ilca 7,4.0,0,GERAL,4,,135.0,79.0,World Championship 2018,6
Sam MEECH,16,Ilca 7,34.0,0,OURO,4,,135.0,79.0,World Championship 2018,7
Sam MEECH,16,Ilca 7,7.0,0,OURO,4,,135.0,79.0,World Championship 2018,8
Sam MEECH,16,Ilca 7,12.0,0,OURO,4,,135.0,79.0,World Championship 2018,9
Sam MEECH,16,Ilca 7,56.0,1,OURO,4,DSQ,135.0,79.0,World Championship 2018,10
Sam MEECH,16,Ilca 7,4.0,0,MEDAL RACE,4,,135.0,79.0,World Championship 2018,11
Elliot HANSON,16,Ilca 7,7.0,0,GERAL,5,,103.0,80.0,World Championship 2018,1
Elliot HANSON,16,Ilca 7,9.0,0,GERAL,5,,103.0,80.0,World Championship 2018,2
Elliot HANSON,16,Ilca 7,11.0,0,GERAL,5,,103.0,80.0,World Championship 2018,3
Elliot HANSON,16,Ilca 7,1.0,0,GERAL,5,,103.0,80.0,World Championship 2018,4
Elliot HANSON,16,Ilca 7,2.0,0,GERAL,5,,103.0,80.0,World Championship 2018,5
Elliot HANSON,16,Ilca 7,2.0,0,GERAL,5,,103.0,80.0,World Championship 2018,6
Elliot HANSON,16,Ilca 7,6.0,0,OURO,5,,103.0,80.0,World Championship 2018,7
Elliot HANSON,16,Ilca 7,13.0,0,OURO,5,,103.0,80.0,World Championship 2018,8
Elliot HANSON,16,Ilca 7,9.0,0,OURO,5,,103.0,80.0,World Championship 2018,9
Elliot HANSON,16,Ilca 7,23.0,1,OURO,5,,103.0,80.0,World Championship 2018,10
Elliot HANSON,16,Ilca 7,20.0,0,MEDAL RACE,5,,103.0,80.0,World Championship 2018,11
Hermann TOMASGAARD,16,Ilca 7,5.0,0,GERAL,6,,133.0,83.0,World Championship 2018,1
Hermann TOMASGAARD,16,Ilca 7,11.0,0,GERAL,6,,133.0,83.0,World Championship 2018,2
Hermann TOMASGAARD,16,Ilca 7,3.0,0,GERAL,6,,133.0,83.0,World Championship 2018,3
Hermann TOMASGAARD,16,Ilca 7,16.0,0,GERAL,6,,133.0,83.0,World Championship 2018,4
Hermann TOMASGAARD,16,Ilca 7,8.0,0,GERAL,6,,133.0,83.0,World Championship 2018,5
Hermann TOMASGAARD,16,Ilca 7,3.0,0,GERAL,6,,133.0,83.0,World Championship 2018,6
Hermann TOMASGAARD,16,Ilca 7,16.0,0,OURO,6,,133.0,83.0,World Championship 2018,7
Hermann TOMASGAARD,16,Ilca 7,17.0,0,OURO,6,,133.0,83.0,World Championship 2018,8
Hermann TOMASGAARD,16,Ilca 7,1.0,0,OURO,6,,133.0,83.0,World Championship 2018,9
Hermann TOMASGAARD,16,Ilca 7,50.0,1,OURO,6,,133.0,83.0,World Championship 2018,10
Hermann TOMASGAARD,16,Ilca 7,3.0,0,MEDAL RACE,6,STP,133.0,83.0,World Championship 2018,11
Tom BURTON,16,Ilca 7,1.0,0,GERAL,7,,141.0,85.0,World Championship 2018,1
Tom BURTON,16,Ilca 7,5.0,0,GERAL,7,,141.0,85.0,World Championship 2018,2
Tom BURTON,16,Ilca 7,6.0,0,GERAL,7,,141.0,85.0,World Championship 2018,3
Tom BURTON,16,Ilca 7,1.0,0,GERAL,7,,141.0,85.0,World Championship 2018,4
Tom BURTON,16,Ilca 7,2.0,0,GERAL,7,,141.0,85.0,World Championship 2018,5
Tom BURTON,16,Ilca 7,27.0,0,GERAL,7,,141.0,85.0,World Championship 2018,6
Tom BURTON,16,Ilca 7,11.0,0,OURO,7,,141.0,85.0,World Championship 2018,7
Tom BURTON,16,Ilca 7,5.0,0,OURO,7,,141.0,85.0,World Championship 2018,8
Tom BURTON,16,Ilca 7,56.0,1,OURO,7,DSQ,141.0,85.0,World Championship 2018,9
Tom BURTON,16,Ilca 7,19.0,0,OURO,7,,141.0,85.0,World Championship 2018,10
Tom BURTON,16,Ilca 7,8.0,0,MEDAL RACE,7,,141.0,85.0,World Championship 2018,11
Nick THOMPSON,16,Ilca 7,3.0,0,GERAL,8,,147.0,102.0,World Championship 2018,1
Nick THOMPSON,16,Ilca 7,2.0,0,GERAL,8,,147.0,102.0,World Championship 2018,2
Nick THOMPSON,16,Ilca 7,4.0,0,GERAL,8,,147.0,102.0,World Championship 2018,3
Nick THOMPSON,16,Ilca 7,13.0,0,GERAL,8,,147.0,102.0,World Championship 2018,4
Nick THOMPSON,16,Ilca 7,12.0,0,GERAL,8,,147.0,102.0,World Championship 2018,5
Nick THOMPSON,16,Ilca 7,19.0,0,GERAL,8,,147.0,102.0,World Championship 2018,6
Nick THOMPSON,16,Ilca 7,45.0,1,OURO,8,,147.0,102.0,World Championship 2018,7
Nick THOMPSON,16,Ilca 7,1.0,0,OURO,8,,147.0,102.0,World Championship 2018,8
Nick THOMPSON,16,Ilca 7,8.0,0,OURO,8,,147.0,102.0,World Championship 2018,9
Nick THOMPSON,16,Ilca 7,28.0,0,OURO,8,,147.0,102.0,World Championship 2018,10
Nick THOMPSON,16,Ilca 7,12.0,0,MEDAL RACE,8,,147.0,102.0,World Championship 2018,11
Jean Baptiste BERNAZ,16,Ilca 7,3.0,0,GERAL,9,,128.0,106.0,World Championship 2018,1
Jean Baptiste BERNAZ,16,Ilca 7,12.0,0,GERAL,9,,128.0,106.0,World Championship 2018,2
Jean Baptiste BERNAZ,16,Ilca 7,7.0,0,GERAL,9,,128.0,106.0,World Championship 2018,3
Jean Baptiste BERNAZ,16,Ilca 7,10.0,0,GERAL,9,,128.0,106.0,World Championship 2018,4
Jean Baptiste BERNAZ,16,Ilca 7,5.0,0,GERAL,9,,128.0,106.0,World Championship 2018,5
Jean Baptiste BERNAZ,16,Ilca 7,8.0,0,GERAL,9,,128.0,106.0,World Championship 2018,6
Jean Baptiste BERNAZ,16,Ilca 7,22.0,1,OURO,9,,128.0,106.0,World Championship 2018,7
Jean Baptiste BERNAZ,16,Ilca 7,14.0,0,OURO,9,,128.0,106.0,World Championship 2018,8
Jean Baptiste BERNAZ,16,Ilca 7,15.0,0,OURO,9,,128.0,106.0,World Championship 2018,9
Jean Baptiste BERNAZ,16,Ilca 7,22.0,0,OURO,9,,128.0,106.0,World Championship 2018,10
Jean Baptiste BERNAZ,16,Ilca 7,10.0,0,MEDAL RACE,9,,128.0,106.0,World Championship 2018,11
Michael BECKETT,16,Ilca 7,29.0,0,GERAL,10,,139.0,108.0,World Championship 2018,1
Michael BECKETT,16,Ilca 7,1.0,0,GERAL,10,,139.0,108.0,World Championship 2018,2
Michael BECKETT,16,Ilca 7,5.0,0,GERAL,10,,139.0,108.0,World Championship 2018,3
Michael BECKETT,16,Ilca 7,18.0,0,GERAL,10,,139.0,108.0,World Championship 2018,4
Michael BECKETT,16,Ilca 7,6.0,0,GERAL,10,,139.0,108.0,World Championship 2018,5
Michael BECKETT,16,Ilca 7,4.0,0,GERAL,10,,139.0,108.0,World Championship 2018,6
Michael BECKETT,16,Ilca 7,21.0,0,OURO,10,,139.0,108.0,World Championship 2018,7
Michael BECKETT,16,Ilca 7,31.0,1,OURO,10,,139.0,108.0,World Championship 2018,8
Michael BECKETT,16,Ilca 7,7.0,0,OURO,10,,139.0,108.0,World Championship 2018,9
Michael BECKETT,16,Ilca 7,3.0,0,OURO,10,,139.0,108.0,World Championship 2018,10
Michael BECKETT,16,Ilca 7,14.0,0,MEDAL RACE,10,,139.0,108.0,World Championship 2018,11
Charlie BUCKINGHAM,16,Ilca 7,9.0,0,GERAL,11,,137.0,103.0,World Championship 2018,1
Charlie BUCKINGHAM,16,Ilca 7,3.0,0,GERAL,11,,137.0,103.0,World Championship 2018,2
Charlie BUCKINGHAM,16,Ilca 7,4.0,0,GERAL,11,,137.0,103.0,World Championship 2018,3
