Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
Annemiek BEKKERINGAnnette DUETZ,15,49erFX,17.0,G,1,,124.0,96.0,World Championship 2019,Q1
Martine SOFFIATTI GRAELKahena KUNZE,15,49erFX,3.0,G,2,,132.0,110.0,World Championship 2019,Q1
Ida Marie BAAD NIELSENMarie THUSGAARD OLSEN,15,49erFX,4.0,G,3,,148.0,124.0,World Championship 2019,Q1
Helene NÆSSMarie RØNNINGEN,15,49erFX,10.0,G,4,,147.0,127.0,World Championship 2019,Q1
Tina LUTZSusann BEUCKE,15,49erFX,8.0,G,5,,148.0,128.0,World Championship 2019,Q1
Alexandra MALONEYMolly MEECH,15,49erFX,14.0,G,6,,154.0,133.0,World Championship 2019,Q1
Charlotte DOBSONSaskia TIDEY,15,49erFX,16.0,G,7,,160.0,135.0,World Championship 2019,Q1
Victoria TRAVASCIOSol BRANZ,15,49erFX,7.0,G,8,,155.0,138.0,World Championship 2019,Q1
Paris HENKENAnna TOBIAS,15,49erFX,18.0,G,9,,170.0,146.0,World Championship 2019,Q1
Odile van AANHOLTCecile JANMAAT,15,49erFX,14.0,G,10,,183.0,159.0,World Championship 2019,Q1
Anne-Julie SCHÜTTIben NIELSBY,15,49erFX,18.0,G,11,,178.0,159.0,World Championship 2019,Q1
Aleksandra MELZACKAKinga LOBODA,15,49erFX,1.0,G,12,,187.0,162.0,World Championship 2019,Q1
Stephanie ROBLEMaggie SHEA,15,49erFX,12.0,G,13,,182.0,162.0,World Championship 2019,Q1
Patricia SUÁREZNicole van der VELDEN,15,49erFX,8.0,G,14,,187.0,163.0,World Championship 2019,Q1
Kimberly LIMCecilia LOW,15,49erFX,9.0,G,15,,198.0,173.0,World Championship 2019,Q1
Julie BOSSARDAude COMPAN,15,49erFX,(27.0),G,16,,204.0,177.0,World Championship 2019,Q1
Julia GROSSHanna KLINGA,15,49erFX,2.0,G,17,,204.0,179.0,World Championship 2019,Q1
Ronja GRÖNBLOMVeera HOKKA,15,49erFX,4.0,G,18,,204.0,180.0,World Championship 2019,Q1
Lili SEBESIAlbane DUBOIS,15,49erFX,1.0,G,19,,227.0,201.0,World Championship 2019,Q1
Anna YAMAZAKISena TAKANO,15,49erFX,9.0,G,20,,226.0,202.0,World Championship 2019,Q1
Alexandra STALDERSilvia SPERI,15,49erFX,6.0,G,21,,239.0,211.0,World Championship 2019,Q1
Carlotta OMARIMatilda DISTEFANO,15,49erFX,(25.0),G,22,,241.0,216.0,World Championship 2019,Q1
Klara WESTERRebecca NETZLER,15,49erFX,13.0,G,23,,244.0,218.0,World Championship 2019,Q1
Carla MUNTEMarta MUNTE,15,49erFX,20.0,G,24,,261.0,234.0,World Championship 2019,Q1
Margherita PORROSveva CARRARO,15,49erFX,16.0,G,25,,272.0,246.0,World Championship 2019,Q1
Amelia STABBACKCaitlin ELKS,15,49erFX,15.0,G,26,,164.0,140.0,World Championship 2019,Q1
Victoria JURCZOKAnika LORENZ,15,49erFX,26.0,G,27,,194.0,162.0,World Championship 2019,Q1
Maria Ottavia RAGGIOJana GERMANI,15,49erFX,23.0,G,28,,190.0,162.0,World Championship 2019,Q1
Tanja FRANKLorena ABICHT,15,49erFX,2.0,G,29,,199.0,173.0,World Championship 2019,Q1
Laura SCHÖFEGGERAnna BOUSTANI,15,49erFX,19.0,G,30,,214.0,182.0,World Championship 2019,Q1
Noora RUSKOLAMikaela WULFF,15,49erFX,22.0,G,31,,206.0,182.0,World Championship 2019,Q1
Enia NINCEVICMihaela de MICHELI VITTURI,15,49erFX,3.0,G,32,,208.0,186.0,World Championship 2019,Q1
Megan BRICKWOODStephanie ORTON,15,49erFX,25.0,G,33,,217.0,189.0,World Championship 2019,Q1
Francesca BERGAMOAlice SINNO,15,49erFX,11.0,G,34,,231.0,194.0,World Championship 2019,Q1
Tess LLOYDJaime RYAN,15,49erFX,24.0,G,35,,227.0,200.0,World Championship 2019,Q1
Alexandra TEN HOVEMariah MILLEN,15,49erFX,6.0,G,36,,252.0,215.0,World Championship 2019,Q1
