Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
,,Luise WANSERPhilipp AUTENRIETH ,,470,(21),G,1,,92,71,World Championship 2022,1
,,Luise WANSERPhilipp AUTENRIETH ,,470,2,G,1,,92,71,World Championship 2022,2
,,Luise WANSERPhilipp AUTENRIETH ,,470,1,G,1,,92,71,World Championship 2022,3
,,Luise WANSERPhilipp AUTENRIETH ,,470,1,G,1,,92,71,World Championship 2022,4
,,Luise WANSERPhilipp AUTENRIETH ,,470,7,G,1,,92,71,World Championship 2022,5
,,Luise WANSERPhilipp AUTENRIETH ,,470,6,O,1,,92,71,World Championship 2022,6
,,Luise WANSERPhilipp AUTENRIETH ,,470,4,O,1,,92,71,World Championship 2022,7
,,Luise WANSERPhilipp AUTENRIETH ,,470,15,O,1,,92,71,World Championship 2022,8
,,Luise WANSERPhilipp AUTENRIETH ,,470,2,O,1,,92,71,World Championship 2022,9
,,Luise WANSERPhilipp AUTENRIETH ,,470,1,O,1,,92,71,World Championship 2022,10
,,Luise WANSERPhilipp AUTENRIETH ,,470,12,O,1,,92,71,World Championship 2022,11
,,Luise WANSERPhilipp AUTENRIETH ,,470,20,Medal Race,1,,92,71,World Championship 2022,12
,,Jordi XAMMAR HERNANDEZNora  BRUGMAN CABOT ,,470,2,G,2,,100,82,World Championship 2022,1
,,Jordi XAMMAR HERNANDEZNora  BRUGMAN CABOT ,,470,12,G,2,,100,82,World Championship 2022,2
,,Jordi XAMMAR HERNANDEZNora  BRUGMAN CABOT ,,470,10,G,2,,100,82,World Championship 2022,3
,,Jordi XAMMAR HERNANDEZNora  BRUGMAN CABOT ,,470,4,G,2,,100,82,World Championship 2022,4
,,Jordi XAMMAR HERNANDEZNora  BRUGMAN CABOT ,,470,8,G,2,,100,82,World Championship 2022,5
,,Jordi XAMMAR HERNANDEZNora  BRUGMAN CABOT ,,470,8,O,2,,100,82,World Championship 2022,6
,,Jordi XAMMAR HERNANDEZNora  BRUGMAN CABOT ,,470,5,O,2,,100,82,World Championship 2022,7
,,Jordi XAMMAR HERNANDEZNora  BRUGMAN CABOT ,,470,2,O,2,,100,82,World Championship 2022,8
,,Jordi XAMMAR HERNANDEZNora  BRUGMAN CABOT ,,470,16,O,2,,100,82,World Championship 2022,9
,,Jordi XAMMAR HERNANDEZNora  BRUGMAN CABOT ,,470,(18),O,2,,100,82,World Championship 2022,10
,,Jordi XAMMAR HERNANDEZNora  BRUGMAN CABOT ,,470,13,O,2,,100,82,World Championship 2022,11
,,Jordi XAMMAR HERNANDEZNora  BRUGMAN CABOT ,,470,2,Medal Race,2,,100,82,World Championship 2022,12
,,Camille LECOINTREJeremie MION ,,470,19,G,3,,106,85,World Championship 2022,1
,,Camille LECOINTREJeremie MION ,,470,9,G,3,,106,85,World Championship 2022,2
,,Camille LECOINTREJeremie MION ,,470,7,G,3,,106,85,World Championship 2022,3
,,Camille LECOINTREJeremie MION ,,470,4,G,3,,106,85,World Championship 2022,4
,,Camille LECOINTREJeremie MION ,,470,3,G,3,,106,85,World Championship 2022,5
,,Camille LECOINTREJeremie MION ,,470,2,O,3,,106,85,World Championship 2022,6
,,Camille LECOINTREJeremie MION ,,470,2,O,3,,106,85,World Championship 2022,7
,,Camille LECOINTREJeremie MION ,,470,4,O,3,,106,85,World Championship 2022,8
,,Camille LECOINTREJeremie MION ,,470,(21),O,3,,106,85,World Championship 2022,9
,,Camille LECOINTREJeremie MION ,,470,14,O,3,,106,85,World Championship 2022,10
,,Camille LECOINTREJeremie MION ,,470,9,O,3,,106,85,World Championship 2022,11
,,Camille LECOINTREJeremie MION ,,470,12,Medal Race,3,,106,85,World Championship 2022,12
,,Matisse PACAUDLucie DE GENNES ,,470,3,G,4,,108,87,World Championship 2022,1
,,Matisse PACAUDLucie DE GENNES ,,470,13,G,4,,108,87,World Championship 2022,2
,,Matisse PACAUDLucie DE GENNES ,,470,6,G,4,,108,87,World Championship 2022,3
,,Matisse PACAUDLucie DE GENNES ,,470,2,G,4,,108,87,World Championship 2022,4
,,Matisse PACAUDLucie DE GENNES ,,470,11,G,4,,108,87,World Championship 2022,5
,,Matisse PACAUDLucie DE GENNES ,,470,4,O,4,,108,87,World Championship 2022,6
,,Matisse PACAUDLucie DE GENNES ,,470,19,O,4,,108,87,World Championship 2022,7
,,Matisse PACAUDLucie DE GENNES ,,470,3,O,4,,108,87,World Championship 2022,8
,,Matisse PACAUDLucie DE GENNES ,,470,3,O,4,,108,87,World Championship 2022,9
