Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
Anne-Marie Rindom,12,Ilca 6,(10.0),,1,,77.0,47.0,World Championship 2022,Q1
Maud Jayet,12,Ilca 6,6.0,,2,,130.0,67.0,World Championship 2022,Q1
Emma Plasschaert,12,Ilca 6,1.0,,3,,102.0,69.0,World Championship 2022,Q1
Josefin Olsson,12,Ilca 6,11.0,,4,,122.0,87.0,World Championship 2022,Q1
Maria Erdi,12,Ilca 6,4.0,,5,,146.0,90.0,World Championship 2022,Q1
Maxime Jonker,12,Ilca 6,9.0,,6,,160.0,91.0,World Championship 2022,Q1
Agata Barwinska,12,Ilca 6,10.0,,7,,146.0,95.0,World Championship 2022,Q1
Wiktoria Golebiowska,12,Ilca 6,4.0,,8,,165.0,96.0,World Championship 2022,Q1
Marit Bouwmeester,12,Ilca 6,2.0,,9,,137.0,97.0,World Championship 2022,Q1
Erika Reineke,12,Ilca 6,3.0,,10,,151.0,97.0,World Championship 2022,Q1
Monika Mikkola,12,Ilca 6,14.0,,11,,164.0,100.0,World Championship 2022,Q1
Louise Cervera,12,Ilca 6,(13.0),,12,,165.0,113.0,World Championship 2022,Q1
Mara Stransky,12,Ilca 6,8.0,,13,,175.0,123.0,World Championship 2022,Q1
Charlotte Rose,12,Ilca 6,(19.0),,14,,186.0,125.0,World Championship 2022,Q1
Sarah Douglas,12,Ilca 6,2.0,,15,,175.0,128.0,World Championship 2022,Q1
Marie Barrue,12,Ilca 6,(18.0),,16,,187.0,136.0,World Championship 2022,Q1
Mirthe Akkerman,12,Ilca 6,6.0,,17,,183.0,141.0,World Championship 2022,Q1
Zoe Thomson,12,Ilca 6,12.0,,18,,209.0,148.0,World Championship 2022,Q1
Line Flem Hoest,12,Ilca 6,5.0,,19,,200.0,149.0,World Championship 2022,Q1
Daisy Collingridge,12,Ilca 6,(21.0),,20,,216.0,152.0,World Championship 2022,Q1
Casey Imeneo,12,Ilca 6,11.0,,21,,209.0,155.0,World Championship 2022,Q1
Anna Munch,12,Ilca 6,18.0,,22,,209.0,157.0,World Championship 2022,Q1
Lucía Falasca,12,Ilca 6,1.0,,23,,231.0,167.0,World Championship 2022,Q1
Matilda Nicholls,12,Ilca 6,7.0,,24,,224.0,174.0,World Championship 2022,Q1
Silvia Zennaro,12,Ilca 6,5.0,,25,,242.0,183.0,World Championship 2022,Q1
Elyse Ainsworth,12,Ilca 6,16.0,,26,,237.0,186.0,World Championship 2022,Q1
Shay Kakon,12,Ilca 6,3.0,,27,,253.0,190.0,World Championship 2022,Q1
Christina Sakellaris,12,Ilca 6,(17.0),,28,,255.0,197.0,World Championship 2022,Q1
Pernelle Michon,12,Ilca 6,15.0,,29,,274.0,201.0,World Championship 2022,Q1
Ecem Güzel,12,Ilca 6,(22.0),,30,,271.0,209.0,World Championship 2022,Q1
Marilena Makri,12,Ilca 6,16.0,,31,,269.0,212.0,World Championship 2022,Q1
Elena Vorobeva,12,Ilca 6,24.0,,32,,294.0,224.0,World Championship 2022,Q1
Julia Buesselberg,12,Ilca 6,(25.0),,33,,293.0,226.0,World Championship 2022,Q1
Chiara Benini Floriani,12,Ilca 6,7.0,,34,,292.0,232.0,World Championship 2022,Q1
Ana Moncada Sánchez,12,Ilca 6,22.0,,35,,299.0,236.0,World Championship 2022,Q1
Eline Verstraelen,12,Ilca 6,17.0,,36,,313.0,238.0,World Championship 2022,Q1
Carolina Albano,12,Ilca 6,13.0,,37,,305.0,246.0,World Championship 2022,Q1
Viktorija Andrulyte,12,Ilca 6,(27.0),,38,,320.0,251.0,World Championship 2022,Q1
Luciana Cardozo,12,Ilca 6,8.0,,39,,338.0,274.0,World Championship 2022,Q1
Anja Von Allmen,12,Ilca 6,14.0,,40,,342.0,278.0,World Championship 2022,Q1
Evie Saunders,12,Ilca 6,9.0,,41,,352.0,284.0,World Championship 2022,Q1
Clara Gravely,12,Ilca 6,23.0,,42,,370.0,295.0,World Championship 2022,Q1
Ebru Bolat,12,Ilca 6,15.0,,43,,387.0,319.0,World Championship 2022,Q1
Eve Mcmahon,12,Ilca 6,(24.0),,44,,131.0,83.0,World Championship 2022,Q1
Matilda Talluri,12,Ilca 6,19.0,,45,,186.0,112.0,World Championship 2022,Q1
Martina Reino Cacho,12,Ilca 6,(25.0),,46,,169.0,117.0,World Championship 2022,Q1
Olivia Christie,12,Ilca 6,(28.0),,47,,178.0,118.0,World Championship 2022,Q1
Nancy Highfield,12,Ilca 6,(31.0),,48,,182.0,119.0,World Championship 2022,Q1
