,Unnamed: 0,Pos,Sail #,Bow,Names,Cat,1Q,2Q,3Q,4Q,5Q,6F,7F,8F,9F,10F,11F,TOTAL,NET
0,0,1,ESP 44,1,"JORDI XAMMAR, NORA BRUGMAN",MX,3-0-0,1-0-0,7-0-0,8-0-0,11-0-0,2-0-0,13-1-0,11-0-0,6-0-0,1-0-0,6-0-0,69.0,56.0
1,1,2,GBR 4,19,"VITA HEATHCOTE, CHRIS GRUBE",MX,2-0-0,7-0-0,13-0-0,9-0-0,1-0-0,10-0-0,6-0-0,8-0-0,32-1-DSQ,9-0-0,2-0-0,99.0,67.0
2,2,3,JPN 8,2,"KEIJU OKADA, MIHO YOSHIOKA",MX,2-0-0,2-0-0,8-0-0,3-0-0,4-0-0,4-0-0,28-1-0,13-0-0,8-0-0,16-0-0,12-0-0,100.0,72.0
3,3,4,GER 11,3,"SIMON DIESCH, ANNA MARKFORT",MX,3-0-0,1-0-0,5-0-0,3-0-0,7-0-0,26-1-0,22-0-0,1-0-0,1-0-0,15-0-0,17-0-0,101.0,75.0
4,4,5,ISR 15,11,"NITAI HASSON, NOA LASRY",MX,8-0-0,10-0-0,7-0-0,2-0-0,6-0-0,30-1-0,9-0-0,23-0-0,4-0-0,5-0-0,4-0-0,108.0,78.0
5,5,6,FRA 1,5,"CAMILLE LECOINTRE, JEREMIE MION",MX,1-0-0,4-0-0,12-0-0,1-0-0,9-0-0,14-0-0,18-0-0,9-0-0,26-1-0,4-0-0,10-0-0,108.0,82.0
6,6,7,SWE 349,8,"ANTON DAHLBERG, LOVISA KARLSSON",MX,11-0-0,16-0-0,11-0-0,9-0-0,8-0-0,9-0-0,1-0-0,30-1-0,10-0-0,2-0-0,7-0-0,114.0,84.0
7,7,8,JPN 22,12,"TETSUYA ISOZAKI, YURIE SEKI",MX,21-0-0,2-0-0,1-0-0,5-0-0,2-0-0,5-0-0,4-0-0,17-0-0,3-0-0,25-0-0,25-1-0,110.0,85.0
8,8,9,GBR 55,14,"MARTIN WRIGLEY, BETTINE HARRIS",MX,4-0-0,3-0-0,10-0-0,11-0-0,2-0-0,27-1-0,11-0-0,10-0-0,16-0-0,8-0-0,14-0-0,116.0,89.0
9,9,10,AUT 1,6,"LARA VADLAU, LUKAS MAEHR",MX,4-0-0,12-0-0,3-0-0,10-0-0,5-0-0,16-0-0,8-0-0,15-0-0,11-0-0,6-0-0,16-1-0,106.0,90.0
10,10,11,JPN 55,22,"AI YOSHIDA, YUGO YOSHIDA",MX,1-0-0,21-0-0,2-0-0,4-0-0,12-0-0,29-0-0,5-0-0,3-0-0,30-1-0,17-0-0,9-0-0,133.0,103.0
11,11,12,GER 13,4,"MALTE WINKEL, ANASTASIYA WINKEL",MX,18-0-0,14-0-0,16-0-0,8-0-0,8-0-0,1-0-0,7-0-0,16-0-0,15-0-0,32-1-UFD,1-0-0,136.0,104.0
12,12,13,GER 10,7,"LUISE WANSER, PHILIPP AUTENRIETH",MX,19-0-0,11-0-0,13-0-0,10-0-0,3-0-0,23-1-0,21-0-0,14-0-0,2-0-0,10-0-0,3-0-0,129.0,106.0
13,13,14,POR 21,15,"DIOGO COSTA, CAROLINA JOAO",MX,19-0-0,11-0-0,10-0-0,15-0-0,9-0-0,3-0-0,10-0-0,5-0-0,5-0-0,19-0-0,22-1-0,128.0,106.0
14,14,15,AUS 5,17,"NIA JERWOOD, CONOR NICHOLAS",MX,13-0-0,6-0-0,15-0-0,13-0-0,10-0-0,24-0-0,29-1-0,4-0-0,18-0-0,3-0-0,5-0-0,140.0,111.0
15,15,16,ITA 3,10,"GIACOMO FERRARI, ALESSANDRA DUBBINI",MX,10-0-0,7-0-0,6-0-0,24-0-0,1-0-0,18-0-0,3-0-0,27-1-0,13-0-0,22-0-0,11-0-0,142.0,115.0
16,16,17,GER 20,13,"THERES DAHNKE, MATTI CIPRA",MX,10-0-0,20-1-0,6-0-0,12-0-0,14-0-0,8-0-0,12-0-0,19-0-0,9-0-0,7-0-0,18-0-0,135.0,115.0
17,17,18,GER 50,18,"THERESA LOFFLER, CHRISTOPHER HOERR",MX,14-0-0,9-0-0,11-0-0,6-0-0,6-0-0,6-0-0,16-0-0,21-0-0,24-1-0,13-0-0,15-0-0,141.0,117.0
18,18,19,JPN 46,23,"DAICHI TAKAYAMA, FUYUKA MORITA",MX,7-0-0,13-0-0,8-0-0,13-0-0,7-0-0,17-0-0,27-0-0,12-0-0,27-1-0,11-0-0,8-0-0,150.0,123.0
19,19,20,SUI 3,16,"YVES MERMOD, MAJA SIEGENTHALER",MX,18-0-0,5-0-0,4-0-0,14-0-0,15-0-0,7-0-0,14-0-0,18-0-0,17-0-0,21-1-0,13-0-0,146.0,125.0
20,20,21,POR 25,24,"BEATRIZ GAGO, RODOLFO PIRES",MX,9-0-0,15-0-0,3-0-0,16-0-0,3-0-0,21-0-0,23-1-0,2-0-0,22-0-0,14-0-0,21-0-0,149.0,126.0
21,21,22,CHN 311,39,"ZANGJUN XU, YIXIAO LYU",MX,6-0-0,6-0-0,32-1-BFD,16-0-0,4-0-0,11-0-0,2-0-0,22-0-0,29-0-0,20-0-0,20-0-0,168.0,136.0
22,22,23,CHN 373,35,"JIANYONG XU, YANI XU",MX,23-0-0,9-0-0,4-0-0,19-0-0,5-0-0,28-1-0,20-0-0,6-0-0,14-0-0,26-0-0,19-0-0,173.0,145.0
23,23,24,GRE 7,36,"ARIADNE-PARASKEVI SPANAKI, ODYSSEAS-EMMANOUIL SPANAKIS",MX,5-0-0,22-0-0,9-0-0,7-0-0,32-1-UFD,12-0-0,17-0-0,28-0-0,7-0-0,12-0-0,30-0-0,181.0,149.0
24,24,25,FRA 72,9,"MATISSE PACAUD, LUCIE GENNES",MX,24-0-0,4-0-0,1-0-0,20-0-0,17-0-0,19-0-0,25-0-0,7-0-0,12-0-0,28-1-0,23-0-0,180.0,152.0
25,25,26,USA 1842,25,"STUART MCNAY, LARA DALLMAN-WEISS",MX,17-0-0,5-0-0,2-0-0,1-0-0,12-0-0,13-0-0,26-0-0,25-0-0,28-0-0,32-1-UFD,26-0-0,187.0,155.0
26,26,27,BRA 21,32,"HENRIQUE HADDAD, ISABEL SWAN",MX,17-0-0,12-0-0,14-0-0,4-0-0,10-0-0,15-0-0,15-0-0,26-0-0,20-0-0,24-0-0,28-1-0,185.0,157.0
27,27,28,FRA 10,26,"MANON PENNANEAC'H, PIERRE WILLIOT",MX,21-0-0,8-0-0,9-0-0,5-0-0,14-0-0,25-0-0,31-1-0,20-0-0,25-0-0,23-0-0,24-0-0,205.0,174.0
28,28,29,ITA 6,21,"ELENA BERTA, BRUNO FESTO",MX,9-0-0,10-0-0,5-0-0,7-0-0,32-1-UFD,22-0-0,30-0-0,31-0-0,21-0-0,18-0-0,29-0-0,214.0,182.0
29,29,30,CHN 1,20,"WENJU DONG, JINGSA WANG",MX,22-0-0,3-0-0,18-0-0,6-0-0,16-0-0,31-0-0,19-0-0,24-0-0,23-0-0,27-0-0,31-1-0,220.0,189.0
30,30,31,CHN 7,42,"QIAN FU, CHUANLIANG WEI",MX,8-0-0,18-0-0,14.30-0-RDG,12-0-0,19-0-0,20-0-0,24-0-0,29-0-0,19-0-0,29-1-0,27-0-0,219.3,190.3
31,31,32,GBR 9,37,"HANNAH BRISTOW, JAMES TAYLOR",MX,15-0-0,13-0-0,18-1-0,17-0-0,13-0-0,2-0-0,11-0-0,2-0-0,2-0-0,2-0-0,2-0-0,97.0,79.0
32,32,33,CHN 171,28,"MING XU, YAHAN TU",MX,7-0-0,19-0-0,12-0-0,25-1-0,17-0-0,12-0-0,8-0-0,7-0-0,7-0-0,4-0-0,3-0-0,121.0,96.0
33,33,34,ITA 7,29,"BENEDETTA SALLE, ALESSIO BELLICO",MX,20-0-0,8-0-0,17-0-0,19-0-0,22-1-0,10-0-0,6-0-0,8-0-0,8-0-0,3-0-0,6-0-0,127.0,105.0
34,34,35,GER 15,40,"LAURA PUKROPSKI, THORBEN SCHLUTER",MX,15-0-0,23-0-0,21-0-0,20-0-0,27-1-0,14-0-0,1-0-0,4-0-0,3-0-0,6-0-0,1-0-0,135.0,108.0
35,35,36,FRA 7,53,"VALADE LOMANE, JULIEN BUNEL",MX,14-0-0,15-0-0,14-0-0,11-0-0,32-1-UFD,6-0-0,13-0-0,3-0-0,31-0-UFD,5-0-0,4-0-0,148.0,116.0
