"Rk.","Sail Number","Name","Club","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","F10","F11","F12","F13","F14","F15","F16","F17","MR","Q
Net","F
Net","M
Net
(200.0%)","Total Pts.","Net Pts."
"1","FRA 16","Erwan FISCHER
Clément PEQUIN","CNBPP","11","1","7","3","1","3","1","2","3","-18","2","3","3","2","3","1","","6","32","14","12","76","58"
"2","NED 1","Bart LAMBRIEX
Floris van de WERKEN","K.N.W.V.","5","4","1","7","4","1","1","1","-20","16","3","20","4","1","7","17","","2","24","68","4","116","96"
"3","ESP 74","Diego BOTIN Florian
TRITTEL PAUL","RCMSantander","13","18","3","3","2","3","15","1","6","7","1","1","9","5","-20","11","","4","64","34","8","126","106"
"4","GBR 12","James GRUMMETT
Rhos HAWES","Weymouth and Portland National Sailing Academy","4","2","5","12","6.2
RDG","8","3","6","10","-15","4","12","10","4","1","9","","7","56.2","40","14","125.2","110.2"
"5","POL 64","Mikolaj STANIUL
Jakub SZTORCH","Akademicki Zwiazek Sportowy Akademii Wychowania Fizycznego i Sportu Gdansk","2","4","6","11","6","5","4","10","4","8","5","2","-23","21","13","20","","1","52","69","2","146","123"
"6","SUI 2","Sebastien SCHNEITER
Arno de PLANTA","Société Nautique de Genève","4","-25","21","2","10","5","14","7","2","2","10","5","1","20","11","5","","3","65","54","6","150","125"
"7","POL 7","Lukasz PRZYBYTEK
Jacek PIASECKI","KS AZS AWFiS - Gdansk","12","5","3","10","3","6","8","2","-22","10","6","19","14","3","5","22","","5","49","79","10","160","138"
"8","USA 5","Andrew MOLLERUS
Ian MACDIARMID","USST","5","3","1","15","13","9","-23","3","2","11","15","10","18","8","2","4","","10","51","68","20","162","139"
"9","FRA 51","Julien D'ORTOLI
Noe DELPECH","YACHTING CLUB DE LA POINTE ROUGE","6","15","20","2","1","1","21","7","1","1","-22","13","22","12","4","8","","8","74","60","16","172","150"
"10","GBR 30","James PETERS
Fynn STERRITT","Hayling Island Sailing Club","9","16","2","4","8","6","8","14","5","13","16","4","5","13","-24","18","","9","72","69","18","183","159"
"11","AUS 20","Jim COLLEY
Shaun CONNOR","Royal Prince Alfred Yacht Club","7","9","9","4","15","7","6","5","6","-25","23","8","7","15","23","14","","","68","90","","183","158"
"12","AUT 28","Keanu PRETTNER
Jakob FLACHBERGER","UYC WOLFGANGSEE","8","9","4","13","9","13","9","17","16","-19","9","18","6","11","8","13","","","98","65","","182","163"
"13","GER 22","Jakob MEGGENDORFER
Andreas SPRANGER","Bayerischer Yacht-Club e. V.","7","17","5","1","11","19","2","12","4","24","17","9","20","7","-25","10","","","78","87","","190","165"
"14","URU 14","Hernan UMPIERRE
Fernando DIZ","Yacht Club Punta del este","1","13","6","9","14","2","(37)
UFD","3","1","21","25","25","19","9","10","7","","","49","116","","202","165"
"15","NZL 4","Isaac McHARDIE
William McKENZIE","RAYC","1","14","19","14","11","4","6","4","13","4","11","6","24","-25","21","15","","","86","81","","192","167"
"16","USA 84","Ian BARROWS
Hans HENKEN","Eastern Yacht Club","8","1","(37)
DSQ","6","6","8","29","10","14","9","21","14","2","24","17","6","","","82","93","","212","175"
"17","FRA 95","Lucas RUAL
Emile AMOROS","A P C C NANTES","22","8","2","-25","3","4","5","11","19","3","20","16","12","22","19","12","","","74","104","","203","178"
"18","DEN 66","Frederik RASK
Jakob PRECHT JENSEN","Skovshoved Sejlklub","3","6","12","5","-26","11","9","17","3","17","24","17","15","23","14","3","","","66","113","","205","179"
"19","GER 21","Max STINGELE
Linov SCHEEL","Kieler Yacht-Club e. V.","22","7","23","12","5","16","4","15","7","22","13","11","11","6","9","-24","","","111","72","","207","183"
"20","AUT 29","Benjamin BILDSTEIN
David HUSSL","YC BREGENZ","16","2","8","1","7","13","(37)
UFD","20","5","6","14","23","8","18","18","26
RET","","","72","113","","222","185"
