,Unnamed: 0,Rk.,Sail Number,Name,Club,Points per Race,Q2,Q3,Q4,Q5,Q6,Q7,Q8,F9,F10,F11,F12,F13,F14,F15,F16,MR,"Q
Net","F
Net","M
Net
(200.0%)",Total Pts.,Net Pts.
0,0,1,NED 2,"ODILE VAN AANHOLT, ANNETTE DUETZ",Koninklijke Watersport-Vereeniging 'Loosdrecht',1-0-0,3-0-0,1-0-0,3-0-0,6-0-0,9-0-0,8-0-0,1-0-0,1-0-0,13-0-0,5-0-0,3-0-0,2-0-0,1-0-0,17-1-0,,3.0,32,25,6.0,80,63
1,1,2,SWE 1,"VILMA BOBECK, REBECCA NETZLER",Royal Swedish Yacht Club/Gothenburg Royal Yacht Club,14-0-0,2-0-0,3-0-0,2-0-0,1-0-0,5-0-0,6-0-0,1-0-0,8-0-0,14-0-0,11-0-0,1-0-0,1-0-0,22-1-0,3-0-0,,4.0,34,38,8.0,102,80
2,2,3,ITA 20,"JANA GERMANI, GIORGIA BERTUZZI",MARINA MILITARE,3-0-0,2-0-0,5-0-0,16-0-0,12-0-0,2-0-0,4-0-0,2-0-0,6-0-0,6-0-0,22-0-0,6-0-0,25-1-0,3-0-0,1-0-0,,7.0,46,44,14.0,129,104
3,3,4,BRA 12,"MARTINE GRAEL, KAHENA KUNZE",Cbvela - COB - IBV,19-0-0,6-0-0,4-0-0,2-0-0,8-0-0,13-0-0,1-0-0,8-0-0,9-0-0,2-0-0,1-0-0,26-1-UFD,7-0-0,16-0-0,2-0-0,,9.0,61,37,18.0,142,116
4,4,5,AUS 47,"LAURA HARDING, ANNIE WILMOT",BYS,7-0-0,17-1-0,4-0-0,1-0-0,7-0-0,2-0-0,2-0-0,9-0-0,4-0-0,11-0-0,8-0-0,11-0-0,12-0-0,17-0-0,5-0-0,,10.0,32,68,20.0,137,120
5,5,6,ESP 23,"TAMARA ECHEGOYEN, PAULA BARCELO",RCN SANXENXO,2-0-0,8-0-0,18-1-0,6-0-0,10-0-0,3-0-0,3-0-0,7-0-0,18-0-0,5-0-0,17-0-0,7-0-0,8-0-0,2-0-0,15-0-0,,6.0,39,72,12.0,141,123
6,6,7,GER 33,"INGA-MARIE HOFMANN, CATHERINE BARTELHEIMER",Düsseldorfer Yachtclub e. V.,18-0-0,6-0-0,10-0-0,7-0-0,8-0-0,12-0-0,3-0-0,12-0-0,7-0-0,15-0-0,14-0-0,2-0-0,21-1-0,4-0-0,8-0-0,,1.0,76,50,2.0,149,128
7,7,8,CAN 71,"GEORGIA LEWIN-LAFRANCE, ANTONIA LEWIN-LAFRANCE",Royal Nova Scotia Yacht Squadron/Chester Yacht Club,12-0-0,7-0-0,3-0-0,4-0-0,18-0-0,18-0-0,9-0-0,4-0-0,24-1-0,17-0-0,9-0-0,9-0-0,4-0-0,9-0-0,7-0-0,,2.0,75,55,4.0,158,134
8,8,9,BEL 4,"ISAURA MAENHAUT, ANOUK GEURTS",,6-0-0,18-0-0,7-0-0,1-0-0,24-0-0,3-0-0,7-0-0,5-0-0,19-0-0,1-0-0,25-1-0,4-0-0,17-0-0,7-0-0,9-0-0,,5.0,71,57,10.0,163,138
9,9,10,POL 14,"ALEKSANDRA MELZACKA, SANDRA JANKOWIAK",Yacht Klub Polski Gdynia,2-0-0,5-0-0,6-0-0,3-0-0,4-0-0,16-1-0,12-0-0,9-0-0,11-0-0,16-0-0,16-0-0,14-0-0,9-0-0,13-0-0,6-0-0,,8.0,41,85,16.0,158,142
10,10,11,USA 7,"STEPHANIE ROBLE, MAGGIE SHEA",Bingham & Taylor/USST/Lake Beulah YC/Chicago YC,5-0-0,7-0-0,13-0-0,15-0-0,6-0-0,10-0-0,10-0-0,21-1-0,3-0-0,20-0-0,2-0-0,8-0-0,15-0-0,10-0-0,10-0-0,,,66,68,,155,134
11,11,12,NZL 75,"JO ALEH, MOLLY MEECH",Torbay Sailing Club / RAYC,1-0-0,9-0-0,15-0-0,17-0-0,3-0-0,4-0-0,2-0-0,8-0-0,23-1-0,10-0-0,10-0-0,18-0-0,6-0-0,23-0-0,13-0-0,,,59,80,,162,139
12,12,13,GER 55,"MARLA BERGMANN, HANNA WILLE",Mühlenberger Segel-Club e. V.,21-0-0,4-0-0,17-0-0,10-0-0,11-0-0,12-0-0,4-0-0,5-0-0,2-0-0,24-0-0,4-0-0,26-1-UFD,10-0-0,5-0-0,14-0-0,,,84,59,,169,143
13,13,14,GBR 5,"FREYA BLACK, SASKIA TIDEY",WPNSA,9-0-0,12-0-0,1-0-0,5-0-0,19-0-0,22-0-0,12-0-0,15-0-0,5-0-0,4-0-0,12-0-0,5-0-0,14-0-0,24-1-0,16-0-0,,,95,56,,175,151
14,14,15,NOR 26,"HELENE NAESS, MARIE RONNINGEN",Tønsberg Seilforening,13-0-0,3-0-0,5-0-0,20-0-0,9-0-0,8-0-0,19-0-0,15-0-0,16-0-0,9-0-0,13-0-0,15-0-0,3-0-0,8-0-0,24-1-0,,,92,64,,180,156
15,15,16,DEN 10,"JOHANNE SCHMIDT, ANDREA SCHMIDT",Aarhus Sejlklub,19-0-0,16-0-0,2-0-0,11-0-0,2-0-0,14-0-0,5-0-0,17-0-0,13-0-0,23-0-0,3-0-0,10-0-0,11-0-0,18-0-0,25-1-0,,,86,78,,189,164
16,16,17,GER 772,"SOPHIE STEINLEIN, JILL PALAND",Norddeutscher Regatta Verein,17-0-0,15-0-0,12-0-0,13-0-0,2-0-0,6-0-0,7-0-0,12-0-0,10-0-0,12-0-0,7-0-0,20-0-0,20-0-0,12-0-0,23-1-0,,,84,81,,188,165
17,17,18,POL 525,"GABRIELA CZAPSKA, HANNA RAJCHERT",Klub Sportowy Spójnia Warszawa,10-0-0,8-0-0,9-0-0,8-0-0,14-0-0,11-0-0,13-0-0,6-0-0,20-0-0,25-0-0,23-0-0,13-0-0,5-0-0,26-1-RET,4-0-0,,,79,90,,195,169
18,18,19,CHN 121,"HU XIAOYU, SHAN MENGYUAN",,3-0-0,1-0-0,2-0-0,18-0-0,9-0-0,1-0-0,8-0-0,16-0-0,22-1-0,19-0-0,15-0-0,22-0-0,19-0-0,15-0-0,21-0-0,,,58,111,,191,169
19,19,20,FRA 63,"LARA GRANIER, AMELIE RIOU",SOCIETE DES REGATES D'ANTIBES - JUAN LES PINS,4-0-0,11-0-0,14-0-0,7-0-0,16-0-0,16-0-0,16-0-0,4-0-0,21-0-0,3-0-0,19-0-0,12-0-0,23-1-0,20-0-0,11-0-0,,,88,86,,197,174
20,20,21,GER 22,"MARU SCHEEL, FREYA FEILCKE",Kieler Yacht-Club e. V.,20-0-0,20-0-0,15-0-0,23-1-0,4-0-0,4-0-0,9-0-0,2-0-0,15-0-0,7-0-0,21-0-0,17-0-0,16-0-0,11-0-0,20-0-0,,,74,107,,204,181
21,21,22,ITA 225,"SOFIA GIUNCHIGLIA, GIULIA SCHIO",Circolo velico sferracavallo,22-1-0,19-0-0,8-0-0,10-0-0,10-0-0,6-0-0,10-0-0,10-0-0,14-0-0,22-0-0,6-0-0,21-0-0,13-0-0,21-0-0,12-0-0,,,73,109,,204,182
22,22,23,ESP 73,"ALICIA FRAS ELENA, BARRIO GARCIA",Real club náutico de Gran Canaria,10-0-0,1-0-0,23-0-0,9-0-0,1-0-0,20-0-0,16-0-0,13-0-0,12-0-0,18-0-0,18-0-0,19-0-0,24-1-0,6-0-0,18-0-0,,,93,91,,208,184
23,23,24,MLT 201,"ANTONIA SCHULTHEIS, VICTORIA SCHULTHEIS",Royal Malta Yacht Club,24-0-0,5-0-0,20-0-0,4-0-0,3-0-0,7-0-0,11-0-0,14-0-0,27-1-UFD,8-0-0,24-0-0,23-0-0,18-0-0,14-0-0,19-0-0,,,88,106,,221,194
24,24,25,CHN 310,"WANG YINGQIAN, XIAOYA SU",Zhejiang,9-0-0,23-1-0,14-0-0,14-0-0,7-0-0,5-0-0,6-0-0,16-0-0,17-0-0,21-0-0,20-0-0,16-0-0,22-0-0,19-0-0,22-0-0,,,71,137,,231,208
25,25,26,USA 92,"PARIS HENKEN, ANNA TOBIAS",San Diego Yacht Club; ABYC,5-0-0,13-0-0,19-0-0,21-1-0,17-0-0,15-0-0,5-0-0,6-0-0,5-0-0,6-0-0,1-0-0,2-0-0,3-0-0,2-0-0,7-0-0,1-0-0,,80,27,,128,107
26,26,27,FIN 40,"RONJA GRONBLOM, VEERA HOKKA",Helsingfors Segelsällskap,11-0-0,10-0-0,9-0-0,6-0-0,23-1-0,9-0-0,23-0-0,10-0-0,4-0-0,12-0-0,6-0-0,1-0-0,1-0-0,1-0-0,4-0-0,3-0-0,,78,32,,133,110
27,27,28,NOR 8,"PIA DAHL ANDERSEN, NORA EDLAND",Kongelig Norsk Seilforening,18-0-0,4-0-0,6-0-0,12-0-0,14-0-0,25-1-0,19-0-0,18-0-0,2-0-0,14-0-0,5-0-0,3-0-0,4-0-0,5-0-0,1-0-0,4-0-0,,91,38,,154,129
28,28,29,AUS 44,"OLIVIA PRICE, EVIE HASELDINE",CYCA / DSC,4-0-0,11-0-0,18-0-0,19-0-0,13-0-0,17-0-0,1-0-0,20-1-0,1-0-0,16-0-0,9-0-0,18-0-0,2-0-0,3-0-0,2-0-0,2-0-0,,83,53,,156,136
29,29,30,CAN 25,"ALEXANDRA TEN HOVE, MARIAH MILLEN",KYC,6-0-0,13-0-0,11-0-0,16-0-0,22-1-0,8-0-0,17-0-0,20-0-0,7-0-0,3-0-0,4-0-0,5-0-0,5-0-0,6-0-0,10-0-0,11-0-0,,91,51,,164,142
30,30,31,JPN 586,"MISAKI TANAKA, SERA NAGAMATSU",TOYOTA Industries Corporation,7-0-0,14-0-0,8-0-0,24-0-0,5-0-0,14-0-0,27-1-DSQ,13-0-0,3-0-0,2-0-0,13-0-0,7-0-0,12-0-0,8-0-0,6-0-0,16-0-0,,85,67,,179,152
31,31,32,FRA 34,"MATHILDE LOVADINA, AUDE COMPAN",YCPR,22-0-0,18-0-0,7-0-0,5-0-0,20-0-0,1-0-0,14-0-0,24-1-0,11-0-0,4-0-0,11-0-0,6-0-0,6-0-0,7-0-0,18-0-0,8-0-0,,87,71,,182,158
32,32,33,FRA 84,"SARAH STEYAERT, CHARLINE PICON",La Rochelle nautique,8-0-0,14-0-0,16-0-0,14-0-0,5-0-0,15-0-0,18-0-0,3-0-0,10-0-0,27-1-BFD,3-0-0,12-0-0,27-0-UFD,9-0-0,14-0-0,5-0-0,,93,80,,200,173
33,33,34,DEN 207,"REBEKKA JOHANNESEN, SILJE CERUP-SIMONSEN",Sletten Bådeklub,14-0-0,24-1-0,22-0-0,15-0-0,16-0-0,21-0-0,15-0-0,18-0-0,8-0-0,9-0-0,10-0-0,10-0-0,7-0-0,13-0-0,9-0-0,9-0-0,,121,75,,220,196
34,34,35,FRA 702,"MANON PEYRE CLARA-SOFIA, STAMMINGER DE MOURA",CLUB NAUTIQUE LA PELLE,13-0-0,17-0-0,13-0-0,19-0-0,11-0-0,7-0-0,20-1-0,14-0-0,14-0-0,18-0-0,20-0-0,9-0-0,8-0-0,10-0-0,13-0-0,12-0-0,,94,104,,218,198
35,35,36,SGP 27,"KIMBERLY LIM, CECILIA LOW",,8-0-0,10-0-0,11-0-0,17-0-0,15-0-0,13-0-0,11-0-0,21-0-0,16-0-0,13-0-0,19-0-0,22-1-0,10-0-0,11-0-0,15-0-0,14-0-0,,106,98,,226,204
36,36,37,CHN 317,"CHEN SHASHA, WANG MENGTING",,17-0-0,22-0-0,16-0-0,25-1-0,19-0-0,22-0-0,25-0-0,11-0-0,9-0-0,11-0-0,12-0-0,4-0-0,16-0-0,4-0-0,12-0-0,10-0-0,,132,78,,235,210
37,37,38,AUS 777,"MINA FERGUSON, DERVLA DUGGAN",Royal Sydney Yacht Squadron & Woollahra Sailing Club,11-0-0,9-0-0,24-1-0,18-0-0,12-0-0,24-0-0,15-0-0,19-0-0,12-0-0,19-0-0,14-0-0,8-0-0,9-0-0,12-0-0,17-0-0,15-0-0,,108,106,,238,214
38,38,39,ARG 16,"MARIA SOL BRANZ CRESPO, JULIA PANTIN",ENARD YCA,16-0-0,15-0-0,17-0-0,13-0-0,18-0-0,11-0-0,14-0-0,24-0-0,27-1-UFD,8-0-0,8-0-0,16-0-0,11-0-0,22-0-0,8-0-0,20-0-0,,128,93,,248,221
39,39,40,CRO 29,"MARIJA ANDELA DE MICHELI-VITTURI, MIHAELA ZJENA DE MICHELI-VITTURI",Y.C.USKOK,20-0-0,21-0-0,25-0-0,11-0-0,20-0-0,18-0-0,22-0-0,11-0-0,6-0-0,5-0-0,21-0-0,19-0-0,27-1-UFD,19-0-0,3-0-0,7-0-0,,148,80,,255,228
40,40,41,GBR 713,"ELEANOR KEERS, JESSICA JOBSON",WPNSA,21-0-0,21-0-0,19-0-0,25-1-0,21-0-0,23-0-0,24-0-0,22-0-0,15-0-0,1-0-0,17-0-0,14-0-0,19-0-0,15-0-0,5-0-0,19-0-0,,151,105,,281,256
41,41,42,ESP 411,"NEUS BALLESTER, CARLOTA GARCIA",Club nautico sa rapita,24-1-0,23-0-0,21-0-0,22-0-0,21-0-0,10-0-0,17-0-0,22-0-0,13-0-0,17-0-0,2-0-0,20-0-0,15-0-0,16-0-0,22-0-0,23-0-0,,136,128,,288,264
42,42,43,EST 305,"HELEN PAIS, HELEN AUSMAN",Tallinna Jahtklubi,16-0-0,22-0-0,22-0-0,22-0-0,17-0-0,25-1-0,21-0-0,23-0-0,19-0-0,15-0-0,18-0-0,11-0-0,18-0-0,17-0-0,19-0-0,6-0-0,,143,123,,291,266
