,Pos,Sail #,Bow,Names,Cat,1Q,2Q,3Q,4Q,5Q,6F,7F,8F,9F,10F,11F,TOTAL,NET
0,1,ESP 44,1,"JORDI XAMMAR, NORA BRUGMAN",MX,3,1,7,8,11,2,-13,11,6,1,6,69.0,56.0
1,2,GBR 4,19,"VITA HEATHCOTE, CHRIS GRUBE",MX,2,7,13,9,1,10,6,8,DSQ (32),9,2,99.0,67.0
2,3,JPN 8,2,"KEIJU OKADA, MIHO YOSHIOKA",MX,2,2,8,3,4,4,-28,13,8,16,12,100.0,72.0
3,4,GER 11,3,"SIMON DIESCH, ANNA MARKFORT",MX,3,1,5,3,7,-26,22,1,1,15,17,101.0,75.0
4,5,ISR 15,11,"NITAI HASSON, NOA LASRY",MX,8,10,7,2,6,-30,9,23,4,5,4,108.0,78.0
5,6,FRA 1,5,"CAMILLE LECOINTRE, JEREMIE MION",MX,1,4,12,1,9,14,18,9,-26,4,10,108.0,82.0
6,7,SWE 349,8,"ANTON DAHLBERG, LOVISA KARLSSON",MX,11,16,11,9,8,9,1,-30,10,2,7,114.0,84.0
7,8,JPN 22,12,"TETSUYA ISOZAKI, YURIE SEKI",MX,21,2,1,5,2,5,4,17,3,25,-25,110.0,85.0
8,9,GBR 55,14,"MARTIN WRIGLEY, BETTINE HARRIS",MX,4,3,10,11,2,-27,11,10,16,8,14,116.0,89.0
9,10,AUT 1,6,"LARA VADLAU, LUKAS MAEHR",MX,4,12,3,10,5,16,8,15,11,6,-16,106.0,90.0
10,11,JPN 55,22,"AI YOSHIDA, YUGO YOSHIDA",MX,1,21,2,4,12,29,5,3,-30,17,9,133.0,103.0
11,12,GER 13,4,"MALTE WINKEL, ANASTASIYA WINKEL",MX,18,14,16,8,8,1,7,16,15,UFD (32),1,136.0,104.0
12,13,GER 10,7,"LUISE WANSER, PHILIPP AUTENRIETH",MX,19,11,13,10,3,-23,21,14,2,10,3,129.0,106.0
13,14,POR 21,15,"DIOGO COSTA, CAROLINA JOÃO",MX,19,11,10,15,9,3,10,5,5,19,-22,128.0,106.0
14,15,AUS 5,17,"NIA JERWOOD, CONOR NICHOLAS",MX,13,6,15,13,10,24,-29,4,18,3,5,140.0,111.0
15,16,ITA 3,10,"GIACOMO FERRARI, ALESSANDRA DUBBINI",MX,10,7,6,24,1,18,3,-27,13,22,11,142.0,115.0
16,17,GER 20,13,"THERES DAHNKE, MATTI CIPRA",MX,10,-20,6,12,14,8,12,19,9,7,18,135.0,115.0
17,18,GER 50,18,"THERESA LÖFFLER, CHRISTOPHER HOERR",MX,14,9,11,6,6,6,16,21,-24,13,15,141.0,117.0
18,19,JPN 46,23,"DAICHI TAKAYAMA, FUYUKA MORITA",MX,7,13,8,13,7,17,27,12,-27,11,8,150.0,123.0
19,20,SUI 3,16,"YVES MERMOD, MAJA SIEGENTHALER",MX,18,5,4,14,15,7,14,18,17,-21,13,146.0,125.0
20,21,POR 25,24,"BEATRIZ GAGO, RODOLFO PIRES",MX,9,15,3,16,3,21,-23,2,22,14,21,149.0,126.0
21,22,CHN 311,39,"ZANGJUN XU, YIXIAO LYU",MX,6,6,BFD (32),16,4,11,2,22,29,20,20,168.0,136.0
22,23,CHN 373,35,"JIANYONG XU, YANI XU",MX,23,9,4,19,5,-28,20,6,14,26,19,173.0,145.0
23,24,GRE 7,36,"ARIADNE-PARASKEVI SPANAKI, ODYSSEAS-EMMANOUIL SPANAKIS",MX,5,22,9,7,UFD (32),12,17,28,7,12,30,181.0,149.0
24,25,FRA 72,9,"MATISSE PACAUD, LUCIE GENNES",MX,24,4,1,20,17,19,25,7,12,-28,23,180.0,152.0
25,26,USA 1842,25,"STUART MCNAY, LARA DALLMAN-WEISS",MX,17,5,2,1,12,13,26,25,28,UFD (32),26,187.0,155.0
26,27,BRA 21,32,"HENRIQUE HADDAD, ISABEL SWAN",MX,17,12,14,4,10,15,15,26,20,24,-28,185.0,157.0
27,28,FRA 10,26,"MANON PENNANEAC'H, PIERRE WILLIOT",MX,21,8,9,5,14,25,-31,20,25,23,24,205.0,174.0
28,29,ITA 6,21,"ELENA BERTA, BRUNO FESTO",MX,9,10,5,7,UFD (32),22,30,31,21,18,29,214.0,182.0
29,30,CHN 1,20,"WENJU DONG, JINGSA WANG",MX,22,3,18,6,16,31,19,24,23,27,-31,220.0,189.0
30,31,CHN 7,42,"QIAN FU, CHUANLIANG WEI",MX,8,18,RDG 14.30,12,19,20,24,29,19,-29,27,219.3,190.3
31,32,GBR 9,37,"HANNAH BRISTOW, JAMES TAYLOR",MX,15,13,-18,17,13,2,11,2,2,2,2,97.0,79.0
32,33,CHN 171,28,"MING XU, YAHAN TU",MX,7,19,12,-25,17,12,8,7,7,4,3,121.0,96.0
33,34,ITA 7,29,"BENEDETTA SALLE, ALESSIO BELLICO",MX,20,8,17,19,-22,10,6,8,8,3,6,127.0,105.0
34,35,GER 15,40,"LAURA PUKROPSKI, THORBEN SCHLÜTER",MX,15,23,21,20,-27,14,1,4,3,6,1,135.0,108.0
35,36,FRA 7,53,"VALADE LOMANE, JULIEN BUNEL",MX,14,15,14,11,UFD (32),6,13,3,UFD 31,5,4,148.0,116.0
36,37,GRE 1,54,"MELINA PAPPA, NIKOLAS GIOTOPOULOS",MX,11,18,16,14,18,-24,7,12,5,11,5,141.0,117.0
37,38,TUR 890,31,"DENIZ CINAR, LARA NALBANTOGLU",MX,16,19,19,-22,21,5,20,9,1,7,14,153.0,131.0
38,39,BRA 11,38,"JULIANA DUQUE, RAFAEL MARTINS",MX,24,21,20,2,19,9,2,19,UFD (31),1,16,164.0,133.0
39,40,POL 450,47,"KACPER PASZEK, IGA WIELCZYK",MX,5,UFD (32),19,24,20,4,18,11,11,8,13,165.0,133.0
40,41,GBR 11,44,"CHARLIE LEIGH, RYAN ORR",MX,6,24,RET (32),15,11,15,UFD 31,5,12,12,8,171.0,139.0
