,Unnamed: 0,Rk.,Sail Number,Name,Club,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,F10,F11,F12,F13,F14,F15,F16,F17,MR,"Q
Net","F
Net","M
Net
(200.0%)",Total Pts.,Net Pts.
0,0,1,FRA 16,"ERWAN FISCHER, CLÉMENT PEQUIN",CNBPP,11-0-0,1-0-0,7-0-0,3-0-0,1-0-0,3-0-0,1-0-0,2-0-0,3-0-0,18-1-0,2-0-0,3-0-0,3-0-0,2-0-0,3-0-0,1-0-0,,6.0,32.0,14,12.0,76.0,58.0
1,1,2,NED 1,"BART LAMBRIEX, FLORIS VAN DE WERKEN",K.N.W.V.,5-0-0,4-0-0,1-0-0,7-0-0,4-0-0,1-0-0,1-0-0,1-0-0,20-1-0,16-0-0,3-0-0,20-0-0,4-0-0,1-0-0,7-0-0,17-0-0,,2.0,24.0,68,4.0,116.0,96.0
2,2,3,ESP 74,"DIEGO BOTIN FLORIAN, TRITTEL PAUL",RCMSantander,13-0-0,18-0-0,3-0-0,3-0-0,2-0-0,3-0-0,15-0-0,1-0-0,6-0-0,7-0-0,1-0-0,1-0-0,9-0-0,5-0-0,20-1-0,11-0-0,,4.0,64.0,34,8.0,126.0,106.0
3,3,4,GBR 12,"JAMES GRUMMETT, RHOS HAWES",Weymouth and Portland National Sailing Academy,4-0-0,2-0-0,5-0-0,12-0-0,6.2-0-RDG,8-0-0,3-0-0,6-0-0,10-0-0,15-1-0,4-0-0,12-0-0,10-0-0,4-0-0,1-0-0,9-0-0,,7.0,56.2,40,14.0,125.2,110.2
4,4,5,POL 64,"MIKOLAJ STANIUL, JAKUB SZTORCH",Akademicki Zwiazek Sportowy Akademii Wychowania Fizycznego i Sportu Gdansk,2-0-0,4-0-0,6-0-0,11-0-0,6-0-0,5-0-0,4-0-0,10-0-0,4-0-0,8-0-0,5-0-0,2-0-0,23-1-0,21-0-0,13-0-0,20-0-0,,1.0,52.0,69,2.0,146.0,123.0
5,5,6,SUI 2,"SEBASTIEN SCHNEITER, ARNO DE PLANTA",Société Nautique de Genève,4-0-0,25-1-0,21-0-0,2-0-0,10-0-0,5-0-0,14-0-0,7-0-0,2-0-0,2-0-0,10-0-0,5-0-0,1-0-0,20-0-0,11-0-0,5-0-0,,3.0,65.0,54,6.0,150.0,125.0
6,6,7,POL 7,"LUKASZ PRZYBYTEK, JACEK PIASECKI",KS AZS AWFiS - Gdansk,12-0-0,5-0-0,3-0-0,10-0-0,3-0-0,6-0-0,8-0-0,2-0-0,22-1-0,10-0-0,6-0-0,19-0-0,14-0-0,3-0-0,5-0-0,22-0-0,,5.0,49.0,79,10.0,160.0,138.0
7,7,8,USA 5,"ANDREW MOLLERUS, IAN MACDIARMID",USST,5-0-0,3-0-0,1-0-0,15-0-0,13-0-0,9-0-0,23-1-0,3-0-0,2-0-0,11-0-0,15-0-0,10-0-0,18-0-0,8-0-0,2-0-0,4-0-0,,10.0,51.0,68,20.0,162.0,139.0
8,8,9,FRA 51,"JULIEN D'ORTOLI, NOE DELPECH",YACHTING CLUB DE LA POINTE ROUGE,6-0-0,15-0-0,20-0-0,2-0-0,1-0-0,1-0-0,21-0-0,7-0-0,1-0-0,1-0-0,22-1-0,13-0-0,22-0-0,12-0-0,4-0-0,8-0-0,,8.0,74.0,60,16.0,172.0,150.0
9,9,10,GBR 30,"JAMES PETERS, FYNN STERRITT",Hayling Island Sailing Club,9-0-0,16-0-0,2-0-0,4-0-0,8-0-0,6-0-0,8-0-0,14-0-0,5-0-0,13-0-0,16-0-0,4-0-0,5-0-0,13-0-0,24-1-0,18-0-0,,9.0,72.0,69,18.0,183.0,159.0
10,10,11,AUS 20,"JIM COLLEY, SHAUN CONNOR",Royal Prince Alfred Yacht Club,7-0-0,9-0-0,9-0-0,4-0-0,15-0-0,7-0-0,6-0-0,5-0-0,6-0-0,25-1-0,23-0-0,8-0-0,7-0-0,15-0-0,23-0-0,14-0-0,,,68.0,90,,183.0,158.0
11,11,12,AUT 28,"KEANU PRETTNER, JAKOB FLACHBERGER",UYC WOLFGANGSEE,8-0-0,9-0-0,4-0-0,13-0-0,9-0-0,13-0-0,9-0-0,17-0-0,16-0-0,19-1-0,9-0-0,18-0-0,6-0-0,11-0-0,8-0-0,13-0-0,,,98.0,65,,182.0,163.0
12,12,13,GER 22,"JAKOB MEGGENDORFER, ANDREAS SPRANGER",Bayerischer Yacht-Club e. V.,7-0-0,17-0-0,5-0-0,1-0-0,11-0-0,19-0-0,2-0-0,12-0-0,4-0-0,24-0-0,17-0-0,9-0-0,20-0-0,7-0-0,25-1-0,10-0-0,,,78.0,87,,190.0,165.0
13,13,14,URU 14,"HERNAN UMPIERRE, FERNANDO DIZ",Yacht Club Punta del este,1-0-0,13-0-0,6-0-0,9-0-0,14-0-0,2-0-0,37-1-UFD,3-0-0,1-0-0,21-0-0,25-0-0,25-0-0,19-0-0,9-0-0,10-0-0,7-0-0,,,49.0,116,,202.0,165.0
14,14,15,NZL 4,"ISAAC MCHARDIE, WILLIAM MCKENZIE",RAYC,1-0-0,14-0-0,19-0-0,14-0-0,11-0-0,4-0-0,6-0-0,4-0-0,13-0-0,4-0-0,11-0-0,6-0-0,24-0-0,25-1-0,21-0-0,15-0-0,,,86.0,81,,192.0,167.0
15,15,16,USA 84,"IAN BARROWS, HANS HENKEN",Eastern Yacht Club,8-0-0,1-0-0,37-1-DSQ,6-0-0,6-0-0,8-0-0,29-0-0,10-0-0,14-0-0,9-0-0,21-0-0,14-0-0,2-0-0,24-0-0,17-0-0,6-0-0,,,82.0,93,,212.0,175.0
16,16,17,FRA 95,"LUCAS RUAL, EMILE AMOROS",A P C C NANTES,22-0-0,8-0-0,2-0-0,25-1-0,3-0-0,4-0-0,5-0-0,11-0-0,19-0-0,3-0-0,20-0-0,16-0-0,12-0-0,22-0-0,19-0-0,12-0-0,,,74.0,104,,203.0,178.0
17,17,18,DEN 66,"FREDERIK RASK, JAKOB PRECHT JENSEN",Skovshoved Sejlklub,3-0-0,6-0-0,12-0-0,5-0-0,26-1-0,11-0-0,9-0-0,17-0-0,3-0-0,17-0-0,24-0-0,17-0-0,15-0-0,23-0-0,14-0-0,3-0-0,,,66.0,113,,205.0,179.0
18,18,19,GER 21,"MAX STINGELE, LINOV SCHEEL",Kieler Yacht-Club e. V.,22-0-0,7-0-0,23-0-0,12-0-0,5-0-0,16-0-0,4-0-0,15-0-0,7-0-0,22-0-0,13-0-0,11-0-0,11-0-0,6-0-0,9-0-0,24-1-0,,,111.0,72,,207.0,183.0
19,19,20,AUT 29,"BENJAMIN BILDSTEIN, DAVID HUSSL",YC BREGENZ,16-0-0,2-0-0,8-0-0,1-0-0,7-0-0,13-0-0,37-1-UFD,20-0-0,5-0-0,6-0-0,14-0-0,23-0-0,8-0-0,18-0-0,18-0-0,26-0-RET,,,72.0,113,,222.0,185.0
20,20,21,POL 10,"DOMINIK BUKSAK, SZYMON WIERZBICKI",Akademicki Zwiazek Sportowy Akademii Wychowania Fizycznego i Sportu Gdansk,11-0-0,10-0-0,7-0-0,20-1-0,5-0-0,2-0-0,12-0-0,9-0-0,15-0-0,20-0-0,19-0-0,15-0-0,17-0-0,10-0-0,15-0-0,19-0-0,,,71.0,115,,206.0,186.0
21,21,22,AUS 25,"TOM BURTON, MAX PAUL",MHYC,19-0-0,6-0-0,14-0-0,11-0-0,12-0-0,9-0-0,31-1-0,8-0-0,8-0-0,12-0-0,8-0-0,22-0-0,21-0-0,16-0-0,6-0-0,16-0-0,,,87.0,101,,219.0,188.0
22,22,23,BEL 24,"YANNICK LEFÈBVRE, YOUENN BERTIN",BRUXELLES ROYAL YACHT CLUB,10-0-0,3-0-0,9-0-0,19-0-0,13-0-0,14-0-0,17-0-0,4-0-0,14-0-0,5-0-0,12-0-0,21-0-0,16-0-0,14-0-0,22-0-0,23-1-0,,,103.0,90,,216.0,193.0
23,23,24,ITA 23,"SIMONE FERRARESE, LEONARDO CHISTÈ",Circolo della Vela Bari,12-0-0,5-0-0,12-0-0,15-0-0,7-0-0,11-0-0,26-1-0,9-0-0,17-0-0,14-0-0,7-0-0,7-0-0,25-0-0,19-0-0,16-0-0,21-0-0,,,88.0,109,,223.0,197.0
24,24,25,IRL 99,"ROBERT DICKSON, SEAN WADDILOVE",Howth Yacht Club,10-0-0,21-0-0,4-0-0,5-0-0,15-0-0,7-0-0,24-0-0,14-0-0,27-1-0,23-0-0,18-0-0,24-0-0,13-0-0,17-0-0,12-0-0,2-0-0,,,100.0,109,,236.0,209.0
25,25,26,ITA 88,"UBERTO CRIVELLI VISCONTI, GIULIO CALABRO",Marina Militare,9-0-0,23-0-0,10-0-0,16-0-0,8-0-0,10-0-0,18-0-0,22-0-0,9-0-0,9-0-0,3-0-0,32-1-0,2-0-0,3-0-0,6-0-0,9-0-0,9-0-0,,125.0,41,,198.0,166.0
26,26,27,CHN 33,"WEN ZAIDING, LIU TIAN",,21-0-0,8-0-0,15-0-0,7-0-0,10-0-0,19-0-0,11-0-0,21-0-0,23-0-0,3-0-0,8-0-0,18-0-0,47-1-UFD,1-0-0,2-0-0,1-0-0,14-0-0,,135.0,47,,229.0,182.0
27,27,28,DEN 70,"DANIEL NYBORG, NIKOLAJ HOFFMANN BUHL",Sletten Bådeklub,26-0-0,7-0-0,17-0-0,9-0-0,12-0-0,14-0-0,33-1-0,6-0-0,21-0-0,16-0-0,7-0-0,1-0-0,13-0-0,22-0-0,4-0-0,8-0-0,1-0-0,,112.0,72,,217.0,184.0
28,28,29,FRA 44,"THÉO REVIL, YANN JAUVIN",C N LA BAULE POULIGUEN PORNICHET,3-0-0,37-1-UFD,24-0-0,6-0-0,4-0-0,27-0-0,20-0-0,11-0-0,31-0-0,11-0-0,15-0-0,11-0-0,6-0-0,7-0-0,9-0-0,6-0-0,2-0-0,,126.0,67,,230.0,193.0
29,29,30,GER 13,"FABIAN RIEGER, TOM HEINRICH",Verein Seglerhaus am Wannsee,18-0-0,11-0-0,15-0-0,19-0-0,25-0-0,22-0-0,10-0-0,16-0-0,11-0-0,26-1-0,4-0-0,8-0-0,5-0-0,8-0-0,1-0-0,16-0-0,17-0-0,,147.0,59,,232.0,206.0
30,30,31,IRL 11,"SÉAFRA GUILFOYLE, JOHNNY DURCAN",Royal Cork Yacht Club,2-0-0,14-0-0,14-0-0,8-0-0,20-0-0,21-0-0,2-0-0,25-0-0,33-0-0,24-0-0,1-0-0,2-0-0,47-1-UFD,9-0-0,7-0-0,20-0-0,13-0-0,,139.0,76,,262.0,215.0
