,RANK,NAT,SAIL NUMBER,SAILOR NAME,WS ID,UNKNOW,Q1,Q2,Q3,Q4,Q5,Q6,FINAL,TOTAL,NETT
0,1,GBR,221584,DAISY COLLINGRIDGE,GBRDC96,Q,34-0-0,48-0-0,23-0-0,19-0-0,8-0-0,56-1-UFD,1-0-0,189,133.0
1,2,CRO,220958,SANDRA LULIC,CROSL3,NO,38-0-0,33-0-0,14-0-0,44-1-0,14-0-0,26-0-0,9-0-0,178,134.0
2,3,JPN,202611,YUMIKO TOMBE,JPNYT7,NON EU,18-0-0,1-0-0,33-0-0,29-0-0,47-0-0,56-1-UFD,7-0-0,191,135.0
3,4,HKG,211717,NANCY HIGHFIELD,HKGNH1,NON EU,14-0-0,42-1-0,6-0-0,37-0-0,33-0-0,38-0-0,14-0-0,184,142.0
4,5,CRO,189016,TEA PETEH,CROTP8,NO,28-0-0,36-0-0,49-1-0,25-0-0,26-0-0,17-0-0,10-0-0,191,142.0
5,6,ESP,217172,MARIA MARTINEZ,ESPMM81,Q,26-0-0,13-0-0,18-0-0,47-1-0,34-0-0,31-0-0,26-0-0,195,148.0
6,7,MAS,214990,NUR SHAZRIN MOHAMAD LATIF,MASNM6,NON EU,33-0-0,43-1-0,42-0-0,4-0-0,40-0-0,27-0-0,4-0-0,193,150.0
7,8,ITA,224919,CARLOTTA RIZZARDI,ITACR53,Q,11-0-0,28-0-0,39-0-0,28-0-0,25-0-0,43-1-0,20-0-0,194,151.0
8,9,POL,223136,ZOFIA WOJCIK,POLZW5,Q,29-0-0,49-1-0,28-0-0,29-0-0,32-0-0,19-0-0,17-0-0,203,154.0
9,10,GRE,214963,VARVARA PORTOLOU,GREVP22,NO,17-0-0,27-0-0,8-0-0,56-1-RET,41-0-0,44-0-0,24-0-0,217,161.0
10,11,GRE,220793,TATIANI BOUGIATIOTI,GRETB3,NO,22-0-0,34-0-0,27-0-0,32-0-0,46-1-0,28-0-0,19-0-0,208,162.0
11,12,GER,214749,ELISA HARTENBERGER,GEREH9,Q,37-0-0,27-0-0,47-1-0,28-0-0,25-0-0,15-0-0,33-0-0,212,165.0
12,13,EST,216737,ROMI SAFIN,ESTRS4,NO,32-0-0,56-1-UFD,38-0-0,34-0-0,14-0-0,45-0-0,6-0-0,225,169.0
13,14,UKR,224911,ALINA SHAPOVALOVA,UKRAS23,NO,39-0-0,19-0-0,30-0-0,33-0-0,56-1-UFD,27-0-0,21-0-0,225,169.0
14,15,ESP,222842,ADRIANA CASTRO NUNEZ,ESPAC105,Q,16-0-0,56-1-UFD,17-0-0,11-0-0,56-0-UFD,41-0-0,30-0-0,227,171.0
15,16,DEN,220135,JOSEPHINE HEEGAARD,DENJH30,Q,19-0-0,44-1-0,44-0-0,27-0-0,42-0-0,30-0-0,11-0-0,217,173.0
16,17,EST,217649,KATARIINA ROIHU,ESTKR11,NO,34-0-0,40-0-0,54-1-0,18-0-0,45-0-0,34-0-0,5-0-0,230,176.0
17,18,GRE,220273,ARGYRO KOURAVELOU,GREAK71,NO,33-0-0,38-0-0,10-0-0,53-1-0,27-0-0,39-0-0,29-0-0,229,176.0
18,19,GRE,214206,KLEOPATRA ANASTASSIOU,GREKA9,NO,39-0-0,29-0-0,9-0-0,39-0-0,46-1-0,39-0-0,23-0-0,224,178.0
19,20,ESP,223701,MARGA PERELLO,ESPMP83,Q,49-0-0,52-1-0,25-0-0,49-0-0,35-0-0,21-0-0,2-0-0,233,181.0
20,21,POL,223210,LILLY MAY NIEZABITOWSKA,POLLN1,Q,23-0-0,53-1-0,39-0-0,31-0-0,50-0-0,24-0-0,16-0-0,236,183.0
21,22,GER,220411,PIA CONRADI,GERPC5,Q,46-1-0,15-0-0,30-0-0,46-0-0,36-0-0,29-0-0,31-0-0,233,187.0
22,23,GER,221253,HANNAH ANDERSSOHN,GERHA4,Q,49-0-0,24-0-0,38-0-0,35-0-0,39-0-0,56-1-UFD,3-0-0,244,188.0
23,24,CYP,219695,ANDRIANI GEORGIOU,CYPAG2,NO,40-0-0,10-0-0,36-0-0,27-0-0,31-0-0,47-1-0,44-0-0,235,188.0
24,25,ITA,216710,ALISE SANTORUM,ITAAS170,Q,42-0-0,31-0-0,53-1-0,37-0-0,34-0-0,30-0-0,15-0-0,242,189.0
25,26,GER,223716,AMELIE ELSTNER,GERAE21,Q,13-0-0,50-1-0,41-0-0,39-0-0,5-0-0,36-0-0,56-0-UFD,240,190.0
26,27,CZE,220626,KLARA HIMMELOVA,CZEKH2,(41),37-0-0,14-0-0,40-0-0,28-0-0,37-0-0,34-0-0,231-0-0,190,
27,28,CAN,207232,CLARA GRAVELY,CANCG20,NON EU,14-0-0,38-0-0,10-0-0,52-1-0,42-0-0,31-0-0,56-0-UFD,243,191.0
28,29,ISR,218895,MAYA PILNIK,ISRMP1,NO,44-0-0,42-0-0,48-1-0,41-0-0,19-0-0,38-0-0,13-0-0,245,197.0
29,30,ESP,221160,MARINA SERRANO CASTRO,ESPMS58,Q,48-1-0,20-0-0,42-0-0,45-0-0,23-0-0,25-0-0,42-0-0,245,197.0
30,31,GER,218414,GESA PAPENTHIN,GERGP11,Q,50-0-0,16-0-0,45-0-0,56-1-RET,31-0-0,35-0-0,22-0-0,255,199.0
31,32,CZE,217944,BEATA DOKOUPILOVA,CZEBD1,NO,45-0-0,28-0-0,44-0-0,7-0-0,26-0-0,53-1-0,50-0-0,253,200.0
