,RANK,NAT,SAILNO,HELMNAME,HELMID,Q1,Q2,Q3,Q4,Q5,F1,F2,F3,F4,F5,M/F6,TOTAL,NET,MEDALIST
0,1ST,DEN,215501,ANNE MARIE RINDOM,DENAR2,3.0-0-0,1.0-0-0,1.0-0-0,6.0-0-0,27.0-1-0,7.0-0-0,1.0-0-0,4.0-0-0,14.0-0-0,1.0-0-0,20.0-0-0,85.0,58.0,YES
1,2ND,USA,222035,CHARLOTTE ROSE,USACR200,7.0-0-0,1.0-0-0,1.0-0-0,15.0-0-0,17.0-0-0,39.0-1-0,2.0-0-0,9.0-0-0,4.0-0-0,3.0-0-0,16.0-0-0,114.0,75.0,YES
2,3RD,BEL,211552,EMMA PLASSCHAERT,BELPE1,2.0-0-0,7.0-0-0,9.0-0-0,3.0-0-0,10.0-0-0,19.0-0-0,20.0-1-0,13.0-0-0,5.0-0-0,2.0-0-0,8.0-0-0,98.0,78.0,YES
3,4TH,SUI,221910,MAUD JAYET,SUIMJ3,4.0-0-0,16.0-0-0,4.0-0-0,16.0-0-0,12.0-0-0,1.0-0-0,38.0-1-0,3.0-0-0,8.0-0-0,6.0-0-0,14.0-0-0,122.0,84.0,YES
4,5TH,NOR,211799,LINE FLEM HOEST,NORLH5,1.0-0-0,10.0-0-0,3.0-0-0,31.0-0-0,5.0-0-0,2.0-0-0,10.0-0-0,36.0-1-0,20.0-0-0,8.0-0-0,4.0-0-0,130.0,94.0,YES
5,6TH,FIN,211133,MONIKA MIKKOLA,FINMM7,4.0-0-0,14.0-0-0,11.0-0-0,19.0-0-0,23.0-1-0,3.0-0-0,16.0-0-0,6.0-0-0,11.0-0-0,11.0-0-0,6.0-0-0,124.0,101.0,YES
6,7TH,HUN,211551,MARIA ERDI,HUNME1,16.0-0-0,2.0-0-0,6.0-0-0,10.0-0-0,2.0-0-0,4.0-0-0,46.0-1-0,16.0-0-0,24.0-0-0,22.5-0-RDG,2.0-0-0,150.5,104.5,YES
7,8TH,NED,221350,MAXIME JONKER,NEDMJ5,20.0-0-0,7.0-0-0,2.0-0-0,6.0-0-0,3.0-0-0,26.0-0-0,3.0-0-0,44.0-1-0,1.0-0-0,29.0-0-0,10.0-0-0,151.0,107.0,YES
8,9TH,SWE,222606,JOSEFIN OLSSON,SWEJO4,5.0-0-0,3.0-0-0,2.0-0-0,2.0-0-0,20.0-0-0,42.0-1-0,17.0-0-0,7.0-0-0,31.0-0-0,5.0-0-0,18.0-0-0,152.0,110.0,YES
9,10TH,GBR,219908,HANNAH SNELLGROVE,GBRHS12,8.0-0-0,2.0-0-0,10.0-0-0,22.0-0-0,1.0-0-0,33.0-1-0,6.0-0-0,23.0-0-0,3.0-0-0,28.0-0-0,12.0-0-0,148.0,115.0,YES
10,11TH,NED,210407,MARIT BOUWMEESTER,NEDMB7,23.0-0-0,3.0-0-0,9.0-0-0,8.0-0-0,1.0-0-0,22.0-0-0,24.0-1-0,17.0-0-0,22.0-0-0,4.0-0-0,14.0-0-0,147.0,123.0,
11,12TH,DEN,207195,ANNA MUNCH,DENAM6,17.0-0-0,6.0-0-0,24.0-0-0,1.0-0-0,11.0-0-0,16.0-0-0,4.0-0-0,27.0-1-0,13.0-0-0,19.0-0-0,13.0-0-0,151.0,124.0,
12,13TH,AUS,218756,ELYSE AINSWORTH,AUSEA3,10.0-0-0,21.0-0-0,15.0-0-0,1.0-0-0,11.0-0-0,8.0-0-0,35.0-1-0,10.0-0-0,16.0-0-0,15.0-0-0,21.0-0-0,163.0,128.0,
13,14TH,FRA,212121,LOUISE CERVERA,FRALC33,22.0-0-0,9.0-0-0,3.0-0-0,9.0-0-0,4.0-0-0,21.0-0-0,9.0-0-0,20.0-0-0,25.0-0-0,7.0-0-0,40.0-1-0,169.0,129.0,
14,15TH,POR,223111,VASILEIA KARACHALIOU,GREVK5,6.0-0-0,8.0-0-0,12.0-0-0,2.0-0-0,25.0-0-0,5.0-0-0,5.0-0-0,24.0-0-0,17.0-0-0,34.0-0-0,36.0-1-0,174.0,138.0,
15,16TH,GBR,219894,MATILDA NICHOLLS,GBRMN16,12.0-0-0,6.0-0-0,6.0-0-0,8.0-0-0,7.0-0-0,9.0-0-0,32.0-0-0,25.0-0-0,34.0-1-0,26.0-0-0,11.0-0-0,176.0,142.0,
16,17TH,AUS,208546,MARA STRANSKY,AUSMS65,6.0-0-0,5.0-0-0,19.0-0-0,4.0-0-0,52.0-1-BFD,13.0-0-0,22.0-0-0,14.0-0-0,2.0-0-0,37.0-0-0,25.0-0-0,199.0,147.0,
17,18TH,ITA,211961,CHIARA BENINI FLORIANI,ITACB88,13.0-0-0,28.0-1-0,11.0-0-0,23.0-0-0,16.0-0-0,15.0-0-0,14.0-0-0,2.0-0-0,19.0-0-0,17.0-0-0,19.0-0-0,177.0,149.0,
18,19TH,AUS,210792,CASEY IMENEO,AUSCI3,15.0-0-0,9.0-0-0,32.0-0-0,19.0-0-0,31.0-0-0,10.0-0-0,33.0-1-0,21.0-0-0,7.0-0-0,12.0-0-0,20.0-0-0,209.0,176.0,
19,20TH,IRL,216111,EVE MCMAHON,IRLEM39,19.0-0-0,4.0-0-0,19.0-0-0,4.0-0-0,14.0-0-0,52.0-1-DNC,18.0-0-0,38.0-0-0,32.0-0-0,18.0-0-0,12.0-0-0,230.0,178.0,
20,21ST,FRA,221001,MARIE BARRUE,FRAMB65,10.0-0-0,5.0-0-0,28.0-0-0,24.0-0-0,8.0-0-0,6.0-0-0,12.0-0-0,8.0-0-0,36.0-0-0,42.0-0-0,45.0-1-0,224.0,179.0,
21,22ND,ITA,219011,SILVIA ZENNARO,ITASZ7,18.0-0-0,12.0-0-0,7.0-0-0,11.0-0-0,25.0-0-0,27.0-0-0,8.0-0-0,19.0-0-0,47.0-1-0,25.0-0-0,28.0-0-0,227.0,180.0,
22,23RD,NED,223131,MIRTHE AKKERMAN,NEDMA3,52.0-1-BFD,17.0-0-0,7.0-0-0,13.0-0-0,3.0-0-0,44.0-0-0,21.0-0-0,12.0-0-0,18.0-0-0,13.0-0-0,37.0-0-0,237.0,185.0,
23,24TH,POL,217121,AGATA BARWINSKA,POLAB11,13.0-0-0,11.0-0-0,16.0-0-0,31.0-0-0,30.0-0-0,24.0-0-0,11.0-0-0,37.0-1-0,6.0-0-0,22.0-0-0,24.0-0-0,225.0,188.0,
24,25TH,ARG,219921,LUCIA FALASCA,ARGLF1,18.0-0-0,13.0-0-0,13.0-0-0,11.0-0-0,34.0-0-0,35.0-0-0,36.0-1-0,5.0-0-0,21.0-0-0,23.0-0-0,16.0-0-0,225.0,189.0,
25,26TH,CAN,220403,SARAH DOUGLAS,CANSD7,11.0-0-0,15.0-0-0,5.0-0-0,5.0-0-0,27.0-0-0,29.0-0-0,27.0-0-0,29.0-0-0,12.0-0-0,33.0-0-0,51.0-1-0,244.0,193.0,
26,27TH,FRA,211861,PERNELLE MICHON,FRAPM12,7.0-0-0,4.0-0-0,28.0-0-0,32.0-0-0,24.0-0-0,38.0-1-0,13.0-0-0,35.0-0-0,30.0-0-0,10.0-0-0,17.0-0-0,238.0,200.0,
27,28TH,SUI,220286,ANJA VON ALLMEN,SUIAV3,9.0-0-0,10.0-0-0,14.0-0-0,16.0-0-0,9.0-0-0,40.0-0-0,26.0-0-0,30.0-0-0,37.0-0-0,9.0-0-0,42.0-1-0,242.0,200.0,
28,29TH,URU,216142,DOLORES MOREIRA FRASCHINI,URUDM1,24.0-0-0,36.0-0-0,25.0-0-0,22.0-0-0,5.0-0-0,11.0-0-0,37.0-1-0,15.0-0-0,10.0-0-0,20.0-0-0,34.0-0-0,239.0,202.0,
29,30TH,AUS,204568,ZOE THOMSON,AUSZT3,16.0-0-0,11.0-0-0,17.0-0-0,25.0-0-0,21.0-0-0,28.0-1-0,28.0-0-0,26.0-0-0,27.0-0-0,16.0-0-0,15.0-0-0,230.0,202.0,
30,31ST,GER,221911,JULIA BUSSELBERG,GERJB68,1.0-0-0,20.0-0-0,4.0-0-0,7.0-0-0,6.0-0-0,49.0-1-0,30.0-0-0,28.0-0-0,49.0-0-0,43.0-0-0,22.0-0-0,259.0,210.0,
31,32ND,GBR,221584,DAISY COLLINGRIDGE,GBRDC96,41.0-0-0,15.0-0-0,5.0-0-0,3.0-0-0,15.0-0-0,14.0-0-0,47.0-1-0,41.0-0-0,15.0-0-0,39.0-0-0,27.0-0-0,262.0,215.0,
32,33RD,ARG,217115,LUCIANA CARDOZO,ARGLC12,14.0-0-0,13.0-0-0,23.0-0-0,39.0-0-0,13.0-0-0,45.0-1-0,43.0-0-0,11.0-0-0,9.0-0-0,36.0-0-0,18.0-0-0,264.0,219.0,
33,34TH,ESP,221674,ANA MONCADA SANCHEZ,ESPAM89,8.0-0-0,29.0-0-0,26.0-0-0,17.0-0-0,9.0-0-0,30.0-0-0,31.0-0-0,22.0-0-0,26.0-0-0,52.0-1-UFD,23.0-0-0,273.0,221.0,
34,35TH,BRA,204587,GABRIELLA KIDD,BRAGK5,41.0-1-0,24.0-0-0,21.0-0-0,21.0-0-0,19.0-0-0,12.0-0-0,40.0-0-0,1.0-0-0,41.0-0-0,31.0-0-0,31.0-0-0,282.0,241.0,
35,36TH,TUR,221116,ECEM GUZEL,TUREG2,14.0-0-0,20.0-0-0,24.0-0-0,7.0-0-0,32.0-0-0,46.0-1-0,7.0-0-0,32.0-0-0,28.0-0-0,41.0-0-0,38.0-0-0,289.0,243.0,
36,37TH,MEX,220644,ELENA OETLING RAMIREZ,MEXEO1,35.0-0-0,18.0-0-0,8.0-0-0,27.0-0-0,21.0-0-0,20.0-0-0,41.0-0-0,31.0-0-0,23.0-0-0,21.0-0-0,44.0-1-0,289.0,245.0,
37,38TH,ISR,220477,SHAY KAKON,ISRSK7,3.0-0-0,22.0-0-0,17.0-0-0,29.0-0-0,8.0-0-0,34.0-0-0,44.0-0-0,33.0-0-0,29.0-0-0,45.0-1-0,35.0-0-0,299.0,254.0,
38,39TH,ROU,221976,EBRU BOLAT,ROUEB1,17.0-0-0,22.0-0-0,20.0-0-0,18.0-0-0,26.0-0-0,31.0-0-0,23.0-0-0,52.0-1-BFD,40.0-0-0,14.0-0-0,43.0-0-0,306.0,254.0,
39,40TH,ITA,222312,CAROLINA ALBANO,ITACA30,2.0-0-0,17.0-0-0,15.0-0-0,33.0-0-0,30.0-0-0,18.0-0-0,15.0-0-0,52.0-1-BFD,44.0-0-0,35.0-0-0,47.0-0-0,308.0,256.0,
40,41ST,IND,222138,NETHRA KUMANAN,INDNK4,30.0-0-0,19.0-0-0,22.0-0-0,30.0-0-0,2.0-0-0,36.0-0-0,19.0-0-0,40.0-1-0,33.0-0-0,27.0-0-0,39.0-0-0,297.0,257.0,
41,42ND,ITA,218118,MATILDA TALLURI,ITAMT51,28.0-0-0,28.0-0-0,18.0-0-0,34.0-0-0,4.0-0-0,52.0-1-BFD,25.0-0-0,18.0-0-0,39.0-0-0,38.0-0-0,33.0-0-0,317.0,265.0,
42,43RD,NED,221341,ROOS WIND,NEDRW21,29.0-0-0,25.0-0-0,10.0-0-0,12.0-0-0,35.0-0-0,25.0-0-0,34.0-0-0,42.0-0-0,38.0-0-0,47.0-1-0,29.0-0-0,326.0,279.0,
43,44TH,POL,197117,WIKTORIA GOLEBIOWSKA,POLWG7,9.0-0-0,36.0-0-0,29.0-0-0,17.0-0-0,6.0-0-0,43.0-0-0,39.0-0-0,34.0-0-0,46.0-0-0,24.0-0-0,49.0-1-0,332.0,283.0,
44,45TH,CAN,207232,CLARA GRAVELY,CANCG20,22.0-0-0,14.0-0-0,14.0-0-0,9.0-0-0,32.0-0-0,17.0-0-0,48.0-1-0,47.0-0-0,42.0-0-0,40.0-0-0,46.0-0-0,331.0,283.0,
45,46TH,ESP,216104,CRISTINA PUJOL BAJO,ESPCP17,33.0-0-0,23.0-0-0,26.0-0-0,15.0-0-0,18.0-0-0,32.0-0-0,29.0-0-0,52.0-1-BFD,48.0-0-0,32.0-0-0,50.0-0-0,358.0,306.0,
46,47TH,ITA,212296,GIORGIA DELLA VALLE,ITAGD143,29.0-0-0,12.0-0-0,12.0-0-0,29.0-0-0,34.0-0-0,37.0-0-0,42.0-0-0,45.0-0-0,35.0-0-0,48.0-1-0,32.0-0-0,355.0,307.0,
47,48TH,USA,216177,CHRISTINA SAKELLARIS,USACS239,26.0-0-0,25.0-0-0,8.0-0-0,20.0-0-0,37.0-0-0,23.0-0-0,49.0-0-0,52.0-1-BFD,51.0-0-0,46.0-0-0,26.0-0-0,363.0,311.0,
48,49TH,USA,221714,LILLIAN MYERS,USALM84,31.0-0-0,26.0-0-0,13.0-0-0,5.0-0-0,18.0-0-0,41.0-0-0,45.0-0-0,46.0-0-0,43.0-0-0,44.0-0-0,48.0-1-0,360.0,312.0,
49,50TH,ESP,221420,ISABEL HERNANDEZ PENA,ESPIH5,19.0-0-0,30.0-0-0,40.0-0-0,14.0-0-0,12.0-0-0,48.0-0-0,50.0-1-0,39.0-0-0,45.0-0-0,30.0-0-0,41.0-0-0,368.0,318.0,
50,51ST,USA,221984,HALLIE SCHIFFMAN,USAHS56,25.0-0-0,35.0-0-0,29.0-0-0,21.0-0-0,7.0-0-0,47.0-0-0,51.0-1-0,43.0-0-0,50.0-0-0,49.0-0-0,30.0-0-0,387.0,336.0,
51,52ND,CRO,211950,ELENA VOROBEVA,CROEV1,39.0-0-0,18.0-0-0,18.0-0-0,12.0-0-0,40.0-1-0,13.0-0-0,1.0-0-0,4.0-0-0,15.0-0-0,3.0-0-0,6.0-0-0,169.0,129.0,
52,53RD,NZL,221092,GRETA PILKINGTON,NZLGP5,25.0-0-0,32.0-1-0,16.0-0-0,24.0-0-0,28.0-0-0,10.0-0-0,2.0-0-0,11.0-0-0,1.0-0-0,5.0-0-0,22.0-0-0,176.0,144.0,
53,54TH,PER,211285,FLORENCIA CHIARELLA,PERFC3,20.0-0-0,27.0-0-0,36.0-0-0,38.0-1-0,13.0-0-0,3.0-0-0,6.0-0-0,12.0-0-0,8.0-0-0,10.0-0-0,23.0-0-0,196.0,158.0,
