RANK,NAT,SAIL NUMBER,SAILOR NAME,WS ID,UNKNOW,Q1,Q2,Q3,Q4,Q5,F1,F2,F3,TOTAL,NETT
1,FIN,222065,VALTTERI UUSITALO,FINVU2,Q,3,9,9,6,3,3,(25),9,67,42
2,HUN,213119,JONATAN VADNAI,HUNJV4,Q,14,(21),9,4,3,1,14,1,67,46
3,IRL,222017,FINN LYNCH,IRLFL10,Q,22,4,(31),3,1,4,7,5,77,46
4,GBR,221582,FINLEY DICKINSON,GBRFD18,Q,4,19,1,2,(25),16,3,4,74,49
5,HUN,213095,BENJAMIN VADNAI,HUNBV1,Q,7,1,6,10,8,12,9,(18),71,53
6,ITA,221118,DIMITRI PERONI,ITADP40,Q,10,3,25,7,1,7,(47 RET),6,106,59
7,HKG,171979,NICHOLAS HALLIDAY,HKGNH5,NON EU,11,21,7,2,9,5,4,(32),91,59
8,POR,223215,EDUARDO MARQUES,POREM3,Q,1,12,5,9,4,10,(21),20,82,61
9,ISR,220249,OMER VERED VILENCHIK,ISROV4,NO,5,2,1,22,5,(39),1,29,104,65
10,CRO,212013,TONCI STIPANOVIC,CROTS1,Q,(24),22,1,1,20,2,24,3,97,73
11,FRA,203855,ALEXANDRE BOITE,FRAAB50,Q,2,11,11,13,5,20,(26),12,100,74
12,SLO,214148,ZAN LUKA ZELKO,SLOZZ2,NO,6,5,12,8,4,(43),35,8,121,78
13,GRE,236900,GEORGIOS PAPADAKOS,GREGP28,NO,13,7,10,13,3,6,30,(37),119,82
14,FRA,218833,LORENZO MAYER,FRALM63,Q,12,10,12,5,14,(36),5,24,118,82
15,EST,203724,KARL MARTIN RAMMO,ESTKR1,NO,10,8,2,15,21,8,19,(26),109,83
16,ISR,214931,MAOR BENHAROCH,ISRMB2,NO,5,17,8,(23),10,21,2,22,108,85
17,IRL,210101,EWAN MCMAHON,IRLEM38,Q,23,4,3,20,7,22,6,(30),115,85
18,GER,224211,NICO NAUJOCK,GERNN7,Q,1,(26),5,10,13,25,18,15,113,87
19,UKR,222721,OSKAR MADONICH,UKROM11,NO,13,2,29,3,9,(44),10,21,131,87
20,CZE,221935,ONDREJ TEPLY,CZEOT1,NO,20,17,8,7,12,15,8,(23),110,87
21,TUR,191719,BERKAY ABAY,TURBA13,Q,26,16,22,3,9,11,(36),2,125,89
22,ITA,217611,ALESSIO SPADONI,ITAAS36,Q,7,24,4,5,2,13,38,(43),136,93
23,GER,223181,JULIAN HOFFMANN,GERJH64,Q,4,(47 BFD),11,4,17,14,34,13,144,97
24,FIN,211411,ALEKSI TAPPER,FINAT7,Q,3,9,19,9,18,(35),16,25,134,99
25,POR,222694,LOURENCO MATEUS,PORLM9,Q,16,1,18,26,2,9,(32),28,132,100
26,ITA,221701,CESARE BARABINO,ITACB84,Q,15,14,16,12,5,(27),23,17,129,102
27,ISR,220251,REM PULCI MAGEN,ISRRP3,NO,10,23,8,16,7,(28),28,10,130,102
28,GRE,210600,ANASTASIOS PANAGIOTIDIS,GREAP37,NO,34,1,15,18,10,18,(40),7,143,103
29,GER,221387,JUSTIN BARTH,GERJB83,Q,1,13,2,11,11,(47 RET),47 DNE,19,151,104
30,FRA,222930,ALEXANDRE KOWALSKI,FRAAK11,Q,31,8,3,6,29,17,13,(34),141,107
31,ITA,218461,PIETRO GIACOMONI,ITAPG38,Q,4,5,4,30,23,33,(43),11,153,110
32,CRO,215265,MILAN VUJASINOVIC,CROMV2,Q,2,26,17,11,6,31,(44),27,164,120
33,GRE,208815,JASON KEFALLONITIS,GREIK17,NO,28,4,30,1,7,40,11,(44),165,121
34,GBR,221506,ARTHUR FARLEY,GBRAF70,Q,19,21,37,4,4,24,12,(40),161,121
35,THA,213137,ARTHIT MIKHAIL ROMANYK,THAAR1,NON EU,2,12,(32),20,15,30,31,14,156,124
36,ESP,209162,PEP CAZADOR,ESPPC49,Q,19,14,11,30,8,23,20,(41),166,125
37,ESP,212517,GONZALO SUAREZ PEREZ,ESPGS7,Q,(38),11,18,2,21,19,22,36,167,129
38,GRE,150374,ADONIS BOUGIOURIS,GREAB1,NO,27,33,9,1,13,32,15,(47 RET),177,130
39,FRA,223743,THEO PEYRE,FRATP34,Q,6,12,20,28,6,26,(39),33,170,131
40,CRO,222212,BRUNO GASPIC,CROBG3,Q,5,6,14,33,16,29,33,(35),171,136
41,GER,191899,PHILIP WALKENBACH,GERPW19,Q,11,18,14,8,2,(47 RET),37,47 UFD,184,137
42,SWE,222506,LUDVIG LINDQVIST,SWELL9,Q,12,20,2,17,8,(41),41,39,180,139
43,ITA,218690,PAOLO FREDDI,ITAPF49,Q,9,37,10,14,17,38,(42),16,183,141
44,ITA,216995,MATTEO BERTACCHI,ITAMB255,Q,19 10%,3,23,9,29,(37),29,31,180,143
45,ESP,216185,ALFONSO FERNANDEZ,ESPAF35,Q,11,2,24,15,37,(42),17,38,186,144
46,MON,221812,JÉRÉMY MOUTOUT,MONJM1,NO,12,10,15,(47 UFD),16,34,27,42,203,156
1,THA,212818,CHUSITT PUNJAMALA,THACP5,NON EU,9,13,12,22,(28),2,4,90,62,
2,ESP,218006,SAMUEL BENEYTO,ESPSB18,Q,17,20,7,(21),11,9,1,86,65,
3,DEN,210987,JOHAN SCHUBERT,DENJS23,Q,16,10,(33),23,12,1,11,106,73,
